,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2004-03-08,2004-03-21,USA,Hard,2529000.0,$,2004,agustin-calleri,A. Calleri,irakli-labadze,I. Labadze,indian-wells,Round of 16,3.0,f,1000,4,01:44:00,156.0,1.0,13.0,13.0,0.0,0.0,267.0,8.0,3.0,49.0,75.0,35.0,49.0,13.0,26.0,0.0,3.0,13.0,132.0,11.0,43.0,17.0,38.0,3.0,8.0,13.0,48.0,75.0,28.0,81.0,76.0,f,f,22,t,USA,2.0,13.0,13.0,0.0,254.0,5.0,9.0,43.0,81.0,32.0,43.0,21.0,38.0,5.0,8.0,13.0,202.0,14.0,49.0,13.0,26.0,3.0,3.0,13.0,53.0,81.0,27.0,75.0,80.0,t,f,f,USA
1,2004-03-08,2004-03-21,USA,Hard,2529000.0,$,2004,agustin-calleri,A. Calleri,rafael-nadal,R. Nadal,indian-wells,Round of 32,3.0,f,1000,3,02:38:00,216.0,2.0,16.0,16.0,1.0,1.0,256.0,8.0,3.0,52.0,98.0,39.0,52.0,23.0,46.0,2.0,6.0,15.0,127.0,35.0,85.0,12.0,33.0,4.0,16.0,16.0,62.0,98.0,47.0,118.0,109.0,t,f,22,t,USA,1.0,16.0,16.0,0.0,270.0,0.0,0.0,85.0,118.0,50.0,85.0,21.0,33.0,12.0,16.0,16.0,168.0,13.0,52.0,23.0,46.0,4.0,6.0,15.0,71.0,118.0,36.0,98.0,107.0,f,f,f,USA
2,2004-03-08,2004-03-21,USA,Hard,2529000.0,$,2004,agustin-calleri,A. Calleri,robin-soderling,R. Soderling,indian-wells,Round of 64,3.0,f,1000,2,01:44:00,181.0,2.0,15.0,13.0,0.0,0.0,284.0,19.0,5.0,56.0,95.0,42.0,56.0,20.0,39.0,10.0,12.0,14.0,127.0,11.0,53.0,19.0,33.0,3.0,11.0,14.0,62.0,95.0,30.0,86.0,92.0,t,f,22,t,USA,1.0,13.0,15.0,0.0,265.0,8.0,4.0,53.0,86.0,42.0,53.0,14.0,33.0,8.0,11.0,14.0,105.0,14.0,56.0,19.0,39.0,2.0,12.0,14.0,56.0,86.0,33.0,95.0,89.0,f,f,f,USA
3,2004-03-08,2004-03-21,USA,Hard,2529000.0,$,2004,albert-costa,A. Costa,guillermo-canas,G. Canas,indian-wells,Round of 64,3.0,f,1000,2,02:54:00,230.0,2.0,19.0,16.0,0.0,1.0,292.0,16.0,2.0,57.0,104.0,43.0,57.0,28.0,47.0,4.0,6.0,17.0,144.0,21.0,72.0,30.0,54.0,4.0,11.0,17.0,71.0,104.0,51.0,126.0,122.0,t,f,23,t,USA,1.0,16.0,19.0,1.0,260.0,16.0,4.0,72.0,126.0,51.0,72.0,24.0,54.0,7.0,11.0,17.0,109.0,14.0,57.0,19.0,47.0,2.0,6.0,17.0,75.0,126.0,33.0,104.0,108.0,f,f,f,USA
4,2004-03-08,2004-03-21,USA,Hard,2529000.0,$,2004,albert-costa,A. Costa,tommy-haas,T. Haas,indian-wells,Round of 32,3.0,f,1000,3,02:24:00,179.0,1.0,15.0,16.0,0.0,1.0,253.0,7.0,3.0,49.0,88.0,35.0,49.0,19.0,39.0,4.0,8.0,15.0,149.0,16.0,45.0,20.0,46.0,4.0,9.0,15.0,54.0,88.0,36.0,91.0,90.0,f,f,23,f,USA,2.0,16.0,15.0,1.0,246.0,8.0,5.0,45.0,91.0,29.0,45.0,26.0,46.0,5.0,9.0,15.0,156.0,14.0,49.0,20.0,39.0,4.0,8.0,15.0,55.0,91.0,34.0,88.0,89.0,t,f,t,USA
5,2004-03-08,2004-03-21,USA,Hard,2529000.0,$,2004,alberto-martin,A. Martin,frederic-niemeyer,F. Niemeyer,indian-wells,Round of 128,2.0,f,1000,1,01:19:00,126.0,2.0,13.0,9.0,0.0,0.0,286.0,2.0,2.0,36.0,66.0,29.0,36.0,18.0,30.0,1.0,2.0,11.0,141.0,13.0,39.0,9.0,21.0,3.0,8.0,11.0,47.0,66.0,22.0,60.0,69.0,t,f,,t,USA,0.0,9.0,13.0,0.0,264.0,8.0,5.0,39.0,60.0,26.0,39.0,12.0,21.0,5.0,8.0,11.0,118.0,7.0,36.0,12.0,30.0,1.0,2.0,11.0,38.0,60.0,19.0,66.0,57.0,f,f,f,USA
6,2004-03-08,2004-03-21,USA,Hard,2529000.0,$,2004,alberto-martin,A. Martin,juan-ignacio-chela,J. Chela,indian-wells,Round of 64,3.0,f,1000,2,01:58:00,165.0,1.0,9.0,17.0,0.0,0.0,195.0,6.0,6.0,49.0,87.0,29.0,49.0,13.0,38.0,9.0,16.0,13.0,151.0,16.0,53.0,12.0,25.0,3.0,6.0,13.0,42.0,87.0,28.0,78.0,70.0,f,f,,t,USA,2.0,17.0,9.0,0.0,269.0,4.0,1.0,53.0,78.0,37.0,53.0,13.0,25.0,3.0,6.0,13.0,204.0,20.0,49.0,25.0,38.0,7.0,16.0,13.0,50.0,78.0,45.0,87.0,95.0,t,f,f,USA
7,2004-03-08,2004-03-21,USA,Hard,2529000.0,$,2004,alex-bogomolov-jr.,A. Bogomolov Jr.,jeff-salzenstein,J. Salzenstein,indian-wells,Round of 128,2.0,f,1000,1,01:21:00,139.0,2.0,12.0,6.0,0.0,0.0,275.0,1.0,4.0,46.0,68.0,31.0,46.0,12.0,22.0,5.0,6.0,9.0,189.0,17.0,48.0,17.0,23.0,4.0,11.0,9.0,43.0,68.0,34.0,71.0,77.0,t,f,WC,t,USA,0.0,6.0,12.0,0.0,219.0,9.0,4.0,48.0,71.0,31.0,48.0,6.0,23.0,7.0,11.0,9.0,106.0,15.0,46.0,10.0,22.0,1.0,6.0,9.0,37.0,71.0,25.0,68.0,62.0,f,f,f,USA
8,2004-03-08,2004-03-21,USA,Hard,2529000.0,$,2004,alex-bogomolov-jr.,A. Bogomolov Jr.,max-mirnyi,M. Mirnyi,indian-wells,Round of 64,2.0,f,1000,2,01:29:00,155.0,0.0,10.0,13.0,0.0,1.0,291.0,0.0,1.0,53.0,68.0,41.0,53.0,7.0,15.0,1.0,2.0,11.0,67.0,12.0,53.0,15.0,34.0,0.0,6.0,11.0,48.0,68.0,27.0,87.0,75.0,f,f,WC,f,USA,2.0,13.0,10.0,1.0,302.0,14.0,6.0,53.0,87.0,41.0,53.0,19.0,34.0,6.0,6.0,11.0,135.0,12.0,53.0,8.0,15.0,1.0,2.0,11.0,60.0,87.0,20.0,68.0,80.0,t,f,t,USA
9,2004-03-08,2004-03-21,USA,Hard,2529000.0,$,2004,alex-corretja,A. Corretja,david-ferrer,D. Ferrer,indian-wells,Round of 128,3.0,f,1000,1,02:52:00,237.0,2.0,17.0,17.0,1.0,1.0,247.0,4.0,5.0,59.0,112.0,41.0,59.0,27.0,53.0,9.0,13.0,16.0,142.0,25.0,79.0,25.0,46.0,4.0,12.0,17.0,68.0,112.0,50.0,125.0,118.0,t,f,WC,t,USA,1.0,17.0,17.0,0.0,252.0,2.0,3.0,79.0,125.0,54.0,79.0,21.0,46.0,8.0,12.0,17.0,136.0,18.0,59.0,26.0,53.0,4.0,13.0,16.0,75.0,125.0,44.0,112.0,119.0,f,f,f,USA
