,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2014-10-13,2014-10-19,India,Hard,50000.0,$,2014,adam-pavlasek,A. Pavlasek,sasi-kumar-mukund,S. Mukund,indore_challenger,Round of 32,2.0,f,100,3,00:58:00,105.0,2.0,12.0,5.0,0.0,0.0,289.0,10.0,1.0,23.0,44.0,16.0,23.0,15.0,21.0,0.0,1.0,8.0,209.0,20.0,36.0,14.0,25.0,5.0,12.0,9.0,31.0,44.0,34.0,61.0,65.0,t,f,,t,India,0.0,5.0,12.0,0.0,190.0,1.0,2.0,36.0,61.0,16.0,36.0,11.0,25.0,7.0,12.0,9.0,171.0,7.0,23.0,6.0,21.0,1.0,1.0,8.0,27.0,61.0,13.0,44.0,40.0,f,f,f,India
1,2014-10-13,2014-10-19,India,Hard,50000.0,$,2014,adam-pavlasek,A. Pavlasek,stefano-travaglia,S. Travaglia,indore_challenger,Round of 16,2.0,f,100,4,01:15:00,122.0,0.0,7.0,13.0,0.0,0.0,243.0,9.0,7.0,32.0,63.0,25.0,32.0,13.0,31.0,3.0,6.0,10.0,54.0,4.0,25.0,13.0,34.0,0.0,3.0,10.0,38.0,63.0,17.0,59.0,55.0,f,f,,f,India,2.0,13.0,7.0,0.0,288.0,4.0,4.0,25.0,59.0,21.0,25.0,21.0,34.0,3.0,3.0,10.0,160.0,7.0,32.0,18.0,31.0,3.0,6.0,10.0,42.0,59.0,25.0,63.0,67.0,t,f,t,India
2,2014-10-13,2014-10-19,India,Hard,50000.0,$,2014,adrian-menendez-maceiras,A. Menendez-Maceiras,aleksandr-nedovyesov,A. Nedovyesov,indore_challenger,Quarter-Finals,2.0,f,100,5,01:43:00,152.0,0.0,12.0,14.0,0.0,2.0,269.0,2.0,1.0,50.0,82.0,34.0,50.0,18.0,32.0,5.0,7.0,12.0,132.0,10.0,43.0,7.0,27.0,2.0,3.0,12.0,52.0,82.0,17.0,70.0,69.0,f,f,5,f,India,2.0,14.0,12.0,2.0,303.0,10.0,2.0,43.0,70.0,33.0,43.0,20.0,27.0,1.0,3.0,12.0,121.0,16.0,50.0,14.0,32.0,2.0,7.0,12.0,53.0,70.0,30.0,82.0,83.0,t,f,t,India
3,2014-10-13,2014-10-19,India,Hard,50000.0,$,2014,adrian-menendez-maceiras,A. Menendez-Maceiras,riccardo-ghedin,R. Ghedin,indore_challenger,Round of 16,2.0,f,100,4,00:55:00,93.0,2.0,12.0,4.0,0.0,0.0,320.0,6.0,0.0,31.0,46.0,23.0,31.0,11.0,15.0,1.0,1.0,8.0,216.0,10.0,24.0,13.0,23.0,4.0,6.0,8.0,34.0,46.0,23.0,47.0,57.0,t,f,5,t,India,0.0,4.0,12.0,0.0,203.0,3.0,2.0,24.0,47.0,14.0,24.0,10.0,23.0,2.0,6.0,8.0,53.0,8.0,31.0,4.0,15.0,0.0,1.0,8.0,24.0,47.0,12.0,46.0,36.0,f,f,f,India
4,2014-10-13,2014-10-19,India,Hard,50000.0,$,2014,adrian-menendez-maceiras,A. Menendez-Maceiras,yannik-reuter,Y. Reuter,indore_challenger,Round of 32,2.0,f,100,3,01:53:00,158.0,2.0,13.0,9.0,0.0,0.0,260.0,8.0,0.0,42.0,69.0,28.0,42.0,14.0,27.0,5.0,8.0,11.0,180.0,24.0,52.0,19.0,37.0,5.0,13.0,11.0,42.0,69.0,43.0,89.0,85.0,t,f,5,t,India,0.0,9.0,13.0,0.0,214.0,1.0,2.0,52.0,89.0,28.0,52.0,18.0,37.0,8.0,13.0,11.0,146.0,14.0,42.0,13.0,27.0,3.0,8.0,11.0,46.0,89.0,27.0,69.0,73.0,f,f,f,India
5,2014-10-13,2014-10-19,India,Hard,50000.0,$,2014,akash-wagh,A. Wagh,jan-perutka,J. Perutka,indore_challenger,1st Round Qualifying,2.0,f,100,1,01:04:00,117.0,2.0,12.0,5.0,0.0,0.0,247.0,4.0,2.0,20.0,55.0,15.0,20.0,20.0,35.0,3.0,5.0,9.0,214.0,14.0,38.0,19.0,24.0,5.0,14.0,8.0,35.0,55.0,33.0,62.0,68.0,t,f,6,t,India,0.0,5.0,12.0,0.0,172.0,0.0,10.0,38.0,62.0,24.0,38.0,5.0,24.0,9.0,14.0,8.0,130.0,5.0,20.0,15.0,35.0,2.0,5.0,9.0,29.0,62.0,20.0,55.0,49.0,f,f,f,India
6,2014-10-13,2014-10-19,India,Hard,50000.0,$,2014,akash-wagh,A. Wagh,lakshit-sood,L. Sood,indore_challenger,2nd Round Qualifying,2.0,f,100,2,01:17:00,117.0,0.0,5.0,12.0,0.0,0.0,203.0,1.0,5.0,33.0,59.0,24.0,33.0,6.0,26.0,2.0,6.0,9.0,64.0,6.0,26.0,13.0,32.0,0.0,3.0,8.0,30.0,59.0,19.0,58.0,49.0,f,f,6,f,India,2.0,12.0,5.0,0.0,282.0,2.0,1.0,26.0,58.0,20.0,26.0,19.0,32.0,3.0,3.0,8.0,215.0,9.0,33.0,20.0,26.0,4.0,6.0,9.0,39.0,58.0,29.0,59.0,68.0,t,f,t,India
7,2014-10-13,2014-10-19,India,Hard,50000.0,$,2014,aleksandr-nedovyesov,A. Nedovyesov,germain-gigounon,G. Gigounon,indore_challenger,Round of 16,2.0,f,100,4,00:58:00,102.0,2.0,12.0,7.0,0.0,0.0,301.0,6.0,1.0,35.0,50.0,29.0,35.0,8.0,15.0,0.0,1.0,10.0,171.0,10.0,30.0,12.0,22.0,3.0,6.0,9.0,37.0,50.0,22.0,52.0,59.0,t,f,1,t,India,0.0,7.0,12.0,0.0,234.0,2.0,4.0,30.0,52.0,20.0,30.0,10.0,22.0,3.0,6.0,9.0,174.0,6.0,35.0,7.0,15.0,1.0,1.0,10.0,30.0,52.0,13.0,50.0,43.0,f,f,f,India
8,2014-10-13,2014-10-19,India,Hard,50000.0,$,2014,aleksandr-nedovyesov,A. Nedovyesov,lakshit-sood,L. Sood,indore_challenger,Round of 32,2.0,f,100,3,00:58:00,85.0,2.0,12.0,4.0,0.0,0.0,316.0,4.0,2.0,25.0,37.0,21.0,25.0,9.0,12.0,2.0,3.0,8.0,232.0,17.0,27.0,12.0,21.0,5.0,10.0,8.0,30.0,37.0,29.0,48.0,59.0,t,f,1,t,India,0.0,4.0,12.0,0.0,166.0,0.0,7.0,27.0,48.0,10.0,27.0,9.0,21.0,5.0,10.0,8.0,86.0,4.0,25.0,3.0,12.0,1.0,3.0,8.0,19.0,48.0,7.0,37.0,26.0,f,f,f,India
9,2014-10-13,2014-10-19,India,Hard,50000.0,$,2014,aleksandr-nedovyesov,A. Nedovyesov,saketh-myneni,S. Myneni,indore_challenger,Finals,3.0,f,100,7,02:01:00,194.0,1.0,13.0,18.0,1.0,1.0,281.0,3.0,1.0,60.0,89.0,41.0,60.0,17.0,29.0,5.0,7.0,14.0,63.0,7.0,58.0,24.0,47.0,0.0,1.0,16.0,58.0,89.0,31.0,105.0,89.0,f,f,1,f,India,2.0,18.0,13.0,0.0,299.0,12.0,5.0,58.0,105.0,51.0,58.0,23.0,47.0,1.0,1.0,16.0,116.0,19.0,60.0,12.0,29.0,2.0,7.0,14.0,74.0,105.0,31.0,89.0,105.0,t,f,t,India
