start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2015-04-27,2015-05-03,Turkey,Clay,439405.0,€,2015,aldin-setkic,A. Setkic,teymuraz-gabashvili,T. Gabashvili,istanbul,1st Round Qualifying,2.0,f,250,0,01:05:00,111.0,0.0,5.0,12.0,0.0,0.0,224.0,2.0,2.0,40.0,63.0,23.0,40.0,11.0,23.0,5.0,9.0,9.0,57.0,10.0,33.0,4.0,15.0,0.0,3.0,8.0,34.0,63.0,14.0,48.0,48.0,f,f,,f,Turkey,2.0,12.0,5.0,0.0,315.0,3.0,0.0,33.0,48.0,23.0,33.0,11.0,15.0,3.0,3.0,8.0,183.0,17.0,40.0,12.0,23.0,4.0,9.0,9.0,34.0,48.0,29.0,63.0,63.0,t,f,t,Turkey
2015-04-27,2015-05-03,Turkey,Clay,439405.0,€,2015,aleksandre-metreveli,A. Metreveli,philipp-oswald,P. Oswald,istanbul,1st Round Qualifying,2.0,f,250,0,01:24:00,133.0,0.0,6.0,13.0,0.0,0.0,186.0,1.0,8.0,41.0,75.0,24.0,41.0,12.0,34.0,10.0,15.0,9.0,125.0,10.0,30.0,12.0,28.0,2.0,7.0,10.0,36.0,75.0,22.0,58.0,58.0,f,f,,f,Turkey,2.0,13.0,6.0,0.0,255.0,2.0,3.0,30.0,58.0,20.0,30.0,16.0,28.0,5.0,7.0,10.0,194.0,17.0,41.0,22.0,34.0,5.0,15.0,9.0,36.0,58.0,39.0,75.0,75.0,t,f,t,Turkey
2015-04-27,2015-05-03,Turkey,Clay,439405.0,€,2015,aleksandr-nedovyesov,A. Nedovyesov,evgeny-donskoy,E. Donskoy,istanbul,3rd Round Qualifying,3.0,f,250,2,02:25:00,232.0,2.0,19.0,15.0,0.0,1.0,294.0,4.0,3.0,86.0,120.0,66.0,86.0,17.0,34.0,5.0,6.0,17.0,118.0,24.0,71.0,17.0,41.0,3.0,12.0,16.0,83.0,120.0,41.0,112.0,124.0,t,f,4,f,Turkey,1.0,15.0,19.0,1.0,270.0,2.0,1.0,71.0,112.0,47.0,71.0,24.0,41.0,9.0,12.0,16.0,95.0,20.0,86.0,17.0,34.0,1.0,6.0,17.0,71.0,112.0,37.0,120.0,108.0,f,f,t,Turkey
2015-04-27,2015-05-03,Turkey,Clay,439405.0,€,2015,aleksandr-nedovyesov,A. Nedovyesov,mate-pavic,M. Pavic,istanbul,1st Round Qualifying,2.0,f,250,0,00:58:00,92.0,2.0,12.0,3.0,0.0,0.0,312.0,5.0,0.0,30.0,48.0,25.0,30.0,11.0,18.0,2.0,2.0,8.0,258.0,13.0,33.0,9.0,11.0,4.0,5.0,7.0,36.0,48.0,22.0,44.0,58.0,t,f,4,t,Turkey,0.0,3.0,12.0,0.0,197.0,2.0,1.0,33.0,44.0,20.0,33.0,2.0,11.0,1.0,5.0,7.0,56.0,5.0,30.0,7.0,18.0,0.0,2.0,8.0,22.0,44.0,12.0,48.0,34.0,f,f,f,Turkey
2015-04-27,2015-05-03,Turkey,Clay,439405.0,€,2015,aleksandr-nedovyesov,A. Nedovyesov,michael-linzer,M. Linzer,istanbul,2nd Round Qualifying,2.0,f,250,1,01:23:00,113.0,2.0,12.0,6.0,0.0,0.0,307.0,4.0,0.0,39.0,51.0,33.0,39.0,5.0,12.0,1.0,1.0,9.0,189.0,11.0,34.0,18.0,28.0,3.0,5.0,9.0,38.0,51.0,29.0,62.0,67.0,t,f,4,t,Turkey,0.0,6.0,12.0,0.0,227.0,4.0,2.0,34.0,62.0,23.0,34.0,10.0,28.0,2.0,5.0,9.0,73.0,6.0,39.0,7.0,12.0,0.0,1.0,9.0,33.0,62.0,13.0,51.0,46.0,f,f,f,Turkey
2015-04-27,2015-05-03,Turkey,Clay,439405.0,€,2015,aleksandr-nedovyesov,A. Nedovyesov,mikhail-kukushkin,M. Kukushkin,istanbul,Round of 32,2.0,f,250,3,01:32:00,125.0,0.0,7.0,12.0,0.0,0.0,247.0,2.0,0.0,35.0,57.0,22.0,35.0,12.0,22.0,4.0,7.0,9.0,93.0,11.0,35.0,13.0,33.0,1.0,8.0,10.0,34.0,57.0,24.0,68.0,58.0,f,f,Q,f,Turkey,2.0,12.0,7.0,0.0,271.0,0.0,0.0,35.0,68.0,24.0,35.0,20.0,33.0,7.0,8.0,10.0,158.0,13.0,35.0,10.0,22.0,3.0,7.0,9.0,44.0,68.0,23.0,57.0,67.0,t,f,t,Turkey
2015-04-27,2015-05-03,Turkey,Clay,439405.0,€,2015,altug-celikbilek,A. Celikbilek,radu-albot,R. Albot,istanbul,1st Round Qualifying,2.0,f,250,0,01:16:00,127.0,0.0,7.0,12.0,0.0,0.0,252.0,7.0,4.0,37.0,61.0,29.0,37.0,8.0,24.0,2.0,4.0,9.0,66.0,11.0,40.0,10.0,26.0,0.0,5.0,10.0,37.0,61.0,21.0,66.0,58.0,f,f,WC,f,Turkey,2.0,12.0,7.0,0.0,294.0,0.0,2.0,40.0,66.0,29.0,40.0,16.0,26.0,5.0,5.0,10.0,161.0,8.0,37.0,16.0,24.0,2.0,4.0,9.0,45.0,66.0,24.0,61.0,69.0,t,f,t,Turkey
2015-04-27,2015-05-03,Turkey,Clay,439405.0,€,2015,andreas-haider-maurer,A. Haider-Maurer,ivan-dodig,I. Dodig,istanbul,Round of 32,2.0,f,250,3,01:36:00,141.0,0.0,8.0,13.0,0.0,0.0,233.0,5.0,4.0,39.0,69.0,24.0,39.0,15.0,30.0,1.0,5.0,11.0,96.0,12.0,42.0,13.0,30.0,1.0,7.0,10.0,39.0,69.0,25.0,72.0,64.0,f,f,5,f,Turkey,2.0,13.0,8.0,0.0,283.0,9.0,2.0,42.0,72.0,30.0,42.0,17.0,30.0,6.0,7.0,10.0,204.0,15.0,39.0,15.0,30.0,4.0,5.0,11.0,47.0,72.0,30.0,69.0,77.0,t,f,t,Turkey
2015-04-27,2015-05-03,Turkey,Clay,439405.0,€,2015,andrey-golubev,A. Golubev,grigor-dimitrov,G. Dimitrov,istanbul,Round of 16,2.0,f,250,4,01:05:00,112.0,0.0,5.0,12.0,0.0,0.0,229.0,2.0,1.0,44.0,67.0,27.0,44.0,9.0,23.0,8.0,11.0,8.0,51.0,4.0,35.0,4.0,10.0,0.0,0.0,9.0,36.0,67.0,8.0,45.0,44.0,f,f,,f,Turkey,2.0,12.0,5.0,0.0,329.0,2.0,0.0,35.0,45.0,31.0,35.0,6.0,10.0,0.0,0.0,9.0,164.0,17.0,44.0,14.0,23.0,3.0,11.0,8.0,37.0,45.0,31.0,67.0,68.0,t,f,t,Turkey
2015-04-27,2015-05-03,Turkey,Clay,439405.0,€,2015,andrey-golubev,A. Golubev,nikoloz-basilashvili,N. Basilashvili,istanbul,Round of 32,2.0,f,250,3,01:13:00,118.0,2.0,12.0,4.0,0.0,0.0,284.0,4.0,1.0,36.0,63.0,26.0,36.0,14.0,27.0,5.0,5.0,8.0,201.0,19.0,40.0,8.0,15.0,4.0,8.0,8.0,40.0,63.0,27.0,55.0,67.0,t,f,,t,Turkey,0.0,4.0,12.0,0.0,221.0,2.0,4.0,40.0,55.0,21.0,40.0,7.0,15.0,4.0,8.0,8.0,76.0,10.0,36.0,13.0,27.0,0.0,5.0,8.0,28.0,55.0,23.0,63.0,51.0,f,f,f,Turkey
