,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2014-04-07,2014-04-13,Brazil,Clay,40000.0,$,2014,alex-blumenberg,A. Blumenberg,pedro-de-paula,P. De Paula,itajai_challenger,1st Round Qualifying,2.0,f,100,0,01:38:00,121.0,2.0,13.0,6.0,1.0,1.0,278.0,2.0,2.0,39.0,63.0,32.0,39.0,11.0,24.0,5.0,6.0,9.0,213.0,15.0,34.0,14.0,24.0,4.0,6.0,9.0,43.0,63.0,29.0,58.0,72.0,t,f,,t,Brazil,0.0,6.0,13.0,0.0,211.0,1.0,2.0,34.0,58.0,19.0,34.0,10.0,24.0,2.0,6.0,9.0,100.0,7.0,39.0,13.0,24.0,1.0,6.0,9.0,29.0,58.0,20.0,63.0,49.0,f,f,f,Brazil
1,2014-04-07,2014-04-13,Brazil,Clay,40000.0,$,2014,alex-blumenberg,A. Blumenberg,thales-turini,T. Turini,itajai_challenger,2nd Round Qualifying,2.0,f,100,1,01:22:00,121.0,0.0,6.0,12.0,0.0,0.0,210.0,4.0,8.0,40.0,72.0,26.0,40.0,12.0,32.0,9.0,13.0,9.0,132.0,10.0,38.0,5.0,11.0,1.0,2.0,9.0,38.0,72.0,15.0,49.0,53.0,f,f,,f,Brazil,2.0,12.0,6.0,0.0,297.0,3.0,1.0,38.0,49.0,28.0,38.0,6.0,11.0,1.0,2.0,9.0,173.0,14.0,40.0,20.0,32.0,4.0,13.0,9.0,34.0,49.0,34.0,72.0,68.0,t,f,t,Brazil
2,2014-04-07,2014-04-13,Brazil,Clay,40000.0,$,2014,allan-gomes-oliveira,A. Oliveira,andre-miele,A. Miele,itajai_challenger,1st Round Qualifying,2.0,f,100,0,01:32:00,104.0,0.0,4.0,12.0,0.0,0.0,174.0,1.0,3.0,31.0,53.0,14.0,31.0,8.0,22.0,1.0,6.0,8.0,109.0,7.0,33.0,10.0,18.0,1.0,5.0,8.0,22.0,53.0,17.0,51.0,39.0,f,f,AL,f,Brazil,2.0,12.0,4.0,0.0,274.0,0.0,1.0,33.0,51.0,26.0,33.0,8.0,18.0,4.0,5.0,8.0,264.0,17.0,31.0,14.0,22.0,5.0,6.0,8.0,34.0,51.0,31.0,53.0,65.0,t,f,t,Brazil
3,2014-04-07,2014-04-13,Brazil,Clay,40000.0,$,2014,andrea-collarini,A. Collarini,kimmer-coppejans,K. Coppejans,itajai_challenger,Round of 32,2.0,f,100,3,01:52:00,134.0,0.0,9.0,13.0,0.0,0.0,228.0,1.0,6.0,50.0,80.0,27.0,50.0,16.0,30.0,7.0,11.0,11.0,181.0,10.0,32.0,7.0,22.0,2.0,2.0,11.0,43.0,80.0,17.0,54.0,60.0,f,f,,f,Brazil,2.0,13.0,9.0,0.0,280.0,4.0,1.0,32.0,54.0,22.0,32.0,15.0,22.0,0.0,2.0,11.0,165.0,23.0,50.0,14.0,30.0,4.0,11.0,11.0,37.0,54.0,37.0,80.0,74.0,t,f,t,Brazil
4,2014-04-07,2014-04-13,Brazil,Clay,40000.0,$,2014,andre-ghem,A. Ghem,andres-molteni,A. Molteni,itajai_challenger,Quarter-Finals,2.0,f,100,5,01:56:00,149.0,0.0,9.0,13.0,0.0,0.0,212.0,0.0,2.0,41.0,67.0,25.0,41.0,10.0,26.0,4.0,9.0,11.0,144.0,23.0,56.0,12.0,26.0,3.0,10.0,11.0,35.0,67.0,35.0,82.0,70.0,f,f,,f,Brazil,2.0,13.0,9.0,0.0,250.0,2.0,5.0,56.0,82.0,33.0,56.0,14.0,26.0,7.0,10.0,11.0,202.0,16.0,41.0,16.0,26.0,5.0,9.0,11.0,47.0,82.0,32.0,67.0,79.0,t,f,t,Brazil
5,2014-04-07,2014-04-13,Brazil,Clay,40000.0,$,2014,andre-ghem,A. Ghem,martin-alund,M. Alund,itajai_challenger,Round of 16,2.0,f,100,4,01:03:00,95.0,2.0,12.0,2.0,0.0,0.0,324.0,2.0,0.0,28.0,39.0,24.0,28.0,7.0,11.0,4.0,4.0,7.0,219.0,18.0,34.0,13.0,22.0,5.0,14.0,7.0,31.0,39.0,31.0,56.0,62.0,t,f,,t,Brazil,0.0,2.0,12.0,0.0,178.0,2.0,1.0,34.0,56.0,16.0,34.0,9.0,22.0,9.0,14.0,7.0,50.0,4.0,28.0,4.0,11.0,0.0,4.0,7.0,25.0,56.0,8.0,39.0,33.0,f,f,f,Brazil
6,2014-04-07,2014-04-13,Brazil,Clay,40000.0,$,2014,andre-ghem,A. Ghem,tiago-fernandes,T. Fernandes,itajai_challenger,Round of 32,2.0,f,100,3,01:42:00,138.0,2.0,12.0,7.0,0.0,0.0,263.0,8.0,1.0,40.0,69.0,29.0,40.0,13.0,29.0,6.0,8.0,10.0,188.0,18.0,40.0,17.0,29.0,4.0,10.0,9.0,42.0,69.0,35.0,69.0,77.0,t,f,,t,Brazil,0.0,7.0,12.0,0.0,203.0,0.0,6.0,40.0,69.0,22.0,40.0,12.0,29.0,6.0,10.0,9.0,128.0,11.0,40.0,16.0,29.0,2.0,8.0,10.0,34.0,69.0,27.0,69.0,61.0,f,f,f,Brazil
7,2014-04-07,2014-04-13,Brazil,Clay,40000.0,$,2014,andre-miele,A. Miele,nikola-ciric,N. Ciric,itajai_challenger,2nd Round Qualifying,3.0,f,100,1,02:47:00,191.0,1.0,15.0,17.0,0.0,0.0,279.0,2.0,3.0,59.0,94.0,43.0,59.0,20.0,35.0,2.0,4.0,16.0,85.0,13.0,61.0,16.0,36.0,1.0,7.0,16.0,63.0,94.0,29.0,97.0,92.0,f,f,,t,Brazil,2.0,17.0,15.0,0.0,300.0,11.0,2.0,61.0,97.0,48.0,61.0,20.0,36.0,6.0,7.0,16.0,132.0,16.0,59.0,15.0,35.0,2.0,4.0,16.0,68.0,97.0,31.0,94.0,99.0,t,f,f,Brazil
8,2014-04-07,2014-04-13,Brazil,Clay,40000.0,$,2014,andres-molteni,A. Molteni,diego-schwartzman,D. Schwartzman,itajai_challenger,Semi-Finals,3.0,f,100,6,02:24:00,175.0,1.0,12.0,16.0,0.0,0.0,208.0,3.0,6.0,43.0,86.0,26.0,43.0,19.0,43.0,3.0,9.0,14.0,184.0,21.0,67.0,15.0,22.0,4.0,7.0,14.0,45.0,86.0,36.0,89.0,81.0,f,f,,t,Brazil,2.0,16.0,12.0,0.0,244.0,0.0,3.0,67.0,89.0,46.0,67.0,7.0,22.0,3.0,7.0,14.0,205.0,17.0,43.0,24.0,43.0,6.0,9.0,14.0,53.0,89.0,41.0,86.0,94.0,t,f,f,Brazil
9,2014-04-07,2014-04-13,Brazil,Clay,40000.0,$,2014,andres-molteni,A. Molteni,maximo-gonzalez,M. Gonzalez,itajai_challenger,Round of 32,3.0,f,100,3,03:35:00,219.0,2.0,17.0,16.0,1.0,1.0,213.0,2.0,5.0,60.0,100.0,36.0,60.0,16.0,40.0,7.0,14.0,16.0,200.0,29.0,67.0,29.0,52.0,7.0,12.0,16.0,52.0,100.0,58.0,119.0,110.0,t,f,,t,Brazil,1.0,16.0,17.0,0.0,209.0,2.0,6.0,67.0,119.0,38.0,67.0,23.0,52.0,5.0,12.0,16.0,193.0,24.0,60.0,24.0,40.0,7.0,14.0,16.0,61.0,119.0,48.0,100.0,109.0,f,f,f,Brazil
