start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2009-05-11,2009-05-17,Turkey,Hard,64000.0,€,2009,colin-fleming,,alexey-kedryuk,,izmir_challenger,2nd Round Qualifying,2.0,f,100,1,,,0.0,7.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Turkey,2.0,12.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Turkey
2009-05-11,2009-05-17,Turkey,Hard,64000.0,€,2009,adem-ozmeral,A. Ozmeral,gilad-ben-zvi,G. Ben Zvi,izmir_challenger,1st Round Qualifying,2.0,f,100,0,01:06:00,114.0,0.0,5.0,12.0,0.0,0.0,186.0,1.0,4.0,39.0,53.0,19.0,39.0,4.0,14.0,4.0,9.0,8.0,152.0,12.0,39.0,13.0,22.0,2.0,5.0,9.0,23.0,53.0,25.0,61.0,48.0,f,f,WC,f,Turkey,2.0,12.0,5.0,0.0,247.0,0.0,4.0,39.0,61.0,27.0,39.0,9.0,22.0,3.0,5.0,9.0,240.0,20.0,39.0,10.0,14.0,5.0,9.0,8.0,36.0,61.0,30.0,53.0,66.0,t,f,t,Turkey
2009-05-11,2009-05-17,Turkey,Hard,64000.0,€,2009,ahmet-aydin-karvan,A. Karvan,david-goffin,D. Goffin,izmir_challenger,1st Round Qualifying,2.0,f,100,0,01:06:00,58.0,0.0,0.0,12.0,0.0,0.0,81.0,0.0,5.0,17.0,30.0,5.0,17.0,0.0,13.0,2.0,8.0,6.0,31.0,1.0,16.0,3.0,12.0,0.0,0.0,6.0,5.0,30.0,4.0,28.0,9.0,f,f,WC,f,Turkey,2.0,12.0,0.0,0.0,325.0,1.0,2.0,16.0,28.0,15.0,16.0,9.0,12.0,0.0,0.0,6.0,346.0,12.0,17.0,13.0,13.0,6.0,8.0,6.0,24.0,28.0,25.0,30.0,49.0,t,f,t,Turkey
2009-05-11,2009-05-17,Turkey,Hard,64000.0,€,2009,alexander-kudryavtsev,A. Kudryavtsev,chris-guccione,C. Guccione,izmir_challenger,Round of 32,2.0,f,100,3,01:06:00,133.0,0.0,10.0,13.0,0.0,1.0,295.0,8.0,2.0,45.0,73.0,34.0,45.0,17.0,28.0,3.0,4.0,11.0,49.0,5.0,44.0,6.0,16.0,0.0,1.0,11.0,51.0,73.0,11.0,60.0,62.0,f,f,,f,Turkey,2.0,13.0,10.0,1.0,332.0,8.0,1.0,44.0,60.0,39.0,44.0,10.0,16.0,1.0,1.0,11.0,97.0,11.0,45.0,11.0,28.0,1.0,4.0,11.0,49.0,60.0,22.0,73.0,71.0,t,f,t,Turkey
2009-05-11,2009-05-17,Turkey,Hard,64000.0,€,2009,alex-bogdanovic,A. Bogdanovic,dominik-meffert,D. Meffert,izmir_challenger,Round of 16,2.0,f,100,4,01:06:00,96.0,0.0,5.0,12.0,0.0,0.0,215.0,5.0,2.0,37.0,50.0,21.0,37.0,4.0,13.0,4.0,8.0,8.0,163.0,6.0,31.0,5.0,15.0,1.0,1.0,9.0,25.0,50.0,11.0,46.0,36.0,f,f,,f,Turkey,2.0,12.0,5.0,0.0,305.0,3.0,1.0,31.0,46.0,25.0,31.0,10.0,15.0,0.0,1.0,9.0,212.0,16.0,37.0,9.0,13.0,4.0,8.0,8.0,35.0,46.0,25.0,50.0,60.0,t,f,t,Turkey
2009-05-11,2009-05-17,Turkey,Hard,64000.0,€,2009,alex-bogdanovic,A. Bogdanovic,haluk-akkoyun,H. Akkoyun,izmir_challenger,Round of 32,2.0,f,100,3,01:31:00,150.0,2.0,13.0,10.0,1.0,1.0,271.0,1.0,1.0,57.0,78.0,42.0,57.0,9.0,21.0,7.0,9.0,11.0,158.0,17.0,52.0,12.0,20.0,3.0,8.0,11.0,51.0,78.0,29.0,72.0,80.0,t,f,,t,Turkey,0.0,10.0,13.0,0.0,252.0,3.0,2.0,52.0,72.0,35.0,52.0,8.0,20.0,5.0,8.0,11.0,123.0,15.0,57.0,12.0,21.0,2.0,9.0,11.0,43.0,72.0,27.0,78.0,70.0,f,f,f,Turkey
2009-05-11,2009-05-17,Turkey,Hard,64000.0,€,2009,alexei-filenkov,A. Filenkov,serkan-akin-dilek,S. Dilek,izmir_challenger,1st Round Qualifying,3.0,f,100,0,01:43:00,194.0,1.0,11.0,16.0,0.0,0.0,133.0,4.0,20.0,58.0,106.0,28.0,58.0,15.0,48.0,7.0,18.0,13.0,230.0,22.0,51.0,26.0,37.0,9.0,17.0,14.0,43.0,106.0,48.0,88.0,91.0,f,f,,t,Turkey,2.0,16.0,11.0,0.0,178.0,3.0,5.0,51.0,88.0,29.0,51.0,11.0,37.0,8.0,17.0,14.0,266.0,30.0,58.0,33.0,48.0,11.0,18.0,13.0,40.0,88.0,63.0,106.0,103.0,t,f,f,Turkey
2009-05-11,2009-05-17,Turkey,Hard,64000.0,€,2009,alexey-kedryuk,,matthias-bachinger,,izmir_challenger,3rd Round Qualifying,2.0,f,100,2,,,0.0,7.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,8,f,Turkey,2.0,13.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Turkey
2009-05-11,2009-05-17,Turkey,Hard,64000.0,€,2009,alexey-kedryuk,A. Kedryuk,tuna-altuna,T. Altuna,izmir_challenger,1st Round Qualifying,2.0,f,100,0,01:11:00,117.0,2.0,13.0,6.0,0.0,0.0,270.0,2.0,2.0,31.0,56.0,22.0,31.0,16.0,25.0,1.0,3.0,10.0,203.0,10.0,26.0,21.0,35.0,5.0,10.0,9.0,38.0,56.0,31.0,61.0,69.0,t,f,8,t,Turkey,0.0,6.0,13.0,0.0,181.0,0.0,8.0,26.0,61.0,16.0,26.0,14.0,35.0,5.0,10.0,9.0,152.0,9.0,31.0,9.0,25.0,2.0,3.0,10.0,30.0,61.0,18.0,56.0,48.0,f,f,f,Turkey
2009-05-11,2009-05-17,Turkey,Hard,64000.0,€,2009,andrea-stoppini,A. Stoppini,dominik-meffert,D. Meffert,izmir_challenger,Quarter-Finals,2.0,f,100,5,01:26:00,127.0,2.0,12.0,7.0,0.0,0.0,275.0,3.0,5.0,36.0,74.0,27.0,36.0,20.0,38.0,3.0,3.0,10.0,111.0,8.0,33.0,9.0,20.0,2.0,10.0,9.0,47.0,74.0,17.0,53.0,64.0,t,f,,t,Turkey,0.0,7.0,12.0,0.0,270.0,3.0,3.0,33.0,53.0,25.0,33.0,11.0,20.0,8.0,10.0,9.0,72.0,9.0,36.0,18.0,38.0,0.0,3.0,10.0,36.0,53.0,27.0,74.0,63.0,f,f,f,Turkey
