,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-05-25,2009-06-07,Germany,Clay,30000.0,€,2009,adam-chadaj,A. Chadaj,gabriel-moraru,G. Moraru,karlsruhe_challenger,3rd Round Qualifying,3.0,f,100,2,02:51:00,239.0,2.0,18.0,15.0,1.0,1.0,212.0,7.0,19.0,77.0,133.0,51.0,77.0,21.0,56.0,20.0,26.0,16.0,201.0,21.0,59.0,30.0,47.0,7.0,12.0,16.0,72.0,133.0,51.0,106.0,123.0,t,f,,f,Germany,1.0,15.0,18.0,0.0,213.0,9.0,8.0,59.0,106.0,38.0,59.0,17.0,47.0,5.0,12.0,16.0,157.0,26.0,77.0,35.0,56.0,6.0,26.0,16.0,55.0,106.0,61.0,133.0,116.0,f,f,t,Germany
1,2009-05-25,2009-06-07,Germany,Clay,30000.0,€,2009,adam-chadaj,A. Chadaj,holger-fischer,H. Fischer,karlsruhe_challenger,2nd Round Qualifying,3.0,f,100,1,02:55:00,208.0,2.0,18.0,11.0,0.0,1.0,198.0,7.0,11.0,52.0,97.0,32.0,52.0,16.0,45.0,9.0,16.0,14.0,250.0,26.0,50.0,38.0,61.0,11.0,19.0,14.0,48.0,97.0,64.0,111.0,112.0,t,f,,f,Germany,1.0,11.0,18.0,1.0,152.0,7.0,7.0,50.0,111.0,24.0,50.0,23.0,61.0,8.0,19.0,14.0,196.0,20.0,52.0,29.0,45.0,7.0,16.0,14.0,47.0,111.0,49.0,97.0,96.0,f,f,t,Germany
2,2009-05-25,2009-06-07,Germany,Clay,30000.0,€,2009,adam-chadaj,A. Chadaj,nicolas-renavand,N. Renavand,karlsruhe_challenger,1st Round Qualifying,2.0,f,100,0,02:06:00,166.0,2.0,13.0,9.0,1.0,1.0,230.0,2.0,5.0,63.0,98.0,31.0,63.0,20.0,35.0,10.0,14.0,11.0,213.0,15.0,43.0,18.0,25.0,5.0,9.0,10.0,51.0,98.0,33.0,68.0,84.0,t,f,,t,Germany,0.0,9.0,13.0,0.0,206.0,6.0,6.0,43.0,68.0,28.0,43.0,7.0,25.0,4.0,9.0,10.0,159.0,32.0,63.0,15.0,35.0,4.0,14.0,11.0,35.0,68.0,47.0,98.0,82.0,f,f,f,Germany
3,2009-05-25,2009-06-07,Germany,Clay,30000.0,€,2009,adam-chadaj,A. Chadaj,niels-desein,N. Desein,karlsruhe_challenger,Round of 32,2.0,f,100,3,01:52:00,168.0,0.0,12.0,14.0,0.0,2.0,224.0,2.0,4.0,40.0,88.0,25.0,40.0,25.0,48.0,5.0,9.0,12.0,170.0,10.0,41.0,22.0,39.0,4.0,7.0,12.0,50.0,88.0,32.0,80.0,82.0,f,f,Q,f,Germany,2.0,14.0,12.0,2.0,237.0,6.0,6.0,41.0,80.0,31.0,41.0,17.0,39.0,3.0,7.0,12.0,163.0,15.0,40.0,23.0,48.0,4.0,9.0,12.0,48.0,80.0,38.0,88.0,86.0,t,f,t,Germany
4,2009-05-25,2009-06-07,Germany,Clay,30000.0,€,2009,albert-ramos-vinolas,A. Ramos-Vinolas,rameez-junaid,R. Junaid,karlsruhe_challenger,1st Round Qualifying,2.0,f,100,0,01:14:00,92.0,0.0,5.0,12.0,0.0,0.0,197.0,1.0,2.0,26.0,47.0,13.0,26.0,9.0,21.0,0.0,4.0,8.0,164.0,5.0,28.0,6.0,17.0,1.0,1.0,9.0,22.0,47.0,11.0,45.0,33.0,f,f,5,f,Germany,2.0,12.0,5.0,0.0,298.0,2.0,1.0,28.0,45.0,23.0,28.0,11.0,17.0,0.0,1.0,9.0,257.0,13.0,26.0,12.0,21.0,4.0,4.0,8.0,34.0,45.0,25.0,47.0,59.0,t,f,t,Germany
5,2009-05-25,2009-06-07,Germany,Clay,30000.0,€,2009,alexander-flock,A. Flock,dominik-schulz,D. Schulz,karlsruhe_challenger,Round of 32,2.0,f,100,3,01:20:00,103.0,2.0,13.0,6.0,0.0,0.0,258.0,2.0,1.0,28.0,50.0,22.0,28.0,10.0,22.0,1.0,3.0,9.0,232.0,15.0,34.0,13.0,19.0,6.0,10.0,10.0,32.0,50.0,28.0,53.0,60.0,t,f,,t,Germany,0.0,6.0,13.0,0.0,190.0,0.0,2.0,34.0,53.0,19.0,34.0,6.0,19.0,4.0,10.0,10.0,165.0,6.0,28.0,12.0,22.0,2.0,3.0,9.0,25.0,53.0,18.0,50.0,43.0,f,f,f,Germany
6,2009-05-25,2009-06-07,Germany,Clay,30000.0,€,2009,alexander-flock,A. Flock,pere-riba,P. Riba,karlsruhe_challenger,Round of 16,2.0,f,100,4,01:53:00,148.0,0.0,7.0,12.0,0.0,0.0,215.0,2.0,1.0,45.0,78.0,25.0,45.0,15.0,33.0,14.0,18.0,9.0,114.0,8.0,35.0,18.0,35.0,2.0,10.0,10.0,40.0,78.0,26.0,70.0,66.0,f,f,,f,Germany,2.0,12.0,7.0,0.0,257.0,5.0,4.0,35.0,70.0,27.0,35.0,17.0,35.0,8.0,10.0,10.0,165.0,20.0,45.0,18.0,33.0,4.0,18.0,9.0,44.0,70.0,38.0,78.0,82.0,t,f,t,Germany
7,2009-05-25,2009-06-07,Germany,Clay,30000.0,€,2009,alexander-sadecky,A. Sadecky,louk-sorensen,L. Sorensen,karlsruhe_challenger,2nd Round Qualifying,2.0,f,100,1,01:35:00,139.0,0.0,9.0,13.0,0.0,0.0,245.0,7.0,4.0,52.0,79.0,37.0,52.0,9.0,27.0,8.0,11.0,11.0,142.0,14.0,56.0,3.0,4.0,1.0,3.0,11.0,46.0,79.0,17.0,60.0,63.0,f,f,,f,Germany,2.0,13.0,9.0,0.0,282.0,0.0,1.0,56.0,60.0,42.0,56.0,1.0,4.0,2.0,3.0,11.0,150.0,15.0,52.0,18.0,27.0,3.0,11.0,11.0,43.0,60.0,33.0,79.0,76.0,t,f,t,Germany
8,2009-05-25,2009-06-07,Germany,Clay,30000.0,€,2009,alexander-sadecky,A. Sadecky,marko-lenz,M. Lenz,karlsruhe_challenger,1st Round Qualifying,3.0,f,100,0,02:45:00,217.0,2.0,18.0,17.0,1.0,1.0,244.0,7.0,6.0,68.0,111.0,46.0,68.0,19.0,43.0,7.0,12.0,17.0,167.0,25.0,72.0,16.0,34.0,5.0,9.0,17.0,65.0,111.0,41.0,106.0,106.0,t,f,,t,Germany,1.0,17.0,18.0,0.0,255.0,1.0,2.0,72.0,106.0,47.0,72.0,18.0,34.0,4.0,9.0,17.0,159.0,22.0,68.0,24.0,43.0,5.0,12.0,17.0,65.0,106.0,46.0,111.0,111.0,f,f,f,Germany
9,2009-05-25,2009-06-07,Germany,Clay,30000.0,€,2009,amer-delic,A. Delic,joao-souza,J. Souza,karlsruhe_challenger,Round of 32,2.0,f,100,3,01:30:00,135.0,2.0,13.0,8.0,0.0,0.0,267.0,4.0,1.0,53.0,71.0,37.0,53.0,7.0,18.0,9.0,11.0,10.0,204.0,15.0,40.0,14.0,24.0,5.0,8.0,11.0,44.0,71.0,29.0,64.0,73.0,t,f,3,t,Germany,0.0,8.0,13.0,0.0,224.0,4.0,2.0,40.0,64.0,25.0,40.0,10.0,24.0,3.0,8.0,11.0,129.0,16.0,53.0,11.0,18.0,2.0,11.0,10.0,35.0,64.0,27.0,71.0,62.0,f,f,f,Germany
