,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2013-05-06,2013-05-12,Uzbekistan,Hard,50000.0,$,2013,adrian-sikora,A. Sikora,aleksandr-nedovyesov,A. Nedovyesov,karshi_challenger,Round of 16,2.0,f,100,4,01:13:00,105.0,0.0,7.0,12.0,0.0,0.0,218.0,0.0,6.0,37.0,60.0,22.0,37.0,10.0,23.0,2.0,6.0,10.0,128.0,4.0,32.0,7.0,13.0,1.0,2.0,9.0,32.0,60.0,11.0,45.0,43.0,f,f,,f,Uzbekistan,2.0,12.0,7.0,0.0,297.0,6.0,2.0,32.0,45.0,28.0,32.0,6.0,13.0,1.0,2.0,9.0,205.0,15.0,37.0,13.0,23.0,4.0,6.0,10.0,34.0,45.0,28.0,60.0,62.0,t,f,t,Uzbekistan
1,2013-05-06,2013-05-12,Uzbekistan,Hard,50000.0,$,2013,adrian-sikora,A. Sikora,rui-machado,R. Machado,karshi_challenger,Round of 32,2.0,f,100,3,01:11:00,104.0,2.0,12.0,6.0,0.0,0.0,280.0,3.0,2.0,28.0,51.0,21.0,28.0,14.0,23.0,0.0,1.0,9.0,196.0,15.0,33.0,10.0,20.0,4.0,7.0,9.0,35.0,51.0,25.0,53.0,60.0,t,f,,t,Uzbekistan,0.0,6.0,12.0,0.0,222.0,3.0,3.0,33.0,53.0,18.0,33.0,10.0,20.0,3.0,7.0,9.0,175.0,7.0,28.0,9.0,23.0,1.0,1.0,9.0,28.0,53.0,16.0,51.0,44.0,f,f,f,Uzbekistan
2,2013-05-06,2013-05-12,Uzbekistan,Hard,50000.0,$,2013,aleksandr-nedovyesov,A. Nedovyesov,sarvar-ikramov,S. Ikramov,karshi_challenger,Round of 32,2.0,f,100,3,00:56:00,83.0,2.0,12.0,2.0,0.0,0.0,312.0,12.0,1.0,26.0,39.0,23.0,26.0,6.0,13.0,1.0,1.0,7.0,221.0,7.0,16.0,17.0,28.0,5.0,11.0,7.0,29.0,39.0,24.0,44.0,53.0,t,f,4,t,Uzbekistan,0.0,2.0,12.0,0.0,157.0,4.0,6.0,16.0,44.0,9.0,16.0,11.0,28.0,6.0,11.0,7.0,66.0,3.0,26.0,7.0,13.0,0.0,1.0,7.0,20.0,44.0,10.0,39.0,30.0,f,f,f,Uzbekistan
3,2013-05-06,2013-05-12,Uzbekistan,Hard,50000.0,$,2013,aleksandr-nedovyesov,A. Nedovyesov,ti-chen,T. Chen,karshi_challenger,Quarter-Finals,2.0,f,100,5,01:37:00,138.0,0.0,9.0,13.0,0.0,1.0,235.0,5.0,2.0,48.0,77.0,33.0,48.0,11.0,29.0,2.0,6.0,11.0,119.0,12.0,41.0,6.0,20.0,2.0,5.0,10.0,44.0,77.0,18.0,61.0,62.0,f,f,4,f,Uzbekistan,2.0,13.0,9.0,1.0,290.0,3.0,1.0,41.0,61.0,29.0,41.0,14.0,20.0,3.0,5.0,10.0,196.0,15.0,48.0,18.0,29.0,4.0,6.0,11.0,43.0,61.0,33.0,77.0,76.0,t,f,t,Uzbekistan
4,2013-05-06,2013-05-12,Uzbekistan,Hard,50000.0,$,2013,alexander-kudryavtsev,A. Kudryavtsev,michael-venus,M. Venus,karshi_challenger,Round of 32,2.0,f,100,3,01:28:00,160.0,0.0,10.0,13.0,0.0,1.0,286.0,16.0,6.0,52.0,91.0,43.0,52.0,18.0,39.0,3.0,4.0,11.0,39.0,2.0,40.0,10.0,29.0,0.0,0.0,11.0,61.0,91.0,12.0,69.0,73.0,f,f,,f,Uzbekistan,2.0,13.0,10.0,1.0,331.0,13.0,1.0,40.0,69.0,38.0,40.0,19.0,29.0,0.0,0.0,11.0,105.0,9.0,52.0,21.0,39.0,1.0,4.0,11.0,57.0,69.0,30.0,91.0,87.0,t,f,t,Uzbekistan
5,2013-05-06,2013-05-12,Uzbekistan,Hard,50000.0,$,2013,alexander-lobkov,A. Lobkov,radu-albot,R. Albot,karshi_challenger,Round of 32,2.0,f,100,3,01:09:00,110.0,0.0,5.0,12.0,0.0,0.0,222.0,4.0,6.0,35.0,58.0,22.0,35.0,9.0,23.0,6.0,9.0,8.0,61.0,6.0,30.0,9.0,22.0,0.0,0.0,9.0,31.0,58.0,15.0,52.0,46.0,f,f,,f,Uzbekistan,2.0,12.0,5.0,0.0,297.0,2.0,2.0,30.0,52.0,24.0,30.0,13.0,22.0,0.0,0.0,9.0,168.0,13.0,35.0,14.0,23.0,3.0,9.0,8.0,37.0,52.0,27.0,58.0,64.0,t,f,t,Uzbekistan
6,2013-05-06,2013-05-12,Uzbekistan,Hard,50000.0,$,2013,alexey-vatutin,A. Vatutin,farrukh-khashimov,F. Khashimov,karshi_challenger,3rd Round Qualifying,2.0,f,100,2,00:33:00,58.0,2.0,12.0,0.0,0.0,0.0,329.0,5.0,1.0,19.0,29.0,17.0,19.0,7.0,10.0,0.0,0.0,6.0,332.0,5.0,7.0,19.0,22.0,6.0,8.0,6.0,24.0,29.0,24.0,29.0,48.0,t,f,1,t,Uzbekistan,0.0,0.0,12.0,0.0,60.0,0.0,7.0,7.0,29.0,2.0,7.0,3.0,22.0,2.0,8.0,6.0,41.0,2.0,19.0,3.0,10.0,0.0,0.0,6.0,5.0,29.0,5.0,29.0,10.0,f,f,f,Uzbekistan
7,2013-05-06,2013-05-12,Uzbekistan,Hard,50000.0,$,2013,alexey-vatutin,A. Vatutin,jan-mertl,J. Mertl,karshi_challenger,Round of 32,2.0,f,100,3,01:20:00,112.0,0.0,6.0,13.0,0.0,0.0,215.0,0.0,2.0,40.0,56.0,24.0,40.0,5.0,16.0,0.0,4.0,9.0,109.0,7.0,34.0,10.0,22.0,1.0,3.0,10.0,29.0,56.0,17.0,56.0,46.0,f,f,Q,f,Uzbekistan,2.0,13.0,6.0,0.0,293.0,10.0,2.0,34.0,56.0,27.0,34.0,12.0,22.0,2.0,3.0,10.0,253.0,16.0,40.0,11.0,16.0,4.0,4.0,9.0,39.0,56.0,27.0,56.0,66.0,t,f,t,Uzbekistan
8,2013-05-06,2013-05-12,Uzbekistan,Hard,50000.0,$,2013,alexey-vatutin,A. Vatutin,pavel-tsoy,P. Tsoy,karshi_challenger,2nd Round Qualifying,2.0,f,100,1,00:51:00,89.0,2.0,12.0,3.0,0.0,0.0,299.0,0.0,5.0,26.0,41.0,23.0,26.0,8.0,15.0,3.0,3.0,7.0,229.0,23.0,34.0,5.0,14.0,5.0,8.0,8.0,31.0,41.0,28.0,48.0,59.0,t,f,1,t,Uzbekistan,0.0,3.0,12.0,0.0,202.0,1.0,3.0,34.0,48.0,11.0,34.0,9.0,14.0,3.0,8.0,8.0,59.0,3.0,26.0,7.0,15.0,0.0,3.0,7.0,20.0,48.0,10.0,41.0,30.0,f,f,f,Uzbekistan
9,2013-05-06,2013-05-12,Uzbekistan,Hard,50000.0,$,2013,aliaksandr-bury,A. Bury,dino-marcan,D. Marcan,karshi_challenger,Round of 32,2.0,f,100,3,01:35:00,152.0,2.0,14.0,11.0,1.0,1.0,297.0,11.0,0.0,48.0,77.0,39.0,48.0,15.0,29.0,3.0,4.0,12.0,143.0,16.0,42.0,13.0,33.0,2.0,4.0,12.0,54.0,77.0,29.0,75.0,83.0,t,f,Q,t,Uzbekistan,0.0,11.0,14.0,0.0,258.0,0.0,4.0,42.0,75.0,26.0,42.0,20.0,33.0,2.0,4.0,12.0,100.0,9.0,48.0,14.0,29.0,1.0,4.0,12.0,46.0,75.0,23.0,77.0,69.0,f,f,f,Uzbekistan
