,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2013-08-12,2013-08-18,Russian Federation,Hard,50000.0,$,2013,adrian-sikora,A. Sikora,konstantin-kravchuk,K. Kravchuk,kazan_challenger,Quarter-Finals,2.0,f,100,5,01:11:00,105.0,0.0,6.0,12.0,0.0,0.0,244.0,1.0,3.0,41.0,58.0,28.0,41.0,7.0,17.0,4.0,7.0,9.0,47.0,6.0,33.0,4.0,14.0,0.0,0.0,9.0,35.0,58.0,10.0,47.0,45.0,f,f,,f,Russian Federation,2.0,12.0,6.0,0.0,330.0,7.0,0.0,33.0,47.0,27.0,33.0,10.0,14.0,0.0,0.0,9.0,167.0,13.0,41.0,10.0,17.0,3.0,7.0,9.0,37.0,47.0,23.0,58.0,60.0,t,f,t,Russian Federation
1,2013-08-12,2013-08-18,Russian Federation,Hard,50000.0,$,2013,adrian-sikora,A. Sikora,michal-schmid,M. Schmid,kazan_challenger,Round of 16,2.0,f,100,4,01:03:00,118.0,2.0,12.0,4.0,0.0,0.0,269.0,2.0,3.0,34.0,59.0,22.0,34.0,15.0,25.0,6.0,7.0,8.0,228.0,16.0,33.0,16.0,26.0,5.0,9.0,8.0,37.0,59.0,32.0,59.0,69.0,t,f,,t,Russian Federation,0.0,4.0,12.0,0.0,184.0,5.0,4.0,33.0,59.0,17.0,33.0,10.0,26.0,4.0,9.0,8.0,101.0,12.0,34.0,10.0,25.0,1.0,7.0,8.0,27.0,59.0,22.0,59.0,49.0,f,f,f,Russian Federation
2,2013-08-12,2013-08-18,Russian Federation,Hard,50000.0,$,2013,adrian-sikora,A. Sikora,vladimir-polyakov,V. Polyakov,kazan_challenger,Round of 32,3.0,f,100,3,02:01:00,145.0,2.0,14.0,11.0,0.0,0.0,258.0,3.0,1.0,39.0,67.0,27.0,39.0,15.0,28.0,3.0,6.0,12.0,213.0,22.0,52.0,13.0,26.0,5.0,6.0,13.0,42.0,67.0,35.0,78.0,77.0,t,f,,t,Russian Federation,1.0,11.0,14.0,0.0,232.0,0.0,4.0,52.0,78.0,30.0,52.0,13.0,26.0,1.0,6.0,13.0,152.0,12.0,39.0,13.0,28.0,3.0,6.0,12.0,43.0,78.0,25.0,67.0,68.0,f,f,f,Russian Federation
3,2013-08-12,2013-08-18,Russian Federation,Hard,50000.0,$,2013,alexander-kudryavtsev,A. Kudryavtsev,jurgen-zopp,J. Zopp,kazan_challenger,Round of 16,3.0,f,100,4,01:34:00,165.0,2.0,15.0,11.0,0.0,0.0,286.0,7.0,5.0,50.0,86.0,39.0,50.0,20.0,36.0,5.0,6.0,13.0,142.0,16.0,49.0,13.0,30.0,3.0,7.0,13.0,59.0,86.0,29.0,79.0,88.0,t,f,,f,Russian Federation,1.0,11.0,15.0,0.0,264.0,3.0,1.0,49.0,79.0,33.0,49.0,17.0,30.0,4.0,7.0,13.0,90.0,11.0,50.0,16.0,36.0,1.0,6.0,13.0,50.0,79.0,27.0,86.0,77.0,f,f,t,Russian Federation
4,2013-08-12,2013-08-18,Russian Federation,Hard,50000.0,$,2013,alexander-kudryavtsev,,matteo-viola,,kazan_challenger,Quarter-Finals,1.0,f,100,5,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,,Russian Federation,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,Russian Federation
5,2013-08-12,2013-08-18,Russian Federation,Hard,50000.0,$,2013,alexander-kudryavtsev,A. Kudryavtsev,maximilian-neuchrist,M. Neuchrist,kazan_challenger,Round of 32,2.0,f,100,3,01:14:00,110.0,2.0,12.0,5.0,0.0,0.0,258.0,3.0,1.0,18.0,44.0,14.0,18.0,16.0,26.0,2.0,4.0,8.0,232.0,18.0,43.0,17.0,23.0,6.0,12.0,9.0,30.0,44.0,35.0,66.0,65.0,t,f,,t,Russian Federation,0.0,5.0,12.0,0.0,188.0,7.0,1.0,43.0,66.0,25.0,43.0,6.0,23.0,6.0,12.0,9.0,135.0,4.0,18.0,10.0,26.0,2.0,4.0,8.0,31.0,66.0,14.0,44.0,45.0,f,f,f,Russian Federation
6,2013-08-12,2013-08-18,Russian Federation,Hard,50000.0,$,2013,alexander-kudryavtsev,A. Kudryavtsev,sergiy-stakhovsky,S. Stakhovsky,kazan_challenger,Semi-Finals,2.0,f,100,6,01:38:00,182.0,0.0,12.0,14.0,0.0,2.0,257.0,4.0,1.0,57.0,103.0,43.0,57.0,19.0,46.0,6.0,8.0,12.0,130.0,13.0,49.0,11.0,30.0,2.0,4.0,12.0,62.0,103.0,24.0,79.0,86.0,f,f,,f,Russian Federation,2.0,14.0,12.0,2.0,289.0,11.0,3.0,49.0,79.0,36.0,49.0,19.0,30.0,2.0,4.0,12.0,125.0,14.0,57.0,27.0,46.0,2.0,8.0,12.0,55.0,79.0,41.0,103.0,96.0,t,f,t,Russian Federation
7,2013-08-12,2013-08-18,Russian Federation,Hard,50000.0,$,2013,alexander-lobkov,A. Lobkov,dzmitry-zhyrmont,D. Zhyrmont,kazan_challenger,Round of 32,3.0,f,100,3,02:15:00,194.0,2.0,15.0,15.0,1.0,1.0,250.0,4.0,2.0,64.0,110.0,40.0,64.0,25.0,46.0,8.0,12.0,15.0,172.0,13.0,50.0,17.0,34.0,3.0,4.0,14.0,65.0,110.0,30.0,84.0,95.0,t,f,,t,Russian Federation,1.0,15.0,15.0,0.0,271.0,10.0,1.0,50.0,84.0,37.0,50.0,17.0,34.0,1.0,4.0,14.0,143.0,24.0,64.0,21.0,46.0,4.0,12.0,15.0,54.0,84.0,45.0,110.0,99.0,f,f,f,Russian Federation
8,2013-08-12,2013-08-18,Russian Federation,Hard,50000.0,$,2013,alexander-lobkov,A. Lobkov,ivan-nedelko,I. Nedelko,kazan_challenger,Round of 16,2.0,f,100,4,01:30:00,130.0,2.0,13.0,9.0,0.0,0.0,271.0,5.0,3.0,42.0,67.0,29.0,42.0,14.0,25.0,6.0,8.0,11.0,175.0,10.0,36.0,18.0,27.0,4.0,9.0,11.0,43.0,67.0,28.0,63.0,71.0,t,f,,t,Russian Federation,0.0,9.0,13.0,0.0,225.0,1.0,1.0,36.0,63.0,26.0,36.0,9.0,27.0,5.0,9.0,11.0,118.0,13.0,42.0,11.0,25.0,2.0,8.0,11.0,35.0,63.0,24.0,67.0,59.0,f,f,f,Russian Federation
9,2013-08-12,2013-08-18,Russian Federation,Hard,50000.0,$,2013,alexander-lobkov,,valery-rudnev,,kazan_challenger,Quarter-Finals,1.0,f,100,5,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,,Russian Federation,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,Russian Federation
