start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2015-09-14,2015-09-19,Morocco,Clay,42500.0,€,2015,adria-mas-mascolo,A. Mas Mascolo,mark-vervoort,M. Vervoort,kenitra_challenger,1st Round Qualifying,2.0,f,100,0,01:00:00,98.0,2.0,12.0,4.0,0.0,0.0,273.0,1.0,4.0,25.0,48.0,20.0,25.0,13.0,23.0,2.0,3.0,8.0,231.0,6.0,24.0,21.0,26.0,5.0,8.0,8.0,33.0,48.0,27.0,50.0,60.0,t,f,,t,Morocco,0.0,4.0,12.0,0.0,179.0,4.0,4.0,24.0,50.0,18.0,24.0,5.0,26.0,3.0,8.0,8.0,108.0,5.0,25.0,10.0,23.0,1.0,3.0,8.0,23.0,50.0,15.0,48.0,38.0,f,f,f,Morocco
2015-09-14,2015-09-19,Morocco,Clay,42500.0,€,2015,adria-mas-mascolo,A. Mas Mascolo,yannik-reuter,Y. Reuter,kenitra_challenger,2nd Round Qualifying,2.0,f,100,1,01:19:00,113.0,0.0,7.0,13.0,0.0,0.0,208.0,0.0,4.0,32.0,56.0,19.0,32.0,11.0,24.0,2.0,7.0,10.0,150.0,14.0,38.0,5.0,19.0,2.0,3.0,10.0,30.0,56.0,19.0,57.0,49.0,f,f,,f,Morocco,2.0,13.0,7.0,0.0,285.0,1.0,0.0,38.0,57.0,24.0,38.0,14.0,19.0,1.0,3.0,10.0,216.0,13.0,32.0,13.0,24.0,5.0,7.0,10.0,38.0,57.0,26.0,56.0,64.0,t,f,t,Morocco
2015-09-14,2015-09-19,Morocco,Clay,42500.0,€,2015,amine-ahouda,A. Ahouda,javier-marti,J. Marti,kenitra_challenger,Round of 32,2.0,f,100,3,00:55:00,82.0,0.0,3.0,12.0,0.0,0.0,170.0,0.0,2.0,22.0,43.0,9.0,22.0,9.0,21.0,1.0,6.0,8.0,42.0,4.0,23.0,4.0,16.0,0.0,3.0,7.0,18.0,43.0,8.0,39.0,26.0,f,f,WC,f,Morocco,2.0,12.0,3.0,0.0,316.0,0.0,1.0,23.0,39.0,19.0,23.0,12.0,16.0,3.0,3.0,7.0,261.0,13.0,22.0,12.0,21.0,5.0,6.0,8.0,31.0,39.0,25.0,43.0,56.0,t,f,t,Morocco
2015-09-14,2015-09-19,Morocco,Clay,42500.0,€,2015,ayoub-chekrouni,A. Chekrouni,pol-toledo-bague,P. Toledo Bague,kenitra_challenger,1st Round Qualifying,2.0,f,100,0,00:55:00,100.0,0.0,4.0,12.0,0.0,0.0,178.0,0.0,1.0,47.0,53.0,25.0,47.0,0.0,6.0,5.0,10.0,8.0,189.0,11.0,41.0,3.0,6.0,1.0,1.0,8.0,25.0,53.0,14.0,47.0,39.0,f,f,WC,f,Morocco,2.0,12.0,4.0,0.0,296.0,2.0,3.0,41.0,47.0,30.0,41.0,3.0,6.0,0.0,1.0,8.0,259.0,22.0,47.0,6.0,6.0,5.0,10.0,8.0,33.0,47.0,28.0,53.0,61.0,t,f,t,Morocco
2015-09-14,2015-09-19,Morocco,Clay,42500.0,€,2015,benjamin-balleret,B. Balleret,roberto-carballes-baena,R. Carballes Baena,kenitra_challenger,Round of 32,2.0,f,100,3,01:26:00,136.0,0.0,8.0,12.0,0.0,0.0,239.0,4.0,0.0,35.0,74.0,24.0,35.0,19.0,39.0,2.0,5.0,10.0,93.0,11.0,47.0,6.0,15.0,1.0,5.0,10.0,43.0,74.0,17.0,62.0,60.0,f,f,,f,Morocco,2.0,12.0,8.0,0.0,302.0,1.0,2.0,47.0,62.0,36.0,47.0,9.0,15.0,4.0,5.0,10.0,172.0,11.0,35.0,20.0,39.0,3.0,5.0,10.0,45.0,62.0,31.0,74.0,76.0,t,f,t,Morocco
2015-09-14,2015-09-19,Morocco,Clay,42500.0,€,2015,claudio-fortuna,C. Fortuna,pedro-sousa,P. Sousa,kenitra_challenger,2nd Round Qualifying,2.0,f,100,1,01:48:00,144.0,2.0,12.0,8.0,0.0,0.0,206.0,1.0,3.0,48.0,76.0,25.0,48.0,12.0,28.0,9.0,14.0,10.0,214.0,26.0,44.0,11.0,24.0,7.0,18.0,10.0,37.0,76.0,37.0,68.0,74.0,t,f,6,t,Morocco,0.0,8.0,12.0,0.0,190.0,1.0,1.0,44.0,68.0,18.0,44.0,13.0,24.0,11.0,18.0,10.0,191.0,23.0,48.0,16.0,28.0,5.0,14.0,10.0,31.0,68.0,39.0,76.0,70.0,f,f,f,Morocco
2015-09-14,2015-09-19,Morocco,Clay,42500.0,€,2015,claudio-fortuna,C. Fortuna,yannik-reuter,Y. Reuter,kenitra_challenger,3rd Round Qualifying,1.0,f,100,2,01:17:00,90.0,0.0,6.0,7.0,0.0,1.0,242.0,0.0,0.0,25.0,45.0,15.0,25.0,12.0,20.0,2.0,4.0,6.0,177.0,8.0,28.0,11.0,17.0,2.0,4.0,6.0,27.0,45.0,19.0,45.0,46.0,f,t,6,f,Morocco,1.0,7.0,6.0,1.0,235.0,1.0,0.0,28.0,45.0,20.0,28.0,6.0,17.0,2.0,4.0,6.0,163.0,10.0,25.0,8.0,20.0,2.0,4.0,6.0,26.0,45.0,18.0,45.0,44.0,t,t,t,Morocco
2015-09-14,2015-09-19,Morocco,Clay,42500.0,€,2015,damir-dzumhur,D. Dzumhur,javier-marti,J. Marti,kenitra_challenger,Round of 16,2.0,f,100,4,01:37:00,140.0,0.0,8.0,13.0,0.0,1.0,221.0,1.0,0.0,48.0,69.0,25.0,48.0,10.0,21.0,2.0,7.0,10.0,155.0,20.0,44.0,10.0,27.0,3.0,7.0,10.0,35.0,69.0,30.0,71.0,65.0,f,f,2,f,Morocco,2.0,13.0,8.0,1.0,247.0,0.0,3.0,44.0,71.0,24.0,44.0,17.0,27.0,4.0,7.0,10.0,221.0,23.0,48.0,11.0,21.0,5.0,7.0,10.0,41.0,71.0,34.0,69.0,75.0,t,f,t,Morocco
2015-09-14,2015-09-19,Morocco,Clay,42500.0,€,2015,damir-dzumhur,D. Dzumhur,khalid-allouch,K. Allouch,kenitra_challenger,Round of 32,2.0,f,100,3,00:53:00,89.0,2.0,12.0,3.0,0.0,0.0,238.0,0.0,2.0,22.0,44.0,12.0,22.0,14.0,22.0,1.0,3.0,7.0,306.0,11.0,21.0,19.0,24.0,7.0,8.0,8.0,26.0,44.0,30.0,45.0,56.0,t,f,2,t,Morocco,0.0,3.0,12.0,0.0,123.0,1.0,6.0,21.0,45.0,10.0,21.0,5.0,24.0,1.0,8.0,8.0,176.0,10.0,22.0,8.0,22.0,2.0,3.0,7.0,15.0,45.0,18.0,44.0,33.0,f,f,f,Morocco
2015-09-14,2015-09-19,Morocco,Clay,42500.0,€,2015,daniel-munoz-de-la-nava,D. Munoz de la Nava,dmitry-popko,D. Popko,kenitra_challenger,Round of 32,2.0,f,100,3,01:09:00,98.0,2.0,12.0,3.0,0.0,0.0,265.0,3.0,1.0,30.0,55.0,19.0,30.0,15.0,25.0,7.0,8.0,7.0,298.0,16.0,28.0,12.0,15.0,6.0,7.0,8.0,34.0,55.0,28.0,43.0,62.0,t,f,1,t,Morocco,0.0,3.0,12.0,0.0,149.0,0.0,4.0,28.0,43.0,12.0,28.0,3.0,15.0,1.0,7.0,8.0,104.0,11.0,30.0,10.0,25.0,1.0,8.0,7.0,15.0,43.0,21.0,55.0,36.0,f,f,f,Morocco
