start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,adam-pavlasek,A. Pavlasek,marcel-granollers,M. Granollers,kitzbuhel,Round of 16,2.0,f,250,4,01:03:00,102.0,2.0,12.0,6.0,0.0,0.0,279.0,6.0,2.0,32.0,57.0,24.0,32.0,14.0,25.0,3.0,4.0,9.0,217.0,13.0,28.0,8.0,17.0,4.0,5.0,9.0,38.0,57.0,21.0,45.0,59.0,t,f,,t,Austria,0.0,6.0,12.0,0.0,224.0,1.0,1.0,28.0,45.0,15.0,28.0,9.0,17.0,1.0,5.0,9.0,105.0,8.0,32.0,11.0,25.0,1.0,4.0,9.0,24.0,45.0,19.0,57.0,43.0,f,f,f,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,adam-pavlasek,A. Pavlasek,maximo-gonzalez,M. Gonzalez,kitzbuhel,Round of 32,2.0,f,250,3,01:19:00,124.0,2.0,12.0,7.0,0.0,0.0,288.0,3.0,4.0,30.0,64.0,25.0,30.0,20.0,34.0,3.0,3.0,10.0,139.0,15.0,38.0,10.0,22.0,2.0,6.0,9.0,45.0,64.0,25.0,60.0,70.0,t,f,,t,Austria,0.0,7.0,12.0,0.0,258.0,5.0,3.0,38.0,60.0,23.0,38.0,12.0,22.0,4.0,6.0,9.0,58.0,5.0,30.0,14.0,34.0,0.0,3.0,10.0,35.0,60.0,19.0,64.0,54.0,f,f,f,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,adam-pavlasek,A. Pavlasek,nikoloz-basilashvili,N. Basilashvili,kitzbuhel,Quarter-Finals,3.0,f,250,5,01:57:00,213.0,1.0,16.0,18.0,0.0,1.0,260.0,9.0,5.0,66.0,114.0,45.0,66.0,23.0,48.0,4.0,7.0,17.0,179.0,19.0,72.0,11.0,27.0,2.0,2.0,16.0,68.0,114.0,30.0,99.0,98.0,f,f,,t,Austria,2.0,18.0,16.0,1.0,294.0,4.0,3.0,72.0,99.0,53.0,72.0,16.0,27.0,0.0,2.0,16.0,144.0,21.0,66.0,25.0,48.0,3.0,7.0,17.0,69.0,99.0,46.0,114.0,115.0,t,f,f,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,akira-santillan,A. Santillan,jan-lennard-struff,J. Struff,kitzbuhel,Round of 32,2.0,f,250,3,00:52:00,97.0,0.0,4.0,12.0,0.0,0.0,208.0,1.0,3.0,30.0,51.0,16.0,30.0,10.0,21.0,4.0,8.0,8.0,50.0,4.0,26.0,7.0,20.0,0.0,5.0,8.0,26.0,51.0,11.0,46.0,37.0,f,f,WC,f,Austria,2.0,12.0,4.0,0.0,306.0,3.0,4.0,26.0,46.0,22.0,26.0,13.0,20.0,5.0,5.0,8.0,199.0,14.0,30.0,11.0,21.0,4.0,8.0,8.0,35.0,46.0,25.0,51.0,60.0,t,f,t,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,albert-montanes,A. Montanes,gerald-melzer,G. Melzer,kitzbuhel,Round of 32,3.0,f,250,3,02:15:00,201.0,1.0,16.0,18.0,0.0,0.0,273.0,8.0,6.0,58.0,112.0,42.0,58.0,32.0,54.0,8.0,10.0,17.0,109.0,15.0,62.0,8.0,27.0,1.0,2.0,17.0,74.0,112.0,23.0,89.0,97.0,f,f,,t,Austria,2.0,18.0,16.0,0.0,312.0,4.0,2.0,62.0,89.0,47.0,62.0,19.0,27.0,1.0,2.0,17.0,100.0,16.0,58.0,22.0,54.0,2.0,10.0,17.0,66.0,89.0,38.0,112.0,104.0,t,f,f,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,daniel-gimeno-traver,D. Gimeno-Traver,gerald-melzer,G. Melzer,kitzbuhel,Round of 16,2.0,f,250,4,01:14:00,113.0,0.0,4.0,12.0,0.0,0.0,203.0,3.0,3.0,33.0,58.0,21.0,33.0,8.0,25.0,5.0,9.0,8.0,62.0,10.0,42.0,5.0,13.0,0.0,5.0,8.0,29.0,58.0,15.0,55.0,44.0,f,f,Q,f,Austria,2.0,12.0,4.0,0.0,315.0,3.0,2.0,42.0,55.0,32.0,42.0,8.0,13.0,5.0,5.0,8.0,198.0,12.0,33.0,17.0,25.0,4.0,9.0,8.0,40.0,55.0,29.0,58.0,69.0,t,f,t,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,daniel-gimeno-traver,D. Gimeno-Traver,inigo-cervantes,I. Cervantes,kitzbuhel,Round of 32,2.0,f,250,3,01:15:00,116.0,2.0,12.0,8.0,0.0,0.0,266.0,3.0,4.0,34.0,55.0,28.0,34.0,9.0,21.0,1.0,3.0,10.0,183.0,12.0,31.0,14.0,30.0,4.0,7.0,10.0,37.0,55.0,26.0,61.0,63.0,t,f,Q,t,Austria,0.0,8.0,12.0,0.0,231.0,7.0,1.0,31.0,61.0,19.0,31.0,16.0,30.0,3.0,7.0,10.0,162.0,6.0,34.0,12.0,21.0,2.0,3.0,10.0,35.0,61.0,18.0,55.0,53.0,f,f,f,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,daniel-gimeno-traver,D. Gimeno-Traver,lucas-miedler,L. Miedler,kitzbuhel,1st Round Qualifying,2.0,f,250,1,01:36:00,160.0,2.0,13.0,10.0,1.0,1.0,264.0,0.0,2.0,52.0,81.0,38.0,52.0,14.0,29.0,10.0,12.0,11.0,152.0,13.0,41.0,21.0,38.0,3.0,8.0,11.0,52.0,81.0,34.0,79.0,86.0,t,f,3,t,Austria,0.0,10.0,13.0,0.0,231.0,1.0,7.0,41.0,79.0,28.0,41.0,17.0,38.0,5.0,8.0,11.0,114.0,14.0,52.0,15.0,29.0,2.0,12.0,11.0,45.0,79.0,29.0,81.0,74.0,f,f,f,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,daniel-gimeno-traver,D. Gimeno-Traver,matteo-donati,M. Donati,kitzbuhel,2nd Round Qualifying,3.0,f,250,2,01:39:00,169.0,2.0,15.0,11.0,0.0,0.0,278.0,7.0,4.0,51.0,79.0,39.0,51.0,14.0,28.0,1.0,3.0,13.0,163.0,17.0,49.0,22.0,41.0,4.0,9.0,13.0,53.0,79.0,39.0,90.0,92.0,t,f,3,t,Austria,1.0,11.0,15.0,0.0,233.0,1.0,2.0,49.0,90.0,32.0,49.0,19.0,41.0,5.0,9.0,13.0,156.0,12.0,51.0,14.0,28.0,2.0,3.0,13.0,51.0,90.0,26.0,79.0,77.0,f,f,f,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,daniel-munoz-de-la-nava,D. Munoz de la Nava,jan-lennard-struff,J. Struff,kitzbuhel,Round of 16,2.0,f,250,4,01:31:00,136.0,0.0,10.0,14.0,0.0,0.0,239.0,3.0,3.0,41.0,74.0,27.0,41.0,17.0,33.0,7.0,11.0,12.0,111.0,5.0,26.0,13.0,36.0,2.0,5.0,12.0,44.0,74.0,18.0,62.0,62.0,f,f,,f,Austria,2.0,14.0,10.0,0.0,268.0,4.0,6.0,26.0,62.0,21.0,26.0,23.0,36.0,3.0,5.0,12.0,151.0,14.0,41.0,16.0,33.0,4.0,11.0,12.0,44.0,62.0,30.0,74.0,74.0,t,f,t,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,daniel-munoz-de-la-nava,D. Munoz de la Nava,michael-berrer,M. Berrer,kitzbuhel,Round of 32,2.0,f,250,3,01:14:00,110.0,2.0,12.0,6.0,0.0,0.0,295.0,5.0,3.0,32.0,54.0,27.0,32.0,11.0,22.0,1.0,1.0,9.0,176.0,15.0,42.0,8.0,14.0,3.0,6.0,9.0,38.0,54.0,23.0,56.0,61.0,t,f,,t,Austria,0.0,6.0,12.0,0.0,253.0,5.0,0.0,42.0,56.0,27.0,42.0,6.0,14.0,3.0,6.0,9.0,66.0,5.0,32.0,11.0,22.0,0.0,1.0,9.0,33.0,56.0,16.0,54.0,49.0,f,f,f,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,dennis-novak,D. Novak,roberto-carballes-baena,R. Carballes Baena,kitzbuhel,Round of 32,2.0,f,250,3,00:58:00,85.0,0.0,2.0,12.0,0.0,0.0,165.0,1.0,5.0,23.0,40.0,11.0,23.0,6.0,17.0,3.0,8.0,7.0,73.0,6.0,30.0,8.0,15.0,0.0,2.0,7.0,17.0,40.0,14.0,45.0,31.0,f,f,WC,f,Austria,2.0,12.0,2.0,0.0,298.0,5.0,1.0,30.0,45.0,24.0,30.0,7.0,15.0,2.0,2.0,7.0,251.0,12.0,23.0,11.0,17.0,5.0,8.0,7.0,31.0,45.0,23.0,40.0,54.0,t,f,t,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,dmitry-popko,D. Popko,lenny-hampel,L. Hampel,kitzbuhel,1st Round Qualifying,3.0,f,250,1,02:03:00,186.0,2.0,16.0,13.0,0.0,0.0,287.0,5.0,1.0,54.0,84.0,40.0,54.0,18.0,30.0,8.0,10.0,14.0,147.0,13.0,48.0,29.0,54.0,4.0,10.0,15.0,58.0,84.0,42.0,102.0,100.0,t,f,7,f,Austria,1.0,13.0,16.0,0.0,237.0,4.0,6.0,48.0,102.0,35.0,48.0,25.0,54.0,6.0,10.0,15.0,100.0,14.0,54.0,12.0,30.0,2.0,10.0,14.0,60.0,102.0,26.0,84.0,86.0,f,f,t,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,dmitry-popko,D. Popko,maximo-gonzalez,M. Gonzalez,kitzbuhel,2nd Round Qualifying,2.0,f,250,2,01:11:00,117.0,0.0,4.0,12.0,0.0,0.0,211.0,5.0,3.0,41.0,68.0,27.0,41.0,9.0,27.0,6.0,10.0,8.0,57.0,6.0,30.0,7.0,19.0,0.0,2.0,8.0,36.0,68.0,13.0,49.0,49.0,f,f,7,f,Austria,2.0,12.0,4.0,0.0,305.0,2.0,1.0,30.0,49.0,24.0,30.0,12.0,19.0,2.0,2.0,8.0,191.0,14.0,41.0,18.0,27.0,4.0,10.0,8.0,36.0,49.0,32.0,68.0,68.0,t,f,t,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,dominic-thiem,D. Thiem,jurgen-melzer,J. Melzer,kitzbuhel,Round of 16,2.0,f,250,4,01:17:00,125.0,0.0,8.0,13.0,0.0,0.0,270.0,3.0,4.0,28.0,51.0,20.0,28.0,15.0,23.0,1.0,3.0,10.0,71.0,17.0,57.0,7.0,17.0,0.0,3.0,11.0,35.0,51.0,24.0,74.0,59.0,f,f,1,f,Austria,2.0,13.0,8.0,0.0,308.0,4.0,2.0,57.0,74.0,40.0,57.0,10.0,17.0,3.0,3.0,11.0,151.0,8.0,28.0,8.0,23.0,2.0,3.0,10.0,50.0,74.0,16.0,51.0,66.0,t,f,t,Austria
2016-07-18,2016-07-23,Austria,Clay,463520.0,€,2016,dusan-lajovic,D. Lajovic,karen-khachanov,K. Khachanov,kitzbuhel,Quarter-Finals,2.0,f,250,5,01:11:00,107.0,2.0,12.0,5.0,0.0,0.0,307.0,1.0,1.0,38.0,58.0,23.0,38.0,16.0,20.0,1.0,1.0,9.0,204.0,9.0,27.0,13.0,22.0,3.0,4.0,8.0,39.0,58.0,22.0,49.0,61.0,t,f,6,t,Austria,0.0,5.0,12.0,0.0,226.0,3.0,2.0,27.0,49.0,18.0,27.0,9.0,22.0,1.0,4.0,8.0,59.0,15.0,38.0,4.0,20.0,0.0,1.0,9.0,27.0,49.0,19.0,58.0,46.0,f,f,f,Austria
