start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2016-11-07,2016-11-13,Japan,Hard,50000.0,$,2016,amir-weintraub,A. Weintraub,go-soeda,G. Soeda,kobe_challenger,Quarter-Finals,3.0,f,100,5,01:11:00,120.0,1.0,9.0,13.0,0.0,0.0,243.0,3.0,0.0,40.0,60.0,26.0,40.0,9.0,20.0,1.0,5.0,11.0,129.0,7.0,32.0,11.0,28.0,2.0,4.0,11.0,35.0,60.0,18.0,60.0,53.0,f,f,,f,Japan,2.0,13.0,9.0,0.0,276.0,5.0,2.0,32.0,60.0,25.0,32.0,17.0,28.0,2.0,4.0,11.0,206.0,14.0,40.0,11.0,20.0,4.0,5.0,11.0,42.0,60.0,25.0,60.0,67.0,t,f,t,Japan
2016-11-07,2016-11-13,Japan,Hard,50000.0,$,2016,amir-weintraub,A. Weintraub,kaito-uesugi,K. Uesugi,kobe_challenger,Round of 32,2.0,f,100,3,01:12:00,139.0,2.0,13.0,9.0,0.0,0.0,251.0,3.0,3.0,36.0,61.0,26.0,36.0,12.0,25.0,2.0,5.0,11.0,185.0,19.0,47.0,18.0,31.0,5.0,12.0,11.0,38.0,61.0,37.0,78.0,75.0,t,f,,t,Japan,0.0,9.0,13.0,0.0,214.0,1.0,3.0,47.0,78.0,28.0,47.0,13.0,31.0,7.0,12.0,11.0,167.0,10.0,36.0,13.0,25.0,3.0,5.0,11.0,41.0,78.0,23.0,61.0,64.0,f,f,f,Japan
2016-11-07,2016-11-13,Japan,Hard,50000.0,$,2016,amir-weintraub,A. Weintraub,luke-saville,L. Saville,kobe_challenger,Round of 16,2.0,f,100,4,01:24:00,144.0,2.0,13.0,10.0,1.0,1.0,260.0,2.0,5.0,47.0,78.0,33.0,47.0,16.0,31.0,5.0,7.0,11.0,192.0,10.0,35.0,19.0,31.0,3.0,4.0,11.0,49.0,78.0,29.0,66.0,78.0,t,f,,t,Japan,0.0,10.0,13.0,0.0,233.0,4.0,6.0,35.0,66.0,25.0,35.0,12.0,31.0,1.0,4.0,11.0,125.0,14.0,47.0,15.0,31.0,2.0,7.0,11.0,37.0,66.0,29.0,78.0,66.0,f,f,f,Japan
2016-11-07,2016-11-13,Japan,Hard,50000.0,$,2016,ante-pavic,A. Pavic,john-patrick-smith,J. Smith,kobe_challenger,Round of 32,2.0,f,100,3,01:25:00,154.0,0.0,9.0,13.0,0.0,0.0,252.0,4.0,8.0,40.0,79.0,30.0,40.0,19.0,39.0,3.0,5.0,11.0,61.0,17.0,55.0,6.0,20.0,0.0,6.0,11.0,49.0,79.0,23.0,75.0,72.0,f,f,,f,Japan,2.0,13.0,9.0,0.0,314.0,3.0,1.0,55.0,75.0,38.0,55.0,14.0,20.0,6.0,6.0,11.0,134.0,10.0,40.0,20.0,39.0,2.0,5.0,11.0,52.0,75.0,30.0,79.0,82.0,t,f,t,Japan
2016-11-07,2016-11-13,Japan,Hard,50000.0,$,2016,axel-michon,A. Michon,kuan-yi-lee,K. Lee,kobe_challenger,Round of 32,2.0,f,100,3,01:05:00,100.0,2.0,12.0,4.0,0.0,0.0,254.0,4.0,2.0,28.0,50.0,20.0,28.0,11.0,22.0,2.0,4.0,8.0,271.0,19.0,33.0,12.0,17.0,6.0,9.0,8.0,31.0,50.0,31.0,50.0,62.0,t,f,,t,Japan,0.0,4.0,12.0,0.0,163.0,2.0,1.0,33.0,50.0,14.0,33.0,5.0,17.0,3.0,9.0,8.0,154.0,8.0,28.0,11.0,22.0,2.0,4.0,8.0,19.0,50.0,19.0,50.0,38.0,f,f,f,Japan
2016-11-07,2016-11-13,Japan,Hard,50000.0,$,2016,axel-michon,A. Michon,yasutaka-uchiyama,Y. Uchiyama,kobe_challenger,Round of 16,2.0,f,100,4,01:07:00,100.0,0.0,5.0,12.0,0.0,0.0,207.0,0.0,1.0,30.0,53.0,17.0,30.0,9.0,23.0,3.0,7.0,9.0,66.0,6.0,32.0,7.0,15.0,0.0,0.0,8.0,26.0,53.0,13.0,47.0,39.0,f,f,,f,Japan,2.0,12.0,5.0,0.0,308.0,7.0,1.0,32.0,47.0,26.0,32.0,8.0,15.0,0.0,0.0,8.0,205.0,13.0,30.0,14.0,23.0,4.0,7.0,9.0,34.0,47.0,27.0,53.0,61.0,t,f,t,Japan
2016-11-07,2016-11-13,Japan,Hard,50000.0,$,2016,cheong-eui-kim,C. Kim,daiki-kato,D. Kato,kobe_challenger,1st Round Qualifying,2.0,f,100,0,00:54:00,97.0,2.0,12.0,4.0,0.0,0.0,307.0,5.0,1.0,32.0,50.0,25.0,32.0,11.0,18.0,2.0,2.0,8.0,230.0,15.0,34.0,9.0,13.0,4.0,6.0,8.0,36.0,50.0,24.0,47.0,60.0,t,f,1,t,Japan,0.0,4.0,12.0,0.0,207.0,0.0,2.0,34.0,47.0,19.0,34.0,4.0,13.0,2.0,6.0,8.0,61.0,7.0,32.0,7.0,18.0,0.0,2.0,8.0,23.0,47.0,14.0,50.0,37.0,f,f,f,Japan
2016-11-07,2016-11-13,Japan,Hard,50000.0,$,2016,cheong-eui-kim,C. Kim,duckhee-lee,D. Lee,kobe_challenger,Round of 32,3.0,f,100,3,01:38:00,160.0,1.0,10.0,15.0,0.0,0.0,249.0,2.0,2.0,52.0,89.0,32.0,52.0,20.0,37.0,3.0,6.0,12.0,112.0,9.0,40.0,10.0,31.0,1.0,2.0,13.0,52.0,89.0,19.0,71.0,71.0,f,f,Q,f,Japan,2.0,15.0,10.0,0.0,297.0,3.0,0.0,40.0,71.0,31.0,40.0,21.0,31.0,1.0,2.0,13.0,159.0,20.0,52.0,17.0,37.0,3.0,6.0,12.0,52.0,71.0,37.0,89.0,89.0,t,f,t,Japan
2016-11-07,2016-11-13,Japan,Hard,50000.0,$,2016,cheong-eui-kim,C. Kim,sergey-betov,S. Betov,kobe_challenger,3rd Round Qualifying,2.0,f,100,2,01:11:00,113.0,2.0,12.0,5.0,0.0,0.0,282.0,2.0,0.0,41.0,64.0,29.0,41.0,13.0,23.0,5.0,6.0,9.0,201.0,7.0,26.0,17.0,23.0,4.0,8.0,8.0,42.0,64.0,24.0,49.0,66.0,t,f,1,t,Japan,0.0,5.0,12.0,0.0,199.0,1.0,4.0,26.0,49.0,19.0,26.0,6.0,23.0,4.0,8.0,8.0,100.0,12.0,41.0,10.0,23.0,1.0,6.0,9.0,25.0,49.0,22.0,64.0,47.0,f,f,f,Japan
2016-11-07,2016-11-13,Japan,Hard,50000.0,$,2016,cheong-eui-kim,C. Kim,yusuke-watanuki,Y. Watanuki,kobe_challenger,2nd Round Qualifying,2.0,f,100,1,01:28:00,140.0,2.0,13.0,9.0,1.0,1.0,232.0,2.0,0.0,42.0,66.0,25.0,42.0,11.0,24.0,3.0,7.0,10.0,201.0,16.0,39.0,21.0,35.0,6.0,13.0,11.0,36.0,66.0,37.0,74.0,73.0,t,f,1,t,Japan,0.0,9.0,13.0,0.0,195.0,1.0,3.0,39.0,74.0,23.0,39.0,14.0,35.0,7.0,13.0,11.0,191.0,17.0,42.0,13.0,24.0,4.0,7.0,10.0,37.0,74.0,30.0,66.0,67.0,f,f,f,Japan
2016-11-07,2016-11-13,Japan,Hard,50000.0,$,2016,christopher-rungkat,C. Rungkat,kento-tagashira,K. Tagashira,kobe_challenger,1st Round Qualifying,2.0,f,100,0,01:16:00,117.0,2.0,12.0,5.0,0.0,0.0,278.0,4.0,1.0,33.0,48.0,25.0,33.0,8.0,15.0,2.0,4.0,9.0,207.0,13.0,40.0,23.0,29.0,5.0,15.0,8.0,33.0,48.0,36.0,69.0,69.0,t,f,3,t,Japan,0.0,5.0,12.0,0.0,183.0,2.0,3.0,40.0,69.0,27.0,40.0,6.0,29.0,10.0,15.0,8.0,143.0,8.0,33.0,7.0,15.0,2.0,4.0,9.0,33.0,69.0,15.0,48.0,48.0,f,f,f,Japan
2016-11-07,2016-11-13,Japan,Hard,50000.0,$,2016,christopher-rungkat,C. Rungkat,shintaro-imai,S. Imai,kobe_challenger,2nd Round Qualifying,2.0,f,100,1,01:27:00,141.0,0.0,8.0,13.0,0.0,1.0,216.0,1.0,2.0,52.0,75.0,26.0,52.0,11.0,23.0,5.0,10.0,10.0,188.0,9.0,37.0,17.0,29.0,3.0,4.0,10.0,37.0,75.0,26.0,66.0,63.0,f,f,3,f,Japan,2.0,13.0,8.0,1.0,243.0,5.0,5.0,37.0,66.0,28.0,37.0,12.0,29.0,1.0,4.0,10.0,202.0,26.0,52.0,12.0,23.0,5.0,10.0,10.0,40.0,66.0,38.0,75.0,78.0,t,f,t,Japan
