,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2014-02-10,2014-02-16,India,Hard,50000.0,$,2014,sanam-singh,S. Singh,daniel-cox,D. Cox,kolkata_challenger,Round of 32,3.0,f,100,3,01:58:00,179.0,1.0,15.0,14.0,0.0,0.0,211.0,2.0,1.0,46.0,89.0,25.0,46.0,22.0,43.0,7.0,14.0,15.0,222.0,22.0,50.0,23.0,40.0,7.0,10.0,14.0,47.0,89.0,45.0,90.0,92.0,f,f,WC,t,India,2.0,14.0,15.0,0.0,201.0,0.0,4.0,50.0,90.0,28.0,50.0,17.0,40.0,3.0,10.0,14.0,191.0,21.0,46.0,21.0,43.0,7.0,14.0,15.0,45.0,90.0,42.0,89.0,87.0,t,f,f,India
1,2014-02-10,2014-02-16,India,Hard,50000.0,$,2014,adrian-menendez-maceiras,A. Menendez-Maceiras,radu-albot,R. Albot,kolkata_challenger,Round of 16,2.0,f,100,4,01:45:00,139.0,2.0,13.0,10.0,1.0,1.0,286.0,6.0,3.0,37.0,68.0,29.0,37.0,19.0,31.0,3.0,4.0,11.0,136.0,20.0,50.0,8.0,21.0,2.0,5.0,11.0,48.0,68.0,28.0,71.0,76.0,t,f,,t,India,0.0,10.0,13.0,0.0,272.0,1.0,2.0,50.0,71.0,30.0,50.0,13.0,21.0,3.0,5.0,11.0,95.0,8.0,37.0,12.0,31.0,1.0,4.0,11.0,43.0,71.0,20.0,68.0,63.0,f,f,f,India
2,2014-02-10,2014-02-16,India,Hard,50000.0,$,2014,adrian-menendez-maceiras,A. Menendez-Maceiras,somdev-devvarman,S. Devvarman,kolkata_challenger,Quarter-Finals,3.0,f,100,5,02:02:00,160.0,1.0,10.0,16.0,0.0,0.0,228.0,2.0,1.0,44.0,76.0,28.0,44.0,14.0,32.0,4.0,9.0,13.0,122.0,15.0,40.0,16.0,44.0,2.0,6.0,13.0,42.0,76.0,31.0,84.0,73.0,f,f,,t,India,2.0,16.0,10.0,0.0,263.0,6.0,2.0,40.0,84.0,25.0,40.0,28.0,44.0,4.0,6.0,13.0,186.0,16.0,44.0,18.0,32.0,5.0,9.0,13.0,53.0,84.0,34.0,76.0,87.0,t,f,f,India
3,2014-02-10,2014-02-16,India,Hard,50000.0,$,2014,adrian-menendez-maceiras,A. Menendez-Maceiras,thomas-fabbiano,T. Fabbiano,kolkata_challenger,Round of 32,2.0,f,100,3,01:38:00,127.0,2.0,12.0,6.0,0.0,0.0,227.0,3.0,3.0,35.0,66.0,24.0,35.0,12.0,31.0,4.0,7.0,9.0,231.0,20.0,42.0,14.0,19.0,6.0,14.0,9.0,36.0,66.0,34.0,61.0,70.0,t,f,,t,India,0.0,6.0,12.0,0.0,176.0,0.0,4.0,42.0,61.0,22.0,42.0,5.0,19.0,8.0,14.0,9.0,168.0,11.0,35.0,19.0,31.0,3.0,7.0,9.0,27.0,61.0,30.0,66.0,57.0,f,f,f,India
4,2014-02-10,2014-02-16,India,Hard,50000.0,$,2014,agustin-velotti,A. Velotti,blaz-rola,B. Rola,kolkata_challenger,Round of 32,2.0,f,100,3,01:40:00,142.0,2.0,13.0,10.0,1.0,1.0,274.0,2.0,4.0,40.0,76.0,33.0,40.0,18.0,36.0,2.0,3.0,11.0,136.0,10.0,42.0,13.0,24.0,2.0,5.0,11.0,51.0,76.0,23.0,66.0,74.0,t,f,,t,India,0.0,10.0,13.0,0.0,266.0,2.0,3.0,42.0,66.0,32.0,42.0,11.0,24.0,3.0,5.0,11.0,110.0,7.0,40.0,18.0,36.0,1.0,3.0,11.0,43.0,66.0,25.0,76.0,68.0,f,f,f,India
5,2014-02-10,2014-02-16,India,Hard,50000.0,$,2014,agustin-velotti,A. Velotti,daniel-munoz-de-la-nava,D. Munoz de la Nava,kolkata_challenger,Round of 16,2.0,f,100,4,01:27:00,123.0,2.0,12.0,5.0,0.0,0.0,277.0,10.0,3.0,27.0,57.0,23.0,27.0,15.0,30.0,6.0,7.0,9.0,178.0,11.0,29.0,22.0,37.0,4.0,13.0,8.0,38.0,57.0,33.0,66.0,71.0,t,f,,t,India,0.0,5.0,12.0,0.0,199.0,2.0,0.0,29.0,66.0,18.0,29.0,15.0,37.0,9.0,13.0,8.0,90.0,4.0,27.0,15.0,30.0,1.0,7.0,9.0,33.0,66.0,19.0,57.0,52.0,f,f,f,India
6,2014-02-10,2014-02-16,India,Hard,50000.0,$,2014,agustin-velotti,A. Velotti,ilija-bozoljac,I. Bozoljac,kolkata_challenger,Quarter-Finals,2.0,f,100,5,01:24:00,126.0,0.0,8.0,12.0,0.0,0.0,239.0,4.0,2.0,30.0,64.0,22.0,30.0,16.0,34.0,2.0,5.0,10.0,104.0,12.0,39.0,10.0,23.0,1.0,5.0,10.0,38.0,64.0,22.0,62.0,60.0,f,f,,f,India,2.0,12.0,8.0,0.0,281.0,4.0,2.0,39.0,62.0,27.0,39.0,13.0,23.0,4.0,5.0,10.0,170.0,8.0,30.0,18.0,34.0,3.0,5.0,10.0,40.0,62.0,26.0,64.0,66.0,t,f,t,India
7,2014-02-10,2014-02-16,India,Hard,50000.0,$,2014,aleksandr-nedovyesov,A. Nedovyesov,daniel-cox,D. Cox,kolkata_challenger,Round of 16,3.0,f,100,4,02:24:00,227.0,2.0,16.0,13.0,0.0,0.0,253.0,3.0,2.0,50.0,79.0,33.0,50.0,15.0,29.0,6.0,10.0,14.0,167.0,34.0,83.0,37.0,65.0,6.0,21.0,15.0,48.0,79.0,71.0,148.0,119.0,t,f,1,t,India,1.0,13.0,16.0,0.0,207.0,2.0,13.0,83.0,148.0,49.0,83.0,28.0,65.0,15.0,21.0,15.0,150.0,17.0,50.0,14.0,29.0,4.0,10.0,14.0,77.0,148.0,31.0,79.0,108.0,f,f,f,India
8,2014-02-10,2014-02-16,India,Hard,50000.0,$,2014,aleksandr-nedovyesov,A. Nedovyesov,david-guez,D. Guez,kolkata_challenger,Quarter-Finals,2.0,f,100,5,01:16:00,122.0,2.0,12.0,4.0,0.0,0.0,252.0,5.0,1.0,33.0,53.0,25.0,33.0,7.0,20.0,1.0,3.0,8.0,236.0,17.0,32.0,23.0,37.0,6.0,13.0,8.0,32.0,53.0,40.0,69.0,72.0,t,f,1,t,India,0.0,4.0,12.0,0.0,152.0,0.0,4.0,32.0,69.0,15.0,32.0,14.0,37.0,7.0,13.0,8.0,181.0,8.0,33.0,13.0,20.0,2.0,3.0,8.0,29.0,69.0,21.0,53.0,50.0,f,f,f,India
9,2014-02-10,2014-02-16,India,Hard,50000.0,$,2014,aleksandr-nedovyesov,A. Nedovyesov,ilija-bozoljac,I. Bozoljac,kolkata_challenger,Semi-Finals,3.0,f,100,6,02:04:00,185.0,1.0,14.0,13.0,0.0,0.0,250.0,6.0,2.0,63.0,94.0,42.0,63.0,15.0,31.0,6.0,11.0,14.0,169.0,15.0,46.0,28.0,45.0,5.0,14.0,13.0,57.0,94.0,43.0,91.0,100.0,f,f,1,t,India,2.0,13.0,14.0,0.0,217.0,9.0,9.0,46.0,91.0,31.0,46.0,17.0,45.0,9.0,14.0,13.0,165.0,21.0,63.0,16.0,31.0,5.0,11.0,14.0,48.0,91.0,37.0,94.0,85.0,t,f,f,India
