start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2011-09-26,2011-10-02,Malaysia,Hard,850000.0,$,2011,ahmed-deedat-abdul-razak,A. Abdul Razak,jimmy-wang,J. Wang,kuala-lumpur,1st Round Qualifying,2.0,f,250,0,01:04:00,91.0,0.0,3.0,12.0,0.0,0.0,192.0,2.0,1.0,27.0,46.0,10.0,27.0,10.0,19.0,2.0,6.0,7.0,55.0,5.0,25.0,7.0,20.0,0.0,0.0,8.0,20.0,46.0,12.0,45.0,32.0,f,f,WC,f,Malaysia,2.0,12.0,3.0,0.0,303.0,3.0,1.0,25.0,45.0,20.0,25.0,13.0,20.0,0.0,0.0,8.0,234.0,17.0,27.0,9.0,19.0,4.0,6.0,7.0,33.0,45.0,26.0,46.0,59.0,t,f,t,Malaysia
2011-09-26,2011-10-02,Malaysia,Hard,850000.0,$,2011,albert-ramos-vinolas,A. Ramos-Vinolas,mikhail-kukushkin,M. Kukushkin,kuala-lumpur,Round of 32,3.0,f,250,3,02:10:00,168.0,2.0,14.0,11.0,0.0,0.0,273.0,4.0,4.0,46.0,81.0,33.0,46.0,21.0,35.0,4.0,6.0,13.0,150.0,18.0,53.0,18.0,34.0,3.0,8.0,12.0,54.0,81.0,36.0,87.0,90.0,t,t,,f,Malaysia,1.0,11.0,14.0,0.0,251.0,4.0,2.0,53.0,87.0,35.0,53.0,16.0,34.0,5.0,8.0,12.0,116.0,13.0,46.0,14.0,35.0,2.0,6.0,13.0,51.0,87.0,27.0,81.0,78.0,f,t,t,Malaysia
2011-09-26,2011-10-02,Malaysia,Hard,850000.0,$,2011,albert-ramos-vinolas,A. Ramos-Vinolas,nicolas-almagro,N. Almagro,kuala-lumpur,Round of 16,2.0,f,250,4,01:43:00,173.0,0.0,12.0,14.0,0.0,2.0,271.0,5.0,2.0,52.0,86.0,33.0,52.0,21.0,34.0,1.0,3.0,12.0,149.0,7.0,42.0,22.0,45.0,2.0,3.0,12.0,54.0,86.0,29.0,87.0,83.0,f,f,,f,Malaysia,2.0,14.0,12.0,2.0,266.0,5.0,4.0,42.0,87.0,35.0,42.0,23.0,45.0,1.0,3.0,12.0,158.0,19.0,52.0,13.0,34.0,2.0,3.0,12.0,58.0,87.0,32.0,86.0,90.0,t,f,t,Malaysia
2011-09-26,2011-10-02,Malaysia,Hard,850000.0,$,2011,alexandar-lazov,A. Lazov,teymuraz-gabashvili,T. Gabashvili,kuala-lumpur,2nd Round Qualifying,2.0,f,250,1,00:48:00,78.0,0.0,2.0,12.0,0.0,0.0,143.0,0.0,4.0,21.0,41.0,9.0,21.0,5.0,20.0,1.0,6.0,7.0,49.0,4.0,19.0,5.0,18.0,0.0,0.0,7.0,14.0,41.0,9.0,37.0,23.0,f,f,,f,Malaysia,2.0,12.0,2.0,0.0,302.0,1.0,1.0,19.0,37.0,15.0,19.0,13.0,18.0,0.0,0.0,7.0,286.0,12.0,21.0,15.0,20.0,5.0,6.0,7.0,28.0,37.0,27.0,41.0,55.0,t,f,t,Malaysia
2011-09-26,2011-10-02,Malaysia,Hard,850000.0,$,2011,alexandar-lazov,A. Lazov,wan-abdul-muiz-wan-abdul-aziz,W. Wan Abdul Aziz,kuala-lumpur,1st Round Qualifying,2.0,f,250,0,00:45:00,75.0,2.0,12.0,1.0,0.0,0.0,286.0,3.0,5.0,22.0,42.0,19.0,22.0,10.0,20.0,0.0,0.0,7.0,298.0,7.0,16.0,15.0,17.0,5.0,6.0,6.0,29.0,42.0,22.0,33.0,51.0,t,f,,t,Malaysia,0.0,1.0,12.0,0.0,128.0,0.0,4.0,16.0,33.0,9.0,16.0,2.0,17.0,1.0,6.0,6.0,64.0,3.0,22.0,10.0,20.0,0.0,0.0,7.0,11.0,33.0,13.0,42.0,24.0,f,f,f,Malaysia
2011-09-26,2011-10-02,Malaysia,Hard,850000.0,$,2011,alex-bogomolov-jr.,A. Bogomolov Jr.,marcos-baghdatis,M. Baghdatis,kuala-lumpur,Round of 32,2.0,f,250,3,01:45:00,134.0,0.0,10.0,13.0,0.0,1.0,298.0,2.0,1.0,49.0,65.0,34.0,49.0,10.0,16.0,2.0,3.0,11.0,55.0,9.0,35.0,10.0,34.0,0.0,2.0,11.0,44.0,65.0,19.0,69.0,63.0,f,f,6,f,Malaysia,2.0,13.0,10.0,1.0,299.0,6.0,3.0,35.0,69.0,26.0,35.0,24.0,34.0,2.0,2.0,11.0,111.0,15.0,49.0,6.0,16.0,1.0,3.0,11.0,50.0,69.0,21.0,65.0,71.0,t,f,t,Malaysia
2011-09-26,2011-10-02,Malaysia,Hard,850000.0,$,2011,ariez-elyaas-deen-heshaam,A. Deen Heshaam,ze-zhang,Z. Zhang,kuala-lumpur,1st Round Qualifying,2.0,f,250,0,01:19:00,110.0,0.0,4.0,12.0,0.0,0.0,194.0,0.0,4.0,42.0,59.0,23.0,42.0,6.0,17.0,6.0,11.0,8.0,135.0,9.0,30.0,9.0,21.0,1.0,2.0,8.0,29.0,59.0,18.0,51.0,47.0,f,f,,f,Malaysia,2.0,12.0,4.0,0.0,275.0,4.0,2.0,30.0,51.0,21.0,30.0,12.0,21.0,1.0,2.0,8.0,217.0,19.0,42.0,11.0,17.0,5.0,11.0,8.0,33.0,51.0,30.0,59.0,63.0,t,f,t,Malaysia
2011-09-26,2011-10-02,Malaysia,Hard,850000.0,$,2011,bernard-tomic,B. Tomic,flavio-cipolla,F. Cipolla,kuala-lumpur,Round of 32,2.0,f,250,3,01:13:00,101.0,0.0,4.0,12.0,0.0,0.0,187.0,3.0,3.0,30.0,47.0,17.0,30.0,5.0,17.0,3.0,8.0,8.0,104.0,12.0,41.0,6.0,13.0,1.0,6.0,8.0,22.0,47.0,18.0,54.0,40.0,f,f,,f,Malaysia,2.0,12.0,4.0,0.0,285.0,0.0,3.0,41.0,54.0,29.0,41.0,7.0,13.0,5.0,6.0,8.0,239.0,13.0,30.0,12.0,17.0,5.0,8.0,8.0,36.0,54.0,25.0,47.0,61.0,t,f,t,Malaysia
2011-09-26,2011-10-02,Malaysia,Hard,850000.0,$,2011,david-goffin,D. Goffin,dmitry-tursunov,D. Tursunov,kuala-lumpur,Round of 16,2.0,f,250,4,01:24:00,127.0,0.0,6.0,12.0,0.0,0.0,237.0,6.0,4.0,31.0,54.0,24.0,31.0,8.0,23.0,3.0,6.0,9.0,72.0,12.0,44.0,13.0,29.0,0.0,10.0,9.0,32.0,54.0,25.0,73.0,57.0,f,f,WC,f,Malaysia,2.0,12.0,6.0,0.0,292.0,8.0,4.0,44.0,73.0,32.0,44.0,16.0,29.0,10.0,10.0,9.0,171.0,7.0,31.0,15.0,23.0,3.0,6.0,9.0,48.0,73.0,22.0,54.0,70.0,t,f,t,Malaysia
2011-09-26,2011-10-02,Malaysia,Hard,850000.0,$,2011,david-goffin,D. Goffin,matthew-ebden,M. Ebden,kuala-lumpur,Round of 32,2.0,f,250,3,01:36:00,134.0,2.0,13.0,10.0,1.0,1.0,276.0,2.0,2.0,36.0,71.0,28.0,36.0,20.0,35.0,3.0,4.0,11.0,163.0,9.0,42.0,12.0,21.0,2.0,3.0,11.0,48.0,71.0,21.0,63.0,69.0,t,f,WC,t,Malaysia,0.0,10.0,13.0,0.0,277.0,8.0,1.0,42.0,63.0,33.0,42.0,9.0,21.0,1.0,3.0,11.0,99.0,8.0,36.0,15.0,35.0,1.0,4.0,11.0,42.0,63.0,23.0,71.0,65.0,f,f,f,Malaysia
2011-09-26,2011-10-02,Malaysia,Hard,850000.0,$,2011,denis-istomin,D. Istomin,marinko-matosevic,M. Matosevic,kuala-lumpur,Round of 32,2.0,f,250,3,01:14:00,123.0,2.0,12.0,5.0,0.0,0.0,295.0,4.0,1.0,38.0,60.0,32.0,38.0,10.0,22.0,1.0,1.0,9.0,175.0,14.0,43.0,15.0,20.0,3.0,10.0,8.0,42.0,60.0,29.0,63.0,71.0,t,f,,t,Malaysia,0.0,5.0,12.0,0.0,224.0,6.0,4.0,43.0,63.0,29.0,43.0,5.0,20.0,7.0,10.0,8.0,71.0,6.0,38.0,12.0,22.0,0.0,1.0,9.0,34.0,63.0,18.0,60.0,52.0,f,f,f,Malaysia
2011-09-26,2011-10-02,Malaysia,Hard,850000.0,$,2011,denis-istomin,D. Istomin,viktor-troicki,V. Troicki,kuala-lumpur,Round of 16,2.0,f,250,4,01:18:00,121.0,0.0,5.0,12.0,0.0,0.0,227.0,2.0,0.0,45.0,67.0,26.0,45.0,10.0,22.0,7.0,11.0,9.0,59.0,6.0,28.0,10.0,26.0,0.0,3.0,8.0,36.0,67.0,16.0,54.0,52.0,f,f,,f,Malaysia,2.0,12.0,5.0,0.0,296.0,4.0,1.0,28.0,54.0,22.0,28.0,16.0,26.0,3.0,3.0,8.0,177.0,19.0,45.0,12.0,22.0,4.0,11.0,9.0,38.0,54.0,31.0,67.0,69.0,t,f,t,Malaysia
2011-09-26,2011-10-02,Malaysia,Hard,850000.0,$,2011,dmitry-tursunov,D. Tursunov,paul-capdeville,P. Capdeville,kuala-lumpur,Round of 32,3.0,f,250,3,02:14:00,184.0,2.0,14.0,9.0,0.0,0.0,261.0,7.0,4.0,57.0,96.0,37.0,57.0,20.0,39.0,4.0,6.0,12.0,163.0,22.0,58.0,18.0,30.0,4.0,14.0,11.0,57.0,96.0,40.0,88.0,97.0,t,f,7,t,Malaysia,1.0,9.0,14.0,0.0,234.0,8.0,5.0,58.0,88.0,36.0,58.0,12.0,30.0,10.0,14.0,11.0,133.0,20.0,57.0,19.0,39.0,2.0,6.0,12.0,48.0,88.0,39.0,96.0,87.0,f,f,f,Malaysia
