,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-03-09,2009-03-22,Japan,Hard,35000.0,$,2009,aisam-ul-haq-qureshi,A. Qureshi,chris-guccione,C. Guccione,kyoto_challenger,Round of 32,2.0,f,100,3,01:19:00,132.0,2.0,13.0,10.0,1.0,1.0,323.0,10.0,1.0,56.0,76.0,42.0,56.0,13.0,20.0,4.0,4.0,11.0,160.0,5.0,34.0,8.0,22.0,1.0,1.0,11.0,55.0,76.0,13.0,56.0,68.0,t,f,,t,Japan,0.0,10.0,13.0,0.0,311.0,11.0,0.0,34.0,56.0,29.0,34.0,14.0,22.0,0.0,1.0,11.0,60.0,14.0,56.0,7.0,20.0,0.0,4.0,11.0,43.0,56.0,21.0,76.0,64.0,f,f,f,Japan
1,2009-03-09,2009-03-22,Japan,Hard,35000.0,$,2009,aisam-ul-haq-qureshi,A. Qureshi,ivan-dodig,I. Dodig,kyoto_challenger,Round of 16,2.0,f,100,4,01:07:00,98.0,0.0,6.0,13.0,0.0,0.0,221.0,6.0,2.0,30.0,48.0,18.0,30.0,7.0,18.0,3.0,7.0,9.0,158.0,2.0,25.0,10.0,25.0,1.0,1.0,10.0,25.0,48.0,12.0,50.0,37.0,f,f,,f,Japan,2.0,13.0,6.0,0.0,293.0,4.0,3.0,25.0,50.0,23.0,25.0,15.0,25.0,0.0,1.0,10.0,202.0,12.0,30.0,11.0,18.0,4.0,7.0,9.0,38.0,50.0,23.0,48.0,61.0,t,f,t,Japan
2,2009-03-09,2009-03-22,Japan,Hard,35000.0,$,2009,akito-higa,A. Higa,hiroki-kondo,H. Kondo,kyoto_challenger,1st Round Qualifying,2.0,f,100,0,01:05:00,109.0,0.0,6.0,12.0,0.0,0.0,218.0,1.0,0.0,29.0,60.0,17.0,29.0,17.0,31.0,4.0,8.0,9.0,176.0,9.0,33.0,6.0,16.0,1.0,1.0,9.0,34.0,60.0,15.0,49.0,49.0,f,f,,f,Japan,2.0,12.0,6.0,0.0,291.0,2.0,2.0,33.0,49.0,24.0,33.0,10.0,16.0,0.0,1.0,9.0,180.0,12.0,29.0,14.0,31.0,4.0,8.0,9.0,34.0,49.0,26.0,60.0,60.0,t,f,t,Japan
3,2009-03-09,2009-03-22,Japan,Hard,35000.0,$,2009,alexander-slabinsky,A. Slabinsky,toshihide-matsui,T. Matsui,kyoto_challenger,Round of 32,3.0,f,100,3,01:45:00,180.0,1.0,15.0,16.0,0.0,1.0,273.0,8.0,6.0,60.0,100.0,45.0,60.0,20.0,40.0,6.0,8.0,15.0,138.0,10.0,58.0,9.0,22.0,2.0,3.0,15.0,65.0,100.0,19.0,80.0,84.0,f,f,,f,Japan,2.0,16.0,15.0,1.0,314.0,16.0,3.0,58.0,80.0,48.0,58.0,13.0,22.0,1.0,3.0,15.0,113.0,15.0,60.0,20.0,40.0,2.0,8.0,15.0,61.0,80.0,35.0,100.0,96.0,t,f,t,Japan
4,2009-03-09,2009-03-22,Japan,Hard,35000.0,$,2009,alex-kuznetsov,A. Kuznetsov,takao-suzuki,T. Suzuki,kyoto_challenger,Round of 32,3.0,f,100,3,02:00:00,185.0,1.0,14.0,15.0,0.0,0.0,287.0,15.0,2.0,61.0,92.0,47.0,61.0,14.0,31.0,3.0,5.0,15.0,98.0,13.0,60.0,17.0,33.0,1.0,6.0,14.0,61.0,92.0,30.0,93.0,91.0,f,f,,f,Japan,2.0,15.0,14.0,0.0,291.0,9.0,1.0,60.0,93.0,47.0,60.0,16.0,33.0,5.0,6.0,14.0,131.0,14.0,61.0,17.0,31.0,2.0,5.0,15.0,63.0,93.0,31.0,92.0,94.0,t,f,t,Japan
5,2009-03-09,2009-03-22,Japan,Hard,35000.0,$,2009,arata-onozawa,A. Onozawa,eric-nunez,E. Nunez,kyoto_challenger,2nd Round Qualifying,3.0,f,100,1,02:28:00,228.0,1.0,15.0,19.0,1.0,2.0,263.0,9.0,5.0,76.0,126.0,50.0,76.0,26.0,50.0,7.0,10.0,16.0,99.0,17.0,78.0,11.0,24.0,1.0,4.0,16.0,76.0,126.0,28.0,102.0,104.0,f,f,,t,Japan,2.0,19.0,15.0,1.0,315.0,16.0,2.0,78.0,102.0,61.0,78.0,13.0,24.0,3.0,4.0,16.0,130.0,26.0,76.0,24.0,50.0,3.0,10.0,16.0,74.0,102.0,50.0,126.0,124.0,t,f,f,Japan
6,2009-03-09,2009-03-22,Japan,Hard,35000.0,$,2009,arata-onozawa,A. Onozawa,katsushi-fukuda,K. Fukuda,kyoto_challenger,1st Round Qualifying,3.0,f,100,0,02:18:00,190.0,2.0,18.0,11.0,0.0,1.0,277.0,0.0,2.0,74.0,100.0,49.0,74.0,14.0,26.0,7.0,9.0,14.0,198.0,33.0,74.0,9.0,16.0,6.0,11.0,14.0,63.0,100.0,42.0,90.0,105.0,t,f,,t,Japan,1.0,11.0,18.0,1.0,237.0,0.0,1.0,74.0,90.0,41.0,74.0,7.0,16.0,5.0,11.0,14.0,116.0,25.0,74.0,12.0,26.0,2.0,9.0,14.0,48.0,90.0,37.0,100.0,85.0,f,f,f,Japan
7,2009-03-09,2009-03-22,Japan,Hard,35000.0,$,2009,baptiste-dupuy,B. Dupuy,go-soeda,G. Soeda,kyoto_challenger,Round of 32,3.0,f,100,3,02:02:00,183.0,2.0,14.0,15.0,1.0,1.0,262.0,3.0,2.0,71.0,99.0,47.0,71.0,14.0,28.0,8.0,12.0,15.0,129.0,10.0,49.0,19.0,35.0,2.0,5.0,13.0,61.0,99.0,29.0,84.0,90.0,t,f,Q,f,Japan,1.0,15.0,14.0,0.0,271.0,5.0,2.0,49.0,84.0,39.0,49.0,16.0,35.0,3.0,5.0,13.0,143.0,24.0,71.0,14.0,28.0,4.0,12.0,15.0,55.0,84.0,38.0,99.0,93.0,f,f,t,Japan
8,2009-03-09,2009-03-22,Japan,Hard,35000.0,$,2009,baptiste-dupuy,B. Dupuy,hiroki-moriya,H. Moriya,kyoto_challenger,Round of 16,2.0,f,100,4,00:44:00,62.0,0.0,3.0,7.0,0.0,0.0,152.0,0.0,0.0,21.0,35.0,9.0,21.0,4.0,14.0,3.0,7.0,5.0,161.0,8.0,18.0,4.0,9.0,2.0,6.0,5.0,13.0,35.0,12.0,27.0,25.0,f,t,Q,f,Japan,2.0,7.0,3.0,0.0,239.0,2.0,2.0,18.0,27.0,10.0,18.0,5.0,9.0,4.0,6.0,5.0,265.0,12.0,21.0,10.0,14.0,4.0,7.0,5.0,15.0,27.0,22.0,35.0,37.0,t,t,t,Japan
9,2009-03-09,2009-03-22,Japan,Hard,35000.0,$,2009,baptiste-dupuy,B. Dupuy,masato-hatanaka,M. Hatanaka,kyoto_challenger,3rd Round Qualifying,2.0,f,100,2,01:44:00,147.0,2.0,13.0,9.0,0.0,0.0,275.0,4.0,0.0,47.0,73.0,27.0,47.0,18.0,26.0,1.0,3.0,11.0,150.0,26.0,54.0,6.0,20.0,4.0,11.0,11.0,45.0,73.0,32.0,74.0,77.0,t,f,,t,Japan,0.0,9.0,13.0,0.0,258.0,1.0,1.0,54.0,74.0,28.0,54.0,14.0,20.0,7.0,11.0,11.0,159.0,20.0,47.0,8.0,26.0,2.0,3.0,11.0,42.0,74.0,28.0,73.0,70.0,f,f,f,Japan
