,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2018-06-18,2018-06-24,Italy,Clay,43000.0,€,2018,agustin-velotti,A. Velotti,benjamin-hassan,B. Hassan,laquila_challenger,Round of 32,3.0,f,100,3,02:13:00,210.0,1.0,14.0,19.0,1.0,1.0,243.0,1.0,3.0,66.0,104.0,42.0,66.0,19.0,38.0,4.0,9.0,16.0,112.0,12.0,56.0,25.0,50.0,2.0,7.0,16.0,61.0,104.0,37.0,106.0,98.0,f,f,Q,t,Italy,2.0,19.0,14.0,0.0,267.0,4.0,6.0,56.0,106.0,44.0,56.0,25.0,50.0,5.0,7.0,16.0,173.0,24.0,66.0,19.0,38.0,5.0,9.0,16.0,69.0,106.0,43.0,104.0,112.0,t,f,f,Italy
1,2018-06-18,2018-06-24,Italy,Clay,43000.0,€,2018,agustin-velotti,A. Velotti,pietro-licciardi,P. Licciardi,laquila_challenger,3rd Round Qualifying,3.0,f,100,2,02:36:00,191.0,2.0,17.0,15.0,0.0,0.0,281.0,8.0,1.0,57.0,101.0,41.0,57.0,26.0,44.0,5.0,7.0,16.0,158.0,24.0,73.0,8.0,17.0,3.0,5.0,16.0,67.0,101.0,32.0,90.0,99.0,t,f,,f,Italy,1.0,15.0,17.0,0.0,280.0,0.0,2.0,73.0,90.0,49.0,73.0,9.0,17.0,2.0,5.0,16.0,110.0,16.0,57.0,18.0,44.0,2.0,7.0,16.0,58.0,90.0,34.0,101.0,92.0,f,f,t,Italy
2,2018-06-18,2018-06-24,Italy,Clay,43000.0,€,2018,agustin-velotti,A. Velotti,raul-brancaccio,R. Brancaccio,laquila_challenger,1st Round Qualifying,2.0,f,100,0,01:21:00,122.0,2.0,12.0,7.0,0.0,0.0,257.0,4.0,1.0,35.0,67.0,23.0,35.0,18.0,32.0,2.0,4.0,10.0,194.0,15.0,36.0,11.0,19.0,4.0,8.0,9.0,41.0,67.0,26.0,55.0,67.0,t,f,,t,Italy,0.0,7.0,12.0,0.0,216.0,0.0,4.0,36.0,55.0,21.0,36.0,8.0,19.0,4.0,8.0,9.0,148.0,12.0,35.0,14.0,32.0,2.0,4.0,10.0,29.0,55.0,26.0,67.0,55.0,f,f,f,Italy
3,2018-06-18,2018-06-24,Italy,Clay,43000.0,€,2018,agustin-velotti,A. Velotti,walter-trusendi,W. Trusendi,laquila_challenger,2nd Round Qualifying,3.0,f,100,1,02:32:00,196.0,2.0,16.0,14.0,1.0,1.0,277.0,8.0,1.0,61.0,110.0,40.0,61.0,31.0,49.0,5.0,7.0,15.0,132.0,15.0,64.0,12.0,22.0,2.0,5.0,14.0,71.0,110.0,27.0,86.0,98.0,t,f,,t,Italy,1.0,14.0,16.0,0.0,288.0,7.0,0.0,64.0,86.0,49.0,64.0,10.0,22.0,3.0,5.0,14.0,113.0,21.0,61.0,18.0,49.0,2.0,7.0,15.0,59.0,86.0,39.0,110.0,98.0,f,f,f,Italy
4,2018-06-18,2018-06-24,Italy,Clay,43000.0,€,2018,alejandro-gonzalez,A. Gonzalez,gianluca-mager,G. Mager,laquila_challenger,Round of 32,2.0,f,100,3,01:07:00,102.0,0.0,6.0,12.0,0.0,0.0,230.0,0.0,2.0,38.0,55.0,23.0,38.0,8.0,17.0,4.0,8.0,9.0,101.0,5.0,33.0,7.0,14.0,1.0,4.0,9.0,31.0,55.0,12.0,47.0,43.0,f,f,,f,Italy,2.0,12.0,6.0,0.0,297.0,6.0,2.0,33.0,47.0,28.0,33.0,7.0,14.0,3.0,4.0,9.0,186.0,15.0,38.0,9.0,17.0,4.0,8.0,9.0,35.0,47.0,24.0,55.0,59.0,t,f,t,Italy
5,2018-06-18,2018-06-24,Italy,Clay,43000.0,€,2018,alessio-de-bernardis,A. De Bernardis,davide-galoppini,D. Galoppini,laquila_challenger,1st Round Qualifying,2.0,f,100,0,00:52:00,79.0,0.0,3.0,12.0,0.0,0.0,178.0,2.0,7.0,18.0,35.0,11.0,18.0,5.0,17.0,1.0,5.0,7.0,46.0,3.0,23.0,7.0,21.0,0.0,1.0,8.0,16.0,35.0,10.0,44.0,26.0,f,f,WC,f,Italy,2.0,12.0,3.0,0.0,304.0,1.0,3.0,23.0,44.0,20.0,23.0,14.0,21.0,1.0,1.0,8.0,247.0,7.0,18.0,12.0,17.0,4.0,5.0,7.0,34.0,44.0,19.0,35.0,53.0,t,f,t,Italy
6,2018-06-18,2018-06-24,Italy,Clay,43000.0,€,2018,andrea-arnaboldi,A. Arnaboldi,gian-marco-moroni,G. Moroni,laquila_challenger,Round of 32,2.0,f,100,3,01:11:00,93.0,0.0,4.0,12.0,0.0,0.0,200.0,0.0,1.0,28.0,54.0,17.0,28.0,10.0,26.0,5.0,9.0,8.0,38.0,3.0,23.0,4.0,16.0,0.0,0.0,8.0,27.0,54.0,7.0,39.0,34.0,f,f,,f,Italy,2.0,12.0,4.0,0.0,324.0,4.0,1.0,23.0,39.0,20.0,23.0,12.0,16.0,0.0,0.0,8.0,195.0,11.0,28.0,16.0,26.0,4.0,9.0,8.0,32.0,39.0,27.0,54.0,59.0,t,f,t,Italy
7,2018-06-18,2018-06-24,Italy,Clay,43000.0,€,2018,andrea-collarini,A. Collarini,filippo-baldi,F. Baldi,laquila_challenger,Round of 32,2.0,f,100,3,01:15:00,96.0,0.0,7.0,9.0,0.0,1.0,262.0,6.0,3.0,34.0,49.0,23.0,34.0,7.0,15.0,1.0,3.0,8.0,153.0,7.0,37.0,7.0,10.0,1.0,2.0,7.0,30.0,49.0,14.0,47.0,44.0,f,t,,f,Italy,2.0,9.0,7.0,1.0,278.0,4.0,1.0,37.0,47.0,30.0,37.0,3.0,10.0,1.0,2.0,7.0,177.0,11.0,34.0,8.0,15.0,2.0,3.0,8.0,33.0,47.0,19.0,49.0,52.0,t,t,t,Italy
8,2018-06-18,2018-06-24,Italy,Clay,43000.0,€,2018,andrea-pellegrino,A. Pellegrino,facundo-bagnis,F. Bagnis,laquila_challenger,Round of 32,3.0,f,100,3,02:32:00,194.0,1.0,13.0,18.0,1.0,1.0,228.0,2.0,3.0,55.0,107.0,34.0,55.0,26.0,52.0,9.0,14.0,15.0,146.0,13.0,57.0,13.0,30.0,2.0,3.0,15.0,60.0,107.0,26.0,87.0,86.0,f,f,WC,f,Italy,2.0,18.0,13.0,0.0,292.0,8.0,2.0,57.0,87.0,44.0,57.0,17.0,30.0,1.0,3.0,15.0,157.0,21.0,55.0,26.0,52.0,5.0,14.0,15.0,61.0,87.0,47.0,107.0,108.0,t,f,t,Italy
9,2018-06-18,2018-06-24,Italy,Clay,43000.0,€,2018,andrea-picchione,A. Picchione,pietro-licciardi,P. Licciardi,laquila_challenger,1st Round Qualifying,2.0,f,100,0,01:11:00,102.0,0.0,4.0,12.0,0.0,0.0,202.0,3.0,2.0,30.0,61.0,18.0,30.0,13.0,31.0,8.0,12.0,8.0,65.0,3.0,30.0,6.0,11.0,0.0,0.0,8.0,31.0,61.0,9.0,41.0,40.0,f,f,WC,f,Italy,2.0,12.0,4.0,0.0,308.0,1.0,1.0,30.0,41.0,27.0,30.0,5.0,11.0,0.0,0.0,8.0,181.0,12.0,30.0,18.0,31.0,4.0,12.0,8.0,32.0,41.0,30.0,61.0,62.0,t,f,t,Italy
