,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2017-10-16,2017-10-22,USA,Hard,50000.0,$,2017,alastair-gray,A. Gray,martin-redlicki,M. Redlicki,las-vegas_challenger,1st Round Qualifying,3.0,f,100,0,01:52:00,172.0,1.0,13.0,16.0,0.0,0.0,261.0,7.0,7.0,54.0,95.0,43.0,54.0,18.0,41.0,4.0,7.0,15.0,117.0,14.0,57.0,7.0,20.0,1.0,2.0,14.0,61.0,95.0,21.0,77.0,82.0,f,f,,t,USA,2.0,16.0,13.0,0.0,305.0,2.0,3.0,57.0,77.0,43.0,57.0,13.0,20.0,1.0,2.0,14.0,139.0,11.0,54.0,23.0,41.0,3.0,7.0,15.0,56.0,77.0,34.0,95.0,90.0,t,f,f,USA
1,2017-10-16,2017-10-22,USA,Hard,50000.0,$,2017,alexander-cozbinov,A. Cozbinov,jan-choinski,J. Choinski,las-vegas_challenger,Round of 32,3.0,f,100,3,02:11:00,196.0,1.0,14.0,16.0,0.0,0.0,241.0,4.0,11.0,56.0,90.0,42.0,56.0,13.0,34.0,3.0,7.0,15.0,121.0,22.0,66.0,18.0,40.0,3.0,13.0,15.0,55.0,90.0,40.0,106.0,95.0,f,f,WC,t,USA,2.0,16.0,14.0,0.0,265.0,2.0,1.0,66.0,106.0,44.0,66.0,22.0,40.0,10.0,13.0,15.0,170.0,14.0,56.0,21.0,34.0,4.0,7.0,15.0,66.0,106.0,35.0,90.0,101.0,t,f,f,USA
2,2017-10-16,2017-10-22,USA,Hard,50000.0,$,2017,alexander-sarkissian,A. Sarkissian,dominik-koepfer,D. Koepfer,las-vegas_challenger,Round of 32,3.0,f,100,3,01:27:00,146.0,1.0,11.0,14.0,0.0,0.0,251.0,11.0,2.0,40.0,77.0,28.0,40.0,19.0,37.0,5.0,9.0,13.0,190.0,10.0,41.0,14.0,28.0,2.0,2.0,12.0,47.0,77.0,24.0,69.0,71.0,f,f,,t,USA,2.0,14.0,11.0,0.0,270.0,5.0,3.0,41.0,69.0,31.0,41.0,14.0,28.0,0.0,2.0,12.0,153.0,12.0,40.0,18.0,37.0,4.0,9.0,13.0,45.0,69.0,30.0,77.0,75.0,t,f,f,USA
3,2017-10-16,2017-10-22,USA,Hard,50000.0,$,2017,alex-rybakov,A. Rybakov,benjamin-lock,B. Lock,las-vegas_challenger,3rd Round Qualifying,3.0,f,100,2,02:51:00,232.0,1.0,18.0,15.0,0.0,2.0,299.0,6.0,2.0,75.0,104.0,56.0,75.0,16.0,29.0,1.0,2.0,16.0,124.0,25.0,85.0,24.0,43.0,3.0,16.0,15.0,72.0,104.0,49.0,128.0,121.0,f,f,8,t,USA,2.0,15.0,18.0,2.0,264.0,5.0,2.0,85.0,128.0,60.0,85.0,19.0,43.0,13.0,16.0,15.0,126.0,19.0,75.0,13.0,29.0,1.0,2.0,16.0,79.0,128.0,32.0,104.0,111.0,t,f,f,USA
4,2017-10-16,2017-10-22,USA,Hard,50000.0,$,2017,alex-rybakov,A. Rybakov,daniel-cukierman,D. Cukierman,las-vegas_challenger,2nd Round Qualifying,2.0,f,100,1,01:04:00,104.0,2.0,12.0,3.0,0.0,0.0,294.0,2.0,4.0,31.0,50.0,27.0,31.0,9.0,19.0,6.0,6.0,8.0,216.0,13.0,32.0,15.0,22.0,4.0,8.0,7.0,36.0,50.0,28.0,54.0,64.0,t,f,8,t,USA,0.0,3.0,12.0,0.0,191.0,1.0,2.0,32.0,54.0,19.0,32.0,7.0,22.0,4.0,8.0,7.0,66.0,4.0,31.0,10.0,19.0,0.0,6.0,8.0,26.0,54.0,14.0,50.0,40.0,f,f,f,USA
5,2017-10-16,2017-10-22,USA,Hard,50000.0,$,2017,alex-rybakov,A. Rybakov,kristofer-yee,K. Yee,las-vegas_challenger,1st Round Qualifying,2.0,f,100,0,01:01:00,99.0,2.0,12.0,1.0,0.0,0.0,296.0,1.0,1.0,23.0,34.0,19.0,23.0,5.0,11.0,0.0,0.0,6.0,240.0,16.0,36.0,22.0,29.0,6.0,17.0,7.0,24.0,34.0,38.0,65.0,62.0,t,f,8,t,USA,0.0,1.0,12.0,0.0,136.0,0.0,13.0,36.0,65.0,20.0,36.0,7.0,29.0,11.0,17.0,7.0,72.0,4.0,23.0,6.0,11.0,0.0,0.0,6.0,27.0,65.0,10.0,34.0,37.0,f,f,f,USA
6,2017-10-16,2017-10-22,USA,Hard,50000.0,$,2017,alex-rybakov,A. Rybakov,liam-broady,L. Broady,las-vegas_challenger,Round of 32,2.0,f,100,3,01:24:00,136.0,0.0,9.0,13.0,0.0,1.0,280.0,6.0,1.0,41.0,67.0,27.0,41.0,15.0,26.0,1.0,2.0,10.0,64.0,9.0,47.0,10.0,22.0,0.0,5.0,11.0,42.0,67.0,19.0,69.0,61.0,f,f,LL,f,USA,2.0,13.0,9.0,1.0,305.0,3.0,2.0,47.0,69.0,38.0,47.0,12.0,22.0,5.0,5.0,11.0,136.0,14.0,41.0,11.0,26.0,1.0,2.0,10.0,50.0,69.0,25.0,67.0,75.0,t,f,t,USA
7,2017-10-16,2017-10-22,USA,Hard,50000.0,$,2017,benjamin-lock,B. Lock,ruan-roelofse,R. Roelofse,las-vegas_challenger,2nd Round Qualifying,2.0,f,100,1,01:24:00,133.0,2.0,13.0,9.0,0.0,0.0,330.0,7.0,0.0,46.0,59.0,35.0,46.0,9.0,13.0,0.0,0.0,11.0,131.0,15.0,47.0,14.0,27.0,2.0,7.0,11.0,44.0,59.0,29.0,74.0,73.0,t,f,4,t,USA,0.0,9.0,13.0,0.0,268.0,10.0,3.0,47.0,74.0,32.0,47.0,13.0,27.0,5.0,7.0,11.0,55.0,11.0,46.0,4.0,13.0,0.0,0.0,11.0,45.0,74.0,15.0,59.0,60.0,f,f,f,USA
8,2017-10-16,2017-10-22,USA,Hard,50000.0,$,2017,benjamin-lock,B. Lock,tennys-sandgren,T. Sandgren,las-vegas_challenger,Round of 32,2.0,f,100,3,01:12:00,113.0,0.0,6.0,12.0,0.0,0.0,218.0,1.0,2.0,41.0,60.0,24.0,41.0,7.0,19.0,4.0,8.0,9.0,130.0,6.0,31.0,11.0,22.0,1.0,2.0,9.0,31.0,60.0,17.0,53.0,48.0,f,f,Q,f,USA,2.0,12.0,6.0,0.0,286.0,11.0,2.0,31.0,53.0,25.0,31.0,11.0,22.0,1.0,2.0,9.0,198.0,17.0,41.0,12.0,19.0,4.0,8.0,9.0,36.0,53.0,29.0,60.0,65.0,t,f,t,USA
9,2017-10-16,2017-10-22,USA,Hard,50000.0,$,2017,bjorn-fratangelo,B. Fratangelo,brydan-klein,B. Klein,las-vegas_challenger,Round of 32,2.0,f,100,3,01:34:00,154.0,0.0,10.0,13.0,0.0,1.0,252.0,11.0,5.0,47.0,71.0,33.0,47.0,9.0,24.0,3.0,6.0,11.0,117.0,9.0,47.0,21.0,36.0,2.0,9.0,11.0,42.0,71.0,30.0,83.0,72.0,f,f,3,f,USA,2.0,13.0,10.0,1.0,266.0,10.0,5.0,47.0,83.0,38.0,47.0,15.0,36.0,7.0,9.0,11.0,170.0,14.0,47.0,15.0,24.0,3.0,6.0,11.0,53.0,83.0,29.0,71.0,82.0,t,f,t,USA
