,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2011-03-14,2011-03-20,Guadeloupe,Hard,100000.0,$,2011,arnaud-clement,A. Clement,lukas-rosol,L. Rosol,le-gosier_challenger,Round of 32,2.0,f,100,3,01:08:00,101.0,0.0,6.0,12.0,0.0,0.0,213.0,1.0,2.0,23.0,50.0,14.0,23.0,14.0,27.0,1.0,5.0,9.0,116.0,7.0,27.0,7.0,24.0,1.0,2.0,9.0,28.0,50.0,14.0,51.0,42.0,f,f,,f,Guadeloupe,2.0,12.0,6.0,0.0,292.0,8.0,2.0,27.0,51.0,20.0,27.0,17.0,24.0,1.0,2.0,9.0,211.0,9.0,23.0,13.0,27.0,4.0,5.0,9.0,37.0,51.0,22.0,50.0,59.0,t,f,t,Guadeloupe
1,2011-03-14,2011-03-20,Guadeloupe,Hard,100000.0,$,2011,daniel-gimeno-traver,D. Gimeno-Traver,lukas-rosol,L. Rosol,le-gosier_challenger,Round of 16,2.0,f,100,4,01:19:00,125.0,0.0,7.0,13.0,0.0,1.0,227.0,5.0,4.0,40.0,65.0,24.0,40.0,11.0,25.0,2.0,6.0,10.0,105.0,8.0,32.0,10.0,28.0,1.0,3.0,9.0,35.0,65.0,18.0,60.0,53.0,f,f,3 WC,f,Guadeloupe,2.0,13.0,7.0,1.0,281.0,5.0,4.0,32.0,60.0,24.0,32.0,18.0,28.0,2.0,3.0,9.0,203.0,16.0,40.0,14.0,25.0,4.0,6.0,10.0,42.0,60.0,30.0,65.0,72.0,t,f,t,Guadeloupe
2,2011-03-14,2011-03-20,Guadeloupe,Hard,100000.0,$,2011,dustin-brown,D. Brown,stephane-robert,S. Robert,le-gosier_challenger,Round of 32,3.0,f,100,3,01:52:00,208.0,1.0,15.0,18.0,0.0,1.0,251.0,9.0,2.0,59.0,106.0,43.0,59.0,19.0,47.0,4.0,8.0,16.0,133.0,16.0,55.0,20.0,47.0,3.0,7.0,16.0,62.0,106.0,36.0,102.0,98.0,f,f,,f,Guadeloupe,2.0,18.0,15.0,1.0,260.0,2.0,5.0,55.0,102.0,39.0,55.0,27.0,47.0,4.0,7.0,16.0,162.0,16.0,59.0,28.0,47.0,4.0,8.0,16.0,66.0,102.0,44.0,106.0,110.0,t,f,t,Guadeloupe
3,2011-03-14,2011-03-20,Guadeloupe,Hard,100000.0,$,2011,fabio-fognini,F. Fognini,stephane-bohli,S. Bohli,le-gosier_challenger,Round of 16,2.0,f,100,4,01:33:00,145.0,0.0,9.0,13.0,0.0,1.0,247.0,2.0,1.0,36.0,72.0,21.0,36.0,21.0,36.0,4.0,6.0,10.0,103.0,9.0,42.0,15.0,31.0,1.0,4.0,11.0,42.0,72.0,24.0,73.0,66.0,f,f,2 WC,f,Guadeloupe,2.0,13.0,9.0,1.0,283.0,5.0,1.0,42.0,73.0,33.0,42.0,16.0,31.0,3.0,4.0,11.0,137.0,15.0,36.0,15.0,36.0,2.0,6.0,10.0,49.0,73.0,30.0,72.0,79.0,t,f,t,Guadeloupe
4,2011-03-14,2011-03-20,Guadeloupe,Hard,100000.0,$,2011,flavio-cipolla,F. Cipolla,jarkko-nieminen,J. Nieminen,le-gosier_challenger,Round of 16,2.0,f,100,4,01:46:00,155.0,0.0,6.0,12.0,0.0,0.0,210.0,1.0,5.0,58.0,77.0,31.0,58.0,8.0,19.0,10.0,15.0,9.0,129.0,27.0,64.0,7.0,14.0,2.0,13.0,9.0,39.0,77.0,34.0,78.0,73.0,f,f,,f,Guadeloupe,2.0,12.0,6.0,0.0,263.0,0.0,4.0,64.0,78.0,37.0,64.0,7.0,14.0,11.0,13.0,9.0,193.0,27.0,58.0,11.0,19.0,5.0,15.0,9.0,44.0,78.0,38.0,77.0,82.0,t,f,t,Guadeloupe
5,2011-03-14,2011-03-20,Guadeloupe,Hard,100000.0,$,2011,flavio-cipolla,F. Cipolla,riccardo-ghedin,R. Ghedin,le-gosier_challenger,Round of 32,2.0,f,100,3,01:15:00,101.0,2.0,12.0,4.0,0.0,0.0,280.0,2.0,1.0,29.0,47.0,20.0,29.0,11.0,18.0,0.0,1.0,8.0,221.0,15.0,31.0,14.0,23.0,5.0,10.0,8.0,31.0,47.0,29.0,54.0,60.0,t,f,,t,Guadeloupe,0.0,4.0,12.0,0.0,184.0,0.0,1.0,31.0,54.0,16.0,31.0,9.0,23.0,5.0,10.0,8.0,182.0,9.0,29.0,7.0,18.0,1.0,1.0,8.0,25.0,54.0,16.0,47.0,41.0,f,f,f,Guadeloupe
6,2011-03-14,2011-03-20,Guadeloupe,Hard,100000.0,$,2011,fred-gil,F. Gil,gianni-mina,G. Mina,le-gosier_challenger,Round of 16,2.0,f,100,4,01:43:00,139.0,2.0,13.0,7.0,1.0,1.0,264.0,6.0,3.0,36.0,66.0,26.0,36.0,17.0,30.0,4.0,6.0,9.0,185.0,13.0,33.0,23.0,40.0,5.0,13.0,10.0,43.0,66.0,36.0,73.0,79.0,t,f,7,t,Guadeloupe,0.0,7.0,13.0,0.0,202.0,4.0,1.0,33.0,73.0,20.0,33.0,17.0,40.0,8.0,13.0,10.0,126.0,10.0,36.0,13.0,30.0,2.0,6.0,9.0,37.0,73.0,23.0,66.0,60.0,f,f,f,Guadeloupe
7,2011-03-14,2011-03-20,Guadeloupe,Hard,100000.0,$,2011,fred-gil,F. Gil,jarkko-nieminen,J. Nieminen,le-gosier_challenger,Quarter-Finals,2.0,f,100,5,01:15:00,112.0,0.0,6.0,12.0,0.0,0.0,250.0,2.0,0.0,36.0,53.0,24.0,36.0,8.0,17.0,1.0,4.0,9.0,58.0,17.0,51.0,2.0,8.0,0.0,2.0,9.0,32.0,53.0,19.0,59.0,51.0,f,f,7,f,Guadeloupe,2.0,12.0,6.0,0.0,328.0,0.0,0.0,51.0,59.0,34.0,51.0,6.0,8.0,2.0,2.0,9.0,194.0,12.0,36.0,9.0,17.0,3.0,4.0,9.0,40.0,59.0,21.0,53.0,61.0,t,f,t,Guadeloupe
8,2011-03-14,2011-03-20,Guadeloupe,Hard,100000.0,$,2011,gastao-elias,G. Elias,julian-reister,J. Reister,le-gosier_challenger,Round of 32,3.0,f,100,3,02:16:00,193.0,2.0,15.0,11.0,0.0,0.0,218.0,0.0,8.0,58.0,98.0,38.0,58.0,16.0,40.0,8.0,13.0,13.0,204.0,34.0,63.0,15.0,32.0,7.0,14.0,13.0,54.0,98.0,49.0,95.0,103.0,t,f,,t,Guadeloupe,1.0,11.0,15.0,0.0,210.0,0.0,1.0,63.0,95.0,29.0,63.0,17.0,32.0,7.0,14.0,13.0,170.0,20.0,58.0,24.0,40.0,5.0,13.0,13.0,46.0,95.0,44.0,98.0,90.0,f,f,f,Guadeloupe
9,2011-03-14,2011-03-20,Guadeloupe,Hard,100000.0,$,2011,gastao-elias,G. Elias,olivier-rochus,O. Rochus,le-gosier_challenger,Semi-Finals,2.0,f,100,6,01:12:00,86.0,0.0,6.0,12.0,0.0,0.0,196.0,4.0,3.0,24.0,45.0,12.0,24.0,10.0,21.0,1.0,6.0,9.0,186.0,6.0,22.0,7.0,19.0,2.0,2.0,9.0,22.0,45.0,13.0,41.0,35.0,f,f,,f,Guadeloupe,2.0,12.0,6.0,0.0,266.0,0.0,1.0,22.0,41.0,16.0,22.0,12.0,19.0,0.0,2.0,9.0,240.0,12.0,24.0,11.0,21.0,5.0,6.0,9.0,28.0,41.0,23.0,45.0,51.0,t,f,t,Guadeloupe
10,2011-03-14,2011-03-20,Guadeloupe,Hard,100000.0,$,2011,gastao-elias,G. Elias,simone-bolelli,S. Bolelli,le-gosier_challenger,Round of 16,3.0,f,100,4,02:34:00,187.0,2.0,17.0,13.0,0.0,0.0,240.0,4.0,5.0,62.0,100.0,39.0,62.0,19.0,38.0,10.0,15.0,15.0,202.0,20.0,53.0,23.0,34.0,7.0,14.0,15.0,58.0,100.0,43.0,87.0,101.0,t,f,,f,Guadeloupe,1.0,13.0,17.0,0.0,206.0,1.0,3.0,53.0,87.0,33.0,53.0,11.0,34.0,7.0,14.0,15.0,153.0,23.0,62.0,19.0,38.0,5.0,15.0,15.0,44.0,87.0,42.0,100.0,86.0,f,f,t,Guadeloupe
11,2011-03-14,2011-03-20,Guadeloupe,Hard,100000.0,$,2011,gastao-elias,G. Elias,stephane-bohli,S. Bohli,le-gosier_challenger,Quarter-Finals,3.0,f,100,5,02:25:00,188.0,2.0,18.0,10.0,0.0,1.0,272.0,4.0,2.0,63.0,97.0,44.0,63.0,17.0,34.0,3.0,5.0,14.0,214.0,21.0,41.0,25.0,50.0,6.0,9.0,13.0,61.0,97.0,46.0,91.0,107.0,t,f,,f,Guadeloupe,1.0,10.0,18.0,1.0,199.0,2.0,0.0,41.0,91.0,20.0,41.0,25.0,50.0,3.0,9.0,13.0,134.0,19.0,63.0,17.0,34.0,2.0,5.0,14.0,45.0,91.0,36.0,97.0,81.0,f,f,t,Guadeloupe
