start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2016-04-04,2016-04-10,Guadeloupe,Hard,100000.0,$,2016,adrien-puget,A. Puget,constant-lestienne,C. Lestienne,le-gosier_challenger,Round of 32,3.0,f,100,3,02:26:00,218.0,1.0,14.0,19.0,1.0,2.0,210.0,4.0,8.0,54.0,114.0,38.0,54.0,22.0,60.0,9.0,15.0,15.0,205.0,17.0,64.0,21.0,40.0,4.0,4.0,16.0,60.0,114.0,38.0,104.0,98.0,f,f,,f,Guadeloupe,2.0,19.0,14.0,1.0,261.0,9.0,6.0,64.0,104.0,47.0,64.0,19.0,40.0,0.0,4.0,16.0,173.0,16.0,54.0,38.0,60.0,6.0,15.0,15.0,66.0,104.0,54.0,114.0,120.0,t,f,t,Guadeloupe
2016-04-04,2016-04-10,Guadeloupe,Hard,100000.0,$,2016,alejandro-gonzalez,A. Gonzalez,peter-polansky,P. Polansky,le-gosier_challenger,Round of 32,2.0,f,100,3,01:44:00,146.0,2.0,13.0,8.0,0.0,0.0,276.0,2.0,1.0,47.0,72.0,34.0,47.0,12.0,25.0,2.0,3.0,11.0,144.0,14.0,40.0,19.0,34.0,3.0,13.0,10.0,46.0,72.0,33.0,74.0,79.0,t,f,7,t,Guadeloupe,0.0,8.0,13.0,0.0,239.0,8.0,2.0,40.0,74.0,26.0,40.0,15.0,34.0,10.0,13.0,10.0,122.0,13.0,47.0,13.0,25.0,1.0,3.0,11.0,41.0,74.0,26.0,72.0,67.0,f,f,f,Guadeloupe
2016-04-04,2016-04-10,Guadeloupe,Hard,100000.0,$,2016,alejandro-gonzalez,A. Gonzalez,vincent-millot,V. Millot,le-gosier_challenger,Round of 16,3.0,f,100,4,02:33:00,212.0,1.0,14.0,17.0,0.0,1.0,224.0,2.0,1.0,65.0,107.0,40.0,65.0,17.0,42.0,9.0,15.0,15.0,164.0,25.0,60.0,20.0,45.0,5.0,11.0,15.0,57.0,107.0,45.0,105.0,102.0,f,f,7,f,Guadeloupe,2.0,17.0,14.0,1.0,241.0,5.0,1.0,60.0,105.0,35.0,60.0,25.0,45.0,6.0,11.0,15.0,178.0,25.0,65.0,25.0,42.0,6.0,15.0,15.0,60.0,105.0,50.0,107.0,110.0,t,f,t,Guadeloupe
2016-04-04,2016-04-10,Guadeloupe,Hard,100000.0,$,2016,alexandre-belmonte,A. Belmonte,jorge-montero,J. Montero,le-gosier_challenger,1st Round Qualifying,2.0,f,100,1,01:04:00,109.0,0.0,7.0,12.0,0.0,0.0,208.0,0.0,2.0,35.0,57.0,19.0,35.0,10.0,22.0,1.0,6.0,10.0,173.0,10.0,36.0,9.0,16.0,2.0,3.0,9.0,29.0,57.0,19.0,52.0,48.0,f,f,WC,f,Guadeloupe,2.0,12.0,7.0,0.0,262.0,3.0,3.0,36.0,52.0,26.0,36.0,7.0,16.0,1.0,3.0,9.0,234.0,16.0,35.0,12.0,22.0,5.0,6.0,10.0,33.0,52.0,28.0,57.0,61.0,t,f,t,Guadeloupe
2016-04-04,2016-04-10,Guadeloupe,Hard,100000.0,$,2016,andre-ghem,A. Ghem,philip-bester,P. Bester,le-gosier_challenger,Round of 32,2.0,f,100,3,01:23:00,127.0,2.0,13.0,10.0,1.0,1.0,289.0,4.0,2.0,49.0,70.0,41.0,49.0,9.0,21.0,5.0,6.0,11.0,175.0,8.0,30.0,8.0,27.0,2.0,2.0,11.0,50.0,70.0,16.0,57.0,66.0,t,f,,t,Guadeloupe,0.0,10.0,13.0,0.0,278.0,2.0,1.0,30.0,57.0,22.0,30.0,19.0,27.0,0.0,2.0,11.0,99.0,8.0,49.0,12.0,21.0,1.0,6.0,11.0,41.0,57.0,20.0,70.0,61.0,f,f,f,Guadeloupe
2016-04-04,2016-04-10,Guadeloupe,Hard,100000.0,$,2016,andre-ghem,A. Ghem,tatsuma-ito,T. Ito,le-gosier_challenger,Round of 16,2.0,f,100,4,01:35:00,138.0,0.0,8.0,13.0,0.0,1.0,207.0,0.0,2.0,42.0,70.0,25.0,42.0,11.0,28.0,7.0,12.0,10.0,215.0,10.0,39.0,17.0,29.0,3.0,3.0,10.0,36.0,70.0,27.0,68.0,63.0,f,f,,f,Guadeloupe,2.0,13.0,8.0,1.0,239.0,2.0,5.0,39.0,68.0,29.0,39.0,12.0,29.0,0.0,3.0,10.0,193.0,17.0,42.0,17.0,28.0,5.0,12.0,10.0,41.0,68.0,34.0,70.0,75.0,t,f,t,Guadeloupe
2016-04-04,2016-04-10,Guadeloupe,Hard,100000.0,$,2016,aurelien-marne,A. Marne,nicolas-jarry,N. Jarry,le-gosier_challenger,1st Round Qualifying,2.0,f,100,1,00:39:00,70.0,0.0,1.0,12.0,0.0,0.0,117.0,0.0,6.0,14.0,35.0,6.0,14.0,5.0,21.0,4.0,9.0,6.0,35.0,0.0,18.0,6.0,17.0,0.0,1.0,7.0,11.0,35.0,6.0,35.0,17.0,f,f,WC,f,Guadeloupe,2.0,12.0,1.0,0.0,320.0,4.0,0.0,18.0,35.0,18.0,18.0,11.0,17.0,1.0,1.0,7.0,272.0,8.0,14.0,16.0,21.0,5.0,9.0,6.0,29.0,35.0,24.0,35.0,53.0,t,f,t,Guadeloupe
2016-04-04,2016-04-10,Guadeloupe,Hard,100000.0,$,2016,austin-krajicek,A. Krajicek,stefan-kozlov,S. Kozlov,le-gosier_challenger,Round of 32,2.0,f,100,3,01:16:00,108.0,0.0,7.0,12.0,0.0,0.0,240.0,4.0,2.0,35.0,58.0,24.0,35.0,10.0,23.0,2.0,5.0,9.0,106.0,3.0,23.0,9.0,27.0,1.0,2.0,10.0,34.0,58.0,12.0,50.0,46.0,f,f,4,f,Guadeloupe,2.0,12.0,7.0,0.0,291.0,3.0,2.0,23.0,50.0,20.0,23.0,18.0,27.0,1.0,2.0,10.0,181.0,11.0,35.0,13.0,23.0,3.0,5.0,9.0,38.0,50.0,24.0,58.0,62.0,t,f,t,Guadeloupe
2016-04-04,2016-04-10,Guadeloupe,Hard,100000.0,$,2016,constant-lestienne,C. Lestienne,stefan-kozlov,S. Kozlov,le-gosier_challenger,Round of 16,3.0,f,100,4,01:41:00,150.0,1.0,9.0,15.0,0.0,0.0,231.0,6.0,6.0,56.0,80.0,32.0,56.0,11.0,24.0,5.0,10.0,12.0,181.0,10.0,32.0,13.0,38.0,2.0,2.0,12.0,43.0,80.0,23.0,70.0,66.0,f,f,,f,Guadeloupe,2.0,15.0,9.0,0.0,267.0,4.0,1.0,32.0,70.0,22.0,32.0,25.0,38.0,0.0,2.0,12.0,188.0,24.0,56.0,13.0,24.0,5.0,10.0,12.0,47.0,70.0,37.0,80.0,84.0,t,f,t,Guadeloupe
2016-04-04,2016-04-10,Guadeloupe,Hard,100000.0,$,2016,emilio-gomez,E. Gomez,nicolas-jarry,N. Jarry,le-gosier_challenger,2nd Round Qualifying,2.0,f,100,2,01:17:00,112.0,2.0,12.0,8.0,0.0,0.0,287.0,5.0,2.0,34.0,57.0,28.0,34.0,12.0,23.0,1.0,2.0,10.0,184.0,9.0,31.0,12.0,24.0,3.0,4.0,10.0,40.0,57.0,21.0,55.0,61.0,t,f,1,t,Guadeloupe,0.0,8.0,12.0,0.0,254.0,8.0,1.0,31.0,55.0,22.0,31.0,12.0,24.0,1.0,4.0,10.0,126.0,6.0,34.0,11.0,23.0,1.0,2.0,10.0,34.0,55.0,17.0,57.0,51.0,f,f,f,Guadeloupe
