,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2013-11-11,2013-11-17,Peru,Clay,50000.0,$,2013,andrea-collarini,A. Collarini,facundo-bagnis,F. Bagnis,lima_challenger,Round of 16,2.0,f,100,4,01:31:00,127.0,0.0,7.0,13.0,0.0,0.0,172.0,1.0,7.0,32.0,74.0,15.0,32.0,20.0,42.0,6.0,12.0,10.0,158.0,11.0,36.0,8.0,17.0,3.0,6.0,10.0,35.0,74.0,19.0,53.0,54.0,f,f,,f,Peru,2.0,13.0,7.0,0.0,260.0,2.0,2.0,36.0,53.0,25.0,36.0,9.0,17.0,3.0,6.0,10.0,215.0,17.0,32.0,22.0,42.0,6.0,12.0,10.0,34.0,53.0,39.0,74.0,73.0,t,f,t,Peru
1,2013-11-11,2013-11-17,Peru,Clay,50000.0,$,2013,andrea-collarini,A. Collarini,juan-pablo-varillas,J. Varillas,lima_challenger,Round of 32,2.0,f,100,3,01:27:00,109.0,2.0,12.0,5.0,0.0,0.0,279.0,2.0,3.0,30.0,50.0,22.0,30.0,12.0,20.0,1.0,2.0,8.0,193.0,8.0,21.0,21.0,38.0,5.0,11.0,9.0,34.0,50.0,29.0,59.0,63.0,t,f,,t,Peru,0.0,5.0,12.0,0.0,185.0,2.0,4.0,21.0,59.0,13.0,21.0,17.0,38.0,6.0,11.0,9.0,129.0,8.0,30.0,8.0,20.0,1.0,2.0,8.0,30.0,59.0,16.0,50.0,46.0,f,f,f,Peru
2,2013-11-11,2013-11-17,Peru,Clay,50000.0,$,2013,andre-ghem,A. Ghem,guido-andreozzi,G. Andreozzi,lima_challenger,Round of 32,2.0,f,100,3,01:20:00,115.0,0.0,5.0,12.0,0.0,0.0,162.0,1.0,8.0,18.0,55.0,11.0,18.0,14.0,37.0,3.0,8.0,8.0,140.0,11.0,37.0,11.0,23.0,2.0,5.0,9.0,25.0,55.0,22.0,60.0,47.0,f,f,,f,Peru,2.0,12.0,5.0,0.0,260.0,0.0,1.0,37.0,60.0,26.0,37.0,12.0,23.0,3.0,5.0,9.0,226.0,7.0,18.0,23.0,37.0,5.0,8.0,8.0,38.0,60.0,30.0,55.0,68.0,t,f,t,Peru
3,2013-11-11,2013-11-17,Peru,Clay,50000.0,$,2013,andre-ku-meza,A. Ku Meza,pedro-cachin,P. Cachin,lima_challenger,1st Round Qualifying,2.0,f,100,2,01:44:00,146.0,0.0,8.0,13.0,0.0,0.0,248.0,0.0,3.0,50.0,79.0,26.0,50.0,19.0,29.0,11.0,14.0,10.0,96.0,9.0,35.0,13.0,32.0,1.0,5.0,11.0,45.0,79.0,22.0,67.0,67.0,f,f,,f,Peru,2.0,13.0,8.0,0.0,277.0,4.0,2.0,35.0,67.0,26.0,35.0,19.0,32.0,4.0,5.0,11.0,133.0,24.0,50.0,10.0,29.0,3.0,14.0,10.0,45.0,67.0,34.0,79.0,79.0,t,f,t,Peru
4,2013-11-11,2013-11-17,Peru,Clay,50000.0,$,2013,andres-molteni,A. Molteni,cristobal-saavedra-corvalan,C. Saavedra-Corvalan,lima_challenger,Round of 32,2.0,f,100,3,00:53:00,75.0,2.0,12.0,1.0,0.0,0.0,308.0,0.0,0.0,22.0,33.0,17.0,22.0,7.0,11.0,0.0,0.0,6.0,293.0,15.0,23.0,13.0,19.0,6.0,8.0,7.0,24.0,33.0,28.0,42.0,52.0,t,f,,t,Peru,0.0,1.0,12.0,0.0,132.0,0.0,4.0,23.0,42.0,8.0,23.0,6.0,19.0,2.0,8.0,7.0,59.0,5.0,22.0,4.0,11.0,0.0,0.0,6.0,14.0,42.0,9.0,33.0,23.0,f,f,f,Peru
5,2013-11-11,2013-11-17,Peru,Clay,50000.0,$,2013,andres-molteni,A. Molteni,horacio-zeballos,H. Zeballos,lima_challenger,Round of 16,2.0,f,100,4,02:18:00,174.0,0.0,10.0,14.0,0.0,0.0,252.0,1.0,8.0,47.0,88.0,36.0,47.0,19.0,41.0,12.0,14.0,12.0,65.0,10.0,47.0,17.0,39.0,0.0,4.0,12.0,55.0,88.0,27.0,86.0,82.0,f,f,,f,Peru,2.0,14.0,10.0,0.0,294.0,8.0,4.0,47.0,86.0,37.0,47.0,22.0,39.0,4.0,4.0,12.0,107.0,11.0,47.0,22.0,41.0,2.0,14.0,12.0,59.0,86.0,33.0,88.0,92.0,t,f,t,Peru
6,2013-11-11,2013-11-17,Peru,Clay,50000.0,$,2013,christian-garin,C. Garin,pere-riba,P. Riba,lima_challenger,Round of 16,3.0,f,100,4,01:09:00,100.0,2.0,10.0,7.0,0.0,0.0,233.0,0.0,3.0,26.0,45.0,18.0,26.0,9.0,19.0,3.0,6.0,8.0,208.0,5.0,22.0,22.0,33.0,5.0,8.0,9.0,27.0,45.0,27.0,55.0,54.0,t,t,,f,Peru,1.0,7.0,10.0,0.0,190.0,1.0,5.0,22.0,55.0,17.0,22.0,11.0,33.0,3.0,8.0,9.0,171.0,8.0,26.0,10.0,19.0,3.0,6.0,8.0,28.0,55.0,18.0,45.0,46.0,f,t,t,Peru
7,2013-11-11,2013-11-17,Peru,Clay,50000.0,$,2013,christian-garin,C. Garin,ricardo-hocevar,R. Hocevar,lima_challenger,Quarter-Finals,3.0,f,100,5,02:06:00,189.0,1.0,13.0,14.0,0.0,1.0,246.0,6.0,4.0,53.0,97.0,31.0,53.0,24.0,44.0,3.0,6.0,13.0,148.0,15.0,45.0,23.0,47.0,3.0,7.0,13.0,55.0,97.0,38.0,92.0,93.0,f,f,,f,Peru,2.0,14.0,13.0,1.0,241.0,2.0,4.0,45.0,92.0,30.0,45.0,24.0,47.0,4.0,7.0,13.0,160.0,22.0,53.0,20.0,44.0,3.0,6.0,13.0,54.0,92.0,42.0,97.0,96.0,t,f,t,Peru
8,2013-11-11,2013-11-17,Peru,Clay,50000.0,$,2013,christian-garin,C. Garin,steven-diez,S. Diez,lima_challenger,Round of 32,3.0,f,100,3,03:07:00,251.0,2.0,18.0,14.0,0.0,0.0,203.0,2.0,8.0,62.0,124.0,39.0,62.0,25.0,62.0,13.0,20.0,16.0,209.0,35.0,83.0,27.0,44.0,9.0,18.0,16.0,64.0,124.0,62.0,127.0,126.0,t,f,,t,Peru,1.0,14.0,18.0,0.0,200.0,0.0,5.0,83.0,127.0,48.0,83.0,17.0,44.0,9.0,18.0,16.0,175.0,23.0,62.0,37.0,62.0,7.0,20.0,16.0,65.0,127.0,60.0,124.0,125.0,f,f,f,Peru
9,2013-11-11,2013-11-17,Peru,Clay,50000.0,$,2013,cristobal-saavedra-corvalan,C. Saavedra-Corvalan,duilio-vallebuona,D. Vallebuona,lima_challenger,1st Round Qualifying,2.0,f,100,2,01:44:00,145.0,2.0,13.0,8.0,0.0,0.0,234.0,0.0,4.0,45.0,76.0,30.0,45.0,13.0,31.0,8.0,11.0,10.0,213.0,14.0,27.0,24.0,42.0,6.0,12.0,11.0,43.0,76.0,38.0,69.0,81.0,t,f,1,t,Peru,0.0,8.0,13.0,0.0,171.0,3.0,7.0,27.0,69.0,13.0,27.0,18.0,42.0,6.0,12.0,11.0,148.0,15.0,45.0,18.0,31.0,3.0,11.0,10.0,31.0,69.0,33.0,76.0,64.0,f,f,f,Peru
