,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,625300.0,€,2012,adrian-ungur,A. Ungur,xavier-malisse,X. Malisse,london,Round of 64,2.0,f,250,2,01:08:00,120.0,0.0,8.0,12.0,0.0,0.0,235.0,5.0,4.0,32.0,68.0,25.0,32.0,14.0,36.0,4.0,7.0,10.0,90.0,8.0,35.0,4.0,17.0,1.0,3.0,10.0,39.0,68.0,12.0,52.0,51.0,f,f,,f,United Kingdom of Great Britain and Northern Ireland,2.0,12.0,8.0,0.0,319.0,10.0,1.0,35.0,52.0,27.0,35.0,13.0,17.0,2.0,3.0,10.0,156.0,7.0,32.0,22.0,36.0,3.0,7.0,10.0,40.0,52.0,29.0,68.0,69.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
1,2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,625300.0,€,2012,alex-bogdanovic,A. Bogdanovic,mathieu-rodrigues,M. Rodrigues,london,1st Round Qualifying,3.0,f,250,-1,02:06:00,208.0,1.0,18.0,17.0,0.0,2.0,277.0,2.0,1.0,74.0,110.0,51.0,74.0,19.0,36.0,7.0,9.0,16.0,159.0,12.0,59.0,19.0,39.0,4.0,6.0,17.0,70.0,110.0,31.0,98.0,101.0,f,f,,f,United Kingdom of Great Britain and Northern Ireland,2.0,17.0,18.0,2.0,266.0,0.0,1.0,59.0,98.0,47.0,59.0,20.0,39.0,2.0,6.0,17.0,112.0,23.0,74.0,17.0,36.0,2.0,9.0,16.0,67.0,98.0,40.0,110.0,107.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
2,2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,625300.0,€,2012,alex-bogomolov-jr.,A. Bogomolov Jr.,martin-klizan,M. Klizan,london,Round of 64,2.0,f,250,2,01:56:00,174.0,2.0,13.0,8.0,1.0,1.0,267.0,2.0,6.0,62.0,87.0,46.0,62.0,9.0,25.0,11.0,12.0,10.0,145.0,15.0,51.0,22.0,36.0,3.0,12.0,10.0,55.0,87.0,37.0,87.0,92.0,t,f,13,t,United Kingdom of Great Britain and Northern Ireland,0.0,8.0,13.0,0.0,238.0,3.0,4.0,51.0,87.0,36.0,51.0,14.0,36.0,9.0,12.0,10.0,108.0,16.0,62.0,16.0,25.0,1.0,12.0,10.0,50.0,87.0,32.0,87.0,82.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
3,2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,625300.0,€,2012,alex-bogomolov-jr.,A. Bogomolov Jr.,xavier-malisse,X. Malisse,london,Round of 32,3.0,f,250,3,01:32:00,145.0,1.0,9.0,16.0,0.0,0.0,231.0,2.0,2.0,52.0,74.0,30.0,52.0,11.0,22.0,5.0,11.0,13.0,110.0,15.0,51.0,8.0,20.0,2.0,8.0,12.0,41.0,74.0,23.0,71.0,64.0,f,f,13,f,United Kingdom of Great Britain and Northern Ireland,2.0,16.0,9.0,0.0,295.0,9.0,0.0,51.0,71.0,36.0,51.0,12.0,20.0,6.0,8.0,12.0,193.0,22.0,52.0,11.0,22.0,6.0,11.0,13.0,48.0,71.0,33.0,74.0,81.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
4,2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,625300.0,€,2012,amer-delic,A. Delic,andrew-fitzpatrick,A. Fitzpatrick,london,1st Round Qualifying,2.0,f,250,-1,00:53:00,68.0,1.0,6.0,4.0,0.0,0.0,282.0,2.0,1.0,18.0,28.0,12.0,18.0,7.0,10.0,0.0,1.0,5.0,162.0,6.0,19.0,12.0,21.0,2.0,6.0,5.0,19.0,28.0,18.0,40.0,37.0,f,t,,t,United Kingdom of Great Britain and Northern Ireland,1.0,4.0,6.0,0.0,215.0,1.0,5.0,19.0,40.0,13.0,19.0,9.0,21.0,4.0,6.0,5.0,183.0,6.0,18.0,3.0,10.0,1.0,1.0,5.0,22.0,40.0,9.0,28.0,31.0,t,t,f,United Kingdom of Great Britain and Northern Ireland
5,2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,625300.0,€,2012,amir-weintraub,A. Weintraub,evgeny-korolev,E. Korolev,london,3rd Round Qualifying,2.0,f,250,1,00:55:00,100.0,0.0,5.0,12.0,0.0,0.0,195.0,2.0,2.0,29.0,55.0,15.0,29.0,12.0,26.0,1.0,6.0,9.0,107.0,6.0,22.0,8.0,23.0,1.0,3.0,8.0,27.0,55.0,14.0,45.0,41.0,f,f,5,f,United Kingdom of Great Britain and Northern Ireland,2.0,12.0,5.0,0.0,277.0,3.0,0.0,22.0,45.0,16.0,22.0,15.0,23.0,2.0,3.0,8.0,240.0,14.0,29.0,14.0,26.0,5.0,6.0,9.0,31.0,45.0,28.0,55.0,59.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
6,2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,625300.0,€,2012,amir-weintraub,A. Weintraub,michael-yani,M. Yani,london,2nd Round Qualifying,2.0,f,250,0,01:04:00,126.0,2.0,13.0,7.0,1.0,1.0,305.0,7.0,4.0,47.0,68.0,38.0,47.0,11.0,21.0,2.0,2.0,10.0,141.0,11.0,38.0,8.0,20.0,2.0,4.0,9.0,49.0,68.0,19.0,58.0,68.0,t,f,5,t,United Kingdom of Great Britain and Northern Ireland,0.0,7.0,13.0,0.0,278.0,6.0,2.0,38.0,58.0,27.0,38.0,12.0,20.0,2.0,4.0,9.0,67.0,9.0,47.0,10.0,21.0,0.0,2.0,10.0,39.0,58.0,19.0,68.0,58.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
7,2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,625300.0,€,2012,andrew-fitzpatrick,A. Fitzpatrick,bobby-reynolds,B. Reynolds,london,2nd Round Qualifying,2.0,f,250,0,01:44:00,175.0,0.0,10.0,14.0,0.0,0.0,226.0,5.0,9.0,60.0,104.0,40.0,60.0,17.0,44.0,13.0,17.0,12.0,125.0,14.0,53.0,9.0,18.0,2.0,6.0,12.0,57.0,104.0,23.0,71.0,80.0,f,f,,f,United Kingdom of Great Britain and Northern Ireland,2.0,14.0,10.0,0.0,286.0,6.0,2.0,53.0,71.0,39.0,53.0,9.0,18.0,4.0,6.0,12.0,151.0,20.0,60.0,27.0,44.0,4.0,17.0,12.0,48.0,71.0,47.0,104.0,95.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
8,2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,625300.0,€,2012,andy-murray,A. Murray,nicolas-mahut,N. Mahut,london,Round of 32,3.0,f,250,3,02:36:00,237.0,1.0,16.0,19.0,1.0,2.0,272.0,7.0,1.0,79.0,116.0,56.0,79.0,17.0,37.0,7.0,10.0,16.0,118.0,18.0,79.0,23.0,42.0,2.0,7.0,17.0,73.0,116.0,41.0,121.0,114.0,f,f,1,f,United Kingdom of Great Britain and Northern Ireland,2.0,19.0,16.0,1.0,282.0,13.0,6.0,79.0,121.0,61.0,79.0,19.0,42.0,5.0,7.0,17.0,131.0,23.0,79.0,20.0,37.0,3.0,10.0,16.0,80.0,121.0,43.0,116.0,123.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
9,2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,625300.0,€,2012,andy-roddick,A. Roddick,edouard-roger-vasselin,E. Roger-Vasselin,london,Round of 32,3.0,f,250,3,02:01:00,180.0,1.0,15.0,17.0,0.0,0.0,322.0,22.0,2.0,65.0,82.0,50.0,65.0,10.0,17.0,3.0,5.0,16.0,91.0,14.0,63.0,15.0,35.0,1.0,5.0,16.0,60.0,82.0,29.0,98.0,89.0,f,f,7,f,United Kingdom of Great Britain and Northern Ireland,2.0,17.0,15.0,0.0,303.0,13.0,2.0,63.0,98.0,49.0,63.0,20.0,35.0,4.0,5.0,16.0,116.0,15.0,65.0,7.0,17.0,2.0,5.0,16.0,69.0,98.0,22.0,82.0,91.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
