start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2010-11-08,2010-11-14,United Kingdom of Great Britain and Northern Ireland,Hard,42500.0,€,2010,adrian-mannarino,A. Mannarino,matthias-bachinger,M. Bachinger,loughborough_challenger,Round of 32,3.0,f,100,3,01:42:00,160.0,1.0,10.0,16.0,0.0,0.0,218.0,2.0,4.0,49.0,90.0,29.0,49.0,19.0,41.0,10.0,15.0,13.0,185.0,10.0,42.0,13.0,28.0,2.0,2.0,13.0,48.0,90.0,23.0,70.0,71.0,f,f,2,f,United Kingdom of Great Britain and Northern Ireland,2.0,16.0,10.0,0.0,282.0,9.0,1.0,42.0,70.0,32.0,42.0,15.0,28.0,0.0,2.0,13.0,166.0,20.0,49.0,22.0,41.0,5.0,15.0,13.0,47.0,70.0,42.0,90.0,89.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
2010-11-08,2010-11-14,United Kingdom of Great Britain and Northern Ireland,Hard,42500.0,€,2010,alexander-slabinsky,A. Slabinsky,luke-bambridge,L. Bambridge,loughborough_challenger,2nd Round Qualifying,2.0,f,100,1,00:56:00,100.0,2.0,12.0,4.0,0.0,0.0,282.0,3.0,2.0,30.0,46.0,22.0,30.0,9.0,16.0,1.0,2.0,8.0,228.0,11.0,30.0,19.0,24.0,5.0,10.0,8.0,31.0,46.0,30.0,54.0,61.0,t,f,4,t,United Kingdom of Great Britain and Northern Ireland,0.0,4.0,12.0,0.0,181.0,6.0,2.0,30.0,54.0,19.0,30.0,5.0,24.0,5.0,10.0,8.0,133.0,8.0,30.0,7.0,16.0,1.0,2.0,8.0,24.0,54.0,15.0,46.0,39.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
2010-11-08,2010-11-14,United Kingdom of Great Britain and Northern Ireland,Hard,42500.0,€,2010,alexander-slabinsky,A. Slabinsky,sean-thornley,S. Thornley,loughborough_challenger,3rd Round Qualifying,2.0,f,100,2,01:36:00,159.0,0.0,11.0,14.0,0.0,1.0,252.0,3.0,2.0,45.0,76.0,31.0,45.0,15.0,31.0,1.0,4.0,12.0,124.0,13.0,41.0,18.0,42.0,2.0,6.0,12.0,46.0,76.0,31.0,83.0,77.0,f,f,4,f,United Kingdom of Great Britain and Northern Ireland,2.0,14.0,11.0,1.0,267.0,10.0,0.0,41.0,83.0,28.0,41.0,24.0,42.0,4.0,6.0,12.0,183.0,14.0,45.0,16.0,31.0,3.0,4.0,12.0,52.0,83.0,30.0,76.0,82.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
2010-11-08,2010-11-14,United Kingdom of Great Britain and Northern Ireland,Hard,42500.0,€,2010,andis-juska,A. Juska,james-ward,J. Ward,loughborough_challenger,Round of 32,2.0,f,100,3,01:20:00,123.0,0.0,7.0,12.0,0.0,0.0,251.0,11.0,5.0,35.0,65.0,26.0,35.0,12.0,30.0,4.0,6.0,9.0,60.0,6.0,35.0,10.0,23.0,0.0,0.0,10.0,38.0,65.0,16.0,58.0,54.0,f,f,,f,United Kingdom of Great Britain and Northern Ireland,2.0,12.0,7.0,0.0,301.0,2.0,1.0,35.0,58.0,29.0,35.0,13.0,23.0,0.0,0.0,10.0,141.0,9.0,35.0,18.0,30.0,2.0,6.0,9.0,42.0,58.0,27.0,65.0,69.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
2010-11-08,2010-11-14,United Kingdom of Great Britain and Northern Ireland,Hard,42500.0,€,2010,andreas-haider-maurer,A. Haider-Maurer,james-ward,J. Ward,loughborough_challenger,Quarter-Finals,2.0,f,100,5,01:07:00,98.0,0.0,5.0,12.0,0.0,0.0,236.0,7.0,2.0,23.0,47.0,20.0,23.0,8.0,24.0,4.0,7.0,8.0,51.0,7.0,29.0,6.0,22.0,0.0,3.0,9.0,28.0,47.0,13.0,51.0,41.0,f,f,3,f,United Kingdom of Great Britain and Northern Ireland,2.0,12.0,5.0,0.0,311.0,7.0,2.0,29.0,51.0,22.0,29.0,16.0,22.0,3.0,3.0,9.0,160.0,3.0,23.0,16.0,24.0,3.0,7.0,8.0,38.0,51.0,19.0,47.0,57.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
2010-11-08,2010-11-14,United Kingdom of Great Britain and Northern Ireland,Hard,42500.0,€,2010,andreas-haider-maurer,A. Haider-Maurer,sean-thornley,S. Thornley,loughborough_challenger,Round of 32,2.0,f,100,3,00:59:00,84.0,2.0,12.0,3.0,0.0,0.0,300.0,4.0,3.0,24.0,46.0,20.0,24.0,14.0,22.0,1.0,1.0,8.0,224.0,9.0,18.0,12.0,20.0,4.0,7.0,7.0,34.0,46.0,21.0,38.0,55.0,t,f,3,t,United Kingdom of Great Britain and Northern Ireland,0.0,3.0,12.0,0.0,176.0,1.0,4.0,18.0,38.0,9.0,18.0,8.0,20.0,3.0,7.0,7.0,53.0,4.0,24.0,8.0,22.0,0.0,1.0,8.0,17.0,38.0,12.0,46.0,29.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
2010-11-08,2010-11-14,United Kingdom of Great Britain and Northern Ireland,Hard,42500.0,€,2010,andreas-haider-maurer,A. Haider-Maurer,yannick-mertens,Y. Mertens,loughborough_challenger,Round of 16,3.0,f,100,4,02:01:00,188.0,2.0,16.0,16.0,1.0,1.0,255.0,9.0,9.0,61.0,92.0,51.0,61.0,10.0,31.0,2.0,6.0,15.0,154.0,20.0,64.0,13.0,32.0,4.0,7.0,16.0,61.0,92.0,33.0,96.0,94.0,t,f,3,t,United Kingdom of Great Britain and Northern Ireland,1.0,16.0,16.0,0.0,266.0,5.0,9.0,64.0,96.0,44.0,64.0,19.0,32.0,3.0,7.0,16.0,177.0,10.0,61.0,21.0,31.0,4.0,6.0,15.0,63.0,96.0,31.0,92.0,94.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
2010-11-08,2010-11-14,United Kingdom of Great Britain and Northern Ireland,Hard,42500.0,€,2010,andrew-fitzpatrick,A. Fitzpatrick,ben-pritchard,B. Pritchard,loughborough_challenger,1st Round Qualifying,2.0,f,100,0,01:20:00,138.0,2.0,12.0,7.0,0.0,0.0,248.0,5.0,8.0,41.0,77.0,31.0,41.0,15.0,36.0,10.0,12.0,10.0,198.0,14.0,39.0,15.0,22.0,4.0,8.0,9.0,46.0,77.0,29.0,61.0,75.0,t,f,,t,United Kingdom of Great Britain and Northern Ireland,0.0,7.0,12.0,0.0,219.0,5.0,1.0,39.0,61.0,25.0,39.0,7.0,22.0,4.0,8.0,9.0,119.0,10.0,41.0,21.0,36.0,2.0,12.0,10.0,32.0,61.0,31.0,77.0,63.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
2010-11-08,2010-11-14,United Kingdom of Great Britain and Northern Ireland,Hard,42500.0,€,2010,andrew-fitzpatrick,A. Fitzpatrick,martin-klizan,M. Klizan,loughborough_challenger,2nd Round Qualifying,2.0,f,100,1,01:19:00,132.0,2.0,12.0,7.0,0.0,0.0,285.0,2.0,5.0,29.0,62.0,24.0,29.0,19.0,33.0,2.0,2.0,10.0,130.0,12.0,36.0,17.0,34.0,2.0,8.0,9.0,43.0,62.0,29.0,70.0,72.0,t,f,,t,United Kingdom of Great Britain and Northern Ireland,0.0,7.0,12.0,0.0,245.0,3.0,3.0,36.0,70.0,24.0,36.0,17.0,34.0,6.0,8.0,9.0,59.0,5.0,29.0,14.0,33.0,0.0,2.0,10.0,41.0,70.0,19.0,62.0,60.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
2010-11-08,2010-11-14,United Kingdom of Great Britain and Northern Ireland,Hard,42500.0,€,2010,andrew-fitzpatrick,A. Fitzpatrick,max-raditschnigg,M. Raditschnigg,loughborough_challenger,3rd Round Qualifying,2.0,f,100,2,01:15:00,141.0,0.0,10.0,13.0,0.0,1.0,272.0,1.0,3.0,43.0,80.0,36.0,43.0,17.0,37.0,7.0,8.0,11.0,42.0,7.0,40.0,5.0,21.0,0.0,0.0,11.0,53.0,80.0,12.0,61.0,65.0,f,f,,f,United Kingdom of Great Britain and Northern Ireland,2.0,13.0,10.0,1.0,329.0,5.0,1.0,40.0,61.0,33.0,40.0,16.0,21.0,0.0,0.0,11.0,92.0,7.0,43.0,20.0,37.0,1.0,8.0,11.0,49.0,61.0,27.0,80.0,76.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
