start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2018-05-06,2018-05-13,Spain,Clay,6200860.0,€,2018,adrian-mannarino,A. Mannarino,diego-schwartzman,D. Schwartzman,madrid,Round of 64,2.0,f,1000,2,01:09:00,96.0,0.0,4.0,12.0,0.0,0.0,226.0,0.0,0.0,36.0,51.0,21.0,36.0,7.0,15.0,3.0,7.0,8.0,44.0,1.0,22.0,9.0,23.0,0.0,1.0,8.0,28.0,51.0,10.0,45.0,38.0,f,f,,f,Spain,2.0,12.0,4.0,0.0,305.0,1.0,1.0,22.0,45.0,21.0,22.0,14.0,23.0,1.0,1.0,8.0,202.0,15.0,36.0,8.0,15.0,4.0,7.0,8.0,35.0,45.0,23.0,51.0,58.0,t,f,t,Spain
2018-05-06,2018-05-13,Spain,Clay,6200860.0,€,2018,albert-ramos-vinolas,A. Ramos-Vinolas,pablo-cuevas,P. Cuevas,madrid,Round of 32,3.0,f,1000,3,01:59:00,152.0,1.0,10.0,18.0,1.0,1.0,261.0,4.0,1.0,56.0,85.0,34.0,56.0,18.0,29.0,6.0,10.0,13.0,30.0,5.0,46.0,4.0,21.0,0.0,0.0,14.0,52.0,85.0,9.0,67.0,61.0,f,f,,f,Spain,2.0,18.0,10.0,0.0,354.0,15.0,0.0,46.0,67.0,41.0,46.0,17.0,21.0,0.0,0.0,14.0,147.0,22.0,56.0,11.0,29.0,4.0,10.0,13.0,58.0,67.0,33.0,85.0,91.0,t,f,t,Spain
2018-05-06,2018-05-13,Spain,Clay,6200860.0,€,2018,albert-ramos-vinolas,A. Ramos-Vinolas,peter-gojowczyk,P. Gojowczyk,madrid,Round of 64,3.0,f,1000,2,02:32:00,219.0,2.0,18.0,14.0,0.0,0.0,252.0,7.0,6.0,77.0,120.0,50.0,77.0,20.0,43.0,9.0,13.0,16.0,215.0,16.0,56.0,27.0,43.0,6.0,7.0,16.0,70.0,120.0,43.0,99.0,113.0,t,f,,f,Spain,1.0,14.0,18.0,0.0,228.0,5.0,4.0,56.0,99.0,40.0,56.0,16.0,43.0,1.0,7.0,16.0,144.0,27.0,77.0,23.0,43.0,4.0,13.0,16.0,56.0,99.0,50.0,120.0,106.0,f,f,t,Spain
2018-05-06,2018-05-13,Spain,Clay,6200860.0,€,2018,alejandro-davidovich-fokina,A. Davidovich Fokina,taylor-fritz,T. Fritz,madrid,1st Round Qualifying,3.0,f,1000,0,02:01:00,198.0,1.0,14.0,15.0,0.0,0.0,266.0,4.0,4.0,74.0,103.0,45.0,74.0,16.0,29.0,6.0,9.0,14.0,124.0,15.0,50.0,21.0,45.0,3.0,11.0,15.0,61.0,103.0,36.0,95.0,97.0,f,f,WC,t,Spain,2.0,15.0,14.0,0.0,262.0,7.0,1.0,50.0,95.0,35.0,50.0,24.0,45.0,8.0,11.0,15.0,138.0,29.0,74.0,13.0,29.0,3.0,9.0,14.0,59.0,95.0,42.0,103.0,101.0,t,f,f,Spain
2018-05-06,2018-05-13,Spain,Clay,6200860.0,€,2018,alexander-zverev,A. Zverev,denis-shapovalov,D. Shapovalov,madrid,Semi-Finals,2.0,f,1000,6,00:57:00,88.0,2.0,12.0,5.0,0.0,0.0,314.0,2.0,1.0,26.0,42.0,23.0,26.0,10.0,16.0,0.0,0.0,8.0,246.0,13.0,31.0,9.0,15.0,4.0,4.0,9.0,33.0,42.0,22.0,46.0,55.0,t,f,2,t,Spain,0.0,5.0,12.0,0.0,219.0,0.0,1.0,31.0,46.0,18.0,31.0,6.0,15.0,0.0,4.0,9.0,50.0,3.0,26.0,6.0,16.0,0.0,0.0,8.0,24.0,46.0,9.0,42.0,33.0,f,f,f,Spain
2018-05-06,2018-05-13,Spain,Clay,6200860.0,€,2018,alexander-zverev,A. Zverev,dominic-thiem,D. Thiem,madrid,Finals,2.0,f,1000,7,01:19:00,110.0,2.0,12.0,8.0,0.0,0.0,317.0,1.0,0.0,35.0,54.0,29.0,35.0,13.0,19.0,0.0,0.0,10.0,143.0,10.0,36.0,9.0,20.0,2.0,4.0,10.0,42.0,54.0,19.0,56.0,61.0,t,f,2,t,Spain,0.0,8.0,12.0,0.0,271.0,2.0,2.0,36.0,56.0,26.0,36.0,11.0,20.0,2.0,4.0,10.0,49.0,6.0,35.0,6.0,19.0,0.0,0.0,10.0,37.0,56.0,12.0,54.0,49.0,f,f,f,Spain
2018-05-06,2018-05-13,Spain,Clay,6200860.0,€,2018,alexander-zverev,A. Zverev,evgeny-donskoy,E. Donskoy,madrid,Round of 32,2.0,f,1000,3,01:15:00,119.0,2.0,13.0,7.0,0.0,0.0,327.0,4.0,0.0,34.0,51.0,29.0,34.0,12.0,17.0,0.0,0.0,10.0,166.0,16.0,48.0,14.0,20.0,3.0,9.0,10.0,41.0,51.0,30.0,68.0,71.0,t,f,2,t,Spain,0.0,7.0,13.0,0.0,239.0,1.0,0.0,48.0,68.0,32.0,48.0,6.0,20.0,6.0,9.0,10.0,44.0,5.0,34.0,5.0,17.0,0.0,0.0,10.0,38.0,68.0,10.0,51.0,48.0,f,f,f,Spain
2018-05-06,2018-05-13,Spain,Clay,6200860.0,€,2018,alexander-zverev,A. Zverev,john-isner,J. Isner,madrid,Quarter-Finals,2.0,f,1000,5,01:19:00,128.0,2.0,13.0,9.0,0.0,0.0,357.0,5.0,0.0,35.0,51.0,29.0,35.0,16.0,16.0,0.0,0.0,11.0,146.0,23.0,66.0,7.0,11.0,2.0,7.0,11.0,45.0,51.0,30.0,77.0,75.0,t,f,2,t,Spain,0.0,9.0,13.0,0.0,277.0,9.0,0.0,66.0,77.0,43.0,66.0,4.0,11.0,5.0,7.0,11.0,17.0,6.0,35.0,0.0,16.0,0.0,0.0,11.0,47.0,77.0,6.0,51.0,53.0,f,f,f,Spain
2018-05-06,2018-05-13,Spain,Clay,6200860.0,€,2018,alexander-zverev,A. Zverev,leonardo-mayer,L. Mayer,madrid,Round of 16,2.0,f,1000,4,01:10:00,102.0,2.0,12.0,6.0,0.0,0.0,341.0,3.0,0.0,33.0,45.0,27.0,33.0,10.0,12.0,1.0,1.0,9.0,177.0,18.0,38.0,7.0,19.0,3.0,5.0,9.0,37.0,45.0,25.0,57.0,62.0,t,f,2,t,Spain,0.0,6.0,12.0,0.0,249.0,0.0,0.0,38.0,57.0,20.0,38.0,12.0,19.0,2.0,5.0,9.0,35.0,6.0,33.0,2.0,12.0,0.0,1.0,9.0,32.0,57.0,8.0,45.0,40.0,f,f,f,Spain
2018-05-06,2018-05-13,Spain,Clay,6200860.0,€,2018,benoit-paire,B. Paire,denis-shapovalov,D. Shapovalov,madrid,Round of 32,3.0,f,1000,3,02:09:00,200.0,1.0,16.0,17.0,0.0,1.0,265.0,8.0,7.0,54.0,98.0,43.0,54.0,21.0,44.0,4.0,7.0,16.0,123.0,14.0,57.0,21.0,45.0,3.0,9.0,16.0,64.0,98.0,35.0,102.0,99.0,f,f,,f,Spain,2.0,17.0,16.0,1.0,267.0,8.0,6.0,57.0,102.0,43.0,57.0,24.0,45.0,6.0,9.0,16.0,133.0,11.0,54.0,23.0,44.0,3.0,7.0,16.0,67.0,102.0,34.0,98.0,101.0,t,f,t,Spain
