,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2010-08-23,2010-08-29,Italy,Clay,64000.0,€,2010,adrian-garcia,A. Garcia,alberto-brizzi,A. Brizzi,manerbio_challenger,Round of 16,2.0,f,100,4,02:25:00,127.0,0.0,8.0,12.0,0.0,0.0,257.0,3.0,1.0,44.0,64.0,29.0,44.0,10.0,20.0,5.0,8.0,10.0,127.0,11.0,40.0,9.0,23.0,1.0,2.0,10.0,39.0,64.0,20.0,63.0,59.0,f,f,Q,f,Italy,2.0,12.0,8.0,0.0,286.0,3.0,4.0,40.0,63.0,29.0,40.0,14.0,23.0,1.0,2.0,10.0,152.0,15.0,44.0,10.0,20.0,3.0,8.0,10.0,43.0,63.0,25.0,64.0,68.0,t,f,t,Italy
1,2010-08-23,2010-08-29,Italy,Clay,64000.0,€,2010,adrian-garcia,A. Garcia,patricio-heras,P. Heras,manerbio_challenger,2nd Round Qualifying,3.0,f,100,1,02:11:00,176.0,2.0,18.0,10.0,0.0,1.0,306.0,5.0,4.0,58.0,84.0,43.0,58.0,16.0,26.0,5.0,5.0,13.0,199.0,29.0,73.0,10.0,19.0,5.0,7.0,14.0,59.0,84.0,39.0,92.0,98.0,t,f,1 WC,f,Italy,1.0,10.0,18.0,1.0,250.0,1.0,1.0,73.0,92.0,44.0,73.0,9.0,19.0,2.0,7.0,14.0,64.0,15.0,58.0,10.0,26.0,0.0,5.0,13.0,53.0,92.0,25.0,84.0,78.0,f,f,t,Italy
2,2010-08-23,2010-08-29,Italy,Clay,64000.0,€,2010,adrian-garcia,A. Garcia,riccardo-sinicropi,R. Sinicropi,manerbio_challenger,3rd Round Qualifying,3.0,f,100,2,01:43:00,156.0,2.0,14.0,10.0,0.0,0.0,266.0,5.0,5.0,55.0,86.0,35.0,55.0,17.0,31.0,6.0,8.0,12.0,194.0,21.0,51.0,10.0,19.0,4.0,6.0,12.0,52.0,86.0,31.0,70.0,83.0,t,f,1 WC,f,Italy,1.0,10.0,14.0,0.0,245.0,2.0,2.0,51.0,70.0,30.0,51.0,9.0,19.0,2.0,6.0,12.0,122.0,20.0,55.0,14.0,31.0,2.0,8.0,12.0,39.0,70.0,34.0,86.0,73.0,f,f,t,Italy
3,2010-08-23,2010-08-29,Italy,Clay,64000.0,€,2010,adrian-garcia,A. Garcia,stefano-galvani,S. Galvani,manerbio_challenger,Round of 32,2.0,f,100,3,01:40:00,142.0,2.0,12.0,6.0,0.0,0.0,276.0,5.0,2.0,72.0,79.0,47.0,72.0,2.0,7.0,7.0,8.0,9.0,220.0,23.0,54.0,8.0,9.0,4.0,9.0,9.0,49.0,79.0,31.0,63.0,80.0,t,f,Q,t,Italy,0.0,6.0,12.0,0.0,207.0,2.0,4.0,54.0,63.0,31.0,54.0,1.0,9.0,5.0,9.0,9.0,130.0,25.0,72.0,5.0,7.0,1.0,8.0,9.0,32.0,63.0,30.0,79.0,62.0,f,f,f,Italy
4,2010-08-23,2010-08-29,Italy,Clay,64000.0,€,2010,agustin-boje-ordonez,A. Boje-Ordonez,gabriel-trujillo-soler,G. Trujillo-Soler,manerbio_challenger,Round of 32,2.0,f,100,3,01:27:00,118.0,0.0,7.0,13.0,0.0,1.0,248.0,0.0,3.0,33.0,51.0,23.0,33.0,9.0,18.0,1.0,4.0,9.0,102.0,9.0,39.0,10.0,28.0,1.0,3.0,10.0,32.0,51.0,19.0,67.0,51.0,f,f,,f,Italy,2.0,13.0,7.0,1.0,287.0,1.0,3.0,39.0,67.0,30.0,39.0,18.0,28.0,2.0,3.0,10.0,188.0,10.0,33.0,9.0,18.0,3.0,4.0,9.0,48.0,67.0,19.0,51.0,67.0,t,f,t,Italy
5,2010-08-23,2010-08-29,Italy,Clay,64000.0,€,2010,alberto-brizzi,A. Brizzi,diego-junqueira,D. Junqueira,manerbio_challenger,Round of 32,2.0,f,100,3,00:30:00,47.0,2.0,7.0,1.0,0.0,0.0,296.0,2.0,0.0,17.0,25.0,15.0,17.0,3.0,8.0,0.0,0.0,4.0,263.0,10.0,16.0,3.0,6.0,3.0,4.0,4.0,18.0,25.0,13.0,22.0,31.0,t,t,WC,t,Italy,0.0,1.0,7.0,0.0,185.0,0.0,1.0,16.0,22.0,6.0,16.0,3.0,6.0,1.0,4.0,4.0,75.0,2.0,17.0,5.0,8.0,0.0,0.0,4.0,9.0,22.0,7.0,25.0,16.0,f,t,f,Italy
6,2010-08-23,2010-08-29,Italy,Clay,64000.0,€,2010,alberto-brizzi,A. Brizzi,filippo-volandri,F. Volandri,manerbio_challenger,Quarter-Finals,3.0,f,100,5,02:47:00,231.0,2.0,17.0,14.0,0.0,0.0,264.0,4.0,2.0,82.0,128.0,52.0,82.0,25.0,46.0,15.0,18.0,16.0,139.0,29.0,77.0,12.0,26.0,4.0,14.0,15.0,77.0,128.0,41.0,103.0,118.0,t,f,WC,t,Italy,1.0,14.0,17.0,0.0,260.0,0.0,4.0,77.0,103.0,48.0,77.0,14.0,26.0,10.0,14.0,15.0,118.0,30.0,82.0,21.0,46.0,3.0,18.0,16.0,62.0,103.0,51.0,128.0,113.0,f,f,f,Italy
7,2010-08-23,2010-08-29,Italy,Clay,64000.0,€,2010,alberto-brizzi,A. Brizzi,marco-crugnola,M. Crugnola,manerbio_challenger,Semi-Finals,3.0,f,100,6,02:43:00,223.0,1.0,15.0,19.0,1.0,2.0,244.0,5.0,2.0,62.0,115.0,42.0,62.0,27.0,53.0,8.0,13.0,16.0,131.0,21.0,73.0,16.0,35.0,3.0,8.0,16.0,69.0,115.0,37.0,108.0,106.0,f,f,WC,t,Italy,2.0,19.0,15.0,1.0,280.0,11.0,5.0,73.0,108.0,52.0,73.0,19.0,35.0,5.0,8.0,16.0,150.0,20.0,62.0,26.0,53.0,5.0,13.0,16.0,71.0,108.0,46.0,115.0,117.0,t,f,f,Italy
8,2010-08-23,2010-08-29,Italy,Clay,64000.0,€,2010,alejandro-gonzalez,A. Gonzalez,jiri-vanek,J. Vanek,manerbio_challenger,Round of 32,2.0,f,100,3,01:21:00,108.0,0.0,4.0,12.0,0.0,0.0,184.0,1.0,2.0,28.0,48.0,14.0,28.0,8.0,20.0,2.0,7.0,8.0,110.0,13.0,40.0,8.0,20.0,1.0,4.0,8.0,22.0,48.0,21.0,60.0,43.0,f,f,,f,Italy,2.0,12.0,4.0,0.0,284.0,2.0,0.0,40.0,60.0,27.0,40.0,12.0,20.0,3.0,4.0,8.0,243.0,14.0,28.0,12.0,20.0,5.0,7.0,8.0,39.0,60.0,26.0,48.0,65.0,t,f,t,Italy
9,2010-08-23,2010-08-29,Italy,Clay,64000.0,€,2010,alessandro-motti,A. Motti,marcel-zimmermann,M. Zimmermann,manerbio_challenger,1st Round Qualifying,2.0,f,100,0,00:54:00,95.0,0.0,1.0,12.0,0.0,0.0,138.0,2.0,6.0,21.0,47.0,9.0,21.0,10.0,26.0,1.0,6.0,6.0,60.0,3.0,18.0,13.0,30.0,0.0,1.0,7.0,19.0,47.0,16.0,48.0,35.0,f,f,,f,Italy,2.0,12.0,1.0,0.0,278.0,5.0,5.0,18.0,48.0,15.0,18.0,17.0,30.0,1.0,1.0,7.0,285.0,12.0,21.0,16.0,26.0,5.0,6.0,6.0,32.0,48.0,28.0,47.0,60.0,t,f,t,Italy
