start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2015-08-24,2015-08-30,Italy,Clay,42500.0,€,2015,adrian-sikora,A. Sikora,arthur-de-greef,A. De Greef,manerbio_challenger,1st Round Qualifying,2.0,f,100,0,01:12:00,96.0,0.0,4.0,12.0,0.0,0.0,171.0,1.0,3.0,38.0,50.0,18.0,38.0,3.0,12.0,5.0,11.0,8.0,210.0,9.0,26.0,10.0,20.0,2.0,2.0,8.0,21.0,50.0,19.0,46.0,40.0,f,f,8,f,Italy,2.0,12.0,4.0,0.0,251.0,4.0,0.0,26.0,46.0,17.0,26.0,10.0,20.0,0.0,2.0,8.0,258.0,20.0,38.0,9.0,12.0,6.0,11.0,8.0,27.0,46.0,29.0,50.0,56.0,t,f,t,Italy
2015-08-24,2015-08-30,Italy,Clay,42500.0,€,2015,adrian-ungur,A. Ungur,pedro-cachin,P. Cachin,manerbio_challenger,Round of 32,2.0,f,100,3,01:29:00,133.0,0.0,9.0,13.0,0.0,1.0,225.0,3.0,5.0,45.0,69.0,27.0,45.0,10.0,24.0,1.0,5.0,10.0,208.0,12.0,41.0,12.0,23.0,3.0,3.0,11.0,37.0,69.0,24.0,64.0,61.0,f,f,,f,Italy,2.0,13.0,9.0,1.0,257.0,5.0,3.0,41.0,64.0,29.0,41.0,11.0,23.0,0.0,3.0,11.0,218.0,18.0,45.0,14.0,24.0,4.0,5.0,10.0,40.0,64.0,32.0,69.0,72.0,t,f,t,Italy
2015-08-24,2015-08-30,Italy,Clay,42500.0,€,2015,adrien-bossel,A. Bossel,daniel-munoz-de-la-nava,D. Munoz de la Nava,manerbio_challenger,Round of 32,2.0,f,100,3,01:18:00,106.0,0.0,5.0,12.0,0.0,0.0,213.0,1.0,4.0,21.0,50.0,14.0,21.0,13.0,29.0,4.0,7.0,8.0,61.0,3.0,33.0,12.0,23.0,0.0,2.0,9.0,27.0,50.0,15.0,56.0,42.0,f,f,,f,Italy,2.0,12.0,5.0,0.0,300.0,4.0,2.0,33.0,56.0,30.0,33.0,11.0,23.0,2.0,2.0,9.0,168.0,7.0,21.0,16.0,29.0,3.0,7.0,8.0,41.0,56.0,23.0,50.0,64.0,t,f,t,Italy
2015-08-24,2015-08-30,Italy,Clay,42500.0,€,2015,alessandro-giannessi,A. Giannessi,filippo-volandri,F. Volandri,manerbio_challenger,Round of 32,3.0,f,100,3,01:35:00,127.0,1.0,8.0,12.0,0.0,0.0,223.0,0.0,0.0,39.0,59.0,24.0,39.0,7.0,20.0,1.0,5.0,10.0,111.0,20.0,52.0,5.0,16.0,2.0,9.0,10.0,31.0,59.0,25.0,68.0,56.0,f,t,,t,Italy,2.0,12.0,8.0,0.0,292.0,5.0,0.0,52.0,68.0,32.0,52.0,11.0,16.0,7.0,9.0,10.0,223.0,15.0,39.0,13.0,20.0,4.0,5.0,10.0,43.0,68.0,28.0,59.0,71.0,t,t,f,Italy
2015-08-24,2015-08-30,Italy,Clay,42500.0,€,2015,alessandro-motti,A. Motti,lorenzo-giustino,L. Giustino,manerbio_challenger,1st Round Qualifying,2.0,f,100,0,01:00:00,99.0,0.0,3.0,12.0,0.0,0.0,170.0,2.0,10.0,33.0,66.0,17.0,33.0,13.0,33.0,9.0,14.0,8.0,32.0,2.0,19.0,3.0,14.0,0.0,0.0,7.0,30.0,66.0,5.0,33.0,35.0,f,f,,f,Italy,2.0,12.0,3.0,0.0,329.0,3.0,0.0,19.0,33.0,17.0,19.0,11.0,14.0,0.0,0.0,7.0,207.0,16.0,33.0,20.0,33.0,5.0,14.0,8.0,28.0,33.0,36.0,66.0,64.0,t,f,t,Italy
2015-08-24,2015-08-30,Italy,Clay,42500.0,€,2015,alessandro-petrone,A. Petrone,jaume-munar,J. Munar,manerbio_challenger,1st Round Qualifying,2.0,f,100,0,01:10:00,114.0,0.0,5.0,12.0,0.0,0.0,219.0,1.0,0.0,35.0,50.0,18.0,35.0,7.0,15.0,5.0,9.0,8.0,108.0,13.0,44.0,10.0,20.0,1.0,6.0,9.0,25.0,50.0,23.0,64.0,48.0,f,f,,f,Italy,2.0,12.0,5.0,0.0,276.0,1.0,2.0,44.0,64.0,31.0,44.0,10.0,20.0,5.0,6.0,9.0,196.0,17.0,35.0,8.0,15.0,4.0,9.0,8.0,41.0,64.0,25.0,50.0,66.0,t,f,t,Italy
2015-08-24,2015-08-30,Italy,Clay,42500.0,€,2015,alexis-musialek,A. Musialek,federico-gaio,F. Gaio,manerbio_challenger,Round of 32,2.0,f,100,3,01:48:00,158.0,0.0,9.0,13.0,0.0,1.0,251.0,0.0,1.0,64.0,97.0,45.0,64.0,12.0,33.0,9.0,11.0,10.0,159.0,7.0,33.0,8.0,28.0,1.0,1.0,11.0,57.0,97.0,15.0,61.0,72.0,f,f,,f,Italy,2.0,13.0,9.0,1.0,303.0,12.0,3.0,33.0,61.0,26.0,33.0,20.0,28.0,0.0,1.0,11.0,132.0,19.0,64.0,21.0,33.0,2.0,11.0,10.0,46.0,61.0,40.0,97.0,86.0,t,f,t,Italy
2015-08-24,2015-08-30,Italy,Clay,42500.0,€,2015,andrej-martin,A. Martin,federico-gaio,F. Gaio,manerbio_challenger,Round of 16,2.0,f,100,4,01:30:00,130.0,0.0,6.0,13.0,0.0,1.0,203.0,0.0,1.0,43.0,65.0,23.0,43.0,9.0,22.0,7.0,12.0,9.0,127.0,10.0,35.0,14.0,30.0,2.0,7.0,9.0,32.0,65.0,24.0,65.0,56.0,f,f,5,f,Italy,2.0,13.0,6.0,1.0,257.0,5.0,3.0,35.0,65.0,25.0,35.0,16.0,30.0,5.0,7.0,9.0,203.0,20.0,43.0,13.0,22.0,5.0,12.0,9.0,41.0,65.0,33.0,65.0,74.0,t,f,t,Italy
2015-08-24,2015-08-30,Italy,Clay,42500.0,€,2015,andrej-martin,A. Martin,ruben-ramirez-hidalgo,R. Ramirez Hidalgo,manerbio_challenger,Round of 32,3.0,f,100,3,02:09:00,176.0,2.0,18.0,12.0,0.0,1.0,274.0,7.0,2.0,70.0,99.0,44.0,70.0,16.0,29.0,3.0,6.0,15.0,200.0,11.0,41.0,20.0,36.0,6.0,8.0,14.0,60.0,99.0,31.0,77.0,91.0,t,f,5,t,Italy,1.0,12.0,18.0,1.0,221.0,0.0,6.0,41.0,77.0,30.0,41.0,16.0,36.0,2.0,8.0,14.0,152.0,26.0,70.0,13.0,29.0,3.0,6.0,15.0,46.0,77.0,39.0,99.0,85.0,f,f,f,Italy
2015-08-24,2015-08-30,Italy,Clay,42500.0,€,2015,andrey-kuznetsov,A. Kuznetsov,antonio-veic,A. Veic,manerbio_challenger,Round of 32,2.0,f,100,3,00:56:00,98.0,2.0,12.0,4.0,0.0,0.0,308.0,6.0,2.0,22.0,43.0,20.0,22.0,13.0,21.0,1.0,1.0,8.0,204.0,16.0,39.0,11.0,16.0,4.0,9.0,8.0,33.0,43.0,27.0,55.0,60.0,t,f,2,t,Italy,0.0,4.0,12.0,0.0,214.0,4.0,1.0,39.0,55.0,23.0,39.0,5.0,16.0,5.0,9.0,8.0,47.0,2.0,22.0,8.0,21.0,0.0,1.0,8.0,28.0,55.0,10.0,43.0,38.0,f,f,f,Italy
