,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2016-06-27,2016-07-02,Germany,Clay,42500.0,€,2016,agustin-velotti,A. Velotti,germain-gigounon,G. Gigounon,marburg_challenger,2nd Round Qualifying,3.0,f,100,1,01:41:00,155.0,1.0,9.0,16.0,0.0,0.0,237.0,1.0,0.0,56.0,77.0,32.0,56.0,10.0,21.0,9.0,14.0,12.0,139.0,13.0,48.0,14.0,30.0,2.0,4.0,13.0,42.0,77.0,27.0,78.0,69.0,f,f,2,t,Germany,2.0,16.0,9.0,0.0,278.0,7.0,1.0,48.0,78.0,35.0,48.0,16.0,30.0,2.0,4.0,13.0,172.0,24.0,56.0,11.0,21.0,5.0,14.0,12.0,51.0,78.0,35.0,77.0,86.0,t,f,f,Germany
1,2016-06-27,2016-07-02,Germany,Clay,42500.0,€,2016,alexey-vatutin,A. Vatutin,prajnesh-gunneswaran,P. Gunneswaran,marburg_challenger,1st Round Qualifying,2.0,f,100,0,00:55:00,96.0,0.0,5.0,12.0,0.0,0.0,218.0,0.0,0.0,31.0,49.0,17.0,31.0,9.0,18.0,1.0,5.0,8.0,88.0,6.0,32.0,5.0,15.0,1.0,4.0,9.0,26.0,49.0,11.0,47.0,37.0,f,f,5,f,Germany,2.0,12.0,5.0,0.0,316.0,12.0,0.0,32.0,47.0,26.0,32.0,10.0,15.0,3.0,4.0,9.0,225.0,14.0,31.0,9.0,18.0,4.0,5.0,8.0,36.0,47.0,23.0,49.0,59.0,t,f,t,Germany
2,2016-06-27,2016-07-02,Germany,Clay,42500.0,€,2016,andrea-arnaboldi,A. Arnaboldi,enrique-lopez-perez,E. Lopez Perez,marburg_challenger,Round of 16,3.0,f,100,4,01:44:00,166.0,2.0,14.0,15.0,1.0,1.0,266.0,5.0,6.0,56.0,87.0,41.0,56.0,14.0,31.0,1.0,3.0,14.0,118.0,7.0,49.0,14.0,30.0,1.0,2.0,14.0,55.0,87.0,21.0,79.0,76.0,t,f,AL,t,Germany,1.0,15.0,14.0,0.0,304.0,13.0,2.0,49.0,79.0,42.0,49.0,16.0,30.0,1.0,2.0,14.0,163.0,15.0,56.0,17.0,31.0,2.0,3.0,14.0,58.0,79.0,32.0,87.0,90.0,f,f,f,Germany
3,2016-06-27,2016-07-02,Germany,Clay,42500.0,€,2016,andrea-arnaboldi,A. Arnaboldi,jozef-kovalik,J. Kovalik,marburg_challenger,Round of 32,2.0,f,100,3,01:33:00,139.0,2.0,12.0,6.0,0.0,0.0,287.0,2.0,2.0,30.0,59.0,20.0,30.0,20.0,29.0,1.0,1.0,9.0,156.0,20.0,50.0,16.0,30.0,3.0,10.0,9.0,40.0,59.0,36.0,80.0,76.0,t,f,AL,t,Germany,0.0,6.0,12.0,0.0,236.0,4.0,4.0,50.0,80.0,30.0,50.0,14.0,30.0,7.0,10.0,9.0,64.0,10.0,30.0,9.0,29.0,0.0,1.0,9.0,44.0,80.0,19.0,59.0,63.0,f,f,f,Germany
4,2016-06-27,2016-07-02,Germany,Clay,42500.0,€,2016,andrea-arnaboldi,A. Arnaboldi,yannik-reuter,Y. Reuter,marburg_challenger,Quarter-Finals,2.0,f,100,5,01:43:00,126.0,0.0,7.0,13.0,0.0,1.0,213.0,1.0,2.0,28.0,58.0,19.0,28.0,13.0,30.0,0.0,4.0,9.0,119.0,4.0,27.0,21.0,41.0,2.0,6.0,10.0,32.0,58.0,25.0,68.0,57.0,f,f,AL,f,Germany,2.0,13.0,7.0,1.0,253.0,2.0,3.0,27.0,68.0,23.0,27.0,20.0,41.0,4.0,6.0,10.0,233.0,9.0,28.0,17.0,30.0,4.0,4.0,9.0,43.0,68.0,26.0,58.0,69.0,t,f,t,Germany
5,2016-06-27,2016-07-02,Germany,Clay,42500.0,€,2016,andrey-rublev,A. Rublev,daniel-gimeno-traver,D. Gimeno-Traver,marburg_challenger,Round of 16,3.0,f,100,4,02:14:00,200.0,1.0,14.0,17.0,0.0,0.0,242.0,4.0,4.0,65.0,112.0,43.0,65.0,21.0,47.0,11.0,15.0,15.0,155.0,16.0,54.0,16.0,34.0,3.0,5.0,16.0,64.0,112.0,32.0,88.0,96.0,f,f,,t,Germany,2.0,17.0,14.0,0.0,265.0,1.0,1.0,54.0,88.0,38.0,54.0,18.0,34.0,2.0,5.0,16.0,142.0,22.0,65.0,26.0,47.0,4.0,15.0,15.0,56.0,88.0,48.0,112.0,104.0,t,f,f,Germany
6,2016-06-27,2016-07-02,Germany,Clay,42500.0,€,2016,andrey-rublev,A. Rublev,daniel-munoz-de-la-nava,D. Munoz de la Nava,marburg_challenger,Round of 32,1.0,f,100,3,00:35:00,56.0,1.0,6.0,2.0,0.0,0.0,307.0,6.0,0.0,16.0,23.0,14.0,16.0,3.0,7.0,0.0,0.0,4.0,183.0,10.0,22.0,6.0,11.0,2.0,6.0,4.0,17.0,23.0,16.0,33.0,33.0,t,t,,t,Germany,0.0,2.0,6.0,0.0,218.0,1.0,0.0,22.0,33.0,12.0,22.0,5.0,11.0,4.0,6.0,4.0,70.0,2.0,16.0,4.0,7.0,0.0,0.0,4.0,17.0,33.0,6.0,23.0,23.0,f,t,f,Germany
7,2016-06-27,2016-07-02,Germany,Clay,42500.0,€,2016,arthur-de-greef,A. De Greef,dimitar-kuzmanov,D. Kuzmanov,marburg_challenger,Round of 32,2.0,f,100,3,01:37:00,143.0,0.0,9.0,13.0,0.0,1.0,244.0,0.0,0.0,46.0,68.0,34.0,46.0,7.0,22.0,3.0,6.0,10.0,147.0,16.0,55.0,10.0,20.0,2.0,4.0,11.0,41.0,68.0,26.0,75.0,67.0,f,f,,f,Germany,2.0,13.0,9.0,1.0,278.0,5.0,2.0,55.0,75.0,39.0,55.0,10.0,20.0,2.0,4.0,11.0,174.0,12.0,46.0,15.0,22.0,3.0,6.0,10.0,49.0,75.0,27.0,68.0,76.0,t,f,t,Germany
8,2016-06-27,2016-07-02,Germany,Clay,42500.0,€,2016,axel-michon,A. Michon,jan-satral,J. Satral,marburg_challenger,Round of 16,2.0,f,100,4,01:12:00,95.0,0.0,5.0,12.0,0.0,0.0,180.0,0.0,4.0,28.0,49.0,16.0,28.0,7.0,21.0,4.0,9.0,8.0,191.0,3.0,27.0,11.0,19.0,2.0,2.0,9.0,23.0,49.0,14.0,46.0,37.0,f,f,,f,Germany,2.0,12.0,5.0,0.0,272.0,6.0,1.0,27.0,46.0,24.0,27.0,8.0,19.0,0.0,2.0,9.0,228.0,12.0,28.0,14.0,21.0,5.0,9.0,8.0,32.0,46.0,26.0,49.0,58.0,t,f,t,Germany
9,2016-06-27,2016-07-02,Germany,Clay,42500.0,€,2016,axel-michon,A. Michon,ze-zhang,Z. Zhang,marburg_challenger,Round of 32,2.0,f,100,3,01:51:00,176.0,2.0,14.0,12.0,2.0,2.0,235.0,3.0,5.0,61.0,86.0,39.0,61.0,9.0,25.0,2.0,6.0,12.0,166.0,14.0,45.0,26.0,45.0,4.0,9.0,12.0,48.0,86.0,40.0,90.0,88.0,t,f,,t,Germany,0.0,12.0,14.0,0.0,235.0,12.0,4.0,45.0,90.0,31.0,45.0,19.0,45.0,5.0,9.0,12.0,200.0,22.0,61.0,16.0,25.0,4.0,6.0,12.0,50.0,90.0,38.0,86.0,88.0,f,f,f,Germany
