start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2017-07-03,2017-07-08,Germany,Clay,43000.0,€,2017,amer-naow,A. Naow,marc-sieber,M. Sieber,marburg_challenger,2nd Round Qualifying,2.0,f,100,1,00:57:00,96.0,0.0,3.0,12.0,0.0,0.0,208.0,0.0,2.0,26.0,38.0,13.0,26.0,6.0,12.0,1.0,5.0,7.0,69.0,7.0,36.0,11.0,22.0,0.0,2.0,8.0,19.0,38.0,18.0,58.0,37.0,f,f,WC,f,Germany,2.0,12.0,3.0,0.0,291.0,1.0,3.0,36.0,58.0,29.0,36.0,11.0,22.0,2.0,2.0,8.0,237.0,13.0,26.0,6.0,12.0,4.0,5.0,7.0,40.0,58.0,19.0,38.0,59.0,t,f,t,Germany
2017-07-03,2017-07-08,Germany,Clay,43000.0,€,2017,andrej-martin,A. Martin,filip-krajinovic,F. Krajinovic,marburg_challenger,Round of 16,2.0,f,100,4,01:28:00,123.0,0.0,6.0,12.0,0.0,0.0,202.0,1.0,2.0,46.0,72.0,26.0,46.0,10.0,26.0,9.0,14.0,9.0,160.0,11.0,38.0,9.0,13.0,2.0,5.0,9.0,36.0,72.0,20.0,51.0,56.0,f,f,7,f,Germany,2.0,12.0,6.0,0.0,255.0,1.0,0.0,38.0,51.0,27.0,38.0,4.0,13.0,3.0,5.0,9.0,196.0,20.0,46.0,16.0,26.0,5.0,14.0,9.0,31.0,51.0,36.0,72.0,67.0,t,f,t,Germany
2017-07-03,2017-07-08,Germany,Clay,43000.0,€,2017,andrej-martin,A. Martin,kai-wehnelt,K. Wehnelt,marburg_challenger,Round of 32,2.0,f,100,3,01:06:00,98.0,2.0,12.0,6.0,0.0,0.0,311.0,5.0,3.0,26.0,47.0,24.0,26.0,13.0,21.0,0.0,0.0,9.0,192.0,12.0,31.0,12.0,20.0,3.0,5.0,9.0,37.0,47.0,24.0,51.0,61.0,t,f,7,t,Germany,0.0,6.0,12.0,0.0,228.0,6.0,6.0,31.0,51.0,19.0,31.0,8.0,20.0,2.0,5.0,9.0,46.0,2.0,26.0,8.0,21.0,0.0,0.0,9.0,27.0,51.0,10.0,47.0,37.0,f,f,f,Germany
2017-07-03,2017-07-08,Germany,Clay,43000.0,€,2017,artem-smirnov,A. Smirnov,florian-broska,F. Broska,marburg_challenger,1st Round Qualifying,2.0,f,100,0,00:57:00,80.0,2.0,12.0,2.0,0.0,0.0,315.0,3.0,0.0,21.0,38.0,18.0,21.0,12.0,17.0,0.0,0.0,7.0,279.0,10.0,14.0,15.0,28.0,5.0,6.0,7.0,30.0,38.0,25.0,42.0,55.0,t,f,,t,Germany,0.0,2.0,12.0,0.0,136.0,1.0,1.0,14.0,42.0,4.0,14.0,13.0,28.0,1.0,6.0,7.0,43.0,3.0,21.0,5.0,17.0,0.0,0.0,7.0,17.0,42.0,8.0,38.0,25.0,f,f,f,Germany
2017-07-03,2017-07-08,Germany,Clay,43000.0,€,2017,artem-smirnov,A. Smirnov,tallon-griekspoor,T. Griekspoor,marburg_challenger,2nd Round Qualifying,2.0,f,100,1,01:51:00,156.0,2.0,13.0,10.0,1.0,1.0,253.0,2.0,6.0,38.0,80.0,26.0,38.0,25.0,42.0,8.0,10.0,11.0,154.0,17.0,37.0,15.0,39.0,3.0,7.0,11.0,51.0,80.0,32.0,76.0,83.0,t,f,,t,Germany,0.0,10.0,13.0,0.0,236.0,1.0,2.0,37.0,76.0,20.0,37.0,24.0,39.0,4.0,7.0,11.0,110.0,12.0,38.0,17.0,42.0,2.0,10.0,11.0,44.0,76.0,29.0,80.0,73.0,f,f,f,Germany
2017-07-03,2017-07-08,Germany,Clay,43000.0,€,2017,artem-smirnov,A. Smirnov,tim-puetz,T. Puetz,marburg_challenger,3rd Round Qualifying,2.0,f,100,2,01:21:00,120.0,0.0,6.0,12.0,0.0,0.0,196.0,3.0,3.0,39.0,64.0,20.0,39.0,10.0,25.0,1.0,6.0,9.0,133.0,11.0,26.0,12.0,30.0,2.0,7.0,9.0,30.0,64.0,23.0,56.0,53.0,f,f,,f,Germany,2.0,12.0,6.0,0.0,242.0,5.0,4.0,26.0,56.0,15.0,26.0,18.0,30.0,5.0,7.0,9.0,247.0,19.0,39.0,15.0,25.0,5.0,6.0,9.0,33.0,56.0,34.0,64.0,67.0,t,f,t,Germany
2017-07-03,2017-07-08,Germany,Clay,43000.0,€,2017,arthur-de-greef,A. De Greef,benjamin-bonzi,B. Bonzi,marburg_challenger,Quarter-Finals,2.0,f,100,5,01:13:00,121.0,2.0,13.0,7.0,0.0,0.0,306.0,3.0,1.0,29.0,53.0,25.0,29.0,15.0,24.0,0.0,0.0,10.0,149.0,15.0,41.0,14.0,27.0,3.0,10.0,10.0,40.0,53.0,29.0,68.0,69.0,t,f,3,t,Germany,0.0,7.0,13.0,0.0,243.0,3.0,1.0,41.0,68.0,26.0,41.0,13.0,27.0,7.0,10.0,10.0,52.0,4.0,29.0,9.0,24.0,0.0,0.0,10.0,39.0,68.0,13.0,53.0,52.0,f,f,f,Germany
2017-07-03,2017-07-08,Germany,Clay,43000.0,€,2017,arthur-de-greef,A. De Greef,benjamin-hassan,B. Hassan,marburg_challenger,Round of 32,2.0,f,100,3,01:27:00,151.0,2.0,13.0,8.0,0.0,0.0,276.0,2.0,2.0,54.0,84.0,37.0,54.0,16.0,30.0,3.0,4.0,11.0,194.0,11.0,33.0,19.0,34.0,3.0,4.0,10.0,53.0,84.0,30.0,67.0,83.0,t,f,3,t,Germany,0.0,8.0,13.0,0.0,231.0,3.0,2.0,33.0,67.0,22.0,33.0,15.0,34.0,1.0,4.0,10.0,112.0,17.0,54.0,14.0,30.0,1.0,4.0,11.0,37.0,67.0,31.0,84.0,68.0,f,f,f,Germany
2017-07-03,2017-07-08,Germany,Clay,43000.0,€,2017,arthur-de-greef,A. De Greef,cedrik-marcel-stebe,C. Stebe,marburg_challenger,Semi-Finals,2.0,f,100,6,01:36:00,143.0,0.0,8.0,12.0,0.0,0.0,234.0,5.0,5.0,45.0,80.0,32.0,45.0,13.0,35.0,5.0,8.0,10.0,92.0,11.0,41.0,9.0,22.0,1.0,7.0,10.0,45.0,80.0,20.0,63.0,65.0,f,f,3,f,Germany,2.0,12.0,8.0,0.0,288.0,3.0,2.0,41.0,63.0,30.0,41.0,13.0,22.0,6.0,7.0,10.0,160.0,13.0,45.0,22.0,35.0,3.0,8.0,10.0,43.0,63.0,35.0,80.0,78.0,t,f,t,Germany
2017-07-03,2017-07-08,Germany,Clay,43000.0,€,2017,arthur-de-greef,A. De Greef,maximo-gonzalez,M. Gonzalez,marburg_challenger,Round of 16,2.0,f,100,4,02:10:00,165.0,2.0,14.0,10.0,0.0,0.0,203.0,3.0,1.0,30.0,69.0,20.0,30.0,16.0,39.0,1.0,7.0,12.0,223.0,30.0,58.0,22.0,38.0,8.0,17.0,12.0,36.0,69.0,52.0,96.0,88.0,t,f,3,t,Germany,0.0,10.0,14.0,0.0,182.0,3.0,4.0,58.0,96.0,28.0,58.0,16.0,38.0,9.0,17.0,12.0,228.0,10.0,30.0,23.0,39.0,6.0,7.0,12.0,44.0,96.0,33.0,69.0,77.0,f,f,f,Germany
