start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2008-05-12,2008-05-18,Morocco,Clay,85000.0,€,2008,adrian-mannarino,A. Mannarino,ruben-ramirez-hidalgo,R. Ramirez Hidalgo,marrakech_challenger,Round of 32,2.0,f,100,3,01:14:00,105.0,0.0,5.0,12.0,0.0,0.0,230.0,0.0,1.0,35.0,47.0,17.0,35.0,7.0,12.0,5.0,9.0,8.0,105.0,9.0,38.0,10.0,20.0,1.0,5.0,9.0,24.0,47.0,19.0,58.0,43.0,f,f,,f,Morocco,2.0,12.0,5.0,0.0,283.0,5.0,2.0,38.0,58.0,29.0,38.0,10.0,20.0,4.0,5.0,9.0,187.0,18.0,35.0,5.0,12.0,4.0,9.0,8.0,39.0,58.0,23.0,47.0,62.0,t,f,t,Morocco
2008-05-12,2008-05-18,Morocco,Clay,85000.0,€,2008,adrian-menendez-maceiras,A. Menendez-Maceiras,fred-gil,F. Gil,marrakech_challenger,Round of 32,3.0,f,100,3,02:46:00,213.0,1.0,12.0,18.0,1.0,1.0,218.0,2.0,4.0,64.0,125.0,42.0,64.0,26.0,61.0,9.0,15.0,15.0,149.0,14.0,46.0,16.0,42.0,2.0,3.0,14.0,68.0,125.0,30.0,88.0,98.0,f,f,,f,Morocco,2.0,18.0,12.0,0.0,264.0,0.0,5.0,46.0,88.0,32.0,46.0,26.0,42.0,1.0,3.0,14.0,171.0,22.0,64.0,35.0,61.0,6.0,15.0,15.0,58.0,88.0,57.0,125.0,115.0,t,f,t,Morocco
2008-05-12,2008-05-18,Morocco,Clay,85000.0,€,2008,benedikt-dorsch,B. Dorsch,guillermo-garcia-lopez,G. Garcia-Lopez,marrakech_challenger,Round of 32,2.0,f,100,3,01:10:00,115.0,0.0,6.0,12.0,0.0,0.0,220.0,1.0,2.0,49.0,66.0,28.0,49.0,6.0,17.0,4.0,8.0,9.0,85.0,7.0,29.0,6.0,20.0,1.0,5.0,9.0,34.0,66.0,13.0,49.0,47.0,f,f,,f,Morocco,2.0,12.0,6.0,0.0,295.0,4.0,2.0,29.0,49.0,22.0,29.0,14.0,20.0,4.0,5.0,9.0,202.0,21.0,49.0,11.0,17.0,4.0,8.0,9.0,36.0,49.0,32.0,66.0,68.0,t,f,t,Morocco
2008-05-12,2008-05-18,Morocco,Clay,85000.0,€,2008,bruno-soares,B. Soares,james-auckland,J. Auckland,marrakech_challenger,1st Round Qualifying,2.0,f,100,1,01:11:00,125.0,2.0,12.0,4.0,0.0,0.0,308.0,2.0,0.0,43.0,55.0,30.0,43.0,7.0,12.0,2.0,2.0,8.0,183.0,15.0,38.0,20.0,32.0,4.0,13.0,8.0,37.0,55.0,35.0,70.0,72.0,t,f,7,t,Morocco,0.0,4.0,12.0,0.0,203.0,3.0,3.0,38.0,70.0,23.0,38.0,12.0,32.0,9.0,13.0,8.0,72.0,13.0,43.0,5.0,12.0,0.0,2.0,8.0,35.0,70.0,18.0,55.0,53.0,f,f,f,Morocco
2008-05-12,2008-05-18,Morocco,Clay,85000.0,€,2008,bruno-soares,B. Soares,jean-christophe-faurel,J. Faurel,marrakech_challenger,2nd Round Qualifying,2.0,f,100,2,01:08:00,102.0,0.0,5.0,12.0,0.0,0.0,228.0,0.0,3.0,25.0,43.0,18.0,25.0,7.0,18.0,5.0,8.0,8.0,67.0,12.0,44.0,6.0,15.0,0.0,3.0,9.0,25.0,43.0,18.0,59.0,43.0,f,f,7,f,Morocco,2.0,12.0,5.0,0.0,311.0,4.0,1.0,44.0,59.0,32.0,44.0,9.0,15.0,3.0,3.0,9.0,164.0,7.0,25.0,11.0,18.0,3.0,8.0,8.0,41.0,59.0,18.0,43.0,59.0,t,f,t,Morocco
2008-05-12,2008-05-18,Morocco,Clay,85000.0,€,2008,cristian-villagran,C. Villagran,gael-monfils,G. Monfils,marrakech_challenger,Round of 32,2.0,f,100,3,01:20:00,109.0,0.0,6.0,13.0,0.0,1.0,205.0,0.0,0.0,35.0,56.0,16.0,35.0,11.0,21.0,1.0,6.0,9.0,134.0,7.0,36.0,9.0,17.0,2.0,5.0,9.0,27.0,56.0,16.0,53.0,43.0,f,f,,f,Morocco,2.0,13.0,6.0,1.0,273.0,4.0,4.0,36.0,53.0,29.0,36.0,8.0,17.0,3.0,5.0,9.0,240.0,19.0,35.0,10.0,21.0,5.0,6.0,9.0,37.0,53.0,29.0,56.0,66.0,t,f,t,Morocco
2008-05-12,2008-05-18,Morocco,Clay,85000.0,€,2008,dominik-hrbaty,D. Hrbaty,martin-vassallo-arguello,M. Vassallo Arguello,marrakech_challenger,Round of 32,2.0,f,100,3,01:48:00,110.0,0.0,5.0,12.0,0.0,0.0,179.0,2.0,6.0,35.0,61.0,19.0,35.0,9.0,26.0,4.0,9.0,8.0,157.0,13.0,37.0,4.0,12.0,2.0,3.0,9.0,28.0,61.0,17.0,49.0,45.0,f,f,,f,Morocco,2.0,12.0,5.0,0.0,288.0,4.0,1.0,37.0,49.0,24.0,37.0,8.0,12.0,1.0,3.0,9.0,229.0,16.0,35.0,17.0,26.0,5.0,9.0,8.0,32.0,49.0,33.0,61.0,65.0,t,f,t,Morocco
2008-05-12,2008-05-18,Morocco,Clay,85000.0,€,2008,fernando-vicente,F. Vicente,fred-gil,F. Gil,marrakech_challenger,Round of 16,2.0,f,100,4,01:01:00,85.0,0.0,3.0,12.0,0.0,0.0,219.0,1.0,0.0,30.0,42.0,14.0,30.0,7.0,12.0,3.0,7.0,7.0,45.0,5.0,28.0,4.0,15.0,0.0,0.0,8.0,21.0,42.0,9.0,43.0,30.0,f,f,,f,Morocco,2.0,12.0,3.0,0.0,320.0,0.0,0.0,28.0,43.0,23.0,28.0,11.0,15.0,0.0,0.0,8.0,209.0,16.0,30.0,5.0,12.0,4.0,7.0,7.0,34.0,43.0,21.0,42.0,55.0,t,f,t,Morocco
2008-05-12,2008-05-18,Morocco,Clay,85000.0,€,2008,fernando-vicente,F. Vicente,mehdi-ziadi,M. Ziadi,marrakech_challenger,Round of 32,3.0,f,100,3,02:31:00,200.0,2.0,16.0,14.0,1.0,1.0,244.0,0.0,0.0,68.0,105.0,39.0,68.0,19.0,37.0,9.0,13.0,14.0,166.0,15.0,44.0,25.0,51.0,5.0,10.0,15.0,58.0,105.0,40.0,95.0,98.0,t,f,,t,Morocco,1.0,14.0,16.0,0.0,234.0,5.0,0.0,44.0,95.0,29.0,44.0,26.0,51.0,5.0,10.0,15.0,151.0,29.0,68.0,18.0,37.0,4.0,13.0,14.0,55.0,95.0,47.0,105.0,102.0,f,f,f,Morocco
2008-05-12,2008-05-18,Morocco,Clay,85000.0,€,2008,florin-mergea,F. Mergea,jonathan-dasnieres-de-veigy,J. Dasnieres de Veigy,marrakech_challenger,2nd Round Qualifying,3.0,f,100,2,01:48:00,181.0,1.0,13.0,14.0,0.0,0.0,246.0,3.0,4.0,67.0,91.0,39.0,67.0,11.0,24.0,4.0,8.0,13.0,175.0,27.0,68.0,11.0,22.0,4.0,7.0,14.0,50.0,91.0,38.0,90.0,88.0,f,f,5,t,Morocco,2.0,14.0,13.0,0.0,255.0,0.0,2.0,68.0,90.0,41.0,68.0,11.0,22.0,3.0,7.0,14.0,176.0,28.0,67.0,13.0,24.0,4.0,8.0,13.0,52.0,90.0,41.0,91.0,93.0,t,f,f,Morocco
