,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2014-02-17,2014-02-23,France,Hard,549260.0,€,2014,adrian-ungur,A. Ungur,martin-vaisse,M. Vaisse,marseille,1st Round Qualifying,2.0,f,250,0,00:51:00,96.0,2.0,12.0,2.0,0.0,0.0,304.0,8.0,2.0,27.0,42.0,22.0,27.0,8.0,15.0,1.0,1.0,7.0,234.0,13.0,30.0,18.0,24.0,5.0,11.0,7.0,30.0,42.0,31.0,54.0,61.0,t,f,1,t,France,0.0,2.0,12.0,0.0,167.0,3.0,2.0,30.0,54.0,17.0,30.0,6.0,24.0,6.0,11.0,7.0,66.0,5.0,27.0,7.0,15.0,0.0,1.0,7.0,23.0,54.0,12.0,42.0,35.0,f,f,f,France
1,2014-02-17,2014-02-23,France,Hard,549260.0,€,2014,adrian-ungur,A. Ungur,thomas-schoorel,T. Schoorel,marseille,2nd Round Qualifying,2.0,f,250,1,01:12:00,116.0,0.0,7.0,12.0,0.0,0.0,249.0,6.0,4.0,38.0,68.0,27.0,38.0,13.0,30.0,5.0,7.0,9.0,27.0,2.0,28.0,4.0,20.0,0.0,3.0,10.0,40.0,68.0,6.0,48.0,46.0,f,f,1,f,France,2.0,12.0,7.0,0.0,337.0,7.0,1.0,28.0,48.0,26.0,28.0,16.0,20.0,3.0,3.0,10.0,137.0,11.0,38.0,17.0,30.0,2.0,7.0,9.0,42.0,48.0,28.0,68.0,70.0,t,f,t,France
2,2014-02-17,2014-02-23,France,Hard,549260.0,€,2014,adrien-bossel,A. Bossel,chieh-fu-wang,C. Wang,marseille,1st Round Qualifying,3.0,f,250,0,01:31:00,136.0,2.0,16.0,9.0,0.0,0.0,300.0,14.0,4.0,40.0,69.0,34.0,40.0,16.0,29.0,0.0,1.0,13.0,167.0,12.0,38.0,13.0,29.0,4.0,7.0,12.0,50.0,69.0,25.0,67.0,75.0,t,f,,f,France,1.0,9.0,16.0,0.0,250.0,6.0,2.0,38.0,67.0,26.0,38.0,16.0,29.0,3.0,7.0,12.0,167.0,6.0,40.0,13.0,29.0,1.0,1.0,13.0,42.0,67.0,19.0,69.0,61.0,f,f,t,France
3,2014-02-17,2014-02-23,France,Hard,549260.0,€,2014,adrien-bossel,A. Bossel,henri-laaksonen,H. Laaksonen,marseille,2nd Round Qualifying,2.0,f,250,1,00:58:00,103.0,0.0,7.0,12.0,0.0,0.0,252.0,3.0,4.0,33.0,53.0,26.0,33.0,7.0,20.0,2.0,4.0,9.0,47.0,3.0,31.0,7.0,19.0,0.0,0.0,10.0,33.0,53.0,10.0,50.0,43.0,f,f,,f,France,2.0,12.0,7.0,0.0,324.0,10.0,1.0,31.0,50.0,28.0,31.0,12.0,19.0,0.0,0.0,10.0,158.0,7.0,33.0,13.0,20.0,2.0,4.0,9.0,40.0,50.0,20.0,53.0,60.0,t,f,t,France
4,2014-02-17,2014-02-23,France,Hard,549260.0,€,2014,albano-olivetti,A. Olivetti,ivan-dodig,I. Dodig,marseille,Round of 32,2.0,f,250,3,01:36:00,152.0,0.0,7.0,13.0,0.0,0.0,247.0,13.0,5.0,38.0,69.0,25.0,38.0,15.0,31.0,4.0,7.0,10.0,76.0,14.0,53.0,15.0,30.0,0.0,11.0,10.0,40.0,69.0,29.0,83.0,69.0,f,f,WC,f,France,2.0,13.0,7.0,0.0,295.0,11.0,4.0,53.0,83.0,39.0,53.0,15.0,30.0,11.0,11.0,10.0,159.0,13.0,38.0,16.0,31.0,3.0,7.0,10.0,54.0,83.0,29.0,69.0,83.0,t,f,t,France
5,2014-02-17,2014-02-23,France,Hard,549260.0,€,2014,andreas-seppi,A. Seppi,michael-llodra,M. Llodra,marseille,Round of 16,2.0,f,250,4,01:35:00,156.0,0.0,10.0,13.0,0.0,1.0,268.0,10.0,2.0,51.0,85.0,38.0,51.0,15.0,34.0,4.0,6.0,11.0,102.0,8.0,51.0,12.0,20.0,1.0,6.0,11.0,53.0,85.0,20.0,71.0,73.0,f,f,4,f,France,2.0,13.0,10.0,1.0,296.0,14.0,4.0,51.0,71.0,43.0,51.0,8.0,20.0,5.0,6.0,11.0,132.0,13.0,51.0,19.0,34.0,2.0,6.0,11.0,51.0,71.0,32.0,85.0,83.0,t,f,t,France
6,2014-02-17,2014-02-23,France,Hard,549260.0,€,2014,ante-pavic,A. Pavic,damir-dzumhur,D. Dzumhur,marseille,2nd Round Qualifying,2.0,f,250,1,01:06:00,129.0,2.0,12.0,6.0,0.0,0.0,283.0,10.0,1.0,27.0,52.0,19.0,27.0,16.0,25.0,3.0,4.0,9.0,196.0,17.0,46.0,20.0,31.0,4.0,8.0,9.0,35.0,52.0,37.0,77.0,72.0,t,f,,t,France,0.0,6.0,12.0,0.0,211.0,2.0,4.0,46.0,77.0,29.0,46.0,11.0,31.0,4.0,8.0,9.0,102.0,8.0,27.0,9.0,25.0,1.0,4.0,9.0,40.0,77.0,17.0,52.0,57.0,f,f,f,France
7,2014-02-17,2014-02-23,France,Hard,549260.0,€,2014,ante-pavic,A. Pavic,edouard-roger-vasselin,E. Roger-Vasselin,marseille,Round of 32,3.0,f,250,3,02:13:00,214.0,1.0,17.0,17.0,0.0,1.0,300.0,23.0,3.0,64.0,109.0,55.0,64.0,21.0,45.0,2.0,4.0,17.0,114.0,17.0,75.0,17.0,30.0,2.0,9.0,16.0,76.0,109.0,34.0,105.0,110.0,f,f,Q,t,France,2.0,17.0,17.0,1.0,289.0,13.0,2.0,75.0,105.0,58.0,75.0,13.0,30.0,7.0,9.0,16.0,128.0,9.0,64.0,24.0,45.0,2.0,4.0,17.0,71.0,105.0,33.0,109.0,104.0,t,f,f,France
8,2014-02-17,2014-02-23,France,Hard,549260.0,€,2014,ante-pavic,A. Pavic,mirza-basic,M. Basic,marseille,3rd Round Qualifying,2.0,f,250,2,00:53:00,95.0,2.0,12.0,3.0,0.0,0.0,301.0,6.0,2.0,27.0,46.0,23.0,27.0,10.0,19.0,0.0,0.0,8.0,233.0,9.0,26.0,17.0,23.0,4.0,6.0,7.0,33.0,46.0,26.0,49.0,59.0,t,f,,t,France,0.0,3.0,12.0,0.0,189.0,4.0,1.0,26.0,49.0,17.0,26.0,6.0,23.0,2.0,6.0,7.0,62.0,4.0,27.0,9.0,19.0,0.0,0.0,8.0,23.0,49.0,13.0,46.0,36.0,f,f,f,France
9,2014-02-17,2014-02-23,France,Hard,549260.0,€,2014,ante-pavic,A. Pavic,olivier-rochus,O. Rochus,marseille,1st Round Qualifying,3.0,f,250,0,01:51:00,199.0,2.0,15.0,14.0,1.0,1.0,285.0,21.0,2.0,54.0,88.0,43.0,54.0,16.0,34.0,2.0,5.0,14.0,145.0,19.0,65.0,26.0,46.0,3.0,8.0,14.0,59.0,88.0,45.0,111.0,104.0,t,f,,f,France,1.0,14.0,15.0,0.0,245.0,1.0,7.0,65.0,111.0,46.0,65.0,20.0,46.0,5.0,8.0,14.0,154.0,11.0,54.0,18.0,34.0,3.0,5.0,14.0,66.0,111.0,29.0,88.0,95.0,f,f,t,France
