,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2014-09-02,2014-09-07,Colombia,Clay,50000.0,$,2014,agustin-velotti,A. Velotti,cesar-ramirez,C. Ramirez,medellin_challenger,2nd Round Qualifying,3.0,f,100,1,02:18:00,188.0,2.0,17.0,14.0,0.0,0.0,266.0,11.0,3.0,54.0,103.0,39.0,54.0,26.0,49.0,10.0,13.0,16.0,144.0,15.0,52.0,15.0,33.0,4.0,9.0,15.0,65.0,103.0,30.0,85.0,95.0,t,f,2,f,Colombia,1.0,14.0,17.0,0.0,261.0,4.0,3.0,52.0,85.0,37.0,52.0,18.0,33.0,5.0,9.0,15.0,116.0,15.0,54.0,23.0,49.0,3.0,13.0,16.0,55.0,85.0,38.0,103.0,93.0,f,f,t,Colombia
1,2014-09-02,2014-09-07,Colombia,Clay,50000.0,$,2014,agustin-velotti,A. Velotti,marcelo-arevalo,M. Arevalo,medellin_challenger,3rd Round Qualifying,2.0,f,100,2,01:04:00,95.0,0.0,5.0,12.0,0.0,0.0,227.0,1.0,3.0,24.0,48.0,16.0,24.0,12.0,24.0,2.0,5.0,8.0,45.0,5.0,29.0,5.0,18.0,0.0,2.0,9.0,28.0,48.0,10.0,47.0,38.0,f,f,2,f,Colombia,2.0,12.0,5.0,0.0,319.0,4.0,2.0,29.0,47.0,24.0,29.0,13.0,18.0,2.0,2.0,9.0,180.0,8.0,24.0,12.0,24.0,3.0,5.0,8.0,37.0,47.0,20.0,48.0,57.0,t,f,t,Colombia
2,2014-09-02,2014-09-07,Colombia,Clay,50000.0,$,2014,alejandro-gonzalez,A. Gonzalez,austin-krajicek,A. Krajicek,medellin_challenger,Quarter-Finals,3.0,f,100,5,02:54:00,247.0,1.0,16.0,19.0,1.0,2.0,292.0,15.0,3.0,66.0,121.0,55.0,66.0,27.0,55.0,5.0,6.0,16.0,63.0,17.0,74.0,21.0,52.0,0.0,6.0,17.0,82.0,121.0,38.0,126.0,120.0,f,f,1,t,Colombia,2.0,19.0,16.0,1.0,304.0,11.0,3.0,74.0,126.0,57.0,74.0,31.0,52.0,6.0,6.0,17.0,91.0,11.0,66.0,28.0,55.0,1.0,6.0,16.0,88.0,126.0,39.0,121.0,127.0,t,f,f,Colombia
3,2014-09-02,2014-09-07,Colombia,Clay,50000.0,$,2014,alejandro-gonzalez,A. Gonzalez,bruno-santanna,B. Santanna,medellin_challenger,Round of 32,2.0,f,100,3,01:14:00,128.0,2.0,13.0,9.0,1.0,1.0,309.0,5.0,1.0,40.0,69.0,31.0,40.0,20.0,29.0,0.0,0.0,11.0,124.0,7.0,30.0,12.0,29.0,1.0,2.0,10.0,51.0,69.0,19.0,59.0,70.0,t,f,1,t,Colombia,0.0,9.0,13.0,0.0,282.0,8.0,3.0,30.0,59.0,23.0,30.0,17.0,29.0,1.0,2.0,10.0,54.0,9.0,40.0,9.0,29.0,0.0,0.0,11.0,40.0,59.0,18.0,69.0,58.0,f,f,f,Colombia
4,2014-09-02,2014-09-07,Colombia,Clay,50000.0,$,2014,alejandro-gonzalez,A. Gonzalez,fabiano-de-paula,F. De Paula,medellin_challenger,Round of 16,2.0,f,100,4,01:07:00,99.0,2.0,12.0,6.0,0.0,0.0,303.0,5.0,0.0,21.0,49.0,16.0,21.0,22.0,28.0,1.0,1.0,9.0,179.0,7.0,29.0,13.0,21.0,3.0,5.0,9.0,38.0,49.0,20.0,50.0,58.0,t,f,1,t,Colombia,0.0,6.0,12.0,0.0,239.0,3.0,2.0,29.0,50.0,22.0,29.0,8.0,21.0,2.0,5.0,9.0,45.0,5.0,21.0,6.0,28.0,0.0,1.0,9.0,30.0,50.0,11.0,49.0,41.0,f,f,f,Colombia
5,2014-09-02,2014-09-07,Colombia,Clay,50000.0,$,2014,alex-llompart,A. Llompart,bruno-santanna,B. Santanna,medellin_challenger,2nd Round Qualifying,2.0,f,100,1,00:47:00,103.0,0.0,5.0,12.0,0.0,0.0,217.0,1.0,1.0,35.0,57.0,21.0,35.0,9.0,22.0,3.0,7.0,9.0,55.0,4.0,26.0,8.0,20.0,0.0,0.0,8.0,30.0,57.0,12.0,46.0,42.0,f,f,,f,Colombia,2.0,12.0,5.0,0.0,305.0,5.0,2.0,26.0,46.0,22.0,26.0,12.0,20.0,0.0,0.0,8.0,200.0,14.0,35.0,13.0,22.0,4.0,7.0,9.0,34.0,46.0,27.0,57.0,61.0,t,f,t,Colombia
6,2014-09-02,2014-09-07,Colombia,Clay,50000.0,$,2014,alex-llompart,A. Llompart,sergio-galdos,S. Galdos,medellin_challenger,1st Round Qualifying,1.0,f,100,0,00:20:00,36.0,1.0,4.0,1.0,0.0,0.0,277.0,0.0,3.0,12.0,23.0,11.0,12.0,4.0,11.0,2.0,2.0,3.0,240.0,2.0,5.0,4.0,8.0,1.0,1.0,2.0,15.0,23.0,6.0,13.0,21.0,t,t,,t,Colombia,0.0,1.0,4.0,0.0,196.0,2.0,4.0,5.0,13.0,3.0,5.0,4.0,8.0,0.0,1.0,2.0,72.0,1.0,12.0,7.0,11.0,0.0,2.0,3.0,7.0,13.0,8.0,23.0,15.0,f,t,f,Colombia
7,2014-09-02,2014-09-07,Colombia,Clay,50000.0,$,2014,andre-ghem,A. Ghem,austin-krajicek,A. Krajicek,medellin_challenger,Semi-Finals,3.0,f,100,6,01:38:00,154.0,1.0,12.0,15.0,0.0,0.0,293.0,5.0,1.0,47.0,64.0,40.0,47.0,8.0,17.0,3.0,5.0,13.0,94.0,13.0,56.0,16.0,34.0,1.0,6.0,14.0,48.0,64.0,29.0,90.0,77.0,f,f,,f,Colombia,2.0,15.0,12.0,0.0,287.0,4.0,1.0,56.0,90.0,43.0,56.0,18.0,34.0,5.0,6.0,14.0,123.0,7.0,47.0,9.0,17.0,2.0,5.0,13.0,61.0,90.0,16.0,64.0,77.0,t,f,t,Colombia
8,2014-09-02,2014-09-07,Colombia,Clay,50000.0,$,2014,andre-ghem,,carlos-salamanca,,medellin_challenger,Quarter-Finals,1.0,f,100,5,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,,Colombia,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,Colombia
9,2014-09-02,2014-09-07,Colombia,Clay,50000.0,$,2014,andre-ghem,A. Ghem,fernando-romboli,F. Romboli,medellin_challenger,Round of 32,2.0,f,100,3,01:18:00,124.0,2.0,13.0,8.0,1.0,1.0,310.0,7.0,1.0,28.0,57.0,25.0,28.0,19.0,29.0,0.0,0.0,10.0,127.0,8.0,39.0,16.0,28.0,2.0,7.0,10.0,44.0,57.0,24.0,67.0,68.0,t,f,,t,Colombia,0.0,8.0,13.0,0.0,257.0,1.0,4.0,39.0,67.0,31.0,39.0,12.0,28.0,5.0,7.0,10.0,45.0,3.0,28.0,10.0,29.0,0.0,0.0,10.0,43.0,67.0,13.0,57.0,56.0,f,f,f,Colombia
