start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2014-02-10,2014-02-16,USA,Hard,568805.0,$,2014,adrian-mannarino,A. Mannarino,jack-sock,J. Sock,memphis,Round of 32,3.0,f,250,3,02:02:00,181.0,1.0,17.0,15.0,0.0,1.0,261.0,7.0,5.0,53.0,93.0,39.0,53.0,21.0,40.0,2.0,6.0,16.0,179.0,12.0,51.0,22.0,37.0,5.0,8.0,15.0,60.0,93.0,34.0,88.0,94.0,f,f,,f,USA,2.0,15.0,17.0,1.0,246.0,10.0,5.0,51.0,88.0,39.0,51.0,15.0,37.0,3.0,8.0,15.0,166.0,14.0,53.0,19.0,40.0,4.0,6.0,16.0,54.0,88.0,33.0,93.0,87.0,t,f,t,USA
2014-02-10,2014-02-16,USA,Hard,568805.0,$,2014,alex-bogomolov-jr.,A. Bogomolov Jr.,kei-nishikori,K. Nishikori,memphis,Quarter-Finals,3.0,f,250,5,02:18:00,187.0,1.0,11.0,15.0,0.0,0.0,213.0,1.0,2.0,53.0,93.0,27.0,53.0,21.0,40.0,9.0,15.0,13.0,163.0,17.0,57.0,22.0,37.0,4.0,9.0,13.0,48.0,93.0,39.0,94.0,87.0,f,f,,t,USA,2.0,15.0,11.0,0.0,243.0,5.0,3.0,57.0,94.0,40.0,57.0,15.0,37.0,5.0,9.0,13.0,183.0,26.0,53.0,19.0,40.0,6.0,15.0,13.0,55.0,94.0,45.0,93.0,100.0,t,f,f,USA
2014-02-10,2014-02-16,USA,Hard,568805.0,$,2014,alex-bogomolov-jr.,A. Bogomolov Jr.,ryan-harrison,R. Harrison,memphis,Round of 16,3.0,f,250,4,01:51:00,172.0,2.0,14.0,11.0,0.0,0.0,263.0,2.0,5.0,71.0,102.0,42.0,71.0,19.0,31.0,9.0,12.0,13.0,176.0,14.0,44.0,14.0,26.0,4.0,7.0,12.0,61.0,102.0,28.0,70.0,89.0,t,f,,t,USA,1.0,11.0,14.0,0.0,247.0,7.0,3.0,44.0,70.0,30.0,44.0,12.0,26.0,3.0,7.0,12.0,128.0,29.0,71.0,12.0,31.0,3.0,12.0,13.0,42.0,70.0,41.0,102.0,83.0,f,f,f,USA
2014-02-10,2014-02-16,USA,Hard,568805.0,$,2014,alex-bogomolov-jr.,A. Bogomolov Jr.,sam-querrey,S. Querrey,memphis,Round of 32,3.0,f,250,3,02:02:00,201.0,2.0,15.0,16.0,1.0,1.0,263.0,2.0,5.0,79.0,103.0,49.0,79.0,13.0,24.0,6.0,10.0,15.0,150.0,10.0,54.0,27.0,44.0,3.0,6.0,15.0,62.0,103.0,37.0,98.0,99.0,t,f,,f,USA,1.0,16.0,15.0,0.0,271.0,18.0,2.0,54.0,98.0,44.0,54.0,17.0,44.0,3.0,6.0,15.0,150.0,30.0,79.0,11.0,24.0,4.0,10.0,15.0,61.0,98.0,41.0,103.0,102.0,f,f,t,USA
2014-02-10,2014-02-16,USA,Hard,568805.0,$,2014,alex-kuznetsov,A. Kuznetsov,bobby-reynolds,B. Reynolds,memphis,3rd Round Qualifying,2.0,f,250,2,01:27:00,127.0,2.0,13.0,8.0,0.0,0.0,303.0,12.0,4.0,38.0,55.0,34.0,38.0,8.0,17.0,1.0,2.0,11.0,156.0,13.0,35.0,19.0,37.0,3.0,8.0,10.0,42.0,55.0,32.0,72.0,74.0,t,f,3,t,USA,0.0,8.0,13.0,0.0,229.0,2.0,4.0,35.0,72.0,22.0,35.0,18.0,37.0,5.0,8.0,10.0,123.0,4.0,38.0,9.0,17.0,1.0,2.0,11.0,40.0,72.0,13.0,55.0,53.0,f,f,f,USA
2014-02-10,2014-02-16,USA,Hard,568805.0,$,2014,alex-kuznetsov,A. Kuznetsov,david-goffin,D. Goffin,memphis,Round of 32,2.0,f,250,3,01:11:00,111.0,2.0,12.0,7.0,0.0,0.0,301.0,14.0,2.0,32.0,46.0,28.0,32.0,6.0,14.0,2.0,3.0,9.0,183.0,7.0,33.0,23.0,32.0,4.0,8.0,10.0,34.0,46.0,30.0,65.0,64.0,t,f,Q,t,USA,0.0,7.0,12.0,0.0,219.0,5.0,4.0,33.0,65.0,26.0,33.0,9.0,32.0,4.0,8.0,10.0,114.0,4.0,32.0,8.0,14.0,1.0,3.0,9.0,35.0,65.0,12.0,46.0,47.0,f,f,f,USA
2014-02-10,2014-02-16,USA,Hard,568805.0,$,2014,alex-kuznetsov,A. Kuznetsov,ian-chadwell,I. Chadwell,memphis,1st Round Qualifying,2.0,f,250,0,00:42:00,71.0,2.0,12.0,1.0,0.0,0.0,313.0,3.0,1.0,23.0,35.0,18.0,23.0,8.0,12.0,0.0,0.0,6.0,312.0,10.0,19.0,15.0,17.0,6.0,7.0,7.0,26.0,35.0,25.0,36.0,51.0,t,f,3,t,USA,0.0,1.0,12.0,0.0,126.0,1.0,1.0,19.0,36.0,9.0,19.0,2.0,17.0,1.0,7.0,7.0,55.0,5.0,23.0,4.0,12.0,0.0,0.0,6.0,11.0,36.0,9.0,35.0,20.0,f,f,f,USA
2014-02-10,2014-02-16,USA,Hard,568805.0,$,2014,alex-kuznetsov,A. Kuznetsov,mikhail-kukushkin,M. Kukushkin,memphis,Round of 16,3.0,f,250,4,02:02:00,190.0,2.0,15.0,15.0,1.0,1.0,282.0,15.0,4.0,63.0,97.0,50.0,63.0,16.0,34.0,4.0,7.0,15.0,114.0,17.0,48.0,18.0,45.0,2.0,8.0,14.0,66.0,97.0,35.0,93.0,101.0,t,f,Q,f,USA,1.0,15.0,15.0,0.0,264.0,6.0,4.0,48.0,93.0,31.0,48.0,27.0,45.0,6.0,8.0,14.0,137.0,13.0,63.0,18.0,34.0,3.0,7.0,15.0,58.0,93.0,31.0,97.0,89.0,f,f,t,USA
2014-02-10,2014-02-16,USA,Hard,568805.0,$,2014,alex-kuznetsov,A. Kuznetsov,sekou-bangoura,S. Bangoura,memphis,2nd Round Qualifying,2.0,f,250,1,01:28:00,120.0,2.0,12.0,8.0,0.0,0.0,299.0,5.0,0.0,46.0,59.0,33.0,46.0,7.0,13.0,2.0,3.0,10.0,169.0,14.0,38.0,12.0,23.0,3.0,6.0,10.0,40.0,59.0,26.0,61.0,66.0,t,f,3,t,USA,0.0,8.0,12.0,0.0,243.0,3.0,3.0,38.0,61.0,24.0,38.0,11.0,23.0,3.0,6.0,10.0,117.0,13.0,46.0,6.0,13.0,1.0,3.0,10.0,35.0,61.0,19.0,59.0,54.0,f,f,f,USA
2014-02-10,2014-02-16,USA,Hard,568805.0,$,2014,alex-kuznetsov,A. Kuznetsov,yen-hsun-lu,Y. Lu,memphis,Quarter-Finals,2.0,f,250,5,01:14:00,109.0,0.0,5.0,12.0,0.0,0.0,199.0,6.0,3.0,33.0,60.0,22.0,33.0,8.0,27.0,6.0,11.0,9.0,117.0,8.0,32.0,8.0,17.0,1.0,3.0,8.0,30.0,60.0,16.0,49.0,46.0,f,f,Q,f,USA,2.0,12.0,5.0,0.0,283.0,6.0,3.0,32.0,49.0,24.0,32.0,9.0,17.0,2.0,3.0,8.0,203.0,11.0,33.0,19.0,27.0,5.0,11.0,9.0,33.0,49.0,30.0,60.0,63.0,t,f,t,USA
