,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2012-04-09,2012-04-15,Turkey,Clay,42500.0,€,2012,andrei-florea,A. Florea,gabriel-moraru,G. Moraru,mersin_challenger,2nd Round Qualifying,2.0,f,100,2,00:45:00,85.0,0.0,2.0,12.0,0.0,0.0,142.0,1.0,7.0,18.0,47.0,8.0,18.0,11.0,29.0,1.0,6.0,7.0,47.0,1.0,16.0,9.0,22.0,0.0,0.0,7.0,19.0,47.0,10.0,38.0,29.0,f,f,WC,f,Turkey,2.0,12.0,2.0,0.0,295.0,2.0,2.0,16.0,38.0,15.0,16.0,13.0,22.0,0.0,0.0,7.0,272.0,10.0,18.0,18.0,29.0,5.0,6.0,7.0,28.0,38.0,28.0,47.0,56.0,t,f,t,Turkey
1,2012-04-09,2012-04-15,Turkey,Clay,42500.0,€,2012,barkin-yalcinkale,B. Yalcinkale,gerard-granollers,G. Granollers,mersin_challenger,Round of 32,2.0,f,100,3,01:02:00,104.0,0.0,2.0,12.0,0.0,0.0,164.0,1.0,1.0,27.0,51.0,11.0,27.0,10.0,24.0,5.0,10.0,7.0,67.0,8.0,31.0,9.0,22.0,0.0,5.0,7.0,21.0,51.0,17.0,53.0,38.0,f,f,WC,f,Turkey,2.0,12.0,2.0,0.0,293.0,2.0,0.0,31.0,53.0,23.0,31.0,13.0,22.0,5.0,5.0,7.0,238.0,16.0,27.0,14.0,24.0,5.0,10.0,7.0,36.0,53.0,30.0,51.0,66.0,t,f,t,Turkey
2,2012-04-09,2012-04-15,Turkey,Clay,42500.0,€,2012,can-altiner,C. Altiner,thomas-schoorel,T. Schoorel,mersin_challenger,Round of 32,2.0,f,100,3,01:00:00,92.0,0.0,3.0,12.0,0.0,0.0,141.0,0.0,8.0,16.0,48.0,10.0,16.0,9.0,32.0,2.0,8.0,8.0,180.0,7.0,26.0,7.0,18.0,1.0,1.0,7.0,19.0,48.0,14.0,44.0,33.0,f,f,WC,f,Turkey,2.0,12.0,3.0,0.0,278.0,3.0,3.0,26.0,44.0,19.0,26.0,11.0,18.0,0.0,1.0,7.0,260.0,6.0,16.0,23.0,32.0,6.0,8.0,8.0,30.0,44.0,29.0,48.0,59.0,t,f,t,Turkey
3,2012-04-09,2012-04-15,Turkey,Clay,42500.0,€,2012,daniel-brands,D. Brands,haluk-akkoyun,H. Akkoyun,mersin_challenger,Round of 32,2.0,f,100,3,00:52:00,86.0,2.0,12.0,2.0,0.0,0.0,321.0,9.0,1.0,19.0,36.0,16.0,19.0,13.0,17.0,1.0,1.0,7.0,235.0,15.0,31.0,14.0,19.0,5.0,12.0,7.0,29.0,36.0,29.0,50.0,58.0,t,f,4,t,Turkey,0.0,2.0,12.0,0.0,168.0,2.0,2.0,31.0,50.0,16.0,31.0,5.0,19.0,7.0,12.0,7.0,40.0,3.0,19.0,4.0,17.0,0.0,1.0,7.0,21.0,50.0,7.0,36.0,28.0,f,f,f,Turkey
4,2012-04-09,2012-04-15,Turkey,Clay,42500.0,€,2012,daniel-brands,D. Brands,joao-sousa,J. Sousa,mersin_challenger,Quarter-Finals,3.0,f,100,5,02:23:00,216.0,1.0,15.0,18.0,1.0,1.0,245.0,3.0,7.0,67.0,112.0,45.0,67.0,21.0,45.0,3.0,7.0,16.0,112.0,21.0,65.0,18.0,39.0,2.0,9.0,16.0,66.0,112.0,39.0,104.0,105.0,f,f,4,f,Turkey,2.0,18.0,15.0,0.0,271.0,2.0,3.0,65.0,104.0,44.0,65.0,21.0,39.0,7.0,9.0,16.0,168.0,22.0,67.0,24.0,45.0,4.0,7.0,16.0,65.0,104.0,46.0,112.0,111.0,t,f,t,Turkey
5,2012-04-09,2012-04-15,Turkey,Clay,42500.0,€,2012,daniel-brands,D. Brands,peter-gojowczyk,P. Gojowczyk,mersin_challenger,Round of 16,2.0,f,100,4,01:07:00,114.0,2.0,13.0,7.0,0.0,0.0,283.0,6.0,4.0,35.0,57.0,28.0,35.0,11.0,22.0,1.0,2.0,10.0,176.0,11.0,32.0,13.0,25.0,4.0,8.0,10.0,39.0,57.0,24.0,57.0,63.0,t,f,4,t,Turkey,0.0,7.0,13.0,0.0,230.0,3.0,3.0,32.0,57.0,21.0,32.0,12.0,25.0,4.0,8.0,10.0,130.0,7.0,35.0,11.0,22.0,1.0,2.0,10.0,33.0,57.0,18.0,57.0,51.0,f,f,f,Turkey
6,2012-04-09,2012-04-15,Turkey,Clay,42500.0,€,2012,denys-molchanov,D. Molchanov,pavol-cervenak,P. Cervenak,mersin_challenger,Round of 32,2.0,f,100,3,00:52:00,88.0,0.0,5.0,12.0,0.0,0.0,215.0,1.0,1.0,29.0,47.0,14.0,29.0,9.0,18.0,0.0,4.0,9.0,51.0,4.0,27.0,5.0,14.0,0.0,0.0,8.0,23.0,47.0,9.0,41.0,32.0,f,f,,f,Turkey,2.0,12.0,5.0,0.0,318.0,5.0,2.0,27.0,41.0,23.0,27.0,9.0,14.0,0.0,0.0,8.0,246.0,15.0,29.0,9.0,18.0,4.0,4.0,9.0,32.0,41.0,24.0,47.0,56.0,t,f,t,Turkey
7,2012-04-09,2012-04-15,Turkey,Clay,42500.0,€,2012,dusan-lajovic,D. Lajovic,javier-marti,J. Marti,mersin_challenger,Quarter-Finals,2.0,f,100,5,01:27:00,118.0,0.0,7.0,12.0,0.0,0.0,197.0,0.0,2.0,33.0,64.0,19.0,33.0,12.0,31.0,2.0,7.0,10.0,138.0,13.0,37.0,7.0,17.0,2.0,5.0,9.0,31.0,64.0,20.0,54.0,51.0,f,f,,f,Turkey,2.0,12.0,7.0,0.0,269.0,0.0,1.0,37.0,54.0,24.0,37.0,10.0,17.0,3.0,5.0,9.0,224.0,14.0,33.0,19.0,31.0,5.0,7.0,10.0,34.0,54.0,33.0,64.0,67.0,t,f,t,Turkey
8,2012-04-09,2012-04-15,Turkey,Clay,42500.0,€,2012,dusan-lajovic,D. Lajovic,martin-klizan,M. Klizan,mersin_challenger,Round of 32,2.0,f,100,3,01:11:00,92.0,2.0,12.0,3.0,0.0,0.0,276.0,1.0,0.0,26.0,43.0,17.0,26.0,11.0,17.0,3.0,4.0,7.0,271.0,10.0,26.0,19.0,23.0,6.0,8.0,8.0,28.0,43.0,29.0,49.0,57.0,t,f,,t,Turkey,0.0,3.0,12.0,0.0,158.0,1.0,0.0,26.0,49.0,16.0,26.0,4.0,23.0,2.0,8.0,8.0,109.0,9.0,26.0,6.0,17.0,1.0,4.0,7.0,20.0,49.0,15.0,43.0,35.0,f,f,f,Turkey
9,2012-04-09,2012-04-15,Turkey,Clay,42500.0,€,2012,dusan-lajovic,D. Lajovic,pavol-cervenak,P. Cervenak,mersin_challenger,Round of 16,2.0,f,100,4,01:12:00,91.0,2.0,12.0,2.0,0.0,0.0,316.0,1.0,1.0,29.0,40.0,23.0,29.0,7.0,11.0,0.0,0.0,7.0,230.0,13.0,26.0,16.0,25.0,5.0,11.0,7.0,30.0,40.0,29.0,51.0,59.0,t,f,,t,Turkey,0.0,2.0,12.0,0.0,163.0,0.0,2.0,26.0,51.0,13.0,26.0,9.0,25.0,6.0,11.0,7.0,57.0,6.0,29.0,4.0,11.0,0.0,0.0,7.0,22.0,51.0,10.0,40.0,32.0,f,f,f,Turkey
10,2012-04-09,2012-04-15,Turkey,Clay,42500.0,€,2012,dusan-lojda,D. Lojda,igor-sijsling,I. Sijsling,mersin_challenger,Round of 32,2.0,f,100,3,01:09:00,107.0,0.0,7.0,12.0,0.0,0.0,269.0,2.0,0.0,33.0,52.0,21.0,33.0,12.0,19.0,3.0,5.0,9.0,57.0,3.0,34.0,10.0,21.0,0.0,2.0,10.0,33.0,52.0,13.0,55.0,46.0,f,f,,f,Turkey,2.0,12.0,7.0,0.0,315.0,12.0,2.0,34.0,55.0,31.0,34.0,11.0,21.0,2.0,2.0,10.0,135.0,12.0,33.0,7.0,19.0,2.0,5.0,9.0,42.0,55.0,19.0,52.0,61.0,t,f,t,Turkey
11,2012-04-09,2012-04-15,Turkey,Clay,42500.0,€,2012,ergun-zorlu,E. Zorlu,simone-vagnozzi,S. Vagnozzi,mersin_challenger,Round of 32,2.0,f,100,3,01:05:00,105.0,0.0,6.0,12.0,0.0,0.0,184.0,0.0,2.0,30.0,54.0,17.0,30.0,7.0,24.0,6.0,11.0,9.0,137.0,12.0,37.0,6.0,14.0,2.0,5.0,9.0,24.0,54.0,18.0,51.0,42.0,f,f,WC,f,Turkey,2.0,12.0,6.0,0.0,272.0,1.0,4.0,37.0,51.0,25.0,37.0,8.0,14.0,3.0,5.0,9.0,214.0,13.0,30.0,17.0,24.0,5.0,11.0,9.0,33.0,51.0,30.0,54.0,63.0,t,f,t,Turkey
