,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2014-06-03,2014-06-08,Italy,Clay,42500.0,€,2014,alessandro-giannessi,A. Giannessi,christian-lindell,C. Lindell,mestre_challenger,3rd Round Qualifying,2.0,f,100,2,02:08:00,179.0,2.0,14.0,11.0,0.0,0.0,294.0,5.0,6.0,64.0,91.0,49.0,64.0,13.0,27.0,7.0,7.0,12.0,106.0,20.0,61.0,14.0,27.0,1.0,8.0,12.0,62.0,91.0,34.0,88.0,96.0,t,f,4,t,Italy,0.0,11.0,14.0,0.0,277.0,5.0,3.0,61.0,88.0,41.0,61.0,13.0,27.0,7.0,8.0,12.0,75.0,15.0,64.0,14.0,27.0,0.0,7.0,12.0,54.0,88.0,29.0,91.0,83.0,f,f,f,Italy
1,2014-06-03,2014-06-08,Italy,Clay,42500.0,€,2014,alessandro-giannessi,A. Giannessi,edoardo-eremin,E. Eremin,mestre_challenger,2nd Round Qualifying,2.0,f,100,1,01:40:00,150.0,2.0,13.0,9.0,1.0,1.0,264.0,1.0,5.0,61.0,86.0,39.0,61.0,13.0,25.0,5.0,7.0,11.0,179.0,11.0,37.0,16.0,27.0,3.0,5.0,10.0,52.0,86.0,27.0,64.0,79.0,t,f,4,t,Italy,0.0,9.0,13.0,0.0,240.0,7.0,6.0,37.0,64.0,26.0,37.0,11.0,27.0,2.0,5.0,10.0,131.0,22.0,61.0,12.0,25.0,2.0,7.0,11.0,37.0,64.0,34.0,86.0,71.0,f,f,f,Italy
2,2014-06-03,2014-06-08,Italy,Clay,42500.0,€,2014,alessandro-giannessi,A. Giannessi,pablo-cuevas,P. Cuevas,mestre_challenger,Round of 16,2.0,f,100,4,01:06:00,92.0,0.0,4.0,12.0,0.0,0.0,139.0,0.0,4.0,22.0,40.0,9.0,22.0,4.0,18.0,1.0,7.0,8.0,177.0,10.0,34.0,10.0,18.0,2.0,3.0,8.0,13.0,40.0,20.0,52.0,33.0,f,f,Q,f,Italy,2.0,12.0,4.0,0.0,256.0,3.0,2.0,34.0,52.0,24.0,34.0,8.0,18.0,1.0,3.0,8.0,298.0,13.0,22.0,14.0,18.0,6.0,7.0,8.0,32.0,52.0,27.0,40.0,59.0,t,f,t,Italy
3,2014-06-03,2014-06-08,Italy,Clay,42500.0,€,2014,alessandro-giannessi,A. Giannessi,salvatore-caruso,S. Caruso,mestre_challenger,Round of 32,2.0,f,100,3,01:56:00,156.0,2.0,13.0,9.0,1.0,1.0,262.0,3.0,5.0,36.0,64.0,24.0,36.0,17.0,28.0,2.0,4.0,10.0,166.0,27.0,65.0,17.0,27.0,4.0,16.0,11.0,41.0,64.0,44.0,92.0,85.0,t,f,Q,t,Italy,0.0,9.0,13.0,0.0,230.0,1.0,0.0,65.0,92.0,38.0,65.0,10.0,27.0,12.0,16.0,11.0,142.0,12.0,36.0,11.0,28.0,2.0,4.0,10.0,48.0,92.0,23.0,64.0,71.0,f,f,f,Italy
4,2014-06-03,2014-06-08,Italy,Clay,42500.0,€,2014,andrea-arnaboldi,A. Arnaboldi,marco-cecchinato,M. Cecchinato,mestre_challenger,Quarter-Finals,2.0,f,100,5,01:26:00,122.0,0.0,8.0,13.0,0.0,1.0,246.0,1.0,2.0,32.0,56.0,21.0,32.0,13.0,24.0,1.0,4.0,10.0,90.0,13.0,43.0,7.0,23.0,1.0,5.0,10.0,34.0,56.0,20.0,66.0,54.0,f,f,,f,Italy,2.0,13.0,8.0,1.0,294.0,0.0,1.0,43.0,66.0,30.0,43.0,16.0,23.0,4.0,5.0,10.0,185.0,11.0,32.0,11.0,24.0,3.0,4.0,10.0,46.0,66.0,22.0,56.0,68.0,t,f,t,Italy
5,2014-06-03,2014-06-08,Italy,Clay,42500.0,€,2014,andrea-arnaboldi,A. Arnaboldi,marco-trungelliti,M. Trungelliti,mestre_challenger,Round of 16,2.0,f,100,4,01:08:00,89.0,2.0,12.0,1.0,0.0,0.0,296.0,2.0,2.0,37.0,55.0,25.0,37.0,11.0,18.0,6.0,6.0,7.0,280.0,14.0,19.0,10.0,15.0,5.0,9.0,6.0,36.0,55.0,24.0,34.0,60.0,t,f,,t,Italy,0.0,1.0,12.0,0.0,130.0,0.0,1.0,19.0,34.0,5.0,19.0,5.0,15.0,4.0,9.0,6.0,71.0,12.0,37.0,7.0,18.0,0.0,6.0,7.0,10.0,34.0,19.0,55.0,29.0,f,f,f,Italy
6,2014-06-03,2014-06-08,Italy,Clay,42500.0,€,2014,andrea-arnaboldi,A. Arnaboldi,martin-alund,M. Alund,mestre_challenger,Round of 32,2.0,f,100,3,01:34:00,127.0,2.0,13.0,8.0,0.0,0.0,304.0,4.0,3.0,42.0,66.0,34.0,42.0,14.0,24.0,4.0,4.0,11.0,133.0,9.0,32.0,13.0,29.0,2.0,5.0,10.0,48.0,66.0,22.0,61.0,70.0,t,f,,t,Italy,0.0,8.0,13.0,0.0,257.0,0.0,2.0,32.0,61.0,23.0,32.0,16.0,29.0,3.0,5.0,10.0,61.0,8.0,42.0,10.0,24.0,0.0,4.0,11.0,39.0,61.0,18.0,66.0,57.0,f,f,f,Italy
7,2014-06-03,2014-06-08,Italy,Clay,42500.0,€,2014,andrea-basso,A. Basso,juan-carlos-spir,J. Spir,mestre_challenger,1st Round Qualifying,2.0,f,100,0,01:18:00,131.0,2.0,13.0,8.0,1.0,1.0,293.0,4.0,4.0,43.0,64.0,36.0,43.0,11.0,21.0,1.0,2.0,10.0,171.0,16.0,41.0,11.0,26.0,3.0,5.0,10.0,47.0,64.0,27.0,67.0,74.0,t,f,,t,Italy,0.0,8.0,13.0,0.0,250.0,4.0,4.0,41.0,67.0,25.0,41.0,15.0,26.0,2.0,5.0,10.0,124.0,7.0,43.0,10.0,21.0,1.0,2.0,10.0,40.0,67.0,17.0,64.0,57.0,f,f,f,Italy
8,2014-06-03,2014-06-08,Italy,Clay,42500.0,€,2014,andrea-basso,A. Basso,marco-trungelliti,M. Trungelliti,mestre_challenger,2nd Round Qualifying,2.0,f,100,1,01:08:00,99.0,0.0,6.0,12.0,0.0,0.0,219.0,0.0,0.0,30.0,51.0,16.0,30.0,11.0,21.0,1.0,5.0,9.0,183.0,5.0,32.0,9.0,16.0,1.0,1.0,9.0,27.0,51.0,14.0,48.0,41.0,f,f,,f,Italy,2.0,12.0,6.0,0.0,284.0,1.0,0.0,32.0,48.0,27.0,32.0,7.0,16.0,0.0,1.0,9.0,219.0,14.0,30.0,10.0,21.0,4.0,5.0,9.0,34.0,48.0,24.0,51.0,58.0,t,f,t,Italy
9,2014-06-03,2014-06-08,Italy,Clay,42500.0,€,2014,andrea-collarini,A. Collarini,filippo-volandri,F. Volandri,mestre_challenger,Round of 16,3.0,f,100,4,02:08:00,175.0,2.0,15.0,14.0,0.0,0.0,252.0,4.0,4.0,68.0,102.0,44.0,68.0,16.0,34.0,10.0,14.0,15.0,179.0,18.0,50.0,11.0,23.0,4.0,6.0,14.0,60.0,102.0,29.0,73.0,89.0,t,f,,t,Italy,1.0,14.0,15.0,0.0,257.0,4.0,2.0,50.0,73.0,32.0,50.0,12.0,23.0,2.0,6.0,14.0,143.0,24.0,68.0,18.0,34.0,4.0,14.0,15.0,44.0,73.0,42.0,102.0,86.0,f,f,f,Italy
