,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,adrian-garcia,,juan-monaco,,mexico-city_challenger,Round of 32,2.0,f,100,3,,,0.0,1.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Mexico,2.0,12.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Mexico
1,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,alejandro-falla,,dick-norman,,mexico-city_challenger,Semi-Finals,2.0,f,100,6,,,2.0,12.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,Q,t,Mexico,0.0,7.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Mexico
2,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,alejandro-falla,,edgardo-massa,,mexico-city_challenger,Quarter-Finals,2.0,f,100,5,,,2.0,9.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,Q,t,Mexico,0.0,2.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,t,f,Mexico
3,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,alejandro-falla,,paul-capdeville,,mexico-city_challenger,Round of 16,3.0,f,100,4,,,2.0,19.0,16.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,Q,f,Mexico,1.0,16.0,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,t,Mexico
4,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,alejandro-falla,,ramon-delgado,,mexico-city_challenger,Finals,3.0,f,100,7,,,1.0,13.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,f,Mexico,2.0,16.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Mexico
5,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,alejandro-falla,,tomas-cakl,,mexico-city_challenger,Round of 32,3.0,f,100,3,,,2.0,13.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,Q,t,Mexico,1.0,12.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Mexico
6,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,alexander-waske,,edgardo-massa,,mexico-city_challenger,Round of 16,2.0,f,100,4,,,0.0,7.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,3,f,Mexico,2.0,12.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Mexico
7,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,alexander-waske,,kevin-kim,,mexico-city_challenger,Round of 32,2.0,f,100,3,,,2.0,14.0,12.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,3,t,Mexico,0.0,12.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Mexico
8,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,alex-bogomolov-jr.,,dick-norman,,mexico-city_challenger,Round of 16,3.0,f,100,4,,,1.0,14.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Mexico,2.0,16.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Mexico
9,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,alex-bogomolov-jr.,,nathan-healey,,mexico-city_challenger,Round of 32,3.0,f,100,3,,,2.0,18.0,17.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Mexico,1.0,17.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Mexico
10,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,bobby-reynolds,,ricardo-mello,,mexico-city_challenger,Round of 32,2.0,f,100,3,,,0.0,7.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Mexico,2.0,13.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Mexico
11,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,daniel-garza,,juan-manuel-elizondo,,mexico-city_challenger,Round of 32,2.0,f,100,3,,,2.0,13.0,9.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,WC,t,Mexico,0.0,9.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Mexico
12,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,daniel-garza,,razvan-sabau,,mexico-city_challenger,Round of 16,2.0,f,100,4,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,WC,f,Mexico,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Mexico
13,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,daniel-langre,,razvan-sabau,,mexico-city_challenger,Round of 32,2.0,f,100,3,,,0.0,5.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,f,Mexico,2.0,12.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Mexico
14,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,dick-norman,,diego-hartfield,,mexico-city_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,8,t,Mexico,0.0,5.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Mexico
15,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,dick-norman,,stefan-koubek,,mexico-city_challenger,Quarter-Finals,2.0,f,100,5,,,2.0,12.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,8,t,Mexico,0.0,2.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Mexico
16,2006-03-27,2006-04-02,Mexico,Clay,125000.0,$,2006,edgardo-massa,,sergio-roitman,,mexico-city_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,Q,t,Mexico,0.0,3.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Mexico
