start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2010-03-24,2010-04-04,USA,Hard,3645000.0,$,2010,albert-montanes,A. Montanes,florent-serra,F. Serra,miami,Round of 64,3.0,f,1000,2,01:49:00,173.0,1.0,11.0,15.0,0.0,0.0,240.0,5.0,7.0,35.0,68.0,27.0,35.0,15.0,33.0,0.0,4.0,13.0,113.0,15.0,55.0,27.0,50.0,2.0,12.0,13.0,42.0,68.0,42.0,105.0,84.0,f,f,26,f,USA,2.0,15.0,11.0,0.0,261.0,8.0,2.0,55.0,105.0,40.0,55.0,23.0,50.0,10.0,12.0,13.0,208.0,8.0,35.0,18.0,33.0,4.0,4.0,13.0,63.0,105.0,26.0,68.0,89.0,t,f,t,USA
2010-03-24,2010-04-04,USA,Hard,3645000.0,$,2010,alejandro-falla,A. Falla,jurgen-melzer,J. Melzer,miami,Round of 64,2.0,f,1000,2,01:18:00,128.0,0.0,7.0,12.0,0.0,0.0,258.0,3.0,4.0,41.0,66.0,28.0,41.0,13.0,25.0,4.0,6.0,9.0,66.0,5.0,35.0,14.0,27.0,0.0,1.0,10.0,41.0,66.0,19.0,62.0,60.0,f,f,,f,USA,2.0,12.0,7.0,0.0,291.0,3.0,2.0,35.0,62.0,30.0,35.0,13.0,27.0,1.0,1.0,10.0,135.0,13.0,41.0,12.0,25.0,2.0,6.0,9.0,43.0,62.0,25.0,66.0,68.0,t,f,t,USA
2010-03-24,2010-04-04,USA,Hard,3645000.0,$,2010,alejandro-falla,A. Falla,victor-hanescu,V. Hanescu,miami,Round of 128,3.0,f,1000,1,02:08:00,187.0,2.0,16.0,16.0,1.0,1.0,262.0,7.0,1.0,44.0,92.0,34.0,44.0,27.0,48.0,1.0,5.0,16.0,161.0,20.0,68.0,14.0,27.0,3.0,5.0,15.0,61.0,92.0,34.0,95.0,95.0,t,f,,t,USA,1.0,16.0,16.0,0.0,279.0,9.0,1.0,68.0,95.0,48.0,68.0,13.0,27.0,2.0,5.0,15.0,172.0,10.0,44.0,21.0,48.0,4.0,5.0,16.0,61.0,95.0,31.0,92.0,92.0,f,f,f,USA
2010-03-24,2010-04-04,USA,Hard,3645000.0,$,2010,alexander-domijan,A. Domijan,kevin-kim,K. Kim,miami,1st Round Qualifying,2.0,f,1000,-1,01:07:00,121.0,0.0,8.0,12.0,0.0,0.0,229.0,3.0,2.0,38.0,61.0,22.0,38.0,11.0,23.0,2.0,6.0,10.0,135.0,9.0,36.0,12.0,24.0,2.0,5.0,10.0,33.0,61.0,21.0,60.0,54.0,f,f,WC,f,USA,2.0,12.0,8.0,0.0,268.0,5.0,2.0,36.0,60.0,27.0,36.0,12.0,24.0,3.0,5.0,10.0,201.0,16.0,38.0,12.0,23.0,4.0,6.0,10.0,39.0,60.0,28.0,61.0,67.0,t,f,t,USA
2010-03-24,2010-04-04,USA,Hard,3645000.0,$,2010,andreas-beck,A. Beck,stephane-robert,S. Robert,miami,Round of 128,2.0,f,1000,1,01:21:00,128.0,0.0,9.0,13.0,0.0,0.0,220.0,3.0,7.0,41.0,71.0,27.0,41.0,11.0,30.0,8.0,12.0,11.0,126.0,3.0,24.0,15.0,33.0,2.0,4.0,11.0,38.0,71.0,18.0,57.0,56.0,f,f,,f,USA,2.0,13.0,9.0,0.0,268.0,4.0,2.0,24.0,57.0,21.0,24.0,18.0,33.0,2.0,4.0,11.0,166.0,14.0,41.0,19.0,30.0,4.0,12.0,11.0,39.0,57.0,33.0,71.0,72.0,t,f,t,USA
2010-03-24,2010-04-04,USA,Hard,3645000.0,$,2010,andreas-seppi,A. Seppi,horacio-zeballos,H. Zeballos,miami,Round of 128,2.0,f,1000,1,01:31:00,140.0,0.0,8.0,13.0,0.0,1.0,236.0,5.0,3.0,43.0,78.0,31.0,43.0,13.0,35.0,2.0,5.0,10.0,118.0,8.0,32.0,10.0,30.0,1.0,2.0,10.0,44.0,78.0,18.0,62.0,62.0,f,f,,f,USA,2.0,13.0,8.0,1.0,286.0,6.0,4.0,32.0,62.0,24.0,32.0,20.0,30.0,1.0,2.0,10.0,181.0,12.0,43.0,22.0,35.0,3.0,5.0,10.0,44.0,62.0,34.0,78.0,78.0,t,f,t,USA
2010-03-24,2010-04-04,USA,Hard,3645000.0,$,2010,andrey-golubev,A. Golubev,daniel-gimeno-traver,D. Gimeno-Traver,miami,Round of 128,2.0,f,1000,1,01:11:00,110.0,0.0,7.0,12.0,0.0,0.0,244.0,1.0,4.0,32.0,61.0,21.0,32.0,17.0,29.0,4.0,7.0,10.0,51.0,2.0,26.0,10.0,23.0,0.0,2.0,9.0,38.0,61.0,12.0,49.0,50.0,f,f,Q,f,USA,2.0,12.0,7.0,0.0,302.0,0.0,0.0,26.0,49.0,24.0,26.0,13.0,23.0,2.0,2.0,9.0,148.0,11.0,32.0,12.0,29.0,3.0,7.0,10.0,37.0,49.0,23.0,61.0,60.0,t,f,t,USA
2010-03-24,2010-04-04,USA,Hard,3645000.0,$,2010,andrey-golubev,A. Golubev,ivan-dodig,I. Dodig,miami,2nd Round Qualifying,2.0,f,1000,0,01:30:00,134.0,2.0,13.0,7.0,1.0,1.0,273.0,6.0,4.0,37.0,76.0,28.0,37.0,22.0,39.0,6.0,7.0,10.0,172.0,15.0,37.0,8.0,21.0,3.0,5.0,9.0,50.0,76.0,23.0,58.0,73.0,t,f,10,t,USA,0.0,7.0,13.0,0.0,252.0,2.0,1.0,37.0,58.0,22.0,37.0,13.0,21.0,2.0,5.0,9.0,92.0,9.0,37.0,17.0,39.0,1.0,7.0,10.0,35.0,58.0,26.0,76.0,61.0,f,f,f,USA
2010-03-24,2010-04-04,USA,Hard,3645000.0,$,2010,andrey-golubev,A. Golubev,robert-kendrick,R. Kendrick,miami,1st Round Qualifying,2.0,f,1000,-1,01:15:00,136.0,2.0,12.0,8.0,0.0,0.0,313.0,14.0,2.0,47.0,73.0,34.0,47.0,17.0,26.0,6.0,6.0,10.0,154.0,12.0,41.0,12.0,22.0,2.0,4.0,10.0,51.0,73.0,24.0,63.0,75.0,t,f,10,t,USA,0.0,8.0,12.0,0.0,266.0,5.0,0.0,41.0,63.0,29.0,41.0,10.0,22.0,2.0,4.0,10.0,63.0,13.0,47.0,9.0,26.0,0.0,6.0,10.0,39.0,63.0,22.0,73.0,61.0,f,f,f,USA
2010-03-24,2010-04-04,USA,Hard,3645000.0,$,2010,andy-murray,A. Murray,mardy-fish,M. Fish,miami,Round of 64,2.0,f,1000,2,01:32:00,137.0,0.0,8.0,12.0,0.0,0.0,236.0,2.0,5.0,38.0,72.0,25.0,38.0,17.0,34.0,4.0,7.0,10.0,98.0,6.0,33.0,16.0,32.0,1.0,5.0,10.0,42.0,72.0,22.0,65.0,64.0,f,f,3,f,USA,2.0,12.0,8.0,0.0,281.0,10.0,2.0,33.0,65.0,27.0,33.0,16.0,32.0,4.0,5.0,10.0,157.0,13.0,38.0,17.0,34.0,3.0,7.0,10.0,43.0,65.0,30.0,72.0,73.0,t,f,t,USA
