,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2016-03-23,2016-04-03,USA,Hard,6134605.0,$,2016,adrian-mannarino,A. Mannarino,andrey-kuznetsov,A. Kuznetsov,miami,Round of 32,3.0,f,1000,3,01:48:00,164.0,1.0,11.0,15.0,0.0,0.0,238.0,10.0,1.0,55.0,88.0,33.0,55.0,15.0,33.0,6.0,11.0,13.0,151.0,13.0,43.0,16.0,33.0,3.0,6.0,13.0,48.0,88.0,29.0,76.0,77.0,f,f,,t,USA,2.0,15.0,11.0,0.0,262.0,9.0,2.0,43.0,76.0,30.0,43.0,17.0,33.0,3.0,6.0,13.0,178.0,22.0,55.0,18.0,33.0,5.0,11.0,13.0,47.0,76.0,40.0,88.0,87.0,t,f,f,USA
1,2016-03-23,2016-04-03,USA,Hard,6134605.0,$,2016,adrian-mannarino,A. Mannarino,illya-marchenko,I. Marchenko,miami,Round of 128,3.0,f,1000,1,01:47:00,138.0,2.0,14.0,11.0,0.0,0.0,275.0,6.0,1.0,30.0,60.0,23.0,30.0,20.0,30.0,0.0,3.0,13.0,183.0,12.0,41.0,20.0,37.0,4.0,6.0,12.0,43.0,60.0,32.0,78.0,75.0,t,f,,f,USA,1.0,11.0,14.0,0.0,236.0,3.0,3.0,41.0,78.0,29.0,41.0,17.0,37.0,2.0,6.0,12.0,179.0,7.0,30.0,10.0,30.0,3.0,3.0,13.0,46.0,78.0,17.0,60.0,63.0,f,f,t,USA
2,2016-03-23,2016-04-03,USA,Hard,6134605.0,$,2016,adrian-mannarino,A. Mannarino,sam-querrey,S. Querrey,miami,Round of 64,3.0,f,1000,2,02:02:00,195.0,2.0,18.0,13.0,0.0,1.0,270.0,9.0,2.0,56.0,99.0,37.0,56.0,26.0,43.0,6.0,9.0,15.0,218.0,15.0,57.0,30.0,39.0,6.0,8.0,15.0,63.0,99.0,45.0,96.0,108.0,t,f,,f,USA,1.0,13.0,18.0,1.0,217.0,11.0,10.0,57.0,96.0,42.0,57.0,9.0,39.0,2.0,8.0,15.0,127.0,19.0,56.0,17.0,43.0,3.0,9.0,15.0,51.0,96.0,36.0,99.0,87.0,f,f,t,USA
3,2016-03-23,2016-04-03,USA,Hard,6134605.0,$,2016,albert-ramos-vinolas,A. Ramos-Vinolas,alejandro-gonzalez,A. Gonzalez,miami,Round of 128,3.0,f,1000,1,02:42:00,209.0,2.0,18.0,15.0,1.0,1.0,257.0,5.0,2.0,55.0,99.0,41.0,55.0,21.0,44.0,1.0,5.0,16.0,161.0,27.0,62.0,21.0,48.0,5.0,12.0,16.0,62.0,99.0,48.0,110.0,110.0,t,f,,f,USA,1.0,15.0,18.0,0.0,235.0,2.0,3.0,62.0,110.0,35.0,62.0,27.0,48.0,7.0,12.0,16.0,182.0,14.0,55.0,23.0,44.0,4.0,5.0,16.0,62.0,110.0,37.0,99.0,99.0,f,f,t,USA
4,2016-03-23,2016-04-03,USA,Hard,6134605.0,$,2016,albert-ramos-vinolas,A. Ramos-Vinolas,richard-gasquet,R. Gasquet,miami,Round of 64,2.0,f,1000,2,01:44:00,124.0,0.0,8.0,12.0,0.0,0.0,206.0,2.0,2.0,34.0,57.0,18.0,34.0,10.0,23.0,2.0,7.0,10.0,141.0,13.0,32.0,14.0,35.0,3.0,10.0,10.0,28.0,57.0,27.0,67.0,55.0,f,f,,f,USA,2.0,12.0,8.0,0.0,238.0,2.0,1.0,32.0,67.0,19.0,32.0,21.0,35.0,7.0,10.0,10.0,225.0,16.0,34.0,13.0,23.0,5.0,7.0,10.0,40.0,67.0,29.0,57.0,69.0,t,f,t,USA
5,2016-03-23,2016-04-03,USA,Hard,6134605.0,$,2016,alejandro-falla,A. Falla,alex-kuznetsov,A. Kuznetsov,miami,1st Round Qualifying,2.0,f,1000,-1,01:11:00,114.0,0.0,7.0,12.0,0.0,0.0,209.0,2.0,5.0,25.0,52.0,15.0,25.0,12.0,27.0,0.0,4.0,10.0,96.0,8.0,37.0,13.0,25.0,1.0,9.0,9.0,27.0,52.0,21.0,62.0,48.0,f,f,15,f,USA,2.0,12.0,7.0,0.0,281.0,8.0,1.0,37.0,62.0,29.0,37.0,12.0,25.0,8.0,9.0,9.0,236.0,10.0,25.0,15.0,27.0,4.0,4.0,10.0,41.0,62.0,25.0,52.0,66.0,t,f,t,USA
6,2016-03-23,2016-04-03,USA,Hard,6134605.0,$,2016,alejandro-gonzalez,A. Gonzalez,jared-donaldson,J. Donaldson,miami,2nd Round Qualifying,3.0,f,1000,0,02:22:00,179.0,2.0,15.0,10.0,0.0,0.0,256.0,3.0,4.0,51.0,89.0,32.0,51.0,23.0,38.0,13.0,16.0,13.0,172.0,11.0,34.0,30.0,56.0,5.0,11.0,12.0,55.0,89.0,41.0,90.0,96.0,t,f,23,t,USA,1.0,10.0,15.0,0.0,211.0,4.0,3.0,34.0,90.0,23.0,34.0,26.0,56.0,6.0,11.0,12.0,118.0,19.0,51.0,15.0,38.0,3.0,16.0,13.0,49.0,90.0,34.0,89.0,83.0,f,f,f,USA
7,2016-03-23,2016-04-03,USA,Hard,6134605.0,$,2016,alejandro-gonzalez,A. Gonzalez,renzo-olivo,R. Olivo,miami,1st Round Qualifying,2.0,f,1000,-1,01:30:00,136.0,2.0,13.0,7.0,0.0,0.0,287.0,0.0,1.0,43.0,63.0,30.0,43.0,12.0,20.0,0.0,1.0,10.0,178.0,19.0,47.0,15.0,26.0,4.0,10.0,10.0,42.0,63.0,34.0,73.0,76.0,t,f,23,t,USA,0.0,7.0,13.0,0.0,227.0,4.0,3.0,47.0,73.0,28.0,47.0,11.0,26.0,6.0,10.0,10.0,180.0,13.0,43.0,8.0,20.0,1.0,1.0,10.0,39.0,73.0,21.0,63.0,60.0,f,f,f,USA
8,2016-03-23,2016-04-03,USA,Hard,6134605.0,$,2016,alexander-sarkissian,A. Sarkissian,facundo-arguello,F. Arguello,miami,1st Round Qualifying,3.0,f,1000,-1,01:51:00,175.0,2.0,15.0,14.0,0.0,0.0,245.0,4.0,9.0,60.0,90.0,42.0,60.0,12.0,30.0,3.0,7.0,15.0,150.0,12.0,42.0,23.0,43.0,4.0,10.0,14.0,54.0,90.0,35.0,85.0,89.0,t,f,,t,USA,1.0,14.0,15.0,0.0,238.0,3.0,3.0,42.0,85.0,30.0,42.0,20.0,43.0,6.0,10.0,14.0,173.0,18.0,60.0,18.0,30.0,4.0,7.0,15.0,50.0,85.0,36.0,90.0,86.0,f,f,f,USA
9,2016-03-23,2016-04-03,USA,Hard,6134605.0,$,2016,alexander-sarkissian,A. Sarkissian,marcel-granollers,M. Granollers,miami,2nd Round Qualifying,2.0,f,1000,0,01:01:00,94.0,0.0,4.0,12.0,0.0,0.0,199.0,4.0,5.0,32.0,55.0,21.0,32.0,6.0,23.0,11.0,15.0,8.0,44.0,3.0,27.0,4.0,12.0,0.0,0.0,8.0,27.0,55.0,7.0,39.0,34.0,f,f,,f,USA,2.0,12.0,4.0,0.0,328.0,4.0,1.0,27.0,39.0,24.0,27.0,8.0,12.0,0.0,0.0,8.0,185.0,11.0,32.0,17.0,23.0,4.0,15.0,8.0,32.0,39.0,28.0,55.0,60.0,t,f,t,USA
