start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2008-01-14,2008-01-27,USA,Clay,50000.0,$,2008,adrian-menendez-maceiras,A. Menendez-Maceiras,carlos-salamanca,C. Salamanca,miami_challenger,Quarter-Finals,2.0,f,100,5,01:31:00,139.0,2.0,13.0,10.0,1.0,1.0,300.0,4.0,1.0,46.0,67.0,31.0,46.0,15.0,21.0,2.0,3.0,11.0,129.0,20.0,57.0,7.0,15.0,2.0,7.0,11.0,46.0,67.0,27.0,72.0,73.0,t,f,,t,USA,0.0,10.0,13.0,0.0,280.0,3.0,1.0,57.0,72.0,37.0,57.0,8.0,15.0,5.0,7.0,11.0,104.0,15.0,46.0,6.0,21.0,1.0,3.0,11.0,45.0,72.0,21.0,67.0,66.0,f,f,f,USA
2008-01-14,2008-01-27,USA,Clay,50000.0,$,2008,adrian-menendez-maceiras,A. Menendez-Maceiras,eric-prodon,E. Prodon,miami_challenger,Finals,2.0,f,100,7,01:21:00,121.0,0.0,8.0,12.0,0.0,0.0,252.0,7.0,6.0,35.0,72.0,25.0,35.0,19.0,37.0,3.0,5.0,10.0,37.0,1.0,25.0,8.0,24.0,0.0,0.0,10.0,44.0,72.0,9.0,49.0,53.0,f,f,,f,USA,2.0,12.0,8.0,0.0,315.0,3.0,2.0,25.0,49.0,24.0,25.0,16.0,24.0,0.0,0.0,10.0,138.0,10.0,35.0,18.0,37.0,2.0,5.0,10.0,40.0,49.0,28.0,72.0,68.0,t,f,t,USA
2008-01-14,2008-01-27,USA,Clay,50000.0,$,2008,adrian-menendez-maceiras,A. Menendez-Maceiras,giovanni-lapentti,G. Lapentti,miami_challenger,Round of 16,2.0,f,100,4,01:21:00,123.0,2.0,12.0,6.0,0.0,0.0,279.0,4.0,0.0,32.0,54.0,22.0,32.0,13.0,22.0,2.0,3.0,9.0,208.0,15.0,46.0,17.0,23.0,4.0,7.0,9.0,35.0,54.0,32.0,69.0,67.0,t,f,,t,USA,0.0,6.0,12.0,0.0,211.0,2.0,6.0,46.0,69.0,31.0,46.0,6.0,23.0,3.0,7.0,9.0,116.0,10.0,32.0,9.0,22.0,1.0,3.0,9.0,37.0,69.0,19.0,54.0,56.0,f,f,f,USA
2008-01-14,2008-01-27,USA,Clay,50000.0,$,2008,adrian-menendez-maceiras,,kei-nishikori,,miami_challenger,Semi-Finals,1.0,f,100,6,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,,USA,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,USA
2008-01-14,2008-01-27,USA,Clay,50000.0,$,2008,adrian-menendez-maceiras,A. Menendez-Maceiras,todd-widom,T. Widom,miami_challenger,Round of 32,1.0,f,100,3,00:17:00,25.0,1.0,5.0,0.0,0.0,0.0,325.0,4.0,1.0,7.0,14.0,6.0,7.0,6.0,7.0,0.0,0.0,3.0,347.0,4.0,6.0,4.0,5.0,2.0,2.0,2.0,12.0,14.0,8.0,11.0,20.0,t,t,,t,USA,0.0,0.0,5.0,0.0,107.0,0.0,1.0,6.0,11.0,2.0,6.0,1.0,5.0,0.0,2.0,2.0,28.0,1.0,7.0,1.0,7.0,0.0,0.0,3.0,3.0,11.0,2.0,14.0,5.0,f,t,f,USA
2008-01-14,2008-01-27,USA,Clay,50000.0,$,2008,alexander-satschko,,ryan-haviland,,miami_challenger,1st Round Qualifying,2.0,f,100,0,,,2.0,14.0,12.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,3,t,USA,0.0,12.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,USA
2008-01-14,2008-01-27,USA,Clay,50000.0,$,2008,alexander-satschko,,tobias-clemens,,miami_challenger,2nd Round Qualifying,2.0,f,100,1,,,0.0,8.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,3,f,USA,2.0,13.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,USA
2008-01-14,2008-01-27,USA,Clay,50000.0,$,2008,alex-bogdanovic,A. Bogdanovic,ilija-bozoljac,I. Bozoljac,miami_challenger,Round of 32,3.0,f,100,3,01:28:00,146.0,1.0,9.0,15.0,0.0,0.0,206.0,7.0,3.0,37.0,69.0,26.0,37.0,9.0,32.0,1.0,7.0,12.0,162.0,10.0,41.0,19.0,36.0,3.0,5.0,12.0,35.0,69.0,29.0,77.0,64.0,f,f,8,t,USA,2.0,15.0,9.0,0.0,260.0,14.0,5.0,41.0,77.0,31.0,41.0,17.0,36.0,2.0,5.0,12.0,238.0,11.0,37.0,23.0,32.0,6.0,7.0,12.0,48.0,77.0,34.0,69.0,82.0,t,f,f,USA
2008-01-14,2008-01-27,USA,Clay,50000.0,$,2008,alex-bogomolov-jr.,A. Bogomolov Jr.,jesse-witten,J. Witten,miami_challenger,Round of 32,3.0,f,100,3,02:12:00,222.0,2.0,19.0,16.0,0.0,1.0,232.0,1.0,4.0,69.0,102.0,44.0,69.0,13.0,33.0,3.0,9.0,17.0,189.0,25.0,60.0,32.0,60.0,8.0,17.0,17.0,57.0,102.0,57.0,120.0,114.0,t,f,,t,USA,1.0,16.0,19.0,1.0,207.0,6.0,6.0,60.0,120.0,35.0,60.0,28.0,60.0,9.0,17.0,17.0,199.0,25.0,69.0,20.0,33.0,6.0,9.0,17.0,63.0,120.0,45.0,102.0,108.0,f,f,f,USA
2008-01-14,2008-01-27,USA,Clay,50000.0,$,2008,alex-bogomolov-jr.,A. Bogomolov Jr.,pablo-andujar,P. Andujar,miami_challenger,Round of 16,3.0,f,100,4,02:22:00,202.0,1.0,16.0,14.0,0.0,1.0,224.0,1.0,6.0,66.0,88.0,40.0,66.0,8.0,22.0,4.0,10.0,14.0,206.0,41.0,88.0,16.0,26.0,8.0,18.0,15.0,48.0,88.0,57.0,114.0,105.0,f,f,,f,USA,2.0,14.0,16.0,1.0,211.0,0.0,3.0,88.0,114.0,47.0,88.0,10.0,26.0,10.0,18.0,15.0,205.0,26.0,66.0,14.0,22.0,6.0,10.0,14.0,57.0,114.0,40.0,88.0,97.0,t,f,t,USA
2008-01-14,2008-01-27,USA,Clay,50000.0,$,2008,andre-ghem,,marcus-sarstrand,,miami_challenger,1st Round Qualifying,2.0,f,100,0,,,0.0,9.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,4,f,USA,2.0,13.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,USA
2008-01-14,2008-01-27,USA,Clay,50000.0,$,2008,bartolome-salva-vidal,B. Salva-Vidal,ramon-delgado,R. Delgado,miami_challenger,Round of 32,2.0,f,100,3,01:11:00,100.0,0.0,6.0,12.0,0.0,0.0,228.0,4.0,2.0,35.0,52.0,22.0,35.0,7.0,17.0,1.0,5.0,9.0,194.0,7.0,37.0,7.0,11.0,1.0,1.0,9.0,29.0,52.0,14.0,48.0,43.0,f,f,,f,USA,2.0,12.0,6.0,0.0,284.0,4.0,2.0,37.0,48.0,30.0,37.0,4.0,11.0,0.0,1.0,9.0,220.0,13.0,35.0,10.0,17.0,4.0,5.0,9.0,34.0,48.0,23.0,52.0,57.0,t,f,t,USA
2008-01-14,2008-01-27,USA,Clay,50000.0,$,2008,billy-mulligan,,marcio-torres,,miami_challenger,1st Round Qualifying,2.0,f,100,0,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,WC,f,USA,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,USA
