,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2015-06-22,2015-06-28,Italy,Clay,42500.0,€,2015,alessandro-giannessi,A. Giannessi,arthur-de-greef,A. De Greef,milan_challenger,2nd Round Qualifying,3.0,f,100,1,02:17:00,192.0,2.0,15.0,12.0,0.0,0.0,250.0,3.0,2.0,64.0,100.0,36.0,64.0,21.0,36.0,6.0,10.0,14.0,174.0,20.0,54.0,23.0,38.0,5.0,13.0,13.0,57.0,100.0,43.0,92.0,100.0,t,f,,f,Italy,1.0,12.0,15.0,0.0,223.0,5.0,4.0,54.0,92.0,34.0,54.0,15.0,38.0,8.0,13.0,13.0,154.0,28.0,64.0,15.0,36.0,4.0,10.0,14.0,49.0,92.0,43.0,100.0,92.0,f,f,t,Italy
1,2015-06-22,2015-06-28,Italy,Clay,42500.0,€,2015,alessandro-giannessi,A. Giannessi,benoit-paire,B. Paire,milan_challenger,3rd Round Qualifying,2.0,f,100,2,01:08:00,121.0,0.0,6.0,12.0,0.0,0.0,191.0,0.0,6.0,36.0,60.0,23.0,36.0,7.0,24.0,5.0,10.0,9.0,125.0,8.0,29.0,16.0,32.0,2.0,8.0,9.0,30.0,60.0,24.0,61.0,54.0,f,f,,f,Italy,2.0,12.0,6.0,0.0,245.0,5.0,7.0,29.0,61.0,21.0,29.0,16.0,32.0,6.0,8.0,9.0,212.0,13.0,36.0,17.0,24.0,5.0,10.0,9.0,37.0,61.0,30.0,60.0,67.0,t,f,t,Italy
2,2015-06-22,2015-06-28,Italy,Clay,42500.0,€,2015,alessandro-giannessi,A. Giannessi,filip-veger,F. Veger,milan_challenger,1st Round Qualifying,3.0,f,100,0,01:24:00,130.0,2.0,13.0,11.0,0.0,0.0,253.0,1.0,2.0,39.0,62.0,25.0,39.0,14.0,23.0,1.0,5.0,12.0,193.0,22.0,55.0,8.0,13.0,5.0,10.0,12.0,39.0,62.0,30.0,68.0,69.0,t,f,,t,Italy,1.0,11.0,13.0,0.0,239.0,2.0,0.0,55.0,68.0,33.0,55.0,5.0,13.0,5.0,10.0,12.0,188.0,14.0,39.0,9.0,23.0,4.0,5.0,12.0,38.0,68.0,23.0,62.0,61.0,f,f,f,Italy
3,2015-06-22,2015-06-28,Italy,Clay,42500.0,€,2015,alessandro-petrone,A. Petrone,pedro-sakamoto,P. Sakamoto,milan_challenger,1st Round Qualifying,3.0,f,100,0,02:05:00,161.0,1.0,10.0,15.0,1.0,1.0,207.0,2.0,2.0,50.0,83.0,29.0,50.0,13.0,33.0,6.0,12.0,12.0,147.0,14.0,44.0,16.0,34.0,3.0,7.0,12.0,42.0,83.0,30.0,78.0,72.0,f,t,,t,Italy,2.0,15.0,10.0,0.0,253.0,2.0,1.0,44.0,78.0,30.0,44.0,18.0,34.0,4.0,7.0,12.0,203.0,21.0,50.0,20.0,33.0,6.0,12.0,12.0,48.0,78.0,41.0,83.0,89.0,t,t,f,Italy
4,2015-06-22,2015-06-28,Italy,Clay,42500.0,€,2015,andrey-golubev,A. Golubev,flavio-cipolla,F. Cipolla,milan_challenger,Round of 16,2.0,f,100,4,01:18:00,127.0,0.0,8.0,12.0,0.0,0.0,183.0,1.0,4.0,32.0,55.0,21.0,32.0,5.0,23.0,4.0,10.0,10.0,168.0,21.0,50.0,12.0,22.0,4.0,13.0,10.0,26.0,55.0,33.0,72.0,59.0,f,f,5,f,Italy,2.0,12.0,8.0,0.0,226.0,1.0,7.0,50.0,72.0,29.0,50.0,10.0,22.0,9.0,13.0,10.0,232.0,11.0,32.0,18.0,23.0,6.0,10.0,10.0,39.0,72.0,29.0,55.0,68.0,t,f,t,Italy
5,2015-06-22,2015-06-28,Italy,Clay,42500.0,€,2015,andrey-golubev,A. Golubev,pietro-licciardi,P. Licciardi,milan_challenger,Round of 32,2.0,f,100,3,01:43:00,156.0,2.0,13.0,7.0,1.0,1.0,285.0,4.0,6.0,50.0,87.0,38.0,50.0,20.0,37.0,5.0,5.0,10.0,115.0,11.0,35.0,15.0,34.0,2.0,11.0,9.0,58.0,87.0,26.0,69.0,84.0,t,f,5,t,Italy,0.0,7.0,13.0,0.0,252.0,1.0,2.0,35.0,69.0,24.0,35.0,19.0,34.0,9.0,11.0,9.0,70.0,12.0,50.0,17.0,37.0,0.0,5.0,10.0,43.0,69.0,29.0,87.0,72.0,f,f,f,Italy
6,2015-06-22,2015-06-28,Italy,Clay,42500.0,€,2015,antonio-sancic,A. Sancic,luca-pancaldi,L. Pancaldi,milan_challenger,2nd Round Qualifying,2.0,f,100,1,00:54:00,95.0,2.0,12.0,3.0,0.0,0.0,299.0,4.0,1.0,31.0,42.0,22.0,31.0,7.0,11.0,1.0,2.0,8.0,239.0,19.0,36.0,11.0,17.0,5.0,10.0,7.0,29.0,42.0,30.0,53.0,59.0,t,f,,t,Italy,0.0,3.0,12.0,0.0,177.0,1.0,2.0,36.0,53.0,17.0,36.0,6.0,17.0,5.0,10.0,7.0,127.0,9.0,31.0,4.0,11.0,1.0,2.0,8.0,23.0,53.0,13.0,42.0,36.0,f,f,f,Italy
7,2015-06-22,2015-06-28,Italy,Clay,42500.0,€,2015,antonio-sancic,A. Sancic,marcelo-arevalo,M. Arevalo,milan_challenger,1st Round Qualifying,2.0,f,100,0,01:25:00,132.0,2.0,13.0,8.0,1.0,1.0,249.0,0.0,2.0,40.0,71.0,28.0,40.0,17.0,31.0,7.0,10.0,10.0,194.0,8.0,29.0,21.0,32.0,5.0,10.0,10.0,45.0,71.0,29.0,61.0,74.0,t,f,,t,Italy,0.0,8.0,13.0,0.0,198.0,2.0,8.0,29.0,61.0,21.0,29.0,11.0,32.0,5.0,10.0,10.0,135.0,12.0,40.0,14.0,31.0,3.0,10.0,10.0,32.0,61.0,26.0,71.0,58.0,f,f,f,Italy
8,2015-06-22,2015-06-28,Italy,Clay,42500.0,€,2015,antonio-sancic,A. Sancic,rogerio-dutra-silva,R. Dutra Silva,milan_challenger,3rd Round Qualifying,3.0,f,100,2,02:03:00,166.0,1.0,11.0,15.0,0.0,0.0,225.0,2.0,1.0,45.0,85.0,28.0,45.0,19.0,40.0,3.0,8.0,13.0,147.0,12.0,45.0,17.0,36.0,3.0,6.0,13.0,47.0,85.0,29.0,81.0,76.0,f,f,,t,Italy,2.0,15.0,11.0,0.0,254.0,0.0,4.0,45.0,81.0,33.0,45.0,19.0,36.0,3.0,6.0,13.0,192.0,17.0,45.0,21.0,40.0,5.0,8.0,13.0,52.0,81.0,38.0,85.0,90.0,t,f,f,Italy
9,2015-06-22,2015-06-28,Italy,Clay,42500.0,€,2015,arthur-de-greef,A. De Greef,nicolo-castiglioni,N. Castiglioni,milan_challenger,1st Round Qualifying,2.0,f,100,0,00:49:00,79.0,2.0,12.0,3.0,0.0,0.0,286.0,2.0,4.0,15.0,35.0,15.0,15.0,12.0,20.0,0.0,1.0,7.0,293.0,12.0,25.0,16.0,19.0,6.0,7.0,8.0,27.0,35.0,28.0,44.0,55.0,t,f,5,t,Italy,0.0,3.0,12.0,0.0,148.0,1.0,3.0,25.0,44.0,13.0,25.0,3.0,19.0,1.0,7.0,8.0,154.0,0.0,15.0,8.0,20.0,1.0,1.0,7.0,16.0,44.0,8.0,35.0,24.0,f,f,f,Italy
