,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2007-04-15,2007-04-22,Monaco,Clay,2200000.0,$,2007,albert-portas,A. Portas,alejandro-falla,A. Falla,monte-carlo,2nd Round Qualifying,3.0,f,1000,1,02:44:00,230.0,2.0,18.0,14.0,0.0,1.0,251.0,5.0,3.0,74.0,127.0,44.0,74.0,30.0,53.0,7.0,11.0,16.0,204.0,27.0,69.0,17.0,34.0,6.0,8.0,15.0,74.0,127.0,44.0,103.0,118.0,t,f,,t,Monaco,1.0,14.0,18.0,1.0,240.0,3.0,1.0,69.0,103.0,42.0,69.0,17.0,34.0,2.0,8.0,15.0,145.0,30.0,74.0,23.0,53.0,4.0,11.0,16.0,59.0,103.0,53.0,127.0,112.0,f,f,f,Monaco
1,2007-04-15,2007-04-22,Monaco,Clay,2200000.0,$,2007,albert-portas,A. Portas,dominik-hrbaty,D. Hrbaty,monte-carlo,Round of 64,2.0,f,1000,2,01:40:00,155.0,0.0,11.0,14.0,0.0,1.0,244.0,4.0,4.0,40.0,77.0,25.0,40.0,20.0,37.0,3.0,6.0,12.0,131.0,11.0,42.0,14.0,36.0,2.0,4.0,12.0,45.0,77.0,25.0,78.0,70.0,f,f,Q,f,Monaco,2.0,14.0,11.0,1.0,270.0,3.0,5.0,42.0,78.0,31.0,42.0,22.0,36.0,2.0,4.0,12.0,159.0,15.0,40.0,17.0,37.0,3.0,6.0,12.0,53.0,78.0,32.0,77.0,85.0,t,f,t,Monaco
2,2007-04-15,2007-04-22,Monaco,Clay,2200000.0,$,2007,albert-portas,A. Portas,jan-hernych,J. Hernych,monte-carlo,1st Round Qualifying,3.0,f,1000,0,02:03:00,179.0,2.0,15.0,13.0,1.0,1.0,260.0,1.0,1.0,62.0,102.0,42.0,62.0,21.0,40.0,9.0,12.0,14.0,165.0,18.0,57.0,10.0,20.0,3.0,5.0,13.0,63.0,102.0,28.0,77.0,91.0,t,t,,f,Monaco,1.0,13.0,15.0,0.0,269.0,2.0,1.0,57.0,77.0,39.0,57.0,10.0,20.0,2.0,5.0,13.0,126.0,20.0,62.0,19.0,40.0,3.0,12.0,14.0,49.0,77.0,39.0,102.0,88.0,f,t,t,Monaco
3,2007-04-15,2007-04-22,Monaco,Clay,2200000.0,$,2007,alejandro-falla,A. Falla,marcel-granollers,M. Granollers,monte-carlo,1st Round Qualifying,3.0,f,1000,0,01:37:00,159.0,2.0,14.0,12.0,0.0,0.0,206.0,2.0,1.0,45.0,78.0,24.0,45.0,16.0,33.0,4.0,11.0,13.0,236.0,25.0,46.0,19.0,35.0,8.0,12.0,13.0,40.0,78.0,44.0,81.0,84.0,t,f,12,t,Monaco,1.0,12.0,14.0,0.0,187.0,3.0,3.0,46.0,81.0,21.0,46.0,16.0,35.0,4.0,12.0,13.0,216.0,21.0,45.0,17.0,33.0,7.0,11.0,13.0,37.0,81.0,38.0,78.0,75.0,f,f,f,Monaco
4,2007-04-15,2007-04-22,Monaco,Clay,2200000.0,$,2007,alessio-di-mauro,A. Di Mauro,david-guez,D. Guez,monte-carlo,1st Round Qualifying,3.0,f,1000,0,02:32:00,179.0,1.0,13.0,16.0,0.0,0.0,197.0,1.0,5.0,40.0,80.0,27.0,40.0,13.0,40.0,2.0,9.0,14.0,186.0,25.0,61.0,21.0,38.0,6.0,12.0,15.0,40.0,80.0,46.0,99.0,86.0,f,f,10,f,Monaco,2.0,16.0,13.0,0.0,223.0,0.0,3.0,61.0,99.0,36.0,61.0,17.0,38.0,6.0,12.0,15.0,229.0,13.0,40.0,27.0,40.0,7.0,9.0,14.0,53.0,99.0,40.0,80.0,93.0,t,f,t,Monaco
5,2007-04-15,2007-04-22,Monaco,Clay,2200000.0,$,2007,andreas-seppi,A. Seppi,gorka-fraile,G. Fraile,monte-carlo,1st Round Qualifying,3.0,f,1000,0,02:07:00,192.0,2.0,14.0,15.0,0.0,0.0,192.0,6.0,5.0,45.0,90.0,28.0,45.0,15.0,45.0,1.0,9.0,15.0,206.0,33.0,72.0,18.0,30.0,7.0,14.0,14.0,43.0,90.0,51.0,102.0,94.0,t,f,9,t,Monaco,1.0,15.0,14.0,0.0,210.0,3.0,8.0,72.0,102.0,39.0,72.0,12.0,30.0,7.0,14.0,14.0,247.0,17.0,45.0,30.0,45.0,8.0,9.0,15.0,51.0,102.0,47.0,90.0,98.0,f,f,f,Monaco
6,2007-04-15,2007-04-22,Monaco,Clay,2200000.0,$,2007,andreas-seppi,A. Seppi,guillermo-garcia-lopez,G. Garcia-Lopez,monte-carlo,2nd Round Qualifying,2.0,f,1000,1,01:18:00,121.0,2.0,12.0,6.0,0.0,0.0,253.0,1.0,2.0,31.0,55.0,22.0,31.0,12.0,24.0,3.0,5.0,9.0,214.0,16.0,40.0,20.0,26.0,5.0,12.0,9.0,34.0,55.0,36.0,66.0,70.0,t,f,9,t,Monaco,0.0,6.0,12.0,0.0,186.0,1.0,3.0,40.0,66.0,24.0,40.0,6.0,26.0,7.0,12.0,9.0,141.0,9.0,31.0,12.0,24.0,2.0,5.0,9.0,30.0,66.0,21.0,55.0,51.0,f,f,f,Monaco
7,2007-04-15,2007-04-22,Monaco,Clay,2200000.0,$,2007,andreas-seppi,A. Seppi,roger-federer,R. Federer,monte-carlo,Round of 32,2.0,f,1000,3,01:48:00,168.0,0.0,12.0,14.0,0.0,2.0,241.0,3.0,3.0,48.0,90.0,31.0,48.0,20.0,42.0,6.0,9.0,12.0,179.0,11.0,42.0,19.0,36.0,3.0,4.0,12.0,51.0,90.0,30.0,78.0,81.0,f,f,Q,f,Monaco,2.0,14.0,12.0,2.0,253.0,6.0,3.0,42.0,78.0,31.0,42.0,17.0,36.0,1.0,4.0,12.0,145.0,17.0,48.0,22.0,42.0,3.0,9.0,12.0,48.0,78.0,39.0,90.0,87.0,t,f,t,Monaco
8,2007-04-15,2007-04-22,Monaco,Clay,2200000.0,$,2007,andreas-seppi,A. Seppi,teymuraz-gabashvili,T. Gabashvili,monte-carlo,Round of 64,2.0,f,1000,2,01:15:00,109.0,2.0,12.0,4.0,0.0,0.0,241.0,4.0,5.0,25.0,51.0,19.0,25.0,11.0,26.0,5.0,7.0,8.0,245.0,16.0,27.0,20.0,31.0,6.0,13.0,8.0,30.0,51.0,36.0,58.0,66.0,t,f,Q,t,Monaco,0.0,4.0,12.0,0.0,145.0,0.0,3.0,27.0,58.0,11.0,27.0,11.0,31.0,7.0,13.0,8.0,136.0,6.0,25.0,15.0,26.0,2.0,7.0,8.0,22.0,58.0,21.0,51.0,43.0,f,f,f,Monaco
9,2007-04-15,2007-04-22,Monaco,Clay,2200000.0,$,2007,andrei-pavel,A. Pavel,jerome-haehnel,J. Haehnel,monte-carlo,2nd Round Qualifying,2.0,f,1000,1,01:33:00,149.0,2.0,13.0,9.0,1.0,1.0,297.0,2.0,0.0,58.0,77.0,42.0,58.0,11.0,19.0,5.0,6.0,11.0,134.0,10.0,30.0,20.0,42.0,2.0,6.0,10.0,53.0,77.0,30.0,72.0,83.0,t,f,13,t,Monaco,0.0,9.0,13.0,0.0,242.0,3.0,2.0,30.0,72.0,20.0,30.0,22.0,42.0,4.0,6.0,10.0,96.0,16.0,58.0,8.0,19.0,1.0,6.0,11.0,42.0,72.0,24.0,77.0,66.0,f,f,f,Monaco
