start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2017-04-16,2017-04-23,Monaco,Clay,4273775.0,€,2017,adrian-mannarino,A. Mannarino,guillermo-garcia-lopez,G. Garcia-Lopez,monte-carlo,Round of 64,3.0,f,1000,2,02:02:00,156.0,2.0,13.0,13.0,0.0,0.0,256.0,2.0,4.0,41.0,75.0,29.0,41.0,19.0,34.0,1.0,4.0,13.0,148.0,13.0,45.0,19.0,36.0,3.0,7.0,13.0,48.0,75.0,32.0,81.0,80.0,t,f,Q,f,Monaco,1.0,13.0,13.0,0.0,250.0,2.0,2.0,45.0,81.0,32.0,45.0,17.0,36.0,4.0,7.0,13.0,171.0,12.0,41.0,15.0,34.0,3.0,4.0,13.0,49.0,81.0,27.0,75.0,76.0,f,f,t,Monaco
2017-04-16,2017-04-23,Monaco,Clay,4273775.0,€,2017,adrian-mannarino,A. Mannarino,jo-wilfried-tsonga,J. Tsonga,monte-carlo,Round of 32,3.0,f,1000,3,02:05:00,182.0,2.0,18.0,12.0,0.0,1.0,264.0,1.0,5.0,59.0,94.0,42.0,59.0,19.0,35.0,4.0,7.0,15.0,211.0,21.0,56.0,18.0,32.0,6.0,8.0,14.0,61.0,94.0,39.0,88.0,100.0,t,f,Q,f,Monaco,1.0,12.0,18.0,1.0,230.0,4.0,2.0,56.0,88.0,35.0,56.0,14.0,32.0,2.0,8.0,14.0,138.0,17.0,59.0,16.0,35.0,3.0,7.0,15.0,49.0,88.0,33.0,94.0,82.0,f,f,t,Monaco
2017-04-16,2017-04-23,Monaco,Clay,4273775.0,€,2017,adrian-mannarino,A. Mannarino,lucas-catarina,L. Catarina,monte-carlo,1st Round Qualifying,2.0,f,1000,0,01:00:00,93.0,2.0,12.0,2.0,0.0,0.0,281.0,1.0,1.0,29.0,45.0,20.0,29.0,10.0,16.0,1.0,2.0,7.0,263.0,18.0,26.0,13.0,22.0,6.0,12.0,7.0,30.0,45.0,31.0,48.0,61.0,t,f,1,t,Monaco,0.0,2.0,12.0,0.0,140.0,0.0,0.0,26.0,48.0,8.0,26.0,9.0,22.0,6.0,12.0,7.0,133.0,9.0,29.0,6.0,16.0,1.0,2.0,7.0,17.0,48.0,15.0,45.0,32.0,f,f,f,Monaco
2017-04-16,2017-04-23,Monaco,Clay,4273775.0,€,2017,adrian-mannarino,A. Mannarino,lucas-pouille,L. Pouille,monte-carlo,Round of 16,1.0,f,1000,4,00:11:00,17.0,0.0,0.0,3.0,0.0,0.0,115.0,0.0,0.0,4.0,7.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,42.0,1.0,4.0,1.0,6.0,0.0,0.0,2.0,2.0,7.0,2.0,10.0,4.0,f,t,Q,f,Monaco,1.0,3.0,0.0,0.0,298.0,0.0,0.0,4.0,10.0,3.0,4.0,5.0,6.0,0.0,0.0,2.0,292.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,8.0,10.0,5.0,7.0,13.0,t,t,t,Monaco
2017-04-16,2017-04-23,Monaco,Clay,4273775.0,€,2017,adrian-mannarino,A. Mannarino,yuichi-sugita,Y. Sugita,monte-carlo,2nd Round Qualifying,2.0,f,1000,1,01:22:00,115.0,2.0,12.0,7.0,0.0,0.0,275.0,6.0,3.0,38.0,56.0,28.0,38.0,9.0,18.0,3.0,5.0,10.0,179.0,20.0,39.0,8.0,20.0,4.0,9.0,9.0,37.0,56.0,28.0,59.0,65.0,t,f,1,t,Monaco,0.0,7.0,12.0,0.0,229.0,0.0,1.0,39.0,59.0,19.0,39.0,12.0,20.0,5.0,9.0,9.0,136.0,10.0,38.0,9.0,18.0,2.0,5.0,10.0,31.0,59.0,19.0,56.0,50.0,f,f,f,Monaco
2017-04-16,2017-04-23,Monaco,Clay,4273775.0,€,2017,albert-ramos-vinolas,A. Ramos-Vinolas,andy-murray,A. Murray,monte-carlo,Round of 16,3.0,f,1000,4,02:33:00,186.0,2.0,15.0,13.0,0.0,0.0,224.0,0.0,3.0,68.0,99.0,38.0,68.0,14.0,31.0,6.0,12.0,14.0,205.0,22.0,52.0,22.0,35.0,7.0,14.0,14.0,52.0,99.0,44.0,87.0,96.0,t,f,15,f,Monaco,1.0,13.0,15.0,0.0,209.0,6.0,2.0,52.0,87.0,30.0,52.0,13.0,35.0,7.0,14.0,14.0,191.0,30.0,68.0,17.0,31.0,6.0,12.0,14.0,43.0,87.0,47.0,99.0,90.0,f,f,t,Monaco
2017-04-16,2017-04-23,Monaco,Clay,4273775.0,€,2017,albert-ramos-vinolas,A. Ramos-Vinolas,carlos-berlocq,C. Berlocq,monte-carlo,Round of 32,2.0,f,1000,3,01:20:00,93.0,2.0,12.0,4.0,0.0,0.0,252.0,1.0,1.0,30.0,47.0,18.0,30.0,9.0,17.0,0.0,2.0,8.0,241.0,10.0,19.0,17.0,27.0,6.0,12.0,8.0,27.0,47.0,27.0,46.0,54.0,t,f,15,t,Monaco,0.0,4.0,12.0,0.0,148.0,0.0,2.0,19.0,46.0,9.0,19.0,10.0,27.0,6.0,12.0,8.0,212.0,12.0,30.0,8.0,17.0,2.0,2.0,8.0,19.0,46.0,20.0,47.0,39.0,f,f,f,Monaco
2017-04-16,2017-04-23,Monaco,Clay,4273775.0,€,2017,albert-ramos-vinolas,A. Ramos-Vinolas,lucas-pouille,L. Pouille,monte-carlo,Semi-Finals,3.0,f,1000,6,02:16:00,186.0,2.0,17.0,11.0,0.0,0.0,266.0,3.0,2.0,59.0,103.0,43.0,59.0,22.0,44.0,7.0,9.0,14.0,210.0,19.0,45.0,19.0,38.0,5.0,6.0,14.0,65.0,103.0,38.0,83.0,103.0,t,f,15,t,Monaco,1.0,11.0,17.0,0.0,222.0,0.0,4.0,45.0,83.0,26.0,45.0,19.0,38.0,1.0,6.0,14.0,113.0,16.0,59.0,22.0,44.0,2.0,9.0,14.0,45.0,83.0,38.0,103.0,83.0,f,f,f,Monaco
2017-04-16,2017-04-23,Monaco,Clay,4273775.0,€,2017,albert-ramos-vinolas,A. Ramos-Vinolas,marin-cilic,M. Cilic,monte-carlo,Quarter-Finals,3.0,f,1000,5,02:32:00,189.0,2.0,18.0,11.0,0.0,1.0,273.0,4.0,1.0,61.0,97.0,37.0,61.0,22.0,36.0,3.0,5.0,14.0,185.0,15.0,45.0,28.0,47.0,6.0,12.0,14.0,59.0,97.0,43.0,92.0,102.0,t,f,15,t,Monaco,1.0,11.0,18.0,1.0,215.0,5.0,3.0,45.0,92.0,30.0,45.0,19.0,47.0,6.0,12.0,14.0,132.0,24.0,61.0,14.0,36.0,2.0,5.0,14.0,49.0,92.0,38.0,97.0,87.0,f,f,f,Monaco
2017-04-16,2017-04-23,Monaco,Clay,4273775.0,€,2017,albert-ramos-vinolas,A. Ramos-Vinolas,rafael-nadal,R. Nadal,monte-carlo,Finals,2.0,f,1000,7,01:16:00,93.0,0.0,4.0,12.0,0.0,0.0,202.0,0.0,2.0,29.0,52.0,16.0,29.0,10.0,23.0,7.0,11.0,8.0,49.0,6.0,31.0,3.0,10.0,0.0,0.0,8.0,26.0,52.0,9.0,41.0,35.0,f,f,15,f,Monaco,2.0,12.0,4.0,0.0,331.0,5.0,1.0,31.0,41.0,25.0,31.0,7.0,10.0,0.0,0.0,8.0,188.0,13.0,29.0,13.0,23.0,4.0,11.0,8.0,32.0,41.0,26.0,52.0,58.0,t,f,t,Monaco
