start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2009-10-05,2009-10-11,Uruguay,Clay,75000.0,$,2009,alex-bogomolov-jr.,A. Bogomolov Jr.,leandro-migani,L. Migani,montevideo_challenger,Round of 32,3.0,f,100,3,02:31:00,227.0,1.0,17.0,18.0,0.0,1.0,250.0,2.0,6.0,88.0,115.0,58.0,88.0,11.0,27.0,10.0,15.0,17.0,162.0,29.0,80.0,15.0,32.0,5.0,10.0,17.0,69.0,115.0,44.0,112.0,113.0,f,f,,f,Uruguay,2.0,18.0,17.0,1.0,259.0,5.0,4.0,80.0,112.0,51.0,80.0,17.0,32.0,5.0,10.0,17.0,155.0,30.0,88.0,16.0,27.0,5.0,15.0,17.0,68.0,112.0,46.0,115.0,114.0,t,f,t,Uruguay
2009-10-05,2009-10-11,Uruguay,Clay,75000.0,$,2009,andrea-collarini,A. Collarini,joaquin-rodriguez,J. Rodriguez,montevideo_challenger,1st Round Qualifying,2.0,f,100,0,01:02:00,95.0,2.0,12.0,3.0,0.0,0.0,236.0,2.0,5.0,29.0,49.0,20.0,29.0,8.0,20.0,4.0,6.0,7.0,284.0,15.0,26.0,15.0,20.0,7.0,11.0,8.0,28.0,49.0,30.0,46.0,58.0,t,f,,t,Uruguay,0.0,3.0,12.0,0.0,133.0,0.0,3.0,26.0,46.0,11.0,26.0,5.0,20.0,4.0,11.0,8.0,152.0,9.0,29.0,12.0,20.0,2.0,6.0,7.0,16.0,46.0,21.0,49.0,37.0,f,f,f,Uruguay
2009-10-05,2009-10-11,Uruguay,Clay,75000.0,$,2009,andrea-collarini,A. Collarini,jonathan-dasnieres-de-veigy,J. Dasnieres de Veigy,montevideo_challenger,2nd Round Qualifying,2.0,f,100,1,01:49:00,150.0,0.0,11.0,14.0,0.0,1.0,225.0,3.0,4.0,45.0,82.0,28.0,45.0,16.0,37.0,11.0,15.0,12.0,137.0,11.0,38.0,12.0,30.0,3.0,7.0,12.0,44.0,82.0,23.0,68.0,67.0,f,f,,f,Uruguay,2.0,14.0,11.0,1.0,268.0,9.0,3.0,38.0,68.0,27.0,38.0,18.0,30.0,4.0,7.0,12.0,155.0,17.0,45.0,21.0,37.0,4.0,15.0,12.0,45.0,68.0,38.0,82.0,83.0,t,f,t,Uruguay
2009-10-05,2009-10-11,Uruguay,Clay,75000.0,$,2009,andres-molteni,A. Molteni,guido-pella,G. Pella,montevideo_challenger,1st Round Qualifying,2.0,f,100,0,01:21:00,114.0,0.0,5.0,12.0,0.0,0.0,196.0,0.0,4.0,38.0,58.0,21.0,38.0,7.0,20.0,2.0,7.0,9.0,91.0,11.0,34.0,8.0,22.0,1.0,9.0,8.0,28.0,58.0,19.0,56.0,47.0,f,f,,f,Uruguay,2.0,12.0,5.0,0.0,279.0,2.0,3.0,34.0,56.0,23.0,34.0,14.0,22.0,8.0,9.0,8.0,236.0,17.0,38.0,13.0,20.0,5.0,7.0,9.0,37.0,56.0,30.0,58.0,67.0,t,f,t,Uruguay
2009-10-05,2009-10-11,Uruguay,Clay,75000.0,$,2009,blaz-kavcic,B. Kavcic,mariano-puerta,M. Puerta,montevideo_challenger,Round of 32,2.0,f,100,3,01:57:00,148.0,0.0,10.0,13.0,0.0,1.0,203.0,3.0,6.0,32.0,72.0,21.0,32.0,13.0,40.0,4.0,8.0,11.0,131.0,17.0,47.0,11.0,29.0,3.0,10.0,11.0,34.0,72.0,28.0,76.0,62.0,f,f,,f,Uruguay,2.0,13.0,10.0,1.0,261.0,2.0,1.0,47.0,76.0,30.0,47.0,18.0,29.0,7.0,10.0,11.0,188.0,11.0,32.0,27.0,40.0,4.0,8.0,11.0,48.0,76.0,38.0,72.0,86.0,t,f,t,Uruguay
2009-10-05,2009-10-11,Uruguay,Clay,75000.0,$,2009,brian-dabul,B. Dabul,gaston-gaudio,G. Gaudio,montevideo_challenger,Round of 32,2.0,f,100,3,01:16:00,109.0,0.0,7.0,12.0,0.0,0.0,183.0,1.0,0.0,38.0,57.0,17.0,38.0,7.0,19.0,2.0,8.0,9.0,218.0,14.0,41.0,7.0,11.0,4.0,5.0,10.0,24.0,57.0,21.0,52.0,45.0,f,f,,f,Uruguay,2.0,12.0,7.0,0.0,240.0,1.0,2.0,41.0,52.0,27.0,41.0,4.0,11.0,1.0,5.0,10.0,259.0,21.0,38.0,12.0,19.0,6.0,8.0,9.0,31.0,52.0,33.0,57.0,64.0,t,f,t,Uruguay
2009-10-05,2009-10-11,Uruguay,Clay,75000.0,$,2009,carlos-poch-gradin,C. Poch-Gradin,gonzalo-tur,G. Tur,montevideo_challenger,2nd Round Qualifying,3.0,f,100,1,02:03:00,173.0,2.0,14.0,13.0,0.0,0.0,253.0,1.0,3.0,45.0,75.0,31.0,45.0,17.0,30.0,2.0,6.0,13.0,165.0,35.0,69.0,12.0,29.0,5.0,13.0,14.0,48.0,75.0,47.0,98.0,95.0,t,f,2,t,Uruguay,1.0,13.0,14.0,0.0,240.0,0.0,2.0,69.0,98.0,34.0,69.0,17.0,29.0,8.0,13.0,14.0,171.0,14.0,45.0,13.0,30.0,4.0,6.0,13.0,51.0,98.0,27.0,75.0,78.0,f,f,f,Uruguay
2009-10-05,2009-10-11,Uruguay,Clay,75000.0,$,2009,carlos-poch-gradin,C. Poch-Gradin,leonardo-tavares,L. Tavares,montevideo_challenger,3rd Round Qualifying,3.0,f,100,2,02:24:00,164.0,1.0,11.0,15.0,0.0,0.0,224.0,2.0,5.0,48.0,91.0,29.0,48.0,23.0,43.0,9.0,14.0,13.0,146.0,17.0,57.0,8.0,16.0,3.0,7.0,13.0,52.0,91.0,25.0,73.0,77.0,f,f,2,f,Uruguay,2.0,15.0,11.0,0.0,274.0,1.0,1.0,57.0,73.0,40.0,57.0,8.0,16.0,4.0,7.0,13.0,161.0,19.0,48.0,20.0,43.0,5.0,14.0,13.0,48.0,73.0,39.0,91.0,87.0,t,f,t,Uruguay
2009-10-05,2009-10-11,Uruguay,Clay,75000.0,$,2009,daniel-munoz-de-la-nava,D. Munoz de la Nava,pablo-santos,P. Santos,montevideo_challenger,Round of 32,2.0,f,100,3,01:47:00,146.0,0.0,5.0,12.0,0.0,0.0,182.0,0.0,4.0,43.0,94.0,21.0,43.0,24.0,51.0,15.0,20.0,9.0,108.0,6.0,28.0,12.0,24.0,1.0,4.0,8.0,45.0,94.0,18.0,52.0,63.0,f,f,,f,Uruguay,2.0,12.0,5.0,0.0,271.0,3.0,2.0,28.0,52.0,22.0,28.0,12.0,24.0,3.0,4.0,8.0,184.0,22.0,43.0,27.0,51.0,5.0,20.0,9.0,34.0,52.0,49.0,94.0,83.0,t,f,t,Uruguay
2009-10-05,2009-10-11,Uruguay,Clay,75000.0,$,2009,dario-acosta,D. Acosta,facundo-bagnis,F. Bagnis,montevideo_challenger,1st Round Qualifying,2.0,f,100,0,01:41:00,144.0,0.0,9.0,13.0,0.0,0.0,239.0,2.0,0.0,45.0,68.0,27.0,45.0,11.0,23.0,3.0,7.0,11.0,120.0,18.0,44.0,13.0,32.0,2.0,10.0,11.0,38.0,68.0,31.0,76.0,69.0,f,f,,f,Uruguay,2.0,13.0,9.0,0.0,258.0,3.0,2.0,44.0,76.0,26.0,44.0,19.0,32.0,8.0,10.0,11.0,185.0,18.0,45.0,12.0,23.0,4.0,7.0,11.0,45.0,76.0,30.0,68.0,75.0,t,f,t,Uruguay
