start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,adrian-mannarino,A. Mannarino,steve-darcis,S. Darcis,montpellier,Round of 32,2.0,f,250,3,01:32:00,134.0,0.0,10.0,13.0,0.0,1.0,243.0,5.0,1.0,38.0,70.0,24.0,38.0,16.0,32.0,2.0,5.0,11.0,199.0,13.0,47.0,9.0,17.0,2.0,2.0,11.0,40.0,70.0,22.0,64.0,62.0,f,f,WC,f,France,2.0,13.0,10.0,1.0,277.0,5.0,1.0,47.0,64.0,34.0,47.0,8.0,17.0,0.0,2.0,11.0,174.0,14.0,38.0,16.0,32.0,3.0,5.0,11.0,42.0,64.0,30.0,70.0,72.0,t,f,t,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,adrian-menendez-maceiras,A. Menendez-Maceiras,benoit-paire,B. Paire,montpellier,Round of 32,2.0,f,250,3,00:45:00,81.0,0.0,2.0,12.0,0.0,0.0,172.0,0.0,1.0,29.0,46.0,12.0,29.0,7.0,17.0,5.0,10.0,7.0,41.0,4.0,22.0,3.0,13.0,0.0,0.0,7.0,19.0,46.0,7.0,35.0,26.0,f,f,Q,f,France,2.0,12.0,2.0,0.0,330.0,9.0,1.0,22.0,35.0,18.0,22.0,10.0,13.0,0.0,0.0,7.0,239.0,17.0,29.0,10.0,17.0,5.0,10.0,7.0,28.0,35.0,27.0,46.0,55.0,t,f,t,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,adrian-menendez-maceiras,A. Menendez-Maceiras,elie-rousset,E. Rousset,montpellier,1st Round Qualifying,2.0,f,250,0,01:11:00,123.0,2.0,12.0,6.0,0.0,0.0,310.0,9.0,1.0,42.0,57.0,34.0,42.0,7.0,15.0,3.0,3.0,9.0,164.0,15.0,44.0,14.0,22.0,3.0,9.0,9.0,41.0,57.0,29.0,66.0,70.0,t,f,,t,France,0.0,6.0,12.0,0.0,237.0,4.0,2.0,44.0,66.0,29.0,44.0,8.0,22.0,6.0,9.0,9.0,72.0,8.0,42.0,8.0,15.0,0.0,3.0,9.0,37.0,66.0,16.0,57.0,53.0,f,f,f,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,adrian-menendez-maceiras,A. Menendez-Maceiras,kenny-de-schepper,K. De Schepper,montpellier,3rd Round Qualifying,3.0,f,250,2,02:13:00,198.0,2.0,18.0,14.0,0.0,1.0,274.0,1.0,1.0,73.0,111.0,54.0,73.0,18.0,38.0,3.0,5.0,16.0,202.0,18.0,58.0,13.0,29.0,4.0,4.0,15.0,72.0,111.0,31.0,87.0,103.0,t,f,,f,France,1.0,14.0,18.0,1.0,275.0,16.0,5.0,58.0,87.0,40.0,58.0,16.0,29.0,0.0,4.0,15.0,131.0,19.0,73.0,20.0,38.0,2.0,5.0,16.0,56.0,87.0,39.0,111.0,95.0,f,f,t,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,adrian-menendez-maceiras,A. Menendez-Maceiras,mathieu-rodrigues,M. Rodrigues,montpellier,2nd Round Qualifying,3.0,f,250,1,02:21:00,230.0,2.0,18.0,13.0,0.0,1.0,285.0,10.0,2.0,72.0,116.0,52.0,72.0,22.0,44.0,9.0,10.0,15.0,138.0,19.0,63.0,25.0,51.0,4.0,12.0,15.0,74.0,116.0,44.0,114.0,118.0,t,f,,t,France,1.0,13.0,18.0,1.0,254.0,6.0,1.0,63.0,114.0,44.0,63.0,26.0,51.0,8.0,12.0,15.0,94.0,20.0,72.0,22.0,44.0,1.0,10.0,15.0,70.0,114.0,42.0,116.0,112.0,f,f,f,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,adrian-ungur,A. Ungur,julien-benneteau,J. Benneteau,montpellier,Round of 32,2.0,f,250,3,00:52:00,77.0,0.0,5.0,10.0,0.0,0.0,250.0,2.0,2.0,17.0,37.0,15.0,17.0,9.0,20.0,2.0,4.0,7.0,41.0,4.0,23.0,4.0,17.0,0.0,0.0,8.0,24.0,37.0,8.0,40.0,32.0,f,t,,f,France,2.0,10.0,5.0,0.0,323.0,6.0,0.0,23.0,40.0,19.0,23.0,13.0,17.0,0.0,0.0,8.0,145.0,2.0,17.0,11.0,20.0,2.0,4.0,7.0,32.0,40.0,13.0,37.0,45.0,t,t,t,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,andre-begemann,A. Begemann,florent-serra,F. Serra,montpellier,1st Round Qualifying,2.0,f,250,0,01:06:00,108.0,0.0,7.0,12.0,0.0,0.0,262.0,4.0,3.0,35.0,51.0,25.0,35.0,7.0,16.0,1.0,3.0,9.0,56.0,9.0,38.0,6.0,19.0,0.0,1.0,10.0,32.0,51.0,15.0,57.0,47.0,f,f,,f,France,2.0,12.0,7.0,0.0,312.0,2.0,1.0,38.0,57.0,29.0,38.0,13.0,19.0,1.0,1.0,10.0,174.0,10.0,35.0,9.0,16.0,2.0,3.0,9.0,42.0,57.0,19.0,51.0,61.0,t,f,t,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,arnau-brugues-davi,A. Brugues-Davi,gilles-simon,G. Simon,montpellier,Round of 16,2.0,f,250,4,01:30:00,157.0,0.0,8.0,13.0,0.0,1.0,243.0,4.0,1.0,54.0,93.0,33.0,54.0,20.0,39.0,11.0,14.0,10.0,94.0,9.0,46.0,7.0,18.0,1.0,4.0,10.0,53.0,93.0,16.0,64.0,69.0,f,f,Q,f,France,2.0,13.0,8.0,1.0,315.0,12.0,0.0,46.0,64.0,37.0,46.0,11.0,18.0,3.0,4.0,10.0,139.0,21.0,54.0,19.0,39.0,3.0,14.0,10.0,48.0,64.0,40.0,93.0,88.0,t,f,t,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,arnau-brugues-davi,A. Brugues-Davi,josselin-ouanna,J. Ouanna,montpellier,3rd Round Qualifying,2.0,f,250,2,01:07:00,123.0,2.0,13.0,10.0,1.0,1.0,319.0,5.0,2.0,45.0,63.0,38.0,45.0,11.0,18.0,0.0,0.0,11.0,163.0,4.0,34.0,11.0,26.0,1.0,1.0,11.0,49.0,63.0,15.0,60.0,64.0,t,f,8,t,France,0.0,10.0,13.0,0.0,305.0,13.0,1.0,34.0,60.0,30.0,34.0,15.0,26.0,0.0,1.0,11.0,55.0,7.0,45.0,7.0,18.0,0.0,0.0,11.0,45.0,60.0,14.0,63.0,59.0,f,f,f,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,arnau-brugues-davi,A. Brugues-Davi,jules-marie,J. Marie,montpellier,2nd Round Qualifying,3.0,f,250,1,01:32:00,164.0,2.0,18.0,10.0,0.0,1.0,305.0,1.0,0.0,57.0,85.0,40.0,57.0,21.0,28.0,0.0,1.0,14.0,204.0,17.0,47.0,15.0,32.0,5.0,6.0,13.0,61.0,85.0,32.0,79.0,93.0,t,f,8,f,France,1.0,10.0,18.0,1.0,244.0,8.0,1.0,47.0,79.0,30.0,47.0,17.0,32.0,1.0,6.0,13.0,162.0,17.0,57.0,7.0,28.0,1.0,1.0,14.0,47.0,79.0,24.0,85.0,71.0,f,f,t,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,arnau-brugues-davi,A. Brugues-Davi,mikhail-kukushkin,M. Kukushkin,montpellier,Round of 32,3.0,f,250,3,02:11:00,211.0,2.0,19.0,16.0,1.0,2.0,273.0,8.0,2.0,65.0,105.0,46.0,65.0,23.0,40.0,5.0,9.0,17.0,179.0,19.0,65.0,26.0,41.0,5.0,9.0,16.0,69.0,105.0,45.0,106.0,114.0,t,f,Q,f,France,1.0,16.0,19.0,1.0,237.0,5.0,5.0,65.0,106.0,46.0,65.0,15.0,41.0,4.0,9.0,16.0,139.0,19.0,65.0,17.0,40.0,4.0,9.0,17.0,61.0,106.0,36.0,105.0,97.0,f,f,t,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,arnau-brugues-davi,A. Brugues-Davi,riccardo-ghedin,R. Ghedin,montpellier,1st Round Qualifying,2.0,f,250,0,01:15:00,127.0,2.0,13.0,8.0,0.0,0.0,288.0,6.0,1.0,52.0,76.0,39.0,52.0,12.0,24.0,5.0,6.0,11.0,202.0,8.0,27.0,10.0,24.0,3.0,3.0,10.0,51.0,76.0,18.0,51.0,69.0,t,f,8,t,France,0.0,8.0,13.0,0.0,257.0,6.0,0.0,27.0,51.0,19.0,27.0,14.0,24.0,0.0,3.0,10.0,101.0,13.0,52.0,12.0,24.0,1.0,6.0,11.0,33.0,51.0,25.0,76.0,58.0,f,f,f,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,arsenije-zlatanovic,A. Zlatanovic,ivan-arenas-gualda,I. Arenas-Gualda,montpellier,1st Round Qualifying,3.0,f,250,0,02:05:00,192.0,1.0,15.0,17.0,0.0,0.0,240.0,8.0,5.0,55.0,93.0,30.0,55.0,23.0,38.0,1.0,7.0,16.0,164.0,26.0,74.0,14.0,25.0,5.0,12.0,16.0,53.0,93.0,40.0,99.0,93.0,f,f,,t,France,2.0,17.0,15.0,0.0,250.0,0.0,2.0,74.0,99.0,48.0,74.0,11.0,25.0,7.0,12.0,16.0,207.0,25.0,55.0,15.0,38.0,6.0,7.0,16.0,59.0,99.0,40.0,93.0,99.0,t,f,f,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,benoit-paire,B. Paire,gilles-simon,G. Simon,montpellier,Quarter-Finals,2.0,f,250,5,01:47:00,183.0,2.0,14.0,11.0,1.0,1.0,265.0,7.0,1.0,60.0,107.0,45.0,60.0,21.0,47.0,8.0,10.0,12.0,149.0,11.0,40.0,19.0,36.0,3.0,7.0,12.0,66.0,107.0,30.0,76.0,96.0,t,f,8,t,France,0.0,11.0,14.0,0.0,248.0,3.0,3.0,40.0,76.0,29.0,40.0,17.0,36.0,4.0,7.0,12.0,116.0,15.0,60.0,26.0,47.0,2.0,10.0,12.0,46.0,76.0,41.0,107.0,87.0,f,f,f,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,benoit-paire,B. Paire,michael-llodra,M. Llodra,montpellier,Semi-Finals,3.0,f,250,6,01:32:00,163.0,2.0,16.0,10.0,0.0,0.0,293.0,17.0,2.0,57.0,89.0,41.0,57.0,16.0,32.0,2.0,3.0,13.0,187.0,12.0,46.0,18.0,28.0,4.0,6.0,13.0,57.0,89.0,30.0,74.0,87.0,t,f,8,f,France,1.0,10.0,16.0,0.0,244.0,8.0,5.0,46.0,74.0,34.0,46.0,10.0,28.0,2.0,6.0,13.0,118.0,16.0,57.0,16.0,32.0,1.0,3.0,13.0,44.0,74.0,32.0,89.0,76.0,f,f,t,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,benoit-paire,B. Paire,richard-gasquet,R. Gasquet,montpellier,Finals,2.0,f,250,7,01:08:00,108.0,0.0,5.0,12.0,0.0,0.0,201.0,4.0,0.0,39.0,70.0,24.0,39.0,11.0,31.0,7.0,12.0,9.0,105.0,3.0,20.0,5.0,18.0,1.0,2.0,8.0,35.0,70.0,8.0,38.0,43.0,f,f,8,f,France,2.0,12.0,5.0,0.0,299.0,3.0,1.0,20.0,38.0,17.0,20.0,13.0,18.0,1.0,2.0,8.0,200.0,15.0,39.0,20.0,31.0,5.0,12.0,9.0,30.0,38.0,35.0,70.0,65.0,t,f,t,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,benoit-paire,B. Paire,steve-darcis,S. Darcis,montpellier,Round of 16,3.0,f,250,4,02:17:00,228.0,2.0,17.0,16.0,1.0,1.0,287.0,17.0,5.0,61.0,103.0,47.0,61.0,22.0,42.0,5.0,7.0,16.0,106.0,26.0,79.0,20.0,46.0,2.0,11.0,16.0,69.0,103.0,46.0,125.0,115.0,t,f,8,f,France,1.0,16.0,17.0,0.0,274.0,5.0,5.0,79.0,125.0,53.0,79.0,26.0,46.0,9.0,11.0,16.0,112.0,14.0,61.0,20.0,42.0,2.0,7.0,16.0,79.0,125.0,34.0,103.0,113.0,f,f,t,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,danilo-petrovic,D. Petrovic,gregoire-burquier,G. Burquier,montpellier,1st Round Qualifying,2.0,f,250,0,01:17:00,121.0,2.0,13.0,9.0,1.0,1.0,314.0,7.0,1.0,44.0,60.0,36.0,44.0,10.0,16.0,1.0,2.0,11.0,151.0,9.0,38.0,13.0,23.0,2.0,4.0,10.0,46.0,60.0,22.0,61.0,68.0,t,f,,t,France,0.0,9.0,13.0,0.0,267.0,7.0,1.0,38.0,61.0,29.0,38.0,10.0,23.0,2.0,4.0,10.0,115.0,8.0,44.0,6.0,16.0,1.0,2.0,11.0,39.0,61.0,14.0,60.0,53.0,f,f,f,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,danilo-petrovic,D. Petrovic,josselin-ouanna,J. Ouanna,montpellier,2nd Round Qualifying,3.0,f,250,1,01:57:00,183.0,1.0,13.0,18.0,1.0,1.0,279.0,21.0,6.0,56.0,92.0,44.0,56.0,16.0,36.0,1.0,4.0,15.0,62.0,7.0,51.0,19.0,40.0,0.0,1.0,15.0,60.0,92.0,26.0,91.0,86.0,f,f,,t,France,2.0,18.0,13.0,0.0,304.0,11.0,2.0,51.0,91.0,44.0,51.0,21.0,40.0,1.0,1.0,15.0,172.0,12.0,56.0,20.0,36.0,3.0,4.0,15.0,65.0,91.0,32.0,92.0,97.0,t,f,f,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,david-perez-sanz,D. Perez Sanz,fabrice-martin,F. Martin,montpellier,1st Round Qualifying,3.0,f,250,0,01:37:00,146.0,1.0,11.0,16.0,0.0,0.0,258.0,2.0,2.0,44.0,77.0,28.0,44.0,20.0,33.0,5.0,8.0,13.0,100.0,3.0,38.0,11.0,31.0,1.0,2.0,14.0,48.0,77.0,14.0,69.0,62.0,f,f,,t,France,2.0,16.0,11.0,0.0,316.0,15.0,3.0,38.0,69.0,35.0,38.0,20.0,31.0,1.0,2.0,14.0,136.0,16.0,44.0,13.0,33.0,3.0,8.0,13.0,55.0,69.0,29.0,77.0,84.0,t,f,f,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,dmitry-tursunov,D. Tursunov,guillermo-olaso,G. Olaso,montpellier,3rd Round Qualifying,3.0,f,250,2,01:54:00,187.0,1.0,14.0,14.0,0.0,0.0,277.0,10.0,4.0,66.0,101.0,44.0,66.0,19.0,35.0,9.0,11.0,14.0,141.0,12.0,47.0,20.0,39.0,2.0,4.0,14.0,63.0,101.0,32.0,86.0,95.0,f,f,3,t,France,2.0,14.0,14.0,0.0,264.0,4.0,3.0,47.0,86.0,35.0,47.0,19.0,39.0,2.0,4.0,14.0,111.0,22.0,66.0,16.0,35.0,2.0,11.0,14.0,54.0,86.0,38.0,101.0,92.0,t,f,f,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,dmitry-tursunov,D. Tursunov,ivan-arenas-gualda,I. Arenas-Gualda,montpellier,2nd Round Qualifying,2.0,f,250,1,01:10:00,118.0,2.0,12.0,5.0,0.0,0.0,306.0,9.0,0.0,37.0,58.0,30.0,37.0,11.0,21.0,2.0,2.0,9.0,197.0,13.0,39.0,14.0,21.0,3.0,5.0,8.0,41.0,58.0,27.0,60.0,68.0,t,f,3,t,France,0.0,5.0,12.0,0.0,222.0,1.0,6.0,39.0,60.0,26.0,39.0,7.0,21.0,2.0,5.0,8.0,67.0,7.0,37.0,10.0,21.0,0.0,2.0,9.0,33.0,60.0,17.0,58.0,50.0,f,f,f,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,dmitry-tursunov,D. Tursunov,vincent-millot,V. Millot,montpellier,1st Round Qualifying,2.0,f,250,0,01:31:00,155.0,2.0,14.0,11.0,1.0,1.0,242.0,5.0,1.0,42.0,70.0,29.0,42.0,12.0,28.0,1.0,5.0,12.0,179.0,12.0,44.0,27.0,41.0,5.0,11.0,12.0,41.0,70.0,39.0,85.0,80.0,t,f,3,t,France,0.0,11.0,14.0,0.0,222.0,10.0,5.0,44.0,85.0,32.0,44.0,14.0,41.0,6.0,11.0,12.0,201.0,13.0,42.0,16.0,28.0,4.0,5.0,12.0,46.0,85.0,29.0,70.0,75.0,f,f,f,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,dorian-descloix,D. Descloix,marc-gicquel,M. Gicquel,montpellier,1st Round Qualifying,2.0,f,250,0,01:15:00,126.0,0.0,8.0,13.0,0.0,1.0,249.0,5.0,3.0,35.0,70.0,22.0,35.0,19.0,35.0,4.0,6.0,10.0,42.0,3.0,32.0,8.0,24.0,0.0,1.0,10.0,41.0,70.0,11.0,56.0,52.0,f,f,WC,f,France,2.0,13.0,8.0,1.0,320.0,6.0,1.0,32.0,56.0,29.0,32.0,16.0,24.0,1.0,1.0,10.0,136.0,13.0,35.0,16.0,35.0,2.0,6.0,10.0,45.0,56.0,29.0,70.0,74.0,t,f,t,France
2013-02-04,2013-02-10,France,Hard,410200.0,€,2013,dudi-sela,D. Sela,jan-hajek,J. Hajek,montpellier,Round of 32,3.0,f,250,3,01:43:00,178.0,1.0,12.0,15.0,0.0,0.0,237.0,4.0,5.0,54.0,100.0,33.0,54.0,25.0,46.0,11.0,15.0,13.0,182.0,12.0,49.0,18.0,29.0,3.0,4.0,14.0,58.0,100.0,30.0,78.0,88.0,f,f,,t,France,2.0,15.0,12.0,0.0,261.0,7.0,1.0,49.0,78.0,37.0,49.0,11.0,29.0,1.0,4.0,14.0,142.0,21.0,54.0,21.0,46.0,4.0,15.0,13.0,48.0,78.0,42.0,100.0,90.0,t,f,f,France
