start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2013-08-05,2013-08-11,Canada,Hard,2887085.0,$,2013,adrian-mannarino,A. Mannarino,benjamin-becker,B. Becker,montreal,2nd Round Qualifying,3.0,f,1000,1,02:26:00,215.0,1.0,17.0,17.0,0.0,1.0,256.0,5.0,3.0,58.0,103.0,40.0,58.0,24.0,45.0,2.0,6.0,17.0,142.0,28.0,75.0,19.0,37.0,4.0,14.0,16.0,64.0,103.0,47.0,112.0,111.0,f,f,2,t,Canada,2.0,17.0,17.0,1.0,249.0,1.0,6.0,75.0,112.0,47.0,75.0,18.0,37.0,10.0,14.0,16.0,168.0,18.0,58.0,21.0,45.0,4.0,6.0,17.0,65.0,112.0,39.0,103.0,104.0,t,f,f,Canada
2013-08-05,2013-08-11,Canada,Hard,2887085.0,$,2013,adrian-mannarino,A. Mannarino,matthew-ebden,M. Ebden,montreal,1st Round Qualifying,2.0,f,1000,0,00:57:00,89.0,2.0,12.0,2.0,0.0,0.0,268.0,4.0,2.0,22.0,43.0,16.0,22.0,12.0,21.0,1.0,2.0,7.0,269.0,10.0,18.0,19.0,28.0,6.0,10.0,7.0,28.0,43.0,29.0,46.0,57.0,t,f,2,t,Canada,0.0,2.0,12.0,0.0,127.0,2.0,4.0,18.0,46.0,8.0,18.0,9.0,28.0,4.0,10.0,7.0,134.0,6.0,22.0,9.0,21.0,1.0,2.0,7.0,17.0,46.0,15.0,43.0,32.0,f,f,f,Canada
2013-08-05,2013-08-11,Canada,Hard,2887085.0,$,2013,albert-ramos-vinolas,A. Ramos-Vinolas,amir-weintraub,A. Weintraub,montreal,1st Round Qualifying,3.0,f,1000,0,01:57:00,180.0,1.0,14.0,15.0,0.0,0.0,228.0,3.0,8.0,59.0,97.0,39.0,59.0,16.0,38.0,8.0,13.0,14.0,162.0,20.0,49.0,11.0,34.0,5.0,9.0,15.0,55.0,97.0,31.0,83.0,86.0,f,f,4,f,Canada,2.0,15.0,14.0,0.0,252.0,3.0,3.0,49.0,83.0,29.0,49.0,23.0,34.0,4.0,9.0,15.0,165.0,20.0,59.0,22.0,38.0,5.0,13.0,14.0,52.0,83.0,42.0,97.0,94.0,t,f,t,Canada
2013-08-05,2013-08-11,Canada,Hard,2887085.0,$,2013,alexandr-dolgopolov,A. Dolgopolov,kevin-anderson,K. Anderson,montreal,Round of 64,2.0,f,1000,2,01:44:00,168.0,2.0,13.0,10.0,1.0,1.0,240.0,5.0,6.0,37.0,88.0,29.0,37.0,25.0,51.0,11.0,14.0,11.0,183.0,11.0,37.0,26.0,43.0,4.0,7.0,11.0,54.0,88.0,37.0,80.0,91.0,t,f,,t,Canada,0.0,10.0,13.0,0.0,223.0,9.0,5.0,37.0,80.0,26.0,37.0,17.0,43.0,3.0,7.0,11.0,121.0,8.0,37.0,26.0,51.0,3.0,14.0,11.0,43.0,80.0,34.0,88.0,77.0,f,f,f,Canada
2013-08-05,2013-08-11,Canada,Hard,2887085.0,$,2013,alexandr-dolgopolov,A. Dolgopolov,tomas-berdych,T. Berdych,montreal,Round of 32,2.0,f,1000,3,01:17:00,119.0,0.0,7.0,12.0,0.0,0.0,238.0,2.0,2.0,27.0,53.0,18.0,27.0,14.0,26.0,0.0,3.0,9.0,90.0,7.0,36.0,14.0,30.0,1.0,7.0,10.0,32.0,53.0,21.0,66.0,53.0,f,f,,f,Canada,2.0,12.0,7.0,0.0,288.0,9.0,0.0,36.0,66.0,29.0,36.0,16.0,30.0,6.0,7.0,10.0,212.0,9.0,27.0,12.0,26.0,3.0,3.0,9.0,45.0,66.0,21.0,53.0,66.0,t,f,t,Canada
2013-08-05,2013-08-11,Canada,Hard,2887085.0,$,2013,alex-bogomolov-jr.,A. Bogomolov Jr.,david-ferrer,D. Ferrer,montreal,Round of 32,2.0,f,1000,3,01:25:00,123.0,2.0,12.0,6.0,0.0,0.0,301.0,2.0,3.0,49.0,65.0,35.0,49.0,9.0,16.0,6.0,6.0,9.0,156.0,13.0,35.0,11.0,23.0,3.0,8.0,9.0,44.0,65.0,24.0,58.0,68.0,t,f,Q,t,Canada,0.0,6.0,12.0,0.0,238.0,0.0,3.0,35.0,58.0,22.0,35.0,12.0,23.0,5.0,8.0,9.0,73.0,14.0,49.0,7.0,16.0,0.0,6.0,9.0,34.0,58.0,21.0,65.0,55.0,f,f,f,Canada
2013-08-05,2013-08-11,Canada,Hard,2887085.0,$,2013,alex-bogomolov-jr.,A. Bogomolov Jr.,michael-llodra,M. Llodra,montreal,Round of 64,3.0,f,1000,2,01:40:00,172.0,2.0,16.0,11.0,0.0,0.0,292.0,1.0,4.0,50.0,81.0,38.0,50.0,20.0,31.0,3.0,4.0,14.0,150.0,29.0,67.0,11.0,24.0,3.0,8.0,13.0,58.0,81.0,40.0,91.0,98.0,t,f,Q,t,Canada,1.0,11.0,16.0,0.0,261.0,2.0,2.0,67.0,91.0,38.0,67.0,13.0,24.0,5.0,8.0,13.0,91.0,12.0,50.0,11.0,31.0,1.0,4.0,14.0,51.0,91.0,23.0,81.0,74.0,f,f,f,Canada
2013-08-05,2013-08-11,Canada,Hard,2887085.0,$,2013,alex-bogomolov-jr.,A. Bogomolov Jr.,michael-russell,M. Russell,montreal,2nd Round Qualifying,3.0,f,1000,1,01:59:00,188.0,2.0,17.0,13.0,0.0,0.0,261.0,3.0,4.0,63.0,90.0,47.0,63.0,10.0,27.0,6.0,9.0,15.0,173.0,19.0,55.0,21.0,43.0,5.0,9.0,15.0,57.0,90.0,40.0,98.0,97.0,t,f,6,f,Canada,1.0,13.0,17.0,0.0,242.0,6.0,2.0,55.0,98.0,36.0,55.0,22.0,43.0,4.0,9.0,15.0,141.0,16.0,63.0,17.0,27.0,3.0,9.0,15.0,58.0,98.0,33.0,90.0,91.0,f,f,t,Canada
2013-08-05,2013-08-11,Canada,Hard,2887085.0,$,2013,alex-bogomolov-jr.,A. Bogomolov Jr.,nikolay-davydenko,N. Davydenko,montreal,Round of 16,2.0,f,1000,4,01:23:00,111.0,0.0,7.0,12.0,0.0,0.0,199.0,1.0,3.0,44.0,61.0,21.0,44.0,7.0,17.0,4.0,10.0,10.0,145.0,17.0,43.0,2.0,7.0,3.0,7.0,9.0,28.0,61.0,19.0,50.0,47.0,f,f,Q,f,Canada,2.0,12.0,7.0,0.0,286.0,4.0,1.0,43.0,50.0,26.0,43.0,5.0,7.0,4.0,7.0,9.0,231.0,23.0,44.0,10.0,17.0,6.0,10.0,10.0,31.0,50.0,33.0,61.0,64.0,t,f,t,Canada
2013-08-05,2013-08-11,Canada,Hard,2887085.0,$,2013,alex-bogomolov-jr.,A. Bogomolov Jr.,tommy-mylnikov,T. Mylnikov,montreal,1st Round Qualifying,2.0,f,1000,0,00:45:00,76.0,2.0,12.0,2.0,0.0,0.0,333.0,2.0,2.0,20.0,32.0,19.0,20.0,9.0,12.0,0.0,0.0,7.0,285.0,8.0,17.0,18.0,27.0,5.0,5.0,7.0,28.0,32.0,26.0,44.0,54.0,t,f,6,t,Canada,0.0,2.0,12.0,0.0,150.0,0.0,3.0,17.0,44.0,9.0,17.0,9.0,27.0,0.0,5.0,7.0,30.0,1.0,20.0,3.0,12.0,0.0,0.0,7.0,18.0,44.0,4.0,32.0,22.0,f,f,f,Canada
