start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,adrian-mannarino,A. Mannarino,teymuraz-gabashvili,T. Gabashvili,moscow,Round of 32,3.0,f,250,3,02:35:00,220.0,1.0,14.0,15.0,0.0,0.0,269.0,5.0,3.0,69.0,115.0,47.0,69.0,25.0,46.0,15.0,17.0,14.0,106.0,26.0,67.0,12.0,38.0,2.0,9.0,15.0,72.0,115.0,38.0,105.0,110.0,f,f,8,t,Russian Federation,2.0,15.0,14.0,0.0,282.0,5.0,2.0,67.0,105.0,41.0,67.0,26.0,38.0,7.0,9.0,15.0,104.0,22.0,69.0,21.0,46.0,2.0,17.0,14.0,67.0,105.0,43.0,115.0,110.0,t,f,f,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,albert-ramos-vinolas,A. Ramos-Vinolas,karen-khachanov,K. Khachanov,moscow,Round of 32,3.0,f,250,3,01:57:00,169.0,1.0,12.0,15.0,0.0,0.0,235.0,1.0,5.0,44.0,84.0,31.0,44.0,19.0,40.0,6.0,10.0,13.0,145.0,16.0,62.0,15.0,23.0,3.0,9.0,14.0,50.0,84.0,31.0,85.0,81.0,f,f,,f,Russian Federation,2.0,15.0,12.0,0.0,265.0,7.0,2.0,62.0,85.0,46.0,62.0,8.0,23.0,6.0,9.0,14.0,153.0,13.0,44.0,21.0,40.0,4.0,10.0,13.0,54.0,85.0,34.0,84.0,88.0,t,f,t,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,aleksandr-nedovyesov,A. Nedovyesov,andrey-golubev,A. Golubev,moscow,Round of 32,2.0,f,250,3,01:21:00,119.0,0.0,7.0,13.0,0.0,0.0,238.0,6.0,1.0,36.0,64.0,27.0,36.0,9.0,28.0,4.0,7.0,10.0,58.0,7.0,40.0,6.0,15.0,0.0,2.0,10.0,36.0,64.0,13.0,55.0,49.0,f,f,Q,f,Russian Federation,2.0,13.0,7.0,0.0,317.0,1.0,0.0,40.0,55.0,33.0,40.0,9.0,15.0,2.0,2.0,10.0,166.0,9.0,36.0,19.0,28.0,3.0,7.0,10.0,42.0,55.0,28.0,64.0,70.0,t,f,t,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,aleksandr-nedovyesov,A. Nedovyesov,egor-gerasimov,E. Gerasimov,moscow,3rd Round Qualifying,3.0,f,250,2,02:05:00,209.0,2.0,18.0,17.0,1.0,1.0,258.0,4.0,1.0,61.0,99.0,43.0,61.0,20.0,38.0,3.0,8.0,17.0,159.0,26.0,74.0,19.0,36.0,5.0,12.0,17.0,63.0,99.0,45.0,110.0,108.0,t,f,2,t,Russian Federation,1.0,17.0,18.0,0.0,245.0,1.0,5.0,74.0,110.0,48.0,74.0,17.0,36.0,7.0,12.0,17.0,169.0,18.0,61.0,18.0,38.0,5.0,8.0,17.0,65.0,110.0,36.0,99.0,101.0,f,f,f,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,aleksandr-nedovyesov,A. Nedovyesov,richard-muzaev,R. Muzaev,moscow,2nd Round Qualifying,2.0,f,250,1,01:09:00,112.0,2.0,12.0,7.0,0.0,0.0,331.0,7.0,1.0,33.0,51.0,27.0,33.0,14.0,18.0,2.0,2.0,10.0,128.0,9.0,33.0,14.0,28.0,2.0,7.0,9.0,41.0,51.0,23.0,61.0,64.0,t,f,2,t,Russian Federation,0.0,7.0,12.0,0.0,251.0,0.0,3.0,33.0,61.0,24.0,33.0,14.0,28.0,5.0,7.0,9.0,40.0,6.0,33.0,4.0,18.0,0.0,2.0,10.0,38.0,61.0,10.0,51.0,48.0,f,f,f,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,aleksandr-nedovyesov,A. Nedovyesov,sergey-strelkov,S. Strelkov,moscow,1st Round Qualifying,2.0,f,250,0,00:59:00,98.0,2.0,12.0,4.0,0.0,0.0,310.0,1.0,1.0,26.0,42.0,24.0,26.0,9.0,16.0,0.0,0.0,8.0,200.0,16.0,34.0,13.0,22.0,4.0,9.0,8.0,33.0,42.0,29.0,56.0,62.0,t,f,2,t,Russian Federation,0.0,4.0,12.0,0.0,203.0,1.0,3.0,34.0,56.0,18.0,34.0,9.0,22.0,5.0,9.0,8.0,52.0,2.0,26.0,7.0,16.0,0.0,0.0,8.0,27.0,56.0,9.0,42.0,36.0,f,f,f,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,alexander-lobkov,A. Lobkov,egor-gerasimov,E. Gerasimov,moscow,2nd Round Qualifying,3.0,f,250,1,02:22:00,228.0,1.0,15.0,15.0,0.0,0.0,224.0,2.0,2.0,54.0,97.0,32.0,54.0,21.0,43.0,6.0,12.0,15.0,158.0,37.0,83.0,24.0,48.0,6.0,26.0,15.0,53.0,97.0,61.0,131.0,114.0,f,f,,f,Russian Federation,2.0,15.0,15.0,0.0,223.0,3.0,8.0,83.0,131.0,46.0,83.0,24.0,48.0,20.0,26.0,15.0,182.0,22.0,54.0,22.0,43.0,6.0,12.0,15.0,70.0,131.0,44.0,97.0,114.0,t,f,t,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,alexander-lobkov,A. Lobkov,radu-albot,R. Albot,moscow,1st Round Qualifying,3.0,f,250,0,01:40:00,148.0,2.0,16.0,8.0,0.0,0.0,250.0,1.0,2.0,38.0,76.0,27.0,38.0,21.0,38.0,4.0,7.0,12.0,227.0,22.0,40.0,16.0,32.0,7.0,11.0,12.0,48.0,76.0,38.0,72.0,86.0,t,f,,f,Russian Federation,1.0,8.0,16.0,0.0,190.0,0.0,2.0,40.0,72.0,18.0,40.0,16.0,32.0,4.0,11.0,12.0,142.0,11.0,38.0,17.0,38.0,3.0,7.0,12.0,34.0,72.0,28.0,76.0,62.0,f,f,t,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,alexander-rumyantsev,A. Rumyantsev,jan-mertl,J. Mertl,moscow,2nd Round Qualifying,3.0,f,250,1,02:16:00,173.0,1.0,12.0,14.0,0.0,0.0,221.0,2.0,4.0,52.0,90.0,32.0,52.0,16.0,38.0,4.0,9.0,13.0,156.0,13.0,42.0,21.0,41.0,4.0,9.0,13.0,48.0,90.0,34.0,83.0,82.0,f,f,,t,Russian Federation,2.0,14.0,12.0,0.0,235.0,2.0,5.0,42.0,83.0,29.0,42.0,20.0,41.0,5.0,9.0,13.0,190.0,20.0,52.0,22.0,38.0,5.0,9.0,13.0,49.0,83.0,42.0,90.0,91.0,t,f,f,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,alexander-rumyantsev,A. Rumyantsev,valery-rudnev,V. Rudnev,moscow,1st Round Qualifying,3.0,f,250,0,01:48:00,149.0,2.0,12.0,12.0,0.0,0.0,259.0,2.0,4.0,37.0,64.0,28.0,37.0,14.0,27.0,4.0,7.0,12.0,149.0,17.0,51.0,18.0,34.0,3.0,8.0,12.0,42.0,64.0,35.0,85.0,77.0,t,f,,f,Russian Federation,1.0,12.0,12.0,0.0,250.0,3.0,2.0,51.0,85.0,34.0,51.0,16.0,34.0,5.0,8.0,12.0,140.0,9.0,37.0,13.0,27.0,3.0,7.0,12.0,50.0,85.0,22.0,64.0,72.0,f,f,t,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,alexandr-dolgopolov,A. Dolgopolov,mikhail-kukushkin,M. Kukushkin,moscow,Round of 16,2.0,f,250,4,01:17:00,131.0,0.0,8.0,12.0,0.0,0.0,241.0,4.0,0.0,39.0,68.0,28.0,39.0,11.0,29.0,2.0,5.0,10.0,102.0,10.0,34.0,11.0,29.0,1.0,4.0,10.0,39.0,68.0,21.0,63.0,60.0,f,f,4,f,Russian Federation,2.0,12.0,8.0,0.0,278.0,4.0,3.0,34.0,63.0,24.0,34.0,18.0,29.0,3.0,4.0,10.0,180.0,11.0,39.0,18.0,29.0,3.0,5.0,10.0,42.0,63.0,29.0,68.0,71.0,t,f,t,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,alex-bogomolov-jr.,A. Bogomolov Jr.,mikhail-kukushkin,M. Kukushkin,moscow,Round of 32,2.0,f,250,3,01:08:00,99.0,0.0,5.0,12.0,0.0,0.0,212.0,0.0,1.0,42.0,52.0,19.0,42.0,5.0,10.0,2.0,7.0,8.0,185.0,3.0,23.0,12.0,24.0,2.0,2.0,9.0,24.0,52.0,15.0,47.0,39.0,f,f,,f,Russian Federation,2.0,12.0,5.0,0.0,267.0,6.0,2.0,23.0,47.0,20.0,23.0,12.0,24.0,0.0,2.0,9.0,238.0,23.0,42.0,5.0,10.0,5.0,7.0,8.0,32.0,47.0,28.0,52.0,60.0,t,f,t,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,alexey-vatutin,A. Vatutin,jan-mertl,J. Mertl,moscow,1st Round Qualifying,2.0,f,250,0,01:04:00,106.0,0.0,4.0,12.0,0.0,0.0,161.0,0.0,2.0,28.0,47.0,13.0,28.0,6.0,19.0,5.0,11.0,8.0,150.0,12.0,41.0,12.0,18.0,2.0,7.0,8.0,19.0,47.0,24.0,59.0,43.0,f,f,,f,Russian Federation,2.0,12.0,4.0,0.0,252.0,6.0,2.0,41.0,59.0,29.0,41.0,6.0,18.0,5.0,7.0,8.0,252.0,15.0,28.0,13.0,19.0,6.0,11.0,8.0,35.0,59.0,28.0,47.0,63.0,t,f,t,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,andreas-seppi,A. Seppi,edouard-roger-vasselin,E. Roger-Vasselin,moscow,Quarter-Finals,1.0,f,250,5,00:27:00,45.0,1.0,5.0,2.0,0.0,0.0,260.0,2.0,1.0,17.0,27.0,12.0,17.0,5.0,10.0,1.0,2.0,4.0,250.0,7.0,13.0,4.0,5.0,2.0,4.0,3.0,17.0,27.0,11.0,18.0,28.0,t,t,2,t,Russian Federation,0.0,2.0,5.0,0.0,170.0,0.0,1.0,13.0,18.0,6.0,13.0,1.0,5.0,2.0,4.0,3.0,154.0,5.0,17.0,5.0,10.0,1.0,2.0,4.0,7.0,18.0,10.0,27.0,17.0,f,t,f,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,andreas-seppi,A. Seppi,mikhail-kukushkin,M. Kukushkin,moscow,Semi-Finals,3.0,f,250,6,01:39:00,146.0,1.0,11.0,13.0,0.0,0.0,216.0,3.0,3.0,45.0,67.0,26.0,45.0,9.0,22.0,3.0,9.0,12.0,193.0,15.0,43.0,22.0,36.0,5.0,9.0,12.0,35.0,67.0,37.0,79.0,72.0,f,f,2,f,Russian Federation,2.0,13.0,11.0,0.0,220.0,5.0,1.0,43.0,79.0,28.0,43.0,14.0,36.0,4.0,9.0,12.0,218.0,19.0,45.0,13.0,22.0,6.0,9.0,12.0,42.0,79.0,32.0,67.0,74.0,t,f,t,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,andreas-seppi,A. Seppi,paolo-lorenzi,P. Lorenzi,moscow,Round of 16,2.0,f,250,4,01:09:00,102.0,2.0,12.0,5.0,0.0,0.0,316.0,3.0,1.0,22.0,46.0,20.0,22.0,18.0,24.0,0.0,0.0,9.0,173.0,5.0,26.0,20.0,30.0,3.0,6.0,8.0,38.0,46.0,25.0,56.0,63.0,t,f,2,t,Russian Federation,0.0,5.0,12.0,0.0,224.0,6.0,4.0,26.0,56.0,21.0,26.0,10.0,30.0,3.0,6.0,8.0,34.0,2.0,22.0,6.0,24.0,0.0,0.0,9.0,31.0,56.0,8.0,46.0,39.0,f,f,f,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,andrey-golubev,A. Golubev,anton-zaitcev,A. Zaitcev,moscow,1st Round Qualifying,2.0,f,250,0,00:51:00,86.0,2.0,12.0,3.0,0.0,0.0,325.0,2.0,0.0,29.0,39.0,23.0,29.0,7.0,10.0,1.0,1.0,7.0,213.0,13.0,29.0,11.0,18.0,5.0,11.0,8.0,30.0,39.0,24.0,47.0,54.0,t,f,3,t,Russian Federation,0.0,3.0,12.0,0.0,186.0,1.0,8.0,29.0,47.0,16.0,29.0,7.0,18.0,6.0,11.0,8.0,51.0,6.0,29.0,3.0,10.0,0.0,1.0,7.0,23.0,47.0,9.0,39.0,32.0,f,f,f,Russian Federation
2013-10-14,2013-10-20,Russian Federation,Hard,746750.0,$,2013,andrey-golubev,A. Golubev,denis-matsukevich,D. Matsukevich,moscow,2nd Round Qualifying,2.0,f,250,1,00:54:00,83.0,2.0,12.0,1.0,0.0,0.0,314.0,4.0,1.0,34.0,40.0,26.0,34.0,3.0,6.0,0.0,0.0,7.0,257.0,13.0,25.0,13.0,18.0,5.0,10.0,6.0,29.0,40.0,26.0,43.0,55.0,t,f,3,t,Russian Federation,0.0,1.0,12.0,0.0,148.0,0.0,2.0,25.0,43.0,12.0,25.0,5.0,18.0,5.0,10.0,6.0,74.0,8.0,34.0,3.0,6.0,0.0,0.0,7.0,17.0,43.0,11.0,40.0,28.0,f,f,f,Russian Federation
