,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,alexander-elfimov,A. Elfimov,shalva-dzhanashia,S. Dzhanashia,moscow_challenger,1st Round Qualifying,3.0,f,100,0,01:58:00,203.0,1.0,14.0,18.0,0.0,1.0,188.0,3.0,18.0,46.0,105.0,27.0,46.0,26.0,59.0,3.0,10.0,16.0,201.0,25.0,67.0,15.0,31.0,5.0,6.0,15.0,53.0,105.0,40.0,98.0,93.0,f,f,WC,f,Russian Federation,2.0,18.0,14.0,1.0,240.0,0.0,9.0,67.0,98.0,42.0,67.0,16.0,31.0,1.0,6.0,15.0,210.0,19.0,46.0,33.0,59.0,7.0,10.0,16.0,58.0,98.0,52.0,105.0,110.0,t,f,t,Russian Federation
1,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,alexander-kudryavtsev,A. Kudryavtsev,renzo-olivo,R. Olivo,moscow_challenger,Round of 32,3.0,f,100,3,02:02:00,201.0,1.0,13.0,16.0,0.0,0.0,210.0,2.0,9.0,52.0,105.0,36.0,52.0,20.0,53.0,10.0,16.0,15.0,140.0,12.0,53.0,25.0,43.0,4.0,13.0,14.0,56.0,105.0,37.0,96.0,93.0,f,f,6,t,Russian Federation,2.0,16.0,13.0,0.0,240.0,6.0,11.0,53.0,96.0,41.0,53.0,18.0,43.0,9.0,13.0,14.0,171.0,16.0,52.0,33.0,53.0,6.0,16.0,15.0,59.0,96.0,49.0,105.0,108.0,t,f,f,Russian Federation
2,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,alexey-vatutin,A. Vatutin,mikhail-elgin,M. Elgin,moscow_challenger,2nd Round Qualifying,3.0,f,100,1,02:24:00,192.0,1.0,11.0,18.0,1.0,1.0,186.0,1.0,6.0,46.0,88.0,26.0,46.0,17.0,42.0,1.0,9.0,14.0,142.0,19.0,58.0,24.0,46.0,4.0,14.0,14.0,43.0,88.0,43.0,104.0,86.0,f,f,,t,Russian Federation,2.0,18.0,11.0,0.0,251.0,13.0,4.0,58.0,104.0,39.0,58.0,22.0,46.0,10.0,14.0,14.0,249.0,20.0,46.0,25.0,42.0,8.0,9.0,14.0,61.0,104.0,45.0,88.0,106.0,t,f,f,Russian Federation
3,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,alexey-vatutin,A. Vatutin,pedro-bernardi,P. Bernardi,moscow_challenger,1st Round Qualifying,2.0,f,100,0,01:09:00,112.0,2.0,12.0,6.0,0.0,0.0,285.0,0.0,3.0,24.0,55.0,19.0,24.0,20.0,31.0,2.0,2.0,9.0,184.0,8.0,33.0,16.0,24.0,3.0,5.0,9.0,39.0,55.0,24.0,57.0,63.0,t,f,,t,Russian Federation,0.0,6.0,12.0,0.0,234.0,4.0,3.0,33.0,57.0,25.0,33.0,8.0,24.0,2.0,5.0,9.0,56.0,5.0,24.0,11.0,31.0,0.0,2.0,9.0,33.0,57.0,16.0,55.0,49.0,f,f,f,Russian Federation
4,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,andrey-rublev,A. Rublev,evgeny-donskoy,E. Donskoy,moscow_challenger,Quarter-Finals,3.0,f,100,5,02:20:00,229.0,2.0,18.0,15.0,0.0,1.0,269.0,4.0,3.0,84.0,116.0,55.0,84.0,16.0,32.0,7.0,10.0,16.0,141.0,19.0,57.0,27.0,56.0,5.0,17.0,16.0,71.0,116.0,46.0,113.0,117.0,t,f,,t,Russian Federation,1.0,15.0,18.0,1.0,239.0,6.0,4.0,57.0,113.0,38.0,57.0,29.0,56.0,12.0,17.0,16.0,133.0,29.0,84.0,16.0,32.0,3.0,10.0,16.0,67.0,113.0,45.0,116.0,112.0,f,f,f,Russian Federation
5,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,andrey-rublev,A. Rublev,laslo-djere,L. Djere,moscow_challenger,Round of 32,2.0,f,100,3,01:25:00,133.0,2.0,13.0,7.0,1.0,1.0,280.0,0.0,1.0,44.0,67.0,33.0,44.0,12.0,23.0,5.0,6.0,9.0,181.0,12.0,33.0,18.0,33.0,4.0,8.0,10.0,45.0,67.0,30.0,66.0,75.0,t,f,,t,Russian Federation,0.0,7.0,13.0,0.0,224.0,7.0,2.0,33.0,66.0,21.0,33.0,15.0,33.0,4.0,8.0,10.0,101.0,11.0,44.0,11.0,23.0,1.0,6.0,9.0,36.0,66.0,22.0,67.0,58.0,f,f,f,Russian Federation
6,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,andrey-rublev,A. Rublev,radu-albot,R. Albot,moscow_challenger,Semi-Finals,3.0,f,100,6,02:27:00,216.0,1.0,14.0,18.0,1.0,1.0,262.0,1.0,3.0,76.0,115.0,46.0,76.0,24.0,39.0,6.0,10.0,16.0,126.0,23.0,76.0,10.0,25.0,1.0,2.0,15.0,70.0,115.0,33.0,101.0,103.0,f,f,,f,Russian Federation,2.0,18.0,14.0,0.0,297.0,2.0,3.0,76.0,101.0,53.0,76.0,15.0,25.0,1.0,2.0,15.0,142.0,30.0,76.0,15.0,39.0,4.0,10.0,16.0,68.0,101.0,45.0,115.0,113.0,t,f,t,Russian Federation
7,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,andrey-rublev,A. Rublev,renzo-olivo,R. Olivo,moscow_challenger,Round of 16,3.0,f,100,4,02:27:00,234.0,2.0,15.0,13.0,0.0,0.0,224.0,1.0,5.0,74.0,123.0,41.0,74.0,24.0,49.0,12.0,17.0,14.0,182.0,22.0,65.0,29.0,46.0,6.0,14.0,14.0,65.0,123.0,51.0,111.0,116.0,t,f,,t,Russian Federation,1.0,13.0,15.0,0.0,219.0,8.0,8.0,65.0,111.0,43.0,65.0,17.0,46.0,8.0,14.0,14.0,160.0,33.0,74.0,25.0,49.0,5.0,17.0,14.0,60.0,111.0,58.0,123.0,118.0,f,f,f,Russian Federation
8,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,antonio-veic,A. Veic,jonathan-eysseric,J. Eysseric,moscow_challenger,Round of 32,2.0,f,100,3,01:02:00,89.0,2.0,12.0,4.0,0.0,0.0,297.0,1.0,0.0,30.0,48.0,25.0,30.0,9.0,18.0,4.0,4.0,8.0,200.0,11.0,28.0,7.0,13.0,4.0,7.0,8.0,34.0,48.0,18.0,41.0,52.0,t,f,,t,Russian Federation,0.0,4.0,12.0,0.0,225.0,1.0,1.0,28.0,41.0,17.0,28.0,6.0,13.0,3.0,7.0,8.0,67.0,5.0,30.0,9.0,18.0,0.0,4.0,8.0,23.0,41.0,14.0,48.0,37.0,f,f,f,Russian Federation
9,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,antonio-veic,A. Veic,teymuraz-gabashvili,T. Gabashvili,moscow_challenger,Round of 16,2.0,f,100,4,01:05:00,99.0,0.0,7.0,12.0,0.0,0.0,194.0,1.0,4.0,27.0,54.0,18.0,27.0,8.0,27.0,1.0,6.0,10.0,155.0,6.0,22.0,9.0,23.0,2.0,3.0,9.0,26.0,54.0,15.0,45.0,41.0,f,f,,f,Russian Federation,2.0,12.0,7.0,0.0,258.0,1.0,3.0,22.0,45.0,16.0,22.0,14.0,23.0,1.0,3.0,9.0,236.0,9.0,27.0,19.0,27.0,5.0,6.0,10.0,30.0,45.0,28.0,54.0,58.0,t,f,t,Russian Federation
10,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,anton-zaitcev,A. Zaitcev,boris-pokotilov,B. Pokotilov,moscow_challenger,2nd Round Qualifying,2.0,f,100,1,00:59:00,89.0,2.0,12.0,3.0,0.0,0.0,268.0,1.0,4.0,28.0,48.0,20.0,28.0,11.0,20.0,0.0,1.0,8.0,262.0,11.0,23.0,13.0,18.0,5.0,7.0,7.0,31.0,48.0,24.0,41.0,55.0,t,f,3,t,Russian Federation,0.0,3.0,12.0,0.0,164.0,4.0,4.0,23.0,41.0,12.0,23.0,5.0,18.0,2.0,7.0,7.0,186.0,8.0,28.0,9.0,20.0,1.0,1.0,8.0,17.0,41.0,17.0,48.0,34.0,f,f,f,Russian Federation
11,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,anton-zaitcev,A. Zaitcev,mikhail-elgin,M. Elgin,moscow_challenger,Round of 32,2.0,f,100,3,01:04:00,104.0,0.0,5.0,12.0,0.0,0.0,180.0,0.0,9.0,29.0,61.0,17.0,29.0,12.0,32.0,5.0,10.0,9.0,121.0,4.0,24.0,8.0,19.0,1.0,2.0,8.0,29.0,61.0,12.0,43.0,41.0,f,f,Q,f,Russian Federation,2.0,12.0,5.0,0.0,285.0,2.0,1.0,24.0,43.0,20.0,24.0,11.0,19.0,1.0,2.0,8.0,209.0,12.0,29.0,20.0,32.0,5.0,10.0,9.0,31.0,43.0,32.0,61.0,63.0,t,f,t,Russian Federation
12,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,anton-zaitcev,A. Zaitcev,pedro-sakamoto,P. Sakamoto,moscow_challenger,3rd Round Qualifying,2.0,f,100,2,01:31:00,133.0,2.0,13.0,8.0,1.0,1.0,263.0,3.0,3.0,47.0,68.0,29.0,47.0,13.0,21.0,3.0,6.0,10.0,228.0,18.0,43.0,16.0,22.0,5.0,8.0,10.0,42.0,68.0,34.0,65.0,76.0,t,f,3,t,Russian Federation,0.0,8.0,13.0,0.0,200.0,0.0,1.0,43.0,65.0,25.0,43.0,6.0,22.0,3.0,8.0,10.0,156.0,18.0,47.0,8.0,21.0,3.0,6.0,10.0,31.0,65.0,26.0,68.0,57.0,f,f,f,Russian Federation
13,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,blaz-rola,B. Rola,evgeny-donskoy,E. Donskoy,moscow_challenger,Round of 32,3.0,f,100,3,02:07:00,191.0,1.0,13.0,15.0,0.0,0.0,279.0,2.0,1.0,63.0,93.0,41.0,63.0,18.0,30.0,7.0,9.0,14.0,91.0,16.0,58.0,18.0,40.0,1.0,9.0,14.0,59.0,93.0,34.0,98.0,93.0,f,f,4,t,Russian Federation,2.0,15.0,13.0,0.0,279.0,4.0,3.0,58.0,98.0,42.0,58.0,22.0,40.0,8.0,9.0,14.0,111.0,22.0,63.0,12.0,30.0,2.0,9.0,14.0,64.0,98.0,34.0,93.0,98.0,t,f,f,Russian Federation
14,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,damir-dzumhur,D. Dzumhur,horacio-zeballos,H. Zeballos,moscow_challenger,Quarter-Finals,2.0,f,100,5,01:31:00,141.0,0.0,9.0,13.0,0.0,1.0,226.0,5.0,2.0,47.0,74.0,27.0,47.0,13.0,27.0,7.0,12.0,11.0,168.0,10.0,35.0,19.0,32.0,3.0,6.0,10.0,40.0,74.0,29.0,67.0,69.0,f,f,3,f,Russian Federation,2.0,13.0,9.0,1.0,231.0,3.0,6.0,35.0,67.0,25.0,35.0,13.0,32.0,3.0,6.0,10.0,182.0,20.0,47.0,14.0,27.0,5.0,12.0,11.0,38.0,67.0,34.0,74.0,72.0,t,f,t,Russian Federation
15,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,damir-dzumhur,D. Dzumhur,maxim-dubarenco,M. Dubarenco,moscow_challenger,Round of 16,2.0,f,100,4,01:25:00,120.0,2.0,12.0,7.0,0.0,0.0,283.0,1.0,2.0,41.0,57.0,28.0,41.0,9.0,16.0,4.0,5.0,9.0,172.0,18.0,39.0,11.0,24.0,4.0,10.0,10.0,37.0,57.0,29.0,63.0,66.0,t,f,3,t,Russian Federation,0.0,7.0,12.0,0.0,228.0,1.0,3.0,39.0,63.0,21.0,39.0,13.0,24.0,6.0,10.0,10.0,107.0,13.0,41.0,7.0,16.0,1.0,5.0,9.0,34.0,63.0,20.0,57.0,54.0,f,f,f,Russian Federation
16,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,damir-dzumhur,D. Dzumhur,philipp-davydenko,P. Davydenko,moscow_challenger,Round of 32,3.0,f,100,3,01:34:00,158.0,2.0,15.0,10.0,0.0,0.0,247.0,2.0,3.0,41.0,77.0,31.0,41.0,16.0,36.0,2.0,5.0,12.0,217.0,21.0,48.0,17.0,33.0,6.0,8.0,13.0,47.0,77.0,38.0,81.0,85.0,t,f,3,f,Russian Federation,1.0,10.0,15.0,0.0,216.0,2.0,2.0,48.0,81.0,27.0,48.0,16.0,33.0,2.0,8.0,13.0,165.0,10.0,41.0,20.0,36.0,3.0,5.0,12.0,43.0,81.0,30.0,77.0,73.0,f,f,t,Russian Federation
17,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,daniel-munoz-de-la-nava,D. Munoz de la Nava,daniil-medvedev,D. Medvedev,moscow_challenger,Round of 16,2.0,f,100,4,01:32:00,136.0,2.0,13.0,6.0,1.0,1.0,291.0,2.0,1.0,34.0,59.0,26.0,34.0,17.0,25.0,1.0,2.0,9.0,166.0,12.0,36.0,23.0,41.0,4.0,12.0,9.0,43.0,59.0,35.0,77.0,78.0,t,f,7,t,Russian Federation,0.0,6.0,13.0,0.0,214.0,4.0,3.0,36.0,77.0,24.0,36.0,18.0,41.0,8.0,12.0,9.0,117.0,8.0,34.0,8.0,25.0,1.0,2.0,9.0,42.0,77.0,16.0,59.0,58.0,f,f,f,Russian Federation
18,2015-06-08,2015-06-14,Russian Federation,Clay,50000.0,$,2015,daniel-munoz-de-la-nava,D. Munoz de la Nava,horacio-zeballos,H. Zeballos,moscow_challenger,Semi-Finals,3.0,f,100,6,02:14:00,180.0,2.0,18.0,12.0,0.0,1.0,301.0,5.0,1.0,61.0,83.0,50.0,61.0,11.0,22.0,3.0,4.0,14.0,166.0,18.0,50.0,22.0,47.0,5.0,10.0,15.0,61.0,83.0,40.0,97.0,101.0,t,f,7,f,Russian Federation,1.0,12.0,18.0,1.0,232.0,4.0,7.0,50.0,97.0,32.0,50.0,25.0,47.0,5.0,10.0,15.0,100.0,11.0,61.0,11.0,22.0,1.0,4.0,14.0,57.0,97.0,22.0,83.0,79.0,f,f,t,Russian Federation
