start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2016-04-25,2016-05-01,Germany,Clay,463520.0,€,2016,adrian-menendez-maceiras,A. Menendez-Maceiras,tobias-kamke,T. Kamke,munich,1st Round Qualifying,3.0,f,250,1,01:57:00,164.0,1.0,14.0,16.0,0.0,0.0,264.0,2.0,4.0,54.0,85.0,38.0,54.0,16.0,31.0,0.0,3.0,15.0,116.0,10.0,51.0,12.0,28.0,2.0,5.0,15.0,54.0,85.0,22.0,79.0,76.0,f,f,,t,Germany,2.0,16.0,14.0,0.0,287.0,2.0,3.0,51.0,79.0,41.0,51.0,16.0,28.0,3.0,5.0,15.0,198.0,16.0,54.0,15.0,31.0,3.0,3.0,15.0,57.0,79.0,31.0,85.0,88.0,t,f,f,Germany
2016-04-25,2016-05-01,Germany,Clay,463520.0,€,2016,alejandro-gonzalez,A. Gonzalez,florian-mayer,F. Mayer,munich,1st Round Qualifying,2.0,f,250,1,01:10:00,116.0,0.0,6.0,12.0,0.0,0.0,230.0,2.0,3.0,33.0,55.0,24.0,33.0,7.0,22.0,2.0,5.0,9.0,62.0,12.0,38.0,7.0,23.0,0.0,2.0,9.0,31.0,55.0,19.0,61.0,50.0,f,f,4,f,Germany,2.0,12.0,6.0,0.0,304.0,5.0,1.0,38.0,61.0,26.0,38.0,16.0,23.0,2.0,2.0,9.0,188.0,9.0,33.0,15.0,22.0,3.0,5.0,9.0,42.0,61.0,24.0,55.0,66.0,t,f,t,Germany
2016-04-25,2016-05-01,Germany,Clay,463520.0,€,2016,alexander-erler,A. Erler,jozef-kovalik,J. Kovalik,munich,1st Round Qualifying,2.0,f,250,1,01:18:00,125.0,0.0,6.0,12.0,0.0,0.0,228.0,2.0,3.0,49.0,76.0,34.0,49.0,8.0,27.0,10.0,13.0,9.0,55.0,7.0,30.0,6.0,19.0,0.0,0.0,9.0,42.0,76.0,13.0,49.0,55.0,f,f,WC,f,Germany,2.0,12.0,6.0,0.0,307.0,1.0,0.0,30.0,49.0,23.0,30.0,13.0,19.0,0.0,0.0,9.0,157.0,15.0,49.0,19.0,27.0,3.0,13.0,9.0,36.0,49.0,34.0,76.0,70.0,t,f,t,Germany
2016-04-25,2016-05-01,Germany,Clay,463520.0,€,2016,alexander-zverev,A. Zverev,david-goffin,D. Goffin,munich,Quarter-Finals,3.0,f,250,5,02:22:00,204.0,2.0,16.0,12.0,0.0,0.0,252.0,10.0,6.0,67.0,101.0,45.0,67.0,15.0,34.0,7.0,11.0,14.0,171.0,24.0,60.0,24.0,43.0,6.0,18.0,14.0,60.0,101.0,48.0,103.0,108.0,t,f,8,t,Germany,1.0,12.0,16.0,0.0,217.0,4.0,6.0,60.0,103.0,36.0,60.0,19.0,43.0,12.0,18.0,14.0,153.0,22.0,67.0,19.0,34.0,4.0,11.0,14.0,55.0,103.0,41.0,101.0,96.0,f,f,f,Germany
2016-04-25,2016-05-01,Germany,Clay,463520.0,€,2016,alexander-zverev,A. Zverev,dominic-thiem,D. Thiem,munich,Semi-Finals,3.0,f,250,6,02:01:00,176.0,1.0,11.0,16.0,0.0,0.0,223.0,4.0,5.0,46.0,83.0,30.0,46.0,16.0,37.0,6.0,11.0,13.0,128.0,13.0,54.0,22.0,39.0,3.0,11.0,14.0,46.0,83.0,35.0,93.0,81.0,f,f,8,t,Germany,2.0,16.0,11.0,0.0,253.0,6.0,9.0,54.0,93.0,41.0,54.0,17.0,39.0,8.0,11.0,14.0,175.0,16.0,46.0,21.0,37.0,5.0,11.0,13.0,58.0,93.0,37.0,83.0,95.0,t,f,f,Germany
2016-04-25,2016-05-01,Germany,Clay,463520.0,€,2016,alexander-zverev,A. Zverev,lukas-rosol,L. Rosol,munich,Round of 16,2.0,f,250,4,01:08:00,110.0,2.0,12.0,7.0,0.0,0.0,342.0,5.0,0.0,32.0,45.0,31.0,32.0,9.0,13.0,0.0,0.0,10.0,127.0,11.0,41.0,14.0,24.0,2.0,10.0,9.0,40.0,45.0,25.0,65.0,65.0,t,f,8,t,Germany,0.0,7.0,12.0,0.0,253.0,2.0,4.0,41.0,65.0,30.0,41.0,10.0,24.0,8.0,10.0,9.0,34.0,1.0,32.0,4.0,13.0,0.0,0.0,10.0,40.0,65.0,5.0,45.0,45.0,f,f,f,Germany
2016-04-25,2016-05-01,Germany,Clay,463520.0,€,2016,alexander-zverev,A. Zverev,malek-jaziri,M. Jaziri,munich,Round of 32,3.0,f,250,3,02:11:00,190.0,2.0,16.0,11.0,0.0,0.0,284.0,5.0,2.0,66.0,103.0,45.0,66.0,21.0,37.0,11.0,12.0,14.0,130.0,17.0,49.0,18.0,38.0,3.0,12.0,13.0,66.0,103.0,35.0,87.0,101.0,t,f,8,f,Germany,1.0,11.0,16.0,0.0,247.0,0.0,3.0,49.0,87.0,32.0,49.0,20.0,38.0,9.0,12.0,13.0,90.0,21.0,66.0,16.0,37.0,1.0,12.0,14.0,52.0,87.0,37.0,103.0,89.0,f,f,t,Germany
2016-04-25,2016-05-01,Germany,Clay,463520.0,€,2016,andrey-golubev,A. Golubev,igor-sijsling,I. Sijsling,munich,1st Round Qualifying,2.0,f,250,1,01:00:00,105.0,0.0,3.0,12.0,0.0,0.0,186.0,0.0,5.0,38.0,68.0,25.0,38.0,8.0,30.0,4.0,8.0,7.0,44.0,1.0,27.0,4.0,10.0,0.0,0.0,8.0,33.0,68.0,5.0,37.0,38.0,f,f,,f,Germany,2.0,12.0,3.0,0.0,335.0,6.0,0.0,27.0,37.0,26.0,27.0,6.0,10.0,0.0,0.0,8.0,214.0,13.0,38.0,22.0,30.0,4.0,8.0,7.0,32.0,37.0,35.0,68.0,67.0,t,f,t,Germany
2016-04-25,2016-05-01,Germany,Clay,463520.0,€,2016,cedrik-marcel-stebe,C. Stebe,nils-langer,N. Langer,munich,2nd Round Qualifying,3.0,f,250,2,02:28:00,204.0,2.0,15.0,16.0,1.0,1.0,237.0,3.0,3.0,59.0,94.0,37.0,59.0,18.0,35.0,2.0,8.0,15.0,160.0,26.0,64.0,23.0,46.0,5.0,14.0,15.0,55.0,94.0,49.0,110.0,104.0,t,f,WC,f,Germany,1.0,16.0,15.0,0.0,233.0,2.0,2.0,64.0,110.0,38.0,64.0,23.0,46.0,9.0,14.0,15.0,201.0,22.0,59.0,17.0,35.0,6.0,8.0,15.0,61.0,110.0,39.0,94.0,100.0,f,f,t,Germany
2016-04-25,2016-05-01,Germany,Clay,463520.0,€,2016,cedrik-marcel-stebe,C. Stebe,peter-gojowczyk,P. Gojowczyk,munich,1st Round Qualifying,2.0,f,250,1,01:21:00,124.0,2.0,13.0,7.0,1.0,1.0,278.0,2.0,0.0,37.0,66.0,25.0,37.0,18.0,29.0,4.0,5.0,10.0,194.0,9.0,29.0,16.0,29.0,3.0,4.0,9.0,43.0,66.0,25.0,58.0,68.0,t,f,WC,t,Germany,0.0,7.0,13.0,0.0,229.0,1.0,2.0,29.0,58.0,20.0,29.0,13.0,29.0,1.0,4.0,9.0,100.0,12.0,37.0,11.0,29.0,1.0,5.0,10.0,33.0,58.0,23.0,66.0,56.0,f,f,f,Germany
