start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2016-02-15,2016-02-21,India,Hard,50000.0,$,2016,adil-kalyanpur,A. Kalyanpur,vishnu-vardhan,V. Vardhan,new-delhi_challenger,Round of 32,2.0,f,100,3,00:52:00,85.0,0.0,2.0,12.0,0.0,0.0,165.0,1.0,0.0,27.0,45.0,13.0,27.0,5.0,18.0,1.0,6.0,7.0,58.0,4.0,26.0,6.0,14.0,0.0,0.0,7.0,18.0,45.0,10.0,40.0,28.0,f,f,WC,f,India,2.0,12.0,2.0,0.0,313.0,7.0,1.0,26.0,40.0,22.0,26.0,8.0,14.0,0.0,0.0,7.0,278.0,14.0,27.0,13.0,18.0,5.0,6.0,7.0,30.0,40.0,27.0,45.0,57.0,t,f,t,India
2016-02-15,2016-02-21,India,Hard,50000.0,$,2016,aditya-deswal,A. Deswal,kunal-anand,K. Anand,new-delhi_challenger,1st Round Qualifying,3.0,f,100,0,01:53:00,169.0,1.0,13.0,14.0,0.0,0.0,212.0,4.0,7.0,47.0,82.0,30.0,47.0,13.0,35.0,5.0,11.0,14.0,169.0,26.0,58.0,12.0,29.0,5.0,11.0,13.0,43.0,82.0,38.0,87.0,81.0,f,f,,f,India,2.0,14.0,13.0,0.0,240.0,6.0,8.0,58.0,87.0,32.0,58.0,17.0,29.0,6.0,11.0,13.0,196.0,17.0,47.0,22.0,35.0,6.0,11.0,14.0,49.0,87.0,39.0,82.0,88.0,t,f,t,India
2016-02-15,2016-02-21,India,Hard,50000.0,$,2016,alessandro-bega,A. Bega,saketh-myneni,S. Myneni,new-delhi_challenger,Round of 32,2.0,f,100,3,01:00:00,105.0,0.0,5.0,12.0,0.0,0.0,233.0,0.0,5.0,37.0,53.0,23.0,37.0,7.0,16.0,5.0,8.0,8.0,55.0,3.0,27.0,11.0,25.0,0.0,1.0,9.0,30.0,53.0,14.0,52.0,44.0,f,f,,f,India,2.0,12.0,5.0,0.0,303.0,9.0,3.0,27.0,52.0,24.0,27.0,14.0,25.0,1.0,1.0,9.0,169.0,14.0,37.0,9.0,16.0,3.0,8.0,8.0,38.0,52.0,23.0,53.0,61.0,t,f,t,India
2016-02-15,2016-02-21,India,Hard,50000.0,$,2016,arpit-sharma,A. Sharma,vinayak-sharma-kaza,V. Kaza,new-delhi_challenger,1st Round Qualifying,2.0,f,100,0,01:33:00,148.0,0.0,6.0,12.0,0.0,0.0,197.0,1.0,11.0,52.0,99.0,37.0,52.0,13.0,47.0,11.0,15.0,9.0,104.0,3.0,26.0,11.0,23.0,1.0,3.0,9.0,50.0,99.0,14.0,49.0,64.0,f,f,,f,India,2.0,12.0,6.0,0.0,279.0,3.0,5.0,26.0,49.0,23.0,26.0,12.0,23.0,2.0,3.0,9.0,172.0,15.0,52.0,34.0,47.0,4.0,15.0,9.0,35.0,49.0,49.0,99.0,84.0,t,f,t,India
2016-02-15,2016-02-21,India,Hard,50000.0,$,2016,benjamin-mitchell,B. Mitchell,kento-takeuchi,K. Takeuchi,new-delhi_challenger,Round of 32,1.0,f,100,3,00:15:00,28.0,1.0,4.0,1.0,0.0,0.0,298.0,1.0,3.0,11.0,16.0,10.0,11.0,2.0,5.0,0.0,0.0,3.0,239.0,5.0,9.0,1.0,3.0,1.0,1.0,2.0,12.0,16.0,6.0,12.0,18.0,t,t,,t,India,0.0,1.0,4.0,0.0,236.0,0.0,0.0,9.0,12.0,4.0,9.0,2.0,3.0,0.0,1.0,2.0,69.0,1.0,11.0,3.0,5.0,0.0,0.0,3.0,6.0,12.0,4.0,16.0,10.0,f,t,f,India
2016-02-15,2016-02-21,India,Hard,50000.0,$,2016,benjamin-mitchell,B. Mitchell,stephane-robert,S. Robert,new-delhi_challenger,Round of 16,2.0,f,100,4,01:56:00,197.0,0.0,11.0,14.0,0.0,1.0,206.0,4.0,9.0,73.0,107.0,40.0,73.0,13.0,34.0,15.0,21.0,12.0,179.0,13.0,47.0,26.0,43.0,5.0,10.0,12.0,53.0,107.0,39.0,90.0,92.0,f,f,,f,India,2.0,14.0,11.0,1.0,220.0,5.0,7.0,47.0,90.0,34.0,47.0,17.0,43.0,5.0,10.0,12.0,186.0,33.0,73.0,21.0,34.0,6.0,21.0,12.0,51.0,90.0,54.0,107.0,105.0,t,f,t,India
2016-02-15,2016-02-21,India,Hard,50000.0,$,2016,chandril-sood,C. Sood,chung-hyo-woo,C. Woo,new-delhi_challenger,1st Round Qualifying,2.0,f,100,0,01:20:00,120.0,2.0,12.0,4.0,0.0,0.0,241.0,6.0,5.0,32.0,59.0,25.0,32.0,9.0,27.0,5.0,7.0,8.0,245.0,15.0,35.0,20.0,26.0,6.0,12.0,8.0,34.0,59.0,35.0,61.0,69.0,t,f,,t,India,0.0,4.0,12.0,0.0,158.0,2.0,6.0,35.0,61.0,20.0,35.0,6.0,26.0,6.0,12.0,8.0,143.0,7.0,32.0,18.0,27.0,2.0,7.0,8.0,26.0,61.0,25.0,59.0,51.0,f,f,f,India
2016-02-15,2016-02-21,India,Hard,50000.0,$,2016,chandril-sood,C. Sood,markos-kalovelonis,M. Kalovelonis,new-delhi_challenger,2nd Round Qualifying,3.0,f,100,1,01:41:00,149.0,1.0,13.0,12.0,0.0,0.0,254.0,4.0,4.0,40.0,74.0,25.0,40.0,21.0,34.0,4.0,7.0,12.0,163.0,16.0,49.0,13.0,26.0,4.0,8.0,13.0,46.0,74.0,29.0,75.0,75.0,f,f,,f,India,2.0,12.0,13.0,0.0,254.0,7.0,4.0,49.0,75.0,33.0,49.0,13.0,26.0,4.0,8.0,13.0,144.0,15.0,40.0,13.0,34.0,3.0,7.0,12.0,46.0,75.0,28.0,74.0,74.0,t,f,t,India
2016-02-15,2016-02-21,India,Hard,50000.0,$,2016,dmitry-popko,D. Popko,roberto-marcora,R. Marcora,new-delhi_challenger,Round of 16,2.0,f,100,4,01:47:00,156.0,2.0,13.0,9.0,1.0,1.0,254.0,1.0,1.0,58.0,82.0,34.0,58.0,13.0,24.0,4.0,7.0,10.0,177.0,9.0,35.0,25.0,39.0,5.0,12.0,11.0,47.0,82.0,34.0,74.0,81.0,t,f,,t,India,0.0,9.0,13.0,0.0,215.0,6.0,2.0,35.0,74.0,26.0,35.0,14.0,39.0,7.0,12.0,11.0,160.0,24.0,58.0,11.0,24.0,3.0,7.0,10.0,40.0,74.0,35.0,82.0,75.0,f,f,f,India
2016-02-15,2016-02-21,India,Hard,50000.0,$,2016,dmitry-popko,D. Popko,stephane-robert,S. Robert,new-delhi_challenger,Quarter-Finals,2.0,f,100,5,00:42:00,73.0,0.0,2.0,12.0,0.0,0.0,135.0,1.0,1.0,22.0,40.0,6.0,22.0,7.0,18.0,1.0,7.0,7.0,166.0,2.0,21.0,5.0,12.0,1.0,1.0,7.0,13.0,40.0,7.0,33.0,20.0,f,f,,f,India,2.0,12.0,2.0,0.0,301.0,4.0,0.0,21.0,33.0,19.0,21.0,7.0,12.0,0.0,1.0,7.0,305.0,16.0,22.0,11.0,18.0,6.0,7.0,7.0,26.0,33.0,27.0,40.0,53.0,t,f,t,India
