,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-08-23,2009-08-30,USA,Hard,663750.0,$,2009,adam-el-mihdawy,A. El Mihdawy,dusan-vemic,D. Vemic,new-haven,1st Round Qualifying,2.0,f,250,-1,01:24:00,126.0,0.0,8.0,13.0,0.0,0.0,235.0,3.0,3.0,34.0,65.0,25.0,34.0,12.0,31.0,3.0,6.0,10.0,169.0,10.0,45.0,6.0,16.0,1.0,1.0,11.0,37.0,65.0,16.0,61.0,53.0,f,f,,f,USA,2.0,13.0,8.0,0.0,311.0,8.0,2.0,45.0,61.0,35.0,45.0,10.0,16.0,0.0,1.0,11.0,167.0,9.0,34.0,19.0,31.0,3.0,6.0,10.0,45.0,61.0,28.0,65.0,73.0,t,f,t,USA
1,2009-08-23,2009-08-30,USA,Hard,663750.0,$,2009,andreas-beck,A. Beck,simone-bolelli,S. Bolelli,new-haven,Round of 32,2.0,f,250,3,01:38:00,142.0,0.0,8.0,12.0,0.0,0.0,223.0,4.0,6.0,41.0,73.0,24.0,41.0,16.0,32.0,8.0,12.0,10.0,133.0,10.0,40.0,16.0,29.0,2.0,6.0,10.0,40.0,73.0,26.0,69.0,66.0,f,f,13,f,USA,2.0,12.0,8.0,0.0,268.0,10.0,0.0,40.0,69.0,30.0,40.0,13.0,29.0,4.0,6.0,10.0,164.0,17.0,41.0,16.0,32.0,4.0,12.0,10.0,43.0,69.0,33.0,73.0,76.0,t,f,t,USA
2,2009-08-23,2009-08-30,USA,Hard,663750.0,$,2009,andreas-seppi,A. Seppi,fernando-verdasco,F. Verdasco,new-haven,Round of 16,2.0,f,250,4,01:26:00,128.0,0.0,8.0,13.0,0.0,1.0,237.0,3.0,2.0,31.0,68.0,23.0,31.0,17.0,37.0,3.0,6.0,10.0,94.0,4.0,32.0,13.0,28.0,1.0,4.0,10.0,40.0,68.0,17.0,60.0,57.0,f,f,16,f,USA,2.0,13.0,8.0,1.0,281.0,3.0,7.0,32.0,60.0,28.0,32.0,15.0,28.0,3.0,4.0,10.0,160.0,8.0,31.0,20.0,37.0,3.0,6.0,10.0,43.0,60.0,28.0,68.0,71.0,t,f,t,USA
3,2009-08-23,2009-08-30,USA,Hard,663750.0,$,2009,andreas-seppi,A. Seppi,yen-hsun-lu,Y. Lu,new-haven,Round of 32,3.0,f,250,3,02:33:00,231.0,2.0,19.0,15.0,0.0,1.0,262.0,13.0,3.0,66.0,122.0,46.0,66.0,29.0,56.0,8.0,12.0,17.0,172.0,24.0,70.0,20.0,39.0,6.0,12.0,16.0,75.0,122.0,44.0,109.0,119.0,t,f,16,f,USA,1.0,15.0,19.0,1.0,239.0,5.0,7.0,70.0,109.0,46.0,70.0,19.0,39.0,6.0,12.0,16.0,134.0,20.0,66.0,27.0,56.0,4.0,12.0,17.0,65.0,109.0,47.0,122.0,112.0,f,f,t,USA
4,2009-08-23,2009-08-30,USA,Hard,663750.0,$,2009,andrey-golubev,A. Golubev,pablo-cuevas,P. Cuevas,new-haven,Round of 64,2.0,f,250,2,01:14:00,114.0,0.0,7.0,12.0,0.0,0.0,264.0,4.0,3.0,27.0,51.0,19.0,27.0,15.0,24.0,3.0,5.0,9.0,59.0,7.0,35.0,11.0,28.0,0.0,2.0,10.0,34.0,51.0,18.0,63.0,52.0,f,f,,f,USA,2.0,12.0,7.0,0.0,296.0,4.0,5.0,35.0,63.0,28.0,35.0,17.0,28.0,2.0,2.0,10.0,130.0,8.0,27.0,9.0,24.0,2.0,5.0,9.0,45.0,63.0,17.0,51.0,62.0,t,f,t,USA
5,2009-08-23,2009-08-30,USA,Hard,663750.0,$,2009,benjamin-becker,B. Becker,bjorn-phau,B. Phau,new-haven,Round of 64,3.0,f,250,2,01:36:00,151.0,1.0,11.0,14.0,0.0,0.0,276.0,8.0,1.0,41.0,62.0,31.0,41.0,11.0,21.0,0.0,3.0,12.0,128.0,16.0,49.0,16.0,40.0,2.0,5.0,13.0,42.0,62.0,32.0,89.0,74.0,f,f,,t,USA,2.0,14.0,11.0,0.0,263.0,4.0,7.0,49.0,89.0,33.0,49.0,24.0,40.0,3.0,5.0,13.0,197.0,10.0,41.0,10.0,21.0,3.0,3.0,12.0,57.0,89.0,20.0,62.0,77.0,t,f,f,USA
6,2009-08-23,2009-08-30,USA,Hard,663750.0,$,2009,bjorn-phau,B. Phau,nicolas-almagro,N. Almagro,new-haven,Round of 32,3.0,f,250,3,02:02:00,189.0,2.0,15.0,14.0,0.0,0.0,247.0,7.0,1.0,46.0,91.0,27.0,46.0,27.0,45.0,8.0,12.0,14.0,157.0,15.0,51.0,25.0,47.0,5.0,12.0,15.0,54.0,91.0,40.0,98.0,94.0,t,f,,f,USA,1.0,14.0,15.0,0.0,241.0,8.0,3.0,51.0,98.0,36.0,51.0,22.0,47.0,7.0,12.0,15.0,142.0,19.0,46.0,18.0,45.0,4.0,12.0,14.0,58.0,98.0,37.0,91.0,95.0,f,f,t,USA
7,2009-08-23,2009-08-30,USA,Hard,663750.0,$,2009,bjorn-phau,B. Phau,sam-querrey,S. Querrey,new-haven,Round of 16,2.0,f,250,4,01:04:00,115.0,0.0,8.0,13.0,0.0,0.0,228.0,2.0,7.0,28.0,55.0,21.0,28.0,10.0,27.0,0.0,3.0,10.0,120.0,6.0,38.0,10.0,22.0,1.0,2.0,11.0,31.0,55.0,16.0,60.0,47.0,f,f,,f,USA,2.0,13.0,8.0,0.0,304.0,14.0,2.0,38.0,60.0,32.0,38.0,12.0,22.0,1.0,2.0,11.0,218.0,7.0,28.0,17.0,27.0,3.0,3.0,10.0,44.0,60.0,24.0,55.0,68.0,t,f,t,USA
8,2009-08-23,2009-08-30,USA,Hard,663750.0,$,2009,brendan-evans,B. Evans,chase-buchanan,C. Buchanan,new-haven,1st Round Qualifying,3.0,f,250,-1,02:35:00,216.0,2.0,16.0,15.0,1.0,1.0,256.0,6.0,1.0,64.0,108.0,41.0,64.0,24.0,44.0,7.0,11.0,15.0,152.0,22.0,68.0,23.0,40.0,4.0,11.0,15.0,65.0,108.0,45.0,108.0,110.0,t,f,,t,USA,1.0,15.0,16.0,0.0,247.0,5.0,5.0,68.0,108.0,46.0,68.0,17.0,40.0,7.0,11.0,15.0,143.0,23.0,64.0,20.0,44.0,4.0,11.0,15.0,63.0,108.0,43.0,108.0,106.0,f,f,f,USA
9,2009-08-23,2009-08-30,USA,Hard,663750.0,$,2009,brendan-evans,B. Evans,fred-gil,F. Gil,new-haven,2nd Round Qualifying,2.0,f,250,0,01:19:00,133.0,0.0,8.0,12.0,0.0,0.0,228.0,1.0,3.0,38.0,73.0,26.0,38.0,14.0,35.0,6.0,9.0,10.0,97.0,6.0,33.0,12.0,27.0,1.0,4.0,10.0,40.0,73.0,18.0,60.0,58.0,f,f,,f,USA,2.0,12.0,8.0,0.0,284.0,5.0,4.0,33.0,60.0,27.0,33.0,15.0,27.0,3.0,4.0,10.0,155.0,12.0,38.0,21.0,35.0,3.0,9.0,10.0,42.0,60.0,33.0,73.0,75.0,t,f,t,USA
