,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2011-07-04,2011-07-10,USA,Grass,442500.0,$,2011,alex-bogdanovic,A. Bogdanovic,devin-britton,D. Britton,newport,2nd Round Qualifying,3.0,f,250,1,01:47:00,198.0,2.0,16.0,14.0,0.0,0.0,258.0,3.0,9.0,49.0,86.0,36.0,49.0,20.0,37.0,4.0,7.0,15.0,139.0,19.0,57.0,28.0,55.0,4.0,14.0,15.0,56.0,86.0,47.0,112.0,103.0,t,f,8,f,USA,1.0,14.0,16.0,0.0,243.0,11.0,8.0,57.0,112.0,38.0,57.0,27.0,55.0,10.0,14.0,15.0,136.0,13.0,49.0,17.0,37.0,3.0,7.0,15.0,65.0,112.0,30.0,86.0,95.0,f,f,t,USA
1,2011-07-04,2011-07-10,USA,Grass,442500.0,$,2011,alex-bogdanovic,A. Bogdanovic,mark-verryth,M. Verryth,newport,3rd Round Qualifying,2.0,f,250,2,01:26:00,139.0,2.0,13.0,9.0,0.0,0.0,297.0,3.0,6.0,47.0,72.0,39.0,47.0,13.0,25.0,7.0,7.0,11.0,122.0,7.0,36.0,16.0,31.0,2.0,6.0,11.0,52.0,72.0,23.0,67.0,75.0,t,f,8,t,USA,0.0,9.0,13.0,0.0,272.0,11.0,3.0,36.0,67.0,29.0,36.0,15.0,31.0,4.0,6.0,11.0,65.0,8.0,47.0,12.0,25.0,0.0,7.0,11.0,44.0,67.0,20.0,72.0,64.0,f,f,f,USA
2,2011-07-04,2011-07-10,USA,Grass,442500.0,$,2011,alex-bogdanovic,A. Bogdanovic,sekou-bangoura,S. Bangoura,newport,1st Round Qualifying,2.0,f,250,0,01:03:00,101.0,2.0,12.0,7.0,0.0,0.0,277.0,2.0,5.0,30.0,47.0,25.0,30.0,9.0,17.0,1.0,3.0,10.0,204.0,10.0,31.0,14.0,23.0,4.0,6.0,9.0,34.0,47.0,24.0,54.0,58.0,t,f,8,t,USA,0.0,7.0,12.0,0.0,214.0,0.0,5.0,31.0,54.0,21.0,31.0,9.0,23.0,2.0,6.0,9.0,151.0,5.0,30.0,8.0,17.0,2.0,3.0,10.0,30.0,54.0,13.0,47.0,43.0,f,f,f,USA
3,2011-07-04,2011-07-10,USA,Grass,442500.0,$,2011,alex-bogdanovic,A. Bogdanovic,tobias-kamke,T. Kamke,newport,Round of 32,2.0,f,250,3,01:37:00,151.0,0.0,9.0,13.0,0.0,1.0,215.0,2.0,4.0,35.0,65.0,22.0,35.0,12.0,30.0,0.0,4.0,10.0,130.0,15.0,44.0,20.0,42.0,3.0,14.0,11.0,34.0,65.0,35.0,86.0,69.0,f,f,Q,f,USA,2.0,13.0,9.0,1.0,240.0,5.0,6.0,44.0,86.0,29.0,44.0,22.0,42.0,11.0,14.0,11.0,237.0,13.0,35.0,18.0,30.0,4.0,4.0,10.0,51.0,86.0,31.0,65.0,82.0,t,f,t,USA
4,2011-07-04,2011-07-10,USA,Grass,442500.0,$,2011,alex-bogomolov-jr.,A. Bogomolov Jr.,john-isner,J. Isner,newport,Quarter-Finals,2.0,f,250,5,01:34:00,149.0,0.0,10.0,13.0,0.0,1.0,274.0,0.0,5.0,54.0,82.0,37.0,54.0,15.0,28.0,2.0,3.0,11.0,66.0,11.0,51.0,7.0,16.0,0.0,0.0,11.0,52.0,82.0,18.0,67.0,70.0,f,f,5,f,USA,2.0,13.0,10.0,1.0,330.0,21.0,1.0,51.0,67.0,40.0,51.0,9.0,16.0,0.0,0.0,11.0,119.0,17.0,54.0,13.0,28.0,1.0,3.0,11.0,49.0,67.0,30.0,82.0,79.0,t,f,t,USA
5,2011-07-04,2011-07-10,USA,Grass,442500.0,$,2011,alex-bogomolov-jr.,A. Bogomolov Jr.,mischa-zverev,M. Zverev,newport,Round of 32,3.0,f,250,3,01:34:00,155.0,2.0,16.0,10.0,0.0,0.0,267.0,1.0,3.0,51.0,81.0,35.0,51.0,16.0,30.0,5.0,7.0,13.0,199.0,13.0,40.0,22.0,34.0,5.0,8.0,13.0,51.0,81.0,35.0,74.0,86.0,t,f,5,f,USA,1.0,10.0,16.0,0.0,219.0,2.0,1.0,40.0,74.0,27.0,40.0,12.0,34.0,3.0,8.0,13.0,122.0,16.0,51.0,14.0,30.0,2.0,7.0,13.0,39.0,74.0,30.0,81.0,69.0,f,f,t,USA
6,2011-07-04,2011-07-10,USA,Grass,442500.0,$,2011,alex-bogomolov-jr.,A. Bogomolov Jr.,ruben-bemelmans,R. Bemelmans,newport,Round of 16,3.0,f,250,4,01:13:00,132.0,2.0,14.0,7.0,0.0,0.0,282.0,0.0,1.0,54.0,71.0,33.0,54.0,11.0,17.0,5.0,7.0,11.0,208.0,12.0,37.0,15.0,24.0,5.0,8.0,10.0,44.0,71.0,27.0,61.0,71.0,t,f,5,f,USA,1.0,7.0,14.0,0.0,216.0,4.0,5.0,37.0,61.0,25.0,37.0,9.0,24.0,3.0,8.0,10.0,121.0,21.0,54.0,6.0,17.0,2.0,7.0,11.0,34.0,61.0,27.0,71.0,61.0,f,f,t,USA
7,2011-07-04,2011-07-10,USA,Grass,442500.0,$,2011,andrea-agazzi,A. Agazzi,devin-britton,D. Britton,newport,1st Round Qualifying,3.0,f,250,0,02:17:00,247.0,1.0,18.0,20.0,1.0,2.0,203.0,1.0,13.0,72.0,119.0,48.0,72.0,15.0,47.0,10.0,18.0,18.0,171.0,24.0,69.0,32.0,59.0,7.0,16.0,18.0,63.0,119.0,56.0,128.0,119.0,f,f,,f,USA,2.0,20.0,18.0,1.0,226.0,8.0,8.0,69.0,128.0,45.0,69.0,27.0,59.0,9.0,16.0,18.0,189.0,24.0,72.0,32.0,47.0,8.0,18.0,18.0,72.0,128.0,56.0,119.0,128.0,t,f,t,USA
8,2011-07-04,2011-07-10,USA,Grass,442500.0,$,2011,andre-begemann,A. Begemann,michael-shabaz,M. Shabaz,newport,2nd Round Qualifying,2.0,f,250,1,02:06:00,87.0,2.0,12.0,5.0,0.0,0.0,299.0,7.0,2.0,34.0,45.0,29.0,34.0,5.0,11.0,0.0,1.0,9.0,218.0,9.0,25.0,11.0,17.0,4.0,6.0,8.0,34.0,45.0,20.0,42.0,54.0,t,f,3,t,USA,0.0,5.0,12.0,0.0,206.0,3.0,6.0,25.0,42.0,16.0,25.0,6.0,17.0,2.0,6.0,8.0,181.0,5.0,34.0,6.0,11.0,1.0,1.0,9.0,22.0,42.0,11.0,45.0,33.0,f,f,f,USA
9,2011-07-04,2011-07-10,USA,Grass,442500.0,$,2011,andre-begemann,A. Begemann,michael-yani,M. Yani,newport,3rd Round Qualifying,2.0,f,250,2,01:27:00,134.0,0.0,10.0,13.0,0.0,1.0,259.0,7.0,4.0,46.0,67.0,33.0,46.0,9.0,21.0,0.0,3.0,11.0,109.0,10.0,41.0,10.0,26.0,2.0,7.0,11.0,42.0,67.0,20.0,67.0,62.0,f,f,3,f,USA,2.0,13.0,10.0,1.0,280.0,3.0,3.0,41.0,67.0,31.0,41.0,16.0,26.0,5.0,7.0,11.0,212.0,13.0,46.0,12.0,21.0,3.0,3.0,11.0,47.0,67.0,25.0,67.0,72.0,t,f,t,USA
