start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,64000.0,€,2012,adrian-mannarino,A. Mannarino,yuichi-sugita,Y. Sugita,nottingham_challenger,Round of 32,3.0,f,100,3,02:40:00,218.0,1.0,16.0,16.0,0.0,1.0,242.0,6.0,1.0,69.0,112.0,45.0,69.0,18.0,43.0,7.0,12.0,16.0,157.0,27.0,73.0,15.0,33.0,5.0,12.0,15.0,63.0,112.0,42.0,106.0,105.0,f,f,,f,United Kingdom of Great Britain and Northern Ireland,2.0,16.0,16.0,1.0,252.0,0.0,1.0,73.0,106.0,46.0,73.0,18.0,33.0,7.0,12.0,15.0,166.0,24.0,69.0,25.0,43.0,5.0,12.0,16.0,64.0,106.0,49.0,112.0,113.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,64000.0,€,2012,adrian-menendez-maceiras,A. Menendez-Maceiras,jesse-levine,J. Levine,nottingham_challenger,Round of 32,2.0,f,100,3,01:32:00,140.0,0.0,10.0,13.0,0.0,1.0,269.0,6.0,2.0,52.0,79.0,40.0,52.0,11.0,27.0,4.0,6.0,11.0,171.0,4.0,40.0,11.0,21.0,1.0,1.0,11.0,51.0,79.0,15.0,61.0,66.0,f,f,,f,United Kingdom of Great Britain and Northern Ireland,2.0,13.0,10.0,1.0,297.0,6.0,3.0,40.0,61.0,36.0,40.0,10.0,21.0,0.0,1.0,11.0,133.0,12.0,52.0,16.0,27.0,2.0,6.0,11.0,46.0,61.0,28.0,79.0,74.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,64000.0,€,2012,adrien-bossel,A. Bossel,alexander-sadecky,A. Sadecky,nottingham_challenger,2nd Round Qualifying,3.0,f,100,1,01:48:00,187.0,2.0,17.0,15.0,1.0,1.0,290.0,9.0,4.0,71.0,106.0,60.0,71.0,14.0,35.0,2.0,3.0,16.0,154.0,11.0,57.0,7.0,24.0,1.0,1.0,15.0,74.0,106.0,18.0,81.0,92.0,t,f,,f,United Kingdom of Great Britain and Northern Ireland,1.0,15.0,17.0,0.0,328.0,14.0,1.0,57.0,81.0,46.0,57.0,17.0,24.0,0.0,1.0,15.0,114.0,11.0,71.0,21.0,35.0,1.0,3.0,16.0,63.0,81.0,32.0,106.0,95.0,f,f,t,United Kingdom of Great Britain and Northern Ireland
2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,64000.0,€,2012,adrien-bossel,A. Bossel,benjamin-mitchell,B. Mitchell,nottingham_challenger,1st Round Qualifying,2.0,f,100,0,00:51:00,59.0,2.0,13.0,9.0,1.0,1.0,293.0,3.0,1.0,16.0,24.0,13.0,16.0,5.0,8.0,1.0,2.0,5.0,218.0,9.0,21.0,7.0,14.0,3.0,4.0,6.0,18.0,24.0,16.0,35.0,34.0,t,f,,t,United Kingdom of Great Britain and Northern Ireland,0.0,9.0,13.0,0.0,218.0,3.0,2.0,21.0,35.0,12.0,21.0,7.0,14.0,1.0,4.0,6.0,127.0,3.0,16.0,3.0,8.0,1.0,2.0,5.0,19.0,35.0,6.0,24.0,25.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,64000.0,€,2012,adrien-bossel,A. Bossel,greg-jones,G. Jones,nottingham_challenger,3rd Round Qualifying,3.0,f,100,2,01:59:00,183.0,2.0,17.0,15.0,0.0,0.0,278.0,7.0,0.0,53.0,91.0,41.0,53.0,21.0,38.0,6.0,9.0,16.0,169.0,13.0,58.0,22.0,34.0,4.0,7.0,16.0,62.0,91.0,35.0,92.0,97.0,t,f,,t,United Kingdom of Great Britain and Northern Ireland,1.0,15.0,17.0,0.0,266.0,18.0,3.0,58.0,92.0,45.0,58.0,12.0,34.0,3.0,7.0,16.0,119.0,12.0,53.0,17.0,38.0,3.0,9.0,16.0,57.0,92.0,29.0,91.0,86.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,64000.0,€,2012,adrien-bossel,A. Bossel,james-duckworth,J. Duckworth,nottingham_challenger,Round of 16,3.0,f,100,4,01:32:00,154.0,1.0,14.0,14.0,0.0,1.0,258.0,6.0,3.0,46.0,81.0,34.0,46.0,16.0,35.0,2.0,5.0,14.0,143.0,11.0,45.0,13.0,28.0,3.0,6.0,13.0,50.0,81.0,24.0,73.0,74.0,f,f,Q,f,United Kingdom of Great Britain and Northern Ireland,2.0,14.0,14.0,1.0,278.0,11.0,1.0,45.0,73.0,34.0,45.0,15.0,28.0,3.0,6.0,13.0,161.0,12.0,46.0,19.0,35.0,3.0,5.0,14.0,49.0,73.0,31.0,81.0,80.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,64000.0,€,2012,adrien-bossel,A. Bossel,luke-bambridge,L. Bambridge,nottingham_challenger,Round of 32,2.0,f,100,3,00:52:00,97.0,2.0,12.0,6.0,0.0,0.0,291.0,8.0,3.0,30.0,50.0,25.0,30.0,11.0,20.0,2.0,3.0,9.0,192.0,7.0,20.0,15.0,27.0,4.0,7.0,9.0,36.0,50.0,22.0,47.0,58.0,t,f,Q,t,United Kingdom of Great Britain and Northern Ireland,0.0,6.0,12.0,0.0,208.0,7.0,6.0,20.0,47.0,13.0,20.0,12.0,27.0,3.0,7.0,9.0,106.0,5.0,30.0,9.0,20.0,1.0,3.0,9.0,25.0,47.0,14.0,50.0,39.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,64000.0,€,2012,alexander-sadecky,A. Sadecky,christopher-simpson,C. Simpson,nottingham_challenger,1st Round Qualifying,2.0,f,100,0,01:04:00,110.0,2.0,13.0,7.0,0.0,0.0,333.0,10.0,1.0,46.0,56.0,33.0,46.0,8.0,10.0,1.0,2.0,10.0,194.0,14.0,37.0,10.0,17.0,4.0,7.0,10.0,41.0,56.0,24.0,54.0,65.0,t,f,,t,United Kingdom of Great Britain and Northern Ireland,0.0,7.0,13.0,0.0,231.0,0.0,1.0,37.0,54.0,23.0,37.0,7.0,17.0,3.0,7.0,10.0,108.0,13.0,46.0,2.0,10.0,1.0,2.0,10.0,30.0,54.0,15.0,56.0,45.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,64000.0,€,2012,aliaksandr-bury,A. Bury,colin-ebelthite,C. Ebelthite,nottingham_challenger,2nd Round Qualifying,3.0,f,100,1,02:00:00,193.0,2.0,19.0,15.0,0.0,1.0,331.0,28.0,5.0,67.0,99.0,58.0,67.0,17.0,32.0,1.0,1.0,17.0,126.0,15.0,61.0,13.0,33.0,2.0,4.0,16.0,75.0,99.0,28.0,94.0,103.0,t,f,,f,United Kingdom of Great Britain and Northern Ireland,1.0,15.0,19.0,1.0,292.0,7.0,3.0,61.0,94.0,46.0,61.0,20.0,33.0,2.0,4.0,16.0,60.0,9.0,67.0,15.0,32.0,0.0,1.0,17.0,66.0,94.0,24.0,99.0,90.0,f,f,t,United Kingdom of Great Britain and Northern Ireland
2012-06-11,2012-06-17,United Kingdom of Great Britain and Northern Ireland,Grass,64000.0,€,2012,aliaksandr-bury,A. Bury,harry-david-meehan,H. Meehan,nottingham_challenger,1st Round Qualifying,2.0,f,100,0,01:09:00,117.0,2.0,13.0,9.0,1.0,1.0,338.0,11.0,4.0,36.0,57.0,33.0,36.0,16.0,21.0,0.0,0.0,11.0,131.0,8.0,35.0,12.0,25.0,1.0,2.0,10.0,49.0,57.0,20.0,60.0,69.0,t,f,,t,United Kingdom of Great Britain and Northern Ireland,0.0,9.0,13.0,0.0,276.0,5.0,6.0,35.0,60.0,27.0,35.0,13.0,25.0,1.0,2.0,10.0,32.0,3.0,36.0,5.0,21.0,0.0,0.0,11.0,40.0,60.0,8.0,57.0,48.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
