,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2011-10-17,2011-10-23,France,Hard,106500.0,€,2011,adam-feeney,A. Feeney,andis-juska,A. Juska,orleans_challenger,3rd Round Qualifying,2.0,f,100,2,00:44:00,92.0,0.0,3.0,12.0,0.0,0.0,147.0,1.0,6.0,29.0,47.0,14.0,29.0,3.0,18.0,2.0,8.0,8.0,120.0,5.0,29.0,9.0,16.0,1.0,3.0,7.0,17.0,47.0,14.0,45.0,31.0,f,f,,f,France,2.0,12.0,3.0,0.0,285.0,10.0,1.0,29.0,45.0,24.0,29.0,7.0,16.0,2.0,3.0,7.0,285.0,15.0,29.0,15.0,18.0,6.0,8.0,8.0,31.0,45.0,30.0,47.0,61.0,t,f,t,France
1,2011-10-17,2011-10-23,France,Hard,106500.0,€,2011,adam-feeney,A. Feeney,antso-rakotondramanga,A. Rakotondramanga,orleans_challenger,2nd Round Qualifying,3.0,f,100,1,01:46:00,202.0,2.0,17.0,14.0,1.0,1.0,269.0,5.0,7.0,59.0,91.0,45.0,59.0,16.0,32.0,4.0,7.0,15.0,136.0,22.0,54.0,27.0,57.0,4.0,18.0,15.0,61.0,91.0,49.0,111.0,110.0,t,f,,f,France,1.0,14.0,17.0,0.0,239.0,6.0,1.0,54.0,111.0,32.0,54.0,30.0,57.0,14.0,18.0,15.0,137.0,14.0,59.0,16.0,32.0,3.0,7.0,15.0,62.0,111.0,30.0,91.0,92.0,f,f,t,France
2,2011-10-17,2011-10-23,France,Hard,106500.0,€,2011,adam-feeney,A. Feeney,ilija-bozoljac,I. Bozoljac,orleans_challenger,1st Round Qualifying,1.0,f,100,0,00:40:00,77.0,1.0,7.0,6.0,1.0,1.0,282.0,1.0,2.0,25.0,41.0,19.0,25.0,10.0,16.0,2.0,3.0,6.0,177.0,5.0,16.0,6.0,20.0,1.0,1.0,6.0,29.0,41.0,11.0,36.0,40.0,t,t,,t,France,0.0,6.0,7.0,0.0,266.0,3.0,3.0,16.0,36.0,11.0,16.0,14.0,20.0,0.0,1.0,6.0,111.0,6.0,25.0,6.0,16.0,1.0,3.0,6.0,25.0,36.0,12.0,41.0,37.0,f,t,f,France
3,2011-10-17,2011-10-23,France,Hard,106500.0,€,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,arnaud-clement,A. Clement,orleans_challenger,Quarter-Finals,2.0,f,100,5,01:13:00,105.0,0.0,5.0,12.0,0.0,0.0,230.0,4.0,3.0,26.0,50.0,19.0,26.0,10.0,24.0,1.0,4.0,8.0,63.0,1.0,30.0,15.0,25.0,0.0,3.0,9.0,29.0,50.0,16.0,55.0,45.0,f,f,LL,f,France,2.0,12.0,5.0,0.0,302.0,11.0,1.0,30.0,55.0,29.0,30.0,10.0,25.0,3.0,3.0,9.0,197.0,7.0,26.0,14.0,24.0,3.0,4.0,8.0,39.0,55.0,21.0,50.0,60.0,t,f,t,France
4,2011-10-17,2011-10-23,France,Hard,106500.0,€,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,lukas-lacko,L. Lacko,orleans_challenger,Round of 32,3.0,f,100,3,02:17:00,190.0,2.0,17.0,14.0,0.0,0.0,247.0,1.0,3.0,58.0,104.0,42.0,58.0,21.0,46.0,4.0,8.0,16.0,159.0,11.0,41.0,22.0,45.0,5.0,10.0,15.0,63.0,104.0,33.0,86.0,96.0,t,f,LL,t,France,1.0,14.0,17.0,0.0,239.0,3.0,2.0,41.0,86.0,30.0,41.0,23.0,45.0,5.0,10.0,15.0,157.0,16.0,58.0,25.0,46.0,4.0,8.0,16.0,53.0,86.0,41.0,104.0,94.0,f,f,f,France
5,2011-10-17,2011-10-23,France,Hard,106500.0,€,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,simon-cauvard,S. Cauvard,orleans_challenger,2nd Round Qualifying,3.0,f,100,1,01:48:00,160.0,1.0,12.0,15.0,0.0,0.0,293.0,7.0,4.0,51.0,69.0,39.0,51.0,10.0,18.0,1.0,3.0,13.0,84.0,8.0,45.0,21.0,46.0,1.0,8.0,14.0,49.0,69.0,29.0,91.0,78.0,f,f,6,f,France,2.0,15.0,12.0,0.0,285.0,14.0,6.0,45.0,91.0,37.0,45.0,25.0,46.0,7.0,8.0,14.0,150.0,12.0,51.0,8.0,18.0,2.0,3.0,13.0,62.0,91.0,20.0,69.0,82.0,t,f,t,France
6,2011-10-17,2011-10-23,France,Hard,106500.0,€,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,stephane-robert,S. Robert,orleans_challenger,Round of 16,2.0,f,100,4,01:31:00,153.0,2.0,13.0,9.0,0.0,0.0,289.0,8.0,2.0,58.0,78.0,43.0,58.0,9.0,20.0,5.0,6.0,11.0,154.0,18.0,53.0,12.0,22.0,3.0,8.0,11.0,52.0,78.0,30.0,75.0,82.0,t,f,LL,t,France,0.0,9.0,13.0,0.0,260.0,11.0,5.0,53.0,75.0,35.0,53.0,10.0,22.0,5.0,8.0,11.0,107.0,15.0,58.0,11.0,20.0,1.0,6.0,11.0,45.0,75.0,26.0,78.0,71.0,f,f,f,France
7,2011-10-17,2011-10-23,France,Hard,106500.0,€,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,yann-grancoin,Y. Grancoin,orleans_challenger,1st Round Qualifying,2.0,f,100,0,00:48:00,93.0,2.0,12.0,2.0,0.0,0.0,308.0,3.0,2.0,19.0,37.0,18.0,19.0,11.0,18.0,1.0,1.0,7.0,251.0,17.0,33.0,15.0,23.0,5.0,8.0,7.0,29.0,37.0,32.0,56.0,61.0,t,f,6,t,France,0.0,2.0,12.0,0.0,171.0,1.0,0.0,33.0,56.0,16.0,33.0,8.0,23.0,3.0,8.0,7.0,44.0,1.0,19.0,7.0,18.0,0.0,1.0,7.0,24.0,56.0,8.0,37.0,32.0,f,f,f,France
8,2011-10-17,2011-10-23,France,Hard,106500.0,€,2011,adrian-ungur,A. Ungur,michael-llodra,M. Llodra,orleans_challenger,Round of 32,2.0,f,100,3,01:10:00,112.0,0.0,5.0,12.0,0.0,0.0,218.0,1.0,4.0,32.0,59.0,17.0,32.0,14.0,27.0,4.0,7.0,8.0,66.0,3.0,32.0,12.0,21.0,0.0,0.0,9.0,31.0,59.0,15.0,53.0,46.0,f,f,,f,France,2.0,12.0,5.0,0.0,298.0,10.0,6.0,32.0,53.0,29.0,32.0,9.0,21.0,0.0,0.0,9.0,175.0,15.0,32.0,13.0,27.0,3.0,7.0,8.0,38.0,53.0,28.0,59.0,66.0,t,f,t,France
9,2011-10-17,2011-10-23,France,Hard,106500.0,€,2011,albano-olivetti,A. Olivetti,marton-fucsovics,M. Fucsovics,orleans_challenger,1st Round Qualifying,2.0,f,100,0,01:12:00,115.0,0.0,7.0,12.0,0.0,0.0,256.0,14.0,6.0,32.0,63.0,25.0,32.0,13.0,31.0,6.0,8.0,9.0,40.0,3.0,29.0,7.0,23.0,0.0,1.0,10.0,38.0,63.0,10.0,52.0,48.0,f,f,,f,France,2.0,12.0,7.0,0.0,319.0,6.0,3.0,29.0,52.0,26.0,29.0,16.0,23.0,1.0,1.0,10.0,127.0,7.0,32.0,18.0,31.0,2.0,8.0,9.0,42.0,52.0,25.0,63.0,67.0,t,f,t,France
