start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,adelchi-virgili,A. Virgili,marco-bortolotti,M. Bortolotti,ortisei_challenger,2nd Round Qualifying,2.0,f,100,1,00:50:00,92.0,2.0,12.0,3.0,0.0,0.0,271.0,9.0,5.0,27.0,51.0,22.0,27.0,11.0,24.0,2.0,3.0,8.0,262.0,11.0,23.0,13.0,18.0,5.0,7.0,7.0,33.0,51.0,24.0,41.0,57.0,t,f,,t,Italy,0.0,3.0,12.0,0.0,163.0,2.0,3.0,23.0,41.0,12.0,23.0,5.0,18.0,2.0,7.0,7.0,118.0,5.0,27.0,13.0,24.0,1.0,3.0,8.0,17.0,41.0,18.0,51.0,35.0,f,f,f,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,adelchi-virgili,A. Virgili,matteo-marfia,M. Marfia,ortisei_challenger,1st Round Qualifying,2.0,f,100,0,01:13:00,129.0,2.0,12.0,6.0,0.0,0.0,270.0,6.0,8.0,27.0,58.0,23.0,27.0,16.0,31.0,3.0,4.0,9.0,193.0,12.0,35.0,21.0,36.0,4.0,7.0,9.0,39.0,58.0,33.0,71.0,72.0,t,f,,t,Italy,0.0,6.0,12.0,0.0,211.0,4.0,5.0,35.0,71.0,23.0,35.0,15.0,36.0,3.0,7.0,9.0,99.0,4.0,27.0,15.0,31.0,1.0,4.0,9.0,38.0,71.0,19.0,58.0,57.0,f,f,f,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,adelchi-virgili,A. Virgili,viktor-galovic,V. Galovic,ortisei_challenger,3rd Round Qualifying,2.0,f,100,2,01:20:00,137.0,0.0,10.0,13.0,0.0,1.0,239.0,1.0,5.0,34.0,71.0,25.0,34.0,18.0,37.0,4.0,7.0,11.0,132.0,7.0,37.0,13.0,29.0,2.0,4.0,11.0,43.0,71.0,20.0,66.0,63.0,f,f,,f,Italy,2.0,13.0,10.0,1.0,281.0,11.0,3.0,37.0,66.0,30.0,37.0,16.0,29.0,2.0,4.0,11.0,147.0,9.0,34.0,19.0,37.0,3.0,7.0,11.0,46.0,66.0,28.0,71.0,74.0,t,f,t,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,aldin-setkic,A. Setkic,alessandro-giannessi,A. Giannessi,ortisei_challenger,Round of 16,2.0,f,100,4,00:57:00,94.0,2.0,12.0,4.0,0.0,0.0,317.0,3.0,1.0,33.0,44.0,28.0,33.0,6.0,11.0,3.0,3.0,8.0,217.0,10.0,21.0,15.0,29.0,4.0,6.0,8.0,34.0,44.0,25.0,50.0,59.0,t,f,,t,Italy,0.0,4.0,12.0,0.0,189.0,3.0,6.0,21.0,50.0,11.0,21.0,14.0,29.0,2.0,6.0,8.0,60.0,5.0,33.0,5.0,11.0,0.0,3.0,8.0,25.0,50.0,10.0,44.0,35.0,f,f,f,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,aldin-setkic,A. Setkic,dustin-brown,D. Brown,ortisei_challenger,Round of 32,3.0,f,100,3,01:52:00,200.0,2.0,18.0,13.0,0.0,1.0,283.0,6.0,7.0,56.0,102.0,42.0,56.0,28.0,46.0,3.0,4.0,16.0,144.0,10.0,56.0,26.0,42.0,3.0,7.0,14.0,70.0,102.0,36.0,98.0,106.0,t,f,,t,Italy,1.0,13.0,18.0,1.0,265.0,17.0,7.0,56.0,98.0,46.0,56.0,16.0,42.0,4.0,7.0,14.0,95.0,14.0,56.0,18.0,46.0,1.0,4.0,16.0,62.0,98.0,32.0,102.0,94.0,f,f,f,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,aldin-setkic,A. Setkic,laslo-djere,L. Djere,ortisei_challenger,Quarter-Finals,3.0,f,100,5,03:02:00,246.0,1.0,19.0,20.0,1.0,3.0,262.0,3.0,4.0,75.0,119.0,48.0,75.0,26.0,44.0,3.0,7.0,18.0,160.0,19.0,74.0,29.0,53.0,4.0,7.0,18.0,74.0,119.0,48.0,127.0,122.0,f,f,,f,Italy,2.0,20.0,19.0,2.0,264.0,18.0,8.0,74.0,127.0,55.0,74.0,24.0,53.0,3.0,7.0,18.0,156.0,27.0,75.0,18.0,44.0,4.0,7.0,18.0,79.0,127.0,45.0,119.0,124.0,t,f,t,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,alessandro-giannessi,A. Giannessi,laurynas-grigelis,L. Grigelis,ortisei_challenger,Round of 32,3.0,f,100,3,02:15:00,210.0,2.0,19.0,17.0,1.0,2.0,257.0,7.0,6.0,72.0,103.0,51.0,72.0,14.0,31.0,6.0,11.0,17.0,177.0,18.0,60.0,29.0,47.0,6.0,12.0,17.0,65.0,103.0,47.0,107.0,112.0,t,f,,t,Italy,1.0,17.0,19.0,1.0,222.0,7.0,13.0,60.0,107.0,42.0,60.0,18.0,47.0,6.0,12.0,17.0,158.0,21.0,72.0,17.0,31.0,5.0,11.0,17.0,60.0,107.0,38.0,103.0,98.0,f,f,f,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,andrea-arnaboldi,A. Arnaboldi,lorenzo-giustino,L. Giustino,ortisei_challenger,Round of 32,2.0,f,100,3,01:03:00,103.0,2.0,12.0,3.0,0.0,0.0,286.0,4.0,4.0,12.0,45.0,10.0,12.0,25.0,33.0,2.0,2.0,8.0,236.0,9.0,28.0,20.0,30.0,4.0,5.0,7.0,35.0,45.0,29.0,58.0,64.0,t,f,8,t,Italy,0.0,3.0,12.0,0.0,182.0,1.0,10.0,28.0,58.0,19.0,28.0,10.0,30.0,1.0,5.0,7.0,41.0,2.0,12.0,8.0,33.0,0.0,2.0,8.0,29.0,58.0,10.0,45.0,39.0,f,f,f,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,andrea-arnaboldi,A. Arnaboldi,marton-fucsovics,M. Fucsovics,ortisei_challenger,Round of 16,2.0,f,100,4,01:21:00,143.0,0.0,8.0,12.0,0.0,0.0,244.0,1.0,5.0,42.0,87.0,32.0,42.0,20.0,45.0,12.0,14.0,10.0,50.0,5.0,29.0,9.0,27.0,0.0,2.0,10.0,52.0,87.0,14.0,56.0,66.0,f,f,8,f,Italy,2.0,12.0,8.0,0.0,306.0,8.0,4.0,29.0,56.0,24.0,29.0,18.0,27.0,2.0,2.0,10.0,114.0,10.0,42.0,25.0,45.0,2.0,14.0,10.0,42.0,56.0,35.0,87.0,77.0,t,f,t,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,andrew-ruppli,A. Ruppli,tomasz-bednarek,T. Bednarek,ortisei_challenger,1st Round Qualifying,2.0,f,100,0,01:03:00,115.0,2.0,12.0,5.0,0.0,0.0,263.0,4.0,4.0,26.0,55.0,20.0,26.0,15.0,29.0,2.0,3.0,8.0,215.0,10.0,25.0,20.0,35.0,5.0,8.0,9.0,35.0,55.0,30.0,60.0,65.0,t,f,,t,Italy,0.0,5.0,12.0,0.0,183.0,3.0,9.0,25.0,60.0,15.0,25.0,15.0,35.0,3.0,8.0,9.0,116.0,6.0,26.0,14.0,29.0,1.0,3.0,8.0,30.0,60.0,20.0,55.0,50.0,f,f,f,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,andrew-ruppli,A. Ruppli,viktor-galovic,V. Galovic,ortisei_challenger,2nd Round Qualifying,2.0,f,100,1,00:51:00,102.0,0.0,4.0,12.0,0.0,0.0,193.0,1.0,9.0,29.0,56.0,19.0,29.0,9.0,27.0,2.0,6.0,8.0,47.0,4.0,28.0,6.0,18.0,0.0,4.0,8.0,28.0,56.0,10.0,46.0,38.0,f,f,,f,Italy,2.0,12.0,4.0,0.0,317.0,3.0,0.0,28.0,46.0,24.0,28.0,12.0,18.0,4.0,4.0,8.0,218.0,10.0,29.0,18.0,27.0,4.0,6.0,8.0,36.0,46.0,28.0,56.0,64.0,t,f,t,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,antonio-sancic,A. Sancic,maximilian-neuchrist,M. Neuchrist,ortisei_challenger,2nd Round Qualifying,2.0,f,100,1,01:19:00,151.0,0.0,12.0,14.0,0.0,2.0,303.0,15.0,6.0,48.0,79.0,41.0,48.0,15.0,31.0,4.0,4.0,12.0,37.0,8.0,47.0,5.0,25.0,0.0,0.0,12.0,56.0,79.0,13.0,72.0,69.0,f,f,,f,Italy,2.0,14.0,12.0,2.0,342.0,15.0,1.0,47.0,72.0,39.0,47.0,20.0,25.0,0.0,0.0,12.0,67.0,7.0,48.0,16.0,31.0,0.0,4.0,12.0,59.0,72.0,23.0,79.0,82.0,t,f,t,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,antonio-sancic,A. Sancic,stefan-merunka,S. Merunka,ortisei_challenger,1st Round Qualifying,2.0,f,100,0,00:35:00,86.0,2.0,12.0,4.0,0.0,0.0,321.0,13.0,2.0,24.0,41.0,22.0,24.0,10.0,17.0,0.0,0.0,8.0,221.0,5.0,18.0,17.0,27.0,4.0,5.0,8.0,32.0,41.0,22.0,45.0,54.0,t,f,,t,Italy,0.0,4.0,12.0,0.0,196.0,3.0,6.0,18.0,45.0,13.0,18.0,10.0,27.0,1.0,5.0,8.0,49.0,2.0,24.0,7.0,17.0,0.0,0.0,8.0,23.0,45.0,9.0,41.0,32.0,f,f,f,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,carsten-ball,C. Ball,pascal-meis,P. Meis,ortisei_challenger,1st Round Qualifying,2.0,f,100,0,01:25:00,161.0,2.0,14.0,12.0,2.0,2.0,334.0,21.0,3.0,45.0,76.0,40.0,45.0,21.0,31.0,1.0,1.0,12.0,57.0,12.0,53.0,11.0,32.0,0.0,6.0,12.0,61.0,76.0,23.0,85.0,84.0,t,f,,t,Italy,0.0,12.0,14.0,0.0,304.0,4.0,5.0,53.0,85.0,41.0,53.0,21.0,32.0,6.0,6.0,12.0,43.0,5.0,45.0,10.0,31.0,0.0,1.0,12.0,62.0,85.0,15.0,76.0,77.0,f,f,f,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,carsten-ball,,tristan-samuel-weissborn,,ortisei_challenger,2nd Round Qualifying,1.0,f,100,1,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,,Italy,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,Italy
2015-11-09,2015-11-15,Italy,Hard,64000.0,€,2015,costin-paval,C. Paval,kevin-krawietz,K. Krawietz,ortisei_challenger,2nd Round Qualifying,3.0,f,100,1,01:21:00,146.0,1.0,11.0,16.0,0.0,0.0,248.0,3.0,8.0,36.0,71.0,27.0,36.0,18.0,35.0,0.0,3.0,13.0,113.0,11.0,52.0,8.0,23.0,1.0,2.0,14.0,45.0,71.0,19.0,75.0,64.0,f,f,,t,Italy,2.0,16.0,11.0,0.0,314.0,12.0,3.0,52.0,75.0,41.0,52.0,15.0,23.0,1.0,2.0,14.0,197.0,9.0,36.0,17.0,35.0,3.0,3.0,13.0,56.0,75.0,26.0,71.0,82.0,t,f,f,Italy
