,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,alejandro-gonzalez,A. Gonzalez,kevin-kim,K. Kim,panama-city_challenger,Round of 16,3.0,f,100,4,02:01:00,160.0,1.0,13.0,13.0,0.0,0.0,275.0,0.0,1.0,56.0,79.0,36.0,56.0,15.0,23.0,4.0,7.0,13.0,151.0,16.0,51.0,14.0,30.0,3.0,6.0,13.0,51.0,79.0,30.0,81.0,81.0,f,f,5,t,Panama,2.0,13.0,13.0,0.0,261.0,1.0,1.0,51.0,81.0,35.0,51.0,16.0,30.0,3.0,6.0,13.0,137.0,20.0,56.0,8.0,23.0,3.0,7.0,13.0,51.0,81.0,28.0,79.0,79.0,t,f,f,Panama
1,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,alejandro-gonzalez,A. Gonzalez,miguel-gallardo-valles,M. Gallardo-Valles,panama-city_challenger,Round of 32,2.0,f,100,3,01:16:00,98.0,2.0,12.0,1.0,0.0,0.0,269.0,0.0,2.0,24.0,44.0,17.0,24.0,12.0,20.0,2.0,3.0,7.0,271.0,21.0,38.0,13.0,16.0,6.0,17.0,6.0,29.0,44.0,34.0,54.0,63.0,t,f,5,t,Panama,0.0,1.0,12.0,0.0,129.0,1.0,6.0,38.0,54.0,17.0,38.0,3.0,16.0,11.0,17.0,6.0,116.0,7.0,24.0,8.0,20.0,1.0,3.0,7.0,20.0,54.0,15.0,44.0,35.0,f,f,f,Panama
2,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,bruno-santanna,B. Santanna,olivier-sajous,O. Sajous,panama-city_challenger,Round of 32,3.0,f,100,3,02:23:00,184.0,1.0,14.0,15.0,0.0,0.0,229.0,1.0,5.0,49.0,86.0,31.0,49.0,18.0,37.0,3.0,8.0,14.0,175.0,18.0,56.0,25.0,42.0,5.0,10.0,15.0,49.0,86.0,43.0,98.0,92.0,f,f,,f,Panama,2.0,15.0,14.0,0.0,229.0,3.0,5.0,56.0,98.0,38.0,56.0,17.0,42.0,5.0,10.0,15.0,186.0,18.0,49.0,19.0,37.0,5.0,8.0,14.0,55.0,98.0,37.0,86.0,92.0,t,f,t,Panama
3,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,carlos-salamanca,C. Salamanca,gonzalo-lama,G. Lama,panama-city_challenger,Round of 32,3.0,f,100,3,01:29:00,139.0,2.0,15.0,9.0,0.0,0.0,277.0,5.0,1.0,49.0,68.0,37.0,49.0,8.0,19.0,0.0,2.0,12.0,195.0,17.0,35.0,15.0,36.0,5.0,8.0,12.0,45.0,68.0,32.0,71.0,77.0,t,f,4,t,Panama,1.0,9.0,15.0,0.0,216.0,3.0,3.0,35.0,71.0,18.0,35.0,21.0,36.0,3.0,8.0,12.0,198.0,12.0,49.0,11.0,19.0,2.0,2.0,12.0,39.0,71.0,23.0,68.0,62.0,f,f,f,Panama
4,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,carlos-salamanca,C. Salamanca,luis-diaz-barriga,L. Diaz-Barriga,panama-city_challenger,Quarter-Finals,2.0,f,100,5,00:53:00,85.0,2.0,12.0,1.0,0.0,0.0,307.0,4.0,2.0,26.0,43.0,18.0,26.0,13.0,17.0,4.0,4.0,7.0,264.0,12.0,23.0,15.0,19.0,5.0,10.0,6.0,31.0,43.0,27.0,42.0,58.0,t,f,4,t,Panama,0.0,1.0,12.0,0.0,135.0,0.0,5.0,23.0,42.0,11.0,23.0,4.0,19.0,5.0,10.0,6.0,55.0,8.0,26.0,4.0,17.0,0.0,4.0,7.0,15.0,42.0,12.0,43.0,27.0,f,f,f,Panama
5,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,carlos-salamanca,C. Salamanca,maximiliano-estevez,M. Estevez,panama-city_challenger,Round of 16,2.0,f,100,4,01:14:00,126.0,2.0,13.0,6.0,1.0,1.0,296.0,6.0,0.0,51.0,63.0,36.0,51.0,6.0,12.0,2.0,3.0,9.0,207.0,20.0,51.0,8.0,12.0,4.0,7.0,9.0,42.0,63.0,28.0,63.0,70.0,t,f,4,t,Panama,0.0,6.0,13.0,0.0,231.0,2.0,1.0,51.0,63.0,31.0,51.0,4.0,12.0,3.0,7.0,9.0,123.0,15.0,51.0,6.0,12.0,1.0,3.0,9.0,35.0,63.0,21.0,63.0,56.0,f,f,f,Panama
6,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,carlos-salamanca,C. Salamanca,rogerio-dutra-silva,R. Dutra Silva,panama-city_challenger,Semi-Finals,2.0,f,100,6,01:19:00,111.0,0.0,4.0,12.0,0.0,0.0,189.0,4.0,4.0,40.0,59.0,23.0,40.0,5.0,19.0,4.0,9.0,8.0,112.0,11.0,36.0,7.0,16.0,1.0,4.0,8.0,28.0,59.0,18.0,52.0,46.0,f,f,4,f,Panama,2.0,12.0,4.0,0.0,282.0,2.0,1.0,36.0,52.0,25.0,36.0,9.0,16.0,3.0,4.0,8.0,235.0,17.0,40.0,14.0,19.0,5.0,9.0,8.0,34.0,52.0,31.0,59.0,65.0,t,f,t,Panama
7,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,christopher-diaz-figueroa,C. Diaz-Figueroa,maciek-sykut,M. Sykut,panama-city_challenger,Round of 32,2.0,f,100,3,01:30:00,120.0,2.0,12.0,7.0,0.0,0.0,282.0,2.0,2.0,30.0,53.0,20.0,30.0,16.0,23.0,1.0,2.0,9.0,168.0,14.0,42.0,16.0,25.0,4.0,13.0,10.0,36.0,53.0,30.0,67.0,66.0,t,f,,t,Panama,0.0,7.0,12.0,0.0,230.0,6.0,2.0,42.0,67.0,28.0,42.0,9.0,25.0,9.0,13.0,10.0,124.0,10.0,30.0,7.0,23.0,1.0,2.0,9.0,37.0,67.0,17.0,53.0,54.0,f,f,f,Panama
8,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,christopher-diaz-figueroa,C. Diaz-Figueroa,peter-polansky,P. Polansky,panama-city_challenger,Round of 16,3.0,f,100,4,02:22:00,205.0,1.0,12.0,17.0,0.0,0.0,217.0,4.0,4.0,50.0,92.0,35.0,50.0,15.0,42.0,7.0,13.0,14.0,149.0,20.0,66.0,28.0,47.0,4.0,12.0,15.0,50.0,92.0,48.0,113.0,98.0,f,f,,t,Panama,2.0,17.0,12.0,0.0,239.0,7.0,9.0,66.0,113.0,46.0,66.0,19.0,47.0,8.0,12.0,15.0,182.0,15.0,50.0,27.0,42.0,6.0,13.0,14.0,65.0,113.0,42.0,92.0,107.0,t,f,f,Panama
9,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,clement-reix,C. Reix,peter-polansky,P. Polansky,panama-city_challenger,Round of 32,3.0,f,100,3,02:30:00,215.0,1.0,17.0,18.0,0.0,1.0,255.0,18.0,8.0,58.0,109.0,40.0,58.0,24.0,51.0,3.0,7.0,17.0,144.0,10.0,55.0,30.0,51.0,4.0,9.0,17.0,64.0,109.0,40.0,106.0,104.0,f,f,,f,Panama,2.0,18.0,17.0,1.0,258.0,12.0,5.0,55.0,106.0,45.0,55.0,21.0,51.0,5.0,9.0,17.0,164.0,18.0,58.0,27.0,51.0,4.0,7.0,17.0,66.0,106.0,45.0,109.0,111.0,t,f,t,Panama
10,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,cristhian-ignacio-benedetti,C. Benedetti,ignacio-villegas,I. Villegas,panama-city_challenger,2nd Round Qualifying,2.0,f,100,1,01:01:00,76.0,2.0,12.0,1.0,0.0,0.0,313.0,2.0,3.0,20.0,31.0,17.0,20.0,7.0,11.0,0.0,0.0,6.0,268.0,11.0,22.0,19.0,23.0,6.0,12.0,7.0,24.0,31.0,30.0,45.0,54.0,t,f,1,t,Panama,0.0,1.0,12.0,0.0,120.0,0.0,10.0,22.0,45.0,11.0,22.0,4.0,23.0,6.0,12.0,7.0,51.0,3.0,20.0,4.0,11.0,0.0,0.0,6.0,15.0,45.0,7.0,31.0,22.0,f,f,f,Panama
11,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,cristhian-ignacio-benedetti,C. Benedetti,jose-gilbert-gomez,J. Gomez,panama-city_challenger,3rd Round Qualifying,2.0,f,100,2,00:50:00,68.0,2.0,12.0,1.0,0.0,0.0,268.0,2.0,3.0,20.0,34.0,14.0,20.0,8.0,14.0,1.0,2.0,6.0,354.0,15.0,19.0,13.0,15.0,7.0,8.0,7.0,22.0,34.0,28.0,34.0,50.0,t,f,1,t,Panama,0.0,1.0,12.0,0.0,86.0,0.0,4.0,19.0,34.0,4.0,19.0,2.0,15.0,1.0,8.0,7.0,139.0,6.0,20.0,6.0,14.0,1.0,2.0,6.0,6.0,34.0,12.0,34.0,18.0,f,f,f,Panama
12,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,cristhian-ignacio-benedetti,C. Benedetti,phillip-simmonds,P. Simmonds,panama-city_challenger,Round of 32,2.0,f,100,3,01:55:00,116.0,0.0,8.0,12.0,0.0,0.0,263.0,0.0,3.0,40.0,63.0,30.0,40.0,11.0,23.0,2.0,4.0,10.0,43.0,5.0,31.0,6.0,22.0,0.0,2.0,10.0,41.0,63.0,11.0,53.0,52.0,f,f,Q,f,Panama,2.0,12.0,8.0,0.0,323.0,8.0,0.0,31.0,53.0,26.0,31.0,16.0,22.0,2.0,2.0,10.0,147.0,10.0,40.0,12.0,23.0,2.0,4.0,10.0,42.0,53.0,22.0,63.0,64.0,t,f,t,Panama
13,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,daniel-garza,D. Garza,victor-estrella-burgos,V. Estrella Burgos,panama-city_challenger,Round of 32,2.0,f,100,3,00:56:00,103.0,0.0,4.0,12.0,0.0,0.0,204.0,1.0,1.0,50.0,62.0,28.0,50.0,2.0,12.0,9.0,13.0,8.0,40.0,3.0,22.0,5.0,19.0,0.0,0.0,8.0,30.0,62.0,8.0,41.0,38.0,f,f,,f,Panama,2.0,12.0,4.0,0.0,315.0,3.0,2.0,22.0,41.0,19.0,22.0,14.0,19.0,0.0,0.0,8.0,208.0,22.0,50.0,10.0,12.0,4.0,13.0,8.0,33.0,41.0,32.0,62.0,65.0,t,f,t,Panama
14,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,daniel-kosakowski,D. Kosakowski,jesse-witten,J. Witten,panama-city_challenger,Round of 16,2.0,f,100,4,01:22:00,110.0,0.0,5.0,12.0,0.0,0.0,221.0,1.0,1.0,34.0,54.0,18.0,34.0,10.0,20.0,1.0,5.0,9.0,68.0,9.0,26.0,10.0,30.0,0.0,5.0,8.0,28.0,54.0,19.0,56.0,47.0,f,f,,f,Panama,2.0,12.0,5.0,0.0,280.0,4.0,2.0,26.0,56.0,17.0,26.0,20.0,30.0,5.0,5.0,8.0,221.0,16.0,34.0,10.0,20.0,4.0,5.0,9.0,37.0,56.0,26.0,54.0,63.0,t,f,t,Panama
15,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,daniel-kosakowski,D. Kosakowski,michael-russell,M. Russell,panama-city_challenger,Round of 32,2.0,f,100,3,02:34:00,179.0,2.0,13.0,8.0,1.0,1.0,261.0,4.0,7.0,58.0,104.0,42.0,58.0,21.0,46.0,13.0,14.0,10.0,144.0,11.0,41.0,21.0,34.0,3.0,12.0,10.0,63.0,104.0,32.0,75.0,95.0,t,f,,t,Panama,0.0,8.0,13.0,0.0,232.0,5.0,9.0,41.0,75.0,30.0,41.0,13.0,34.0,9.0,12.0,10.0,99.0,16.0,58.0,25.0,46.0,1.0,14.0,10.0,43.0,75.0,41.0,104.0,84.0,f,f,f,Panama
16,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,darian-king,D. King,luca-margaroli,L. Margaroli,panama-city_challenger,3rd Round Qualifying,3.0,f,100,2,01:34:00,133.0,1.0,10.0,13.0,0.0,0.0,252.0,0.0,0.0,61.0,72.0,33.0,61.0,6.0,11.0,5.0,10.0,12.0,186.0,13.0,42.0,10.0,19.0,3.0,4.0,11.0,39.0,72.0,23.0,61.0,62.0,f,f,3,t,Panama,2.0,13.0,10.0,0.0,260.0,4.0,1.0,42.0,61.0,29.0,42.0,9.0,19.0,1.0,4.0,11.0,182.0,28.0,61.0,5.0,11.0,5.0,10.0,12.0,38.0,61.0,33.0,72.0,71.0,t,f,f,Panama
17,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,darian-king,D. King,marcelo-rodriguez,M. Rodriguez,panama-city_challenger,2nd Round Qualifying,2.0,f,100,1,00:36:00,66.0,2.0,12.0,0.0,0.0,0.0,300.0,0.0,3.0,15.0,32.0,12.0,15.0,13.0,17.0,1.0,1.0,6.0,313.0,10.0,15.0,15.0,19.0,6.0,9.0,6.0,25.0,32.0,25.0,34.0,50.0,t,f,3,t,Panama,0.0,0.0,12.0,0.0,97.0,0.0,1.0,15.0,34.0,5.0,15.0,4.0,19.0,3.0,9.0,6.0,44.0,3.0,15.0,4.0,17.0,0.0,1.0,6.0,9.0,34.0,7.0,32.0,16.0,f,f,f,Panama
18,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,eduardo-struvay,E. Struvay,luis-diaz-barriga,L. Diaz-Barriga,panama-city_challenger,Round of 32,2.0,f,100,3,01:34:00,136.0,0.0,10.0,13.0,0.0,1.0,302.0,2.0,1.0,53.0,64.0,34.0,53.0,8.0,11.0,2.0,4.0,11.0,126.0,20.0,66.0,4.0,6.0,1.0,5.0,11.0,42.0,64.0,24.0,72.0,66.0,f,f,7,f,Panama,2.0,13.0,10.0,1.0,290.0,7.0,2.0,66.0,72.0,46.0,66.0,2.0,6.0,4.0,5.0,11.0,131.0,19.0,53.0,3.0,11.0,2.0,4.0,11.0,48.0,72.0,22.0,64.0,70.0,t,f,t,Panama
19,2012-07-03,2012-07-08,Panama,Clay,35000.0,$,2012,erik-crepaldi,E. Crepaldi,luca-margaroli,L. Margaroli,panama-city_challenger,Round of 32,3.0,f,100,3,02:17:00,187.0,2.0,18.0,12.0,0.0,1.0,318.0,3.0,1.0,61.0,82.0,46.0,61.0,14.0,21.0,1.0,1.0,14.0,167.0,19.0,59.0,27.0,46.0,4.0,8.0,15.0,60.0,82.0,46.0,105.0,106.0,t,f,,t,Panama,1.0,12.0,18.0,1.0,247.0,17.0,8.0,59.0,105.0,40.0,59.0,19.0,46.0,4.0,8.0,15.0,58.0,15.0,61.0,7.0,21.0,0.0,1.0,14.0,59.0,105.0,22.0,82.0,81.0,f,f,f,Panama
