start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2013-10-28,2013-11-03,France,Hard,2646495.0,€,2013,adrian-mannarino,A. Mannarino,santiago-giraldo,S. Giraldo,paris,Round of 64,3.0,f,1000,2,02:03:00,171.0,1.0,13.0,14.0,0.0,0.0,255.0,7.0,6.0,57.0,90.0,38.0,57.0,16.0,33.0,8.0,11.0,13.0,147.0,11.0,47.0,18.0,34.0,3.0,6.0,14.0,54.0,90.0,29.0,81.0,83.0,f,f,WC,f,France,2.0,14.0,13.0,0.0,260.0,3.0,3.0,47.0,81.0,36.0,47.0,16.0,34.0,3.0,6.0,14.0,135.0,19.0,57.0,17.0,33.0,3.0,11.0,13.0,52.0,81.0,36.0,90.0,88.0,t,f,t,France
2013-10-28,2013-11-03,France,Hard,2646495.0,€,2013,albert-ramos-viñolas,A. Ramos Viñolas,robin-haase,R. Haase,paris,1st Round Qualifying,3.0,f,1000,0,02:15:00,196.0,1.0,13.0,16.0,0.0,1.0,246.0,2.0,4.0,56.0,94.0,39.0,56.0,18.0,38.0,8.0,12.0,14.0,135.0,9.0,54.0,26.0,48.0,3.0,7.0,14.0,57.0,94.0,35.0,102.0,92.0,f,f,,f,France,2.0,16.0,13.0,1.0,267.0,11.0,4.0,54.0,102.0,45.0,54.0,22.0,48.0,4.0,7.0,14.0,144.0,17.0,56.0,20.0,38.0,4.0,12.0,14.0,67.0,102.0,37.0,94.0,104.0,t,f,t,France
2013-10-28,2013-11-03,France,Hard,2646495.0,€,2013,alejandro-falla,A. Falla,roberto-bautista-agut,R. Bautista Agut,paris,1st Round Qualifying,2.0,f,1000,0,01:38:00,158.0,0.0,9.0,13.0,0.0,1.0,264.0,6.0,1.0,49.0,82.0,33.0,49.0,17.0,33.0,6.0,8.0,10.0,101.0,13.0,52.0,10.0,24.0,1.0,4.0,11.0,50.0,82.0,23.0,76.0,73.0,f,f,AL,f,France,2.0,13.0,9.0,1.0,291.0,3.0,3.0,52.0,76.0,39.0,52.0,14.0,24.0,3.0,4.0,11.0,126.0,16.0,49.0,16.0,33.0,2.0,8.0,10.0,53.0,76.0,32.0,82.0,85.0,t,f,t,France
2013-10-28,2013-11-03,France,Hard,2646495.0,€,2013,alexandr-dolgopolov,A. Dolgopolov,nicolas-mahut,N. Mahut,paris,Round of 64,2.0,f,1000,2,01:20:00,138.0,0.0,7.0,13.0,0.0,1.0,230.0,4.0,6.0,42.0,83.0,26.0,42.0,20.0,41.0,5.0,8.0,10.0,53.0,2.0,29.0,12.0,26.0,0.0,0.0,9.0,46.0,83.0,14.0,55.0,60.0,f,f,,f,France,2.0,13.0,7.0,1.0,305.0,8.0,3.0,29.0,55.0,27.0,29.0,14.0,26.0,0.0,0.0,9.0,157.0,16.0,42.0,21.0,41.0,3.0,8.0,10.0,41.0,55.0,37.0,83.0,78.0,t,f,t,France
2013-10-28,2013-11-03,France,Hard,2646495.0,€,2013,andreas-seppi,A. Seppi,philipp-kohlschreiber,P. Kohlschreiber,paris,Round of 64,3.0,f,1000,2,01:58:00,184.0,1.0,13.0,15.0,0.0,0.0,255.0,7.0,1.0,58.0,104.0,44.0,58.0,18.0,46.0,10.0,13.0,14.0,107.0,7.0,42.0,18.0,38.0,2.0,7.0,14.0,62.0,104.0,25.0,80.0,87.0,f,f,,f,France,2.0,15.0,13.0,0.0,279.0,10.0,5.0,42.0,80.0,35.0,42.0,20.0,38.0,5.0,7.0,14.0,129.0,14.0,58.0,28.0,46.0,3.0,13.0,14.0,55.0,80.0,42.0,104.0,97.0,t,f,t,France
2013-10-28,2013-11-03,France,Hard,2646495.0,€,2013,benoit-paire,B. Paire,pierre-hugues-herbert,P. Herbert,paris,Round of 64,2.0,f,1000,2,00:59:00,103.0,0.0,4.0,12.0,0.0,0.0,158.0,3.0,5.0,26.0,55.0,14.0,26.0,10.0,29.0,4.0,10.0,8.0,146.0,8.0,29.0,10.0,19.0,2.0,5.0,8.0,24.0,55.0,18.0,48.0,42.0,f,f,,f,France,2.0,12.0,4.0,0.0,253.0,2.0,3.0,29.0,48.0,21.0,29.0,9.0,19.0,3.0,5.0,8.0,247.0,12.0,26.0,19.0,29.0,6.0,10.0,8.0,30.0,48.0,31.0,55.0,61.0,t,f,t,France
2013-10-28,2013-11-03,France,Hard,2646495.0,€,2013,bernard-tomic,B. Tomic,feliciano-lopez,F. Lopez,paris,Round of 64,3.0,f,1000,2,02:23:00,229.0,1.0,17.0,19.0,1.0,2.0,279.0,16.0,3.0,81.0,122.0,58.0,81.0,19.0,41.0,7.0,10.0,17.0,102.0,11.0,53.0,22.0,54.0,2.0,7.0,17.0,77.0,122.0,33.0,107.0,110.0,f,f,Q,f,France,2.0,19.0,17.0,1.0,291.0,21.0,6.0,53.0,107.0,42.0,53.0,32.0,54.0,5.0,7.0,17.0,129.0,23.0,81.0,22.0,41.0,3.0,10.0,17.0,74.0,107.0,45.0,122.0,119.0,t,f,t,France
2013-10-28,2013-11-03,France,Hard,2646495.0,€,2013,bernard-tomic,B. Tomic,ivo-karlovic,I. Karlovic,paris,1st Round Qualifying,2.0,f,1000,0,01:23:00,153.0,2.0,14.0,12.0,2.0,2.0,321.0,9.0,2.0,61.0,84.0,49.0,61.0,14.0,23.0,4.0,4.0,12.0,44.0,4.0,40.0,10.0,29.0,0.0,0.0,12.0,63.0,84.0,14.0,69.0,77.0,t,f,4,t,France,0.0,12.0,14.0,0.0,332.0,19.0,1.0,40.0,69.0,36.0,40.0,19.0,29.0,0.0,0.0,12.0,59.0,12.0,61.0,9.0,23.0,0.0,4.0,12.0,55.0,69.0,21.0,84.0,76.0,f,f,f,France
2013-10-28,2013-11-03,France,Hard,2646495.0,€,2013,bernard-tomic,B. Tomic,pablo-carreno-busta,P. Carreno Busta,paris,2nd Round Qualifying,3.0,f,1000,1,01:45:00,176.0,2.0,18.0,11.0,0.0,1.0,296.0,18.0,0.0,66.0,93.0,46.0,66.0,14.0,27.0,6.0,8.0,14.0,183.0,19.0,48.0,16.0,35.0,6.0,11.0,14.0,60.0,93.0,35.0,83.0,95.0,t,f,4,f,France,1.0,11.0,18.0,1.0,233.0,5.0,1.0,48.0,83.0,29.0,48.0,19.0,35.0,5.0,11.0,14.0,117.0,20.0,66.0,13.0,27.0,2.0,8.0,14.0,48.0,83.0,33.0,93.0,81.0,f,f,t,France
2013-10-28,2013-11-03,France,Hard,2646495.0,€,2013,constant-lestienne,C. Lestienne,pablo-carreno-busta,P. Carreno Busta,paris,1st Round Qualifying,3.0,f,1000,0,01:40:00,168.0,1.0,9.0,16.0,0.0,0.0,161.0,4.0,12.0,50.0,92.0,28.0,50.0,11.0,42.0,10.0,18.0,12.0,186.0,16.0,43.0,18.0,33.0,5.0,9.0,13.0,39.0,92.0,34.0,76.0,73.0,f,f,WC,f,France,2.0,16.0,9.0,0.0,224.0,1.0,3.0,43.0,76.0,27.0,43.0,15.0,33.0,4.0,9.0,13.0,228.0,22.0,50.0,31.0,42.0,8.0,18.0,12.0,42.0,76.0,53.0,92.0,95.0,t,f,t,France
