start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2009-07-20,2009-07-26,Russian Federation,Hard,50000.0,$,2009,aleksander-vasin,A. Vasin,andis-juska,A. Juska,penza_challenger,Round of 32,3.0,f,100,3,01:31:00,130.0,1.0,9.0,13.0,0.0,0.0,228.0,0.0,2.0,50.0,72.0,26.0,50.0,12.0,22.0,2.0,7.0,11.0,168.0,6.0,30.0,13.0,28.0,3.0,4.0,11.0,38.0,72.0,19.0,58.0,57.0,f,f,Q,t,Russian Federation,2.0,13.0,9.0,0.0,259.0,6.0,5.0,30.0,58.0,24.0,30.0,15.0,28.0,1.0,4.0,11.0,209.0,24.0,50.0,10.0,22.0,5.0,7.0,11.0,39.0,58.0,34.0,72.0,73.0,t,f,f,Russian Federation
2009-07-20,2009-07-26,Russian Federation,Hard,50000.0,$,2009,aleksander-vasin,A. Vasin,anton-galkin,A. Galkin,penza_challenger,1st Round Qualifying,2.0,f,100,0,01:19:00,113.0,2.0,12.0,6.0,0.0,0.0,289.0,0.0,1.0,49.0,54.0,35.0,49.0,2.0,5.0,1.0,2.0,9.0,200.0,25.0,50.0,5.0,9.0,4.0,8.0,9.0,37.0,54.0,30.0,59.0,67.0,t,f,,t,Russian Federation,0.0,6.0,12.0,0.0,233.0,1.0,2.0,50.0,59.0,25.0,50.0,4.0,9.0,4.0,8.0,9.0,150.0,14.0,49.0,3.0,5.0,1.0,2.0,9.0,29.0,59.0,17.0,54.0,46.0,f,f,f,Russian Federation
2009-07-20,2009-07-26,Russian Federation,Hard,50000.0,$,2009,aleksander-vasin,A. Vasin,daniel-cox,D. Cox,penza_challenger,2nd Round Qualifying,2.0,f,100,1,01:31:00,140.0,2.0,13.0,9.0,0.0,0.0,217.0,0.0,3.0,43.0,64.0,24.0,43.0,9.0,21.0,4.0,9.0,11.0,216.0,16.0,40.0,25.0,36.0,7.0,16.0,11.0,33.0,64.0,41.0,76.0,74.0,t,f,,t,Russian Federation,0.0,9.0,13.0,0.0,180.0,2.0,2.0,40.0,76.0,24.0,40.0,11.0,36.0,9.0,16.0,11.0,202.0,19.0,43.0,12.0,21.0,5.0,9.0,11.0,35.0,76.0,31.0,64.0,66.0,f,f,f,Russian Federation
2009-07-20,2009-07-26,Russian Federation,Hard,50000.0,$,2009,aleksander-vasin,A. Vasin,kamil-uldanov,K. Uldanov,penza_challenger,3rd Round Qualifying,2.0,f,100,2,02:24:00,177.0,2.0,14.0,12.0,2.0,2.0,243.0,0.0,0.0,69.0,93.0,39.0,69.0,13.0,24.0,7.0,12.0,12.0,213.0,28.0,65.0,11.0,19.0,5.0,7.0,12.0,52.0,93.0,39.0,84.0,91.0,t,f,,t,Russian Federation,0.0,12.0,14.0,0.0,232.0,0.0,2.0,65.0,84.0,37.0,65.0,8.0,19.0,2.0,7.0,12.0,172.0,30.0,69.0,11.0,24.0,5.0,12.0,12.0,45.0,84.0,41.0,93.0,86.0,f,f,f,Russian Federation
2009-07-20,2009-07-26,Russian Federation,Hard,50000.0,$,2009,alexander-kudryavtsev,A. Kudryavtsev,andis-juska,A. Juska,penza_challenger,Round of 16,2.0,f,100,4,01:19:00,148.0,2.0,13.0,7.0,1.0,1.0,309.0,4.0,1.0,41.0,65.0,31.0,41.0,16.0,24.0,0.0,0.0,10.0,136.0,23.0,64.0,11.0,19.0,2.0,10.0,9.0,47.0,65.0,34.0,83.0,81.0,t,f,4,t,Russian Federation,0.0,7.0,13.0,0.0,260.0,2.0,2.0,64.0,83.0,41.0,64.0,8.0,19.0,8.0,10.0,9.0,57.0,10.0,41.0,8.0,24.0,0.0,0.0,10.0,49.0,83.0,18.0,65.0,67.0,f,f,f,Russian Federation
2009-07-20,2009-07-26,Russian Federation,Hard,50000.0,$,2009,alexander-kudryavtsev,A. Kudryavtsev,inigo-cervantes,I. Cervantes,penza_challenger,Quarter-Finals,3.0,f,100,5,00:46:00,158.0,1.0,13.0,14.0,0.0,0.0,257.0,6.0,1.0,42.0,83.0,34.0,42.0,18.0,41.0,8.0,11.0,13.0,130.0,5.0,34.0,18.0,41.0,3.0,6.0,14.0,52.0,83.0,23.0,75.0,75.0,f,f,4,t,Russian Federation,2.0,14.0,13.0,0.0,271.0,10.0,3.0,34.0,75.0,29.0,34.0,23.0,41.0,3.0,6.0,14.0,125.0,8.0,42.0,23.0,41.0,3.0,11.0,13.0,52.0,75.0,31.0,83.0,83.0,t,f,f,Russian Federation
2009-07-20,2009-07-26,Russian Federation,Hard,50000.0,$,2009,alexander-kudryavtsev,A. Kudryavtsev,sergei-krotiouk,S. Krotiouk,penza_challenger,Round of 32,2.0,f,100,3,01:09:00,103.0,2.0,12.0,5.0,0.0,0.0,320.0,10.0,1.0,33.0,48.0,27.0,33.0,9.0,15.0,0.0,0.0,9.0,172.0,12.0,30.0,13.0,25.0,3.0,7.0,8.0,36.0,48.0,25.0,55.0,61.0,t,f,4,t,Russian Federation,0.0,5.0,12.0,0.0,226.0,5.0,4.0,30.0,55.0,18.0,30.0,12.0,25.0,4.0,7.0,8.0,58.0,6.0,33.0,6.0,15.0,0.0,0.0,9.0,30.0,55.0,12.0,48.0,42.0,f,f,f,Russian Federation
2009-07-20,2009-07-26,Russian Federation,Hard,50000.0,$,2009,alexander-stakheev,A. Stakheev,alexey-tumakov,A. Tumakov,penza_challenger,1st Round Qualifying,2.0,f,100,0,00:45:00,77.0,2.0,12.0,2.0,0.0,0.0,264.0,1.0,1.0,27.0,43.0,23.0,27.0,5.0,16.0,1.0,2.0,7.0,332.0,12.0,16.0,13.0,18.0,6.0,6.0,7.0,28.0,43.0,25.0,34.0,53.0,t,f,,t,Russian Federation,0.0,2.0,12.0,0.0,108.0,0.0,6.0,16.0,34.0,4.0,16.0,5.0,18.0,0.0,6.0,7.0,148.0,4.0,27.0,11.0,16.0,1.0,2.0,7.0,9.0,34.0,15.0,43.0,24.0,f,f,f,Russian Federation
2009-07-20,2009-07-26,Russian Federation,Hard,50000.0,$,2009,alexander-stakheev,A. Stakheev,sergei-krotiouk,S. Krotiouk,penza_challenger,2nd Round Qualifying,2.0,f,100,1,00:58:00,87.0,0.0,4.0,12.0,0.0,0.0,206.0,3.0,0.0,26.0,45.0,15.0,26.0,7.0,19.0,3.0,7.0,8.0,45.0,6.0,30.0,3.0,12.0,0.0,2.0,8.0,22.0,45.0,9.0,42.0,31.0,f,f,,f,Russian Federation,2.0,12.0,4.0,0.0,327.0,1.0,0.0,30.0,42.0,24.0,30.0,9.0,12.0,2.0,2.0,8.0,212.0,11.0,26.0,12.0,19.0,4.0,7.0,8.0,33.0,42.0,23.0,45.0,56.0,t,f,t,Russian Federation
2009-07-20,2009-07-26,Russian Federation,Hard,50000.0,$,2009,alexey-golovachev,A. Golovachev,andrey-kumantsov,A. Kumantsov,penza_challenger,1st Round Qualifying,2.0,f,100,0,01:37:00,124.0,0.0,7.0,13.0,0.0,1.0,227.0,1.0,3.0,27.0,56.0,20.0,27.0,12.0,29.0,4.0,7.0,9.0,109.0,12.0,47.0,10.0,21.0,1.0,4.0,10.0,32.0,56.0,22.0,68.0,54.0,f,f,,f,Russian Federation,2.0,13.0,7.0,1.0,282.0,0.0,3.0,47.0,68.0,35.0,47.0,11.0,21.0,3.0,4.0,10.0,161.0,7.0,27.0,17.0,29.0,3.0,7.0,9.0,46.0,68.0,24.0,56.0,70.0,t,f,t,Russian Federation
