,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,alejandro-falla,,goran-tosic,,pereira_challenger,Round of 16,1.0,f,100,4,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,2 WC,,Colombia,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,Colombia
1,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,alejandro-falla,A. Falla,guillermo-rivera-aranguiz,G. Rivera-Aranguiz,pereira_challenger,Round of 32,2.0,f,100,3,01:07:00,111.0,2.0,12.0,7.0,0.0,0.0,287.0,1.0,1.0,27.0,51.0,22.0,27.0,15.0,24.0,0.0,1.0,10.0,178.0,17.0,44.0,9.0,16.0,3.0,6.0,9.0,37.0,51.0,26.0,60.0,63.0,t,f,2 WC,t,Colombia,0.0,7.0,12.0,0.0,242.0,2.0,4.0,44.0,60.0,27.0,44.0,7.0,16.0,3.0,6.0,9.0,167.0,5.0,27.0,9.0,24.0,1.0,1.0,10.0,34.0,60.0,14.0,51.0,48.0,f,f,f,Colombia
2,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,alejandro-gonzalez,A. Gonzalez,guido-pella,G. Pella,pereira_challenger,Round of 32,3.0,f,100,3,02:39:00,236.0,1.0,17.0,19.0,1.0,2.0,241.0,4.0,2.0,68.0,109.0,42.0,68.0,21.0,41.0,5.0,11.0,17.0,151.0,21.0,75.0,34.0,52.0,5.0,17.0,17.0,63.0,109.0,55.0,127.0,118.0,f,f,,f,Colombia,2.0,19.0,17.0,1.0,236.0,6.0,6.0,75.0,127.0,54.0,75.0,18.0,52.0,12.0,17.0,17.0,177.0,26.0,68.0,20.0,41.0,6.0,11.0,17.0,72.0,127.0,46.0,109.0,118.0,t,f,t,Colombia
3,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,alejandro-perez,A. Perez,nicolas-barrientos,N. Barrientos,pereira_challenger,2nd Round Qualifying,2.0,f,100,1,00:44:00,47.0,0.0,3.0,12.0,0.0,0.0,214.0,1.0,0.0,15.0,24.0,10.0,15.0,3.0,9.0,3.0,5.0,4.0,46.0,5.0,17.0,1.0,6.0,0.0,2.0,4.0,13.0,24.0,6.0,23.0,19.0,f,f,WC,f,Colombia,2.0,12.0,3.0,0.0,331.0,3.0,0.0,17.0,23.0,12.0,17.0,5.0,6.0,2.0,2.0,4.0,190.0,5.0,15.0,6.0,9.0,2.0,5.0,4.0,17.0,23.0,11.0,24.0,28.0,t,f,t,Colombia
4,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,andres-molteni,A. Molteni,walter-trusendi,W. Trusendi,pereira_challenger,Round of 32,2.0,f,100,3,01:10:00,93.0,0.0,3.0,12.0,0.0,0.0,172.0,1.0,4.0,29.0,47.0,15.0,29.0,6.0,18.0,5.0,10.0,7.0,105.0,4.0,23.0,10.0,23.0,1.0,3.0,8.0,21.0,47.0,14.0,46.0,35.0,f,f,,f,Colombia,2.0,12.0,3.0,0.0,277.0,4.0,4.0,23.0,46.0,19.0,23.0,13.0,23.0,2.0,3.0,8.0,236.0,14.0,29.0,12.0,18.0,5.0,10.0,7.0,32.0,46.0,26.0,47.0,58.0,t,f,t,Colombia
5,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,andrey-kumantsov,A. Kumantsov,steven-diez,S. Diez,pereira_challenger,Round of 32,2.0,f,100,3,00:49:00,75.0,0.0,1.0,12.0,0.0,0.0,100.0,1.0,6.0,16.0,35.0,6.0,16.0,4.0,19.0,2.0,8.0,6.0,106.0,6.0,23.0,7.0,17.0,1.0,4.0,7.0,10.0,35.0,13.0,40.0,23.0,f,f,,f,Colombia,2.0,12.0,1.0,0.0,277.0,2.0,1.0,23.0,40.0,17.0,23.0,10.0,17.0,3.0,4.0,7.0,317.0,10.0,16.0,15.0,19.0,6.0,8.0,6.0,27.0,40.0,25.0,35.0,52.0,t,f,t,Colombia
6,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,carlos-salamanca,C. Salamanca,goran-tosic,G. Tosic,pereira_challenger,Quarter-Finals,2.0,f,100,5,01:05:00,91.0,2.0,12.0,3.0,0.0,0.0,301.0,6.0,2.0,31.0,42.0,25.0,31.0,6.0,11.0,1.0,2.0,8.0,225.0,8.0,20.0,20.0,29.0,5.0,11.0,7.0,31.0,42.0,28.0,49.0,59.0,t,f,7,t,Colombia,0.0,3.0,12.0,0.0,151.0,0.0,9.0,20.0,49.0,12.0,20.0,9.0,29.0,6.0,11.0,7.0,126.0,6.0,31.0,5.0,11.0,1.0,2.0,8.0,21.0,49.0,11.0,42.0,32.0,f,f,f,Colombia
7,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,carlos-salamanca,C. Salamanca,martin-alund,M. Alund,pereira_challenger,Semi-Finals,3.0,f,100,6,01:56:00,176.0,2.0,15.0,14.0,1.0,1.0,271.0,10.0,2.0,62.0,88.0,45.0,62.0,11.0,26.0,5.0,8.0,14.0,157.0,14.0,51.0,18.0,37.0,3.0,5.0,14.0,56.0,88.0,32.0,88.0,88.0,t,f,7,f,Colombia,1.0,14.0,15.0,0.0,259.0,6.0,7.0,51.0,88.0,37.0,51.0,19.0,37.0,2.0,5.0,14.0,144.0,17.0,62.0,15.0,26.0,3.0,8.0,14.0,56.0,88.0,32.0,88.0,88.0,f,f,t,Colombia
8,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,carlos-salamanca,C. Salamanca,nikola-cacic,N. Cacic,pereira_challenger,Round of 32,3.0,f,100,3,01:33:00,161.0,2.0,15.0,12.0,0.0,0.0,300.0,19.0,5.0,47.0,80.0,39.0,47.0,17.0,33.0,4.0,5.0,14.0,110.0,11.0,48.0,17.0,33.0,2.0,10.0,13.0,56.0,80.0,28.0,81.0,84.0,t,f,7,t,Colombia,1.0,12.0,15.0,0.0,268.0,4.0,4.0,48.0,81.0,37.0,48.0,16.0,33.0,8.0,10.0,13.0,92.0,8.0,47.0,16.0,33.0,1.0,5.0,14.0,53.0,81.0,24.0,80.0,77.0,f,f,f,Colombia
9,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,carlos-salamanca,C. Salamanca,ruben-ramirez-hidalgo,R. Ramirez Hidalgo,pereira_challenger,Finals,3.0,f,100,7,01:46:00,160.0,2.0,17.0,10.0,0.0,0.0,282.0,7.0,2.0,51.0,80.0,39.0,51.0,15.0,29.0,4.0,6.0,14.0,204.0,12.0,35.0,22.0,45.0,5.0,6.0,13.0,54.0,80.0,34.0,80.0,88.0,t,f,7,f,Colombia,1.0,10.0,17.0,0.0,218.0,3.0,7.0,35.0,80.0,23.0,35.0,23.0,45.0,1.0,6.0,13.0,119.0,12.0,51.0,14.0,29.0,2.0,6.0,14.0,46.0,80.0,26.0,80.0,72.0,f,f,t,Colombia
10,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,carlos-salamanca,C. Salamanca,steven-diez,S. Diez,pereira_challenger,Round of 16,2.0,f,100,4,01:14:00,120.0,2.0,12.0,4.0,0.0,0.0,272.0,8.0,3.0,51.0,79.0,35.0,51.0,13.0,28.0,10.0,11.0,8.0,260.0,12.0,27.0,10.0,14.0,5.0,6.0,8.0,48.0,79.0,22.0,41.0,70.0,t,f,7,t,Colombia,0.0,4.0,12.0,0.0,190.0,2.0,0.0,27.0,41.0,15.0,27.0,4.0,14.0,1.0,6.0,8.0,106.0,16.0,51.0,15.0,28.0,1.0,11.0,8.0,19.0,41.0,31.0,79.0,50.0,f,f,f,Colombia
11,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,cristhian-ignacio-benedetti,C. Benedetti,goran-tosic,G. Tosic,pereira_challenger,3rd Round Qualifying,2.0,f,100,2,01:35:00,100.0,0.0,4.0,12.0,0.0,0.0,148.0,0.0,4.0,36.0,52.0,12.0,36.0,6.0,16.0,6.0,13.0,8.0,221.0,9.0,25.0,11.0,23.0,3.0,3.0,8.0,18.0,52.0,20.0,48.0,38.0,f,f,5,f,Colombia,2.0,12.0,4.0,0.0,229.0,2.0,3.0,25.0,48.0,16.0,25.0,12.0,23.0,0.0,3.0,8.0,271.0,24.0,36.0,10.0,16.0,7.0,13.0,8.0,28.0,48.0,34.0,52.0,62.0,t,f,t,Colombia
12,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,cristhian-ignacio-benedetti,C. Benedetti,jose-fernando-carvajal-torres,J. Carvajal Torres,pereira_challenger,2nd Round Qualifying,2.0,f,100,1,01:16:00,26.0,2.0,12.0,6.0,0.0,0.0,171.0,0.0,0.0,7.0,9.0,3.0,7.0,1.0,2.0,1.0,2.0,1.0,330.0,5.0,8.0,6.0,9.0,2.0,2.0,2.0,4.0,9.0,11.0,17.0,15.0,t,f,5,t,Colombia,0.0,6.0,12.0,0.0,118.0,0.0,0.0,8.0,17.0,3.0,8.0,3.0,9.0,0.0,2.0,2.0,257.0,4.0,7.0,1.0,2.0,1.0,2.0,1.0,6.0,17.0,5.0,9.0,11.0,f,f,f,Colombia
13,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,cristobal-saavedra-corvalan,C. Saavedra-Corvalan,santiago-giraldo,S. Giraldo,pereira_challenger,Round of 32,2.0,f,100,3,01:04:00,99.0,0.0,6.0,12.0,0.0,0.0,225.0,0.0,3.0,22.0,53.0,15.0,22.0,16.0,31.0,1.0,4.0,9.0,35.0,2.0,24.0,6.0,22.0,0.0,1.0,9.0,31.0,53.0,8.0,46.0,39.0,f,f,,f,Colombia,2.0,12.0,6.0,0.0,322.0,6.0,1.0,24.0,46.0,22.0,24.0,16.0,22.0,1.0,1.0,9.0,188.0,7.0,22.0,15.0,31.0,3.0,4.0,9.0,38.0,46.0,22.0,53.0,60.0,t,f,t,Colombia
14,2012-04-09,2012-04-15,Colombia,Clay,50000.0,$,2012,diego-schwartzman,D. Schwartzman,robert-farah,R. Farah,pereira_challenger,Round of 32,2.0,f,100,3,01:10:00,102.0,0.0,5.0,12.0,0.0,0.0,218.0,3.0,2.0,26.0,44.0,15.0,26.0,9.0,18.0,3.0,7.0,8.0,100.0,8.0,26.0,13.0,32.0,1.0,6.0,9.0,24.0,44.0,21.0,58.0,45.0,f,f,,f,Colombia,2.0,12.0,5.0,0.0,259.0,3.0,5.0,26.0,58.0,18.0,26.0,19.0,32.0,5.0,6.0,9.0,199.0,11.0,26.0,9.0,18.0,4.0,7.0,8.0,37.0,58.0,20.0,44.0,57.0,t,f,t,Colombia
