start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2013-09-09,2013-09-15,Luxembourg,Hard,64000.0,€,2013,alexandre-sidorenko,A. Sidorenko,aliaksandr-bury,A. Bury,petange_challenger,3rd Round Qualifying,2.0,f,100,2,01:23:00,131.0,2.0,13.0,8.0,1.0,1.0,298.0,3.0,2.0,32.0,64.0,28.0,32.0,19.0,32.0,3.0,3.0,10.0,116.0,9.0,32.0,15.0,35.0,2.0,8.0,10.0,47.0,64.0,24.0,67.0,71.0,t,f,,t,Luxembourg,0.0,8.0,13.0,0.0,255.0,3.0,5.0,32.0,67.0,23.0,32.0,20.0,35.0,6.0,8.0,10.0,54.0,4.0,32.0,13.0,32.0,0.0,3.0,10.0,43.0,67.0,17.0,64.0,60.0,f,f,f,Luxembourg
2013-09-09,2013-09-15,Luxembourg,Hard,64000.0,€,2013,alexandre-sidorenko,A. Sidorenko,kevin-griekspoor,K. Griekspoor,petange_challenger,2nd Round Qualifying,2.0,f,100,1,01:02:00,110.0,2.0,12.0,6.0,0.0,0.0,280.0,10.0,4.0,36.0,53.0,30.0,36.0,6.0,17.0,1.0,2.0,9.0,205.0,11.0,28.0,16.0,29.0,4.0,6.0,9.0,36.0,53.0,27.0,57.0,63.0,t,f,,t,Luxembourg,0.0,6.0,12.0,0.0,202.0,1.0,9.0,28.0,57.0,17.0,28.0,13.0,29.0,2.0,6.0,9.0,143.0,6.0,36.0,11.0,17.0,1.0,2.0,9.0,30.0,57.0,17.0,53.0,47.0,f,f,f,Luxembourg
2013-09-09,2013-09-15,Luxembourg,Hard,64000.0,€,2013,alexandre-sidorenko,A. Sidorenko,tim-puetz,T. Puetz,petange_challenger,Round of 32,2.0,f,100,3,00:43:00,63.0,0.0,4.0,7.0,0.0,0.0,193.0,1.0,3.0,14.0,37.0,9.0,14.0,10.0,23.0,5.0,8.0,6.0,189.0,3.0,16.0,5.0,10.0,1.0,1.0,5.0,19.0,37.0,8.0,26.0,27.0,f,t,Q,f,Luxembourg,2.0,7.0,4.0,0.0,274.0,4.0,3.0,16.0,26.0,13.0,16.0,5.0,10.0,0.0,1.0,5.0,181.0,5.0,14.0,13.0,23.0,3.0,8.0,6.0,18.0,26.0,18.0,37.0,36.0,t,t,t,Luxembourg
2013-09-09,2013-09-15,Luxembourg,Hard,64000.0,€,2013,alexandre-sidorenko,A. Sidorenko,torsten-wietoska,T. Wietoska,petange_challenger,1st Round Qualifying,2.0,f,100,0,01:04:00,107.0,2.0,12.0,4.0,0.0,0.0,286.0,5.0,4.0,31.0,53.0,24.0,31.0,11.0,22.0,2.0,2.0,8.0,226.0,8.0,19.0,19.0,35.0,4.0,5.0,8.0,35.0,53.0,27.0,54.0,62.0,t,f,,t,Luxembourg,0.0,4.0,12.0,0.0,185.0,4.0,8.0,19.0,54.0,11.0,19.0,16.0,35.0,1.0,5.0,8.0,73.0,7.0,31.0,11.0,22.0,0.0,2.0,8.0,27.0,54.0,18.0,53.0,45.0,f,f,f,Luxembourg
2013-09-09,2013-09-15,Luxembourg,Hard,64000.0,€,2013,alex-bucewicz,A. Bucewicz,goncalo-oliveira,G. Oliveira,petange_challenger,1st Round Qualifying,2.0,f,100,0,00:56:00,96.0,0.0,4.0,12.0,0.0,0.0,155.0,2.0,3.0,28.0,51.0,15.0,28.0,5.0,23.0,5.0,11.0,8.0,215.0,9.0,30.0,9.0,15.0,2.0,2.0,8.0,20.0,51.0,18.0,45.0,38.0,f,f,,f,Luxembourg,2.0,12.0,4.0,0.0,252.0,2.0,2.0,30.0,45.0,21.0,30.0,6.0,15.0,0.0,2.0,8.0,254.0,13.0,28.0,18.0,23.0,6.0,11.0,8.0,27.0,45.0,31.0,51.0,58.0,t,f,t,Luxembourg
2013-09-09,2013-09-15,Luxembourg,Hard,64000.0,€,2013,alexis-klegou,A. Klegou,filip-veger,F. Veger,petange_challenger,2nd Round Qualifying,2.0,f,100,1,01:19:00,112.0,0.0,6.0,12.0,0.0,0.0,205.0,0.0,8.0,34.0,64.0,23.0,34.0,11.0,30.0,5.0,9.0,9.0,130.0,4.0,32.0,9.0,16.0,1.0,2.0,9.0,34.0,64.0,13.0,48.0,47.0,f,f,,f,Luxembourg,2.0,12.0,6.0,0.0,293.0,9.0,3.0,32.0,48.0,28.0,32.0,7.0,16.0,1.0,2.0,9.0,183.0,11.0,34.0,19.0,30.0,4.0,9.0,9.0,35.0,48.0,30.0,64.0,65.0,t,f,t,Luxembourg
2013-09-09,2013-09-15,Luxembourg,Hard,64000.0,€,2013,alexis-klegou,A. Klegou,scott-griekspoor,S. Griekspoor,petange_challenger,1st Round Qualifying,2.0,f,100,0,01:23:00,124.0,2.0,13.0,6.0,1.0,1.0,264.0,4.0,4.0,31.0,59.0,24.0,31.0,16.0,28.0,2.0,4.0,9.0,227.0,11.0,32.0,22.0,33.0,5.0,7.0,9.0,40.0,59.0,33.0,65.0,73.0,t,f,,t,Luxembourg,0.0,6.0,13.0,0.0,188.0,3.0,7.0,32.0,65.0,21.0,32.0,11.0,33.0,2.0,7.0,9.0,138.0,7.0,31.0,12.0,28.0,2.0,4.0,9.0,32.0,65.0,19.0,59.0,51.0,f,f,f,Luxembourg
2013-09-09,2013-09-15,Luxembourg,Hard,64000.0,€,2013,aliaksandr-bury,A. Bury,divij-sharan,D. Sharan,petange_challenger,1st Round Qualifying,3.0,f,100,0,01:55:00,207.0,2.0,18.0,15.0,0.0,1.0,272.0,20.0,7.0,51.0,104.0,42.0,51.0,25.0,53.0,2.0,5.0,16.0,198.0,23.0,67.0,18.0,36.0,5.0,6.0,16.0,67.0,104.0,41.0,103.0,108.0,t,f,1,t,Luxembourg,1.0,15.0,18.0,1.0,249.0,3.0,3.0,67.0,103.0,44.0,67.0,18.0,36.0,1.0,6.0,16.0,149.0,9.0,51.0,28.0,53.0,3.0,5.0,16.0,62.0,103.0,37.0,104.0,99.0,f,f,f,Luxembourg
2013-09-09,2013-09-15,Luxembourg,Hard,64000.0,€,2013,aliaksandr-bury,A. Bury,goncalo-oliveira,G. Oliveira,petange_challenger,2nd Round Qualifying,2.0,f,100,1,01:26:00,140.0,2.0,14.0,11.0,1.0,1.0,253.0,5.0,5.0,36.0,73.0,27.0,36.0,20.0,37.0,2.0,5.0,12.0,205.0,15.0,39.0,15.0,28.0,4.0,5.0,12.0,47.0,73.0,30.0,67.0,77.0,t,f,1,t,Luxembourg,0.0,11.0,14.0,0.0,230.0,0.0,2.0,39.0,67.0,24.0,39.0,13.0,28.0,1.0,5.0,12.0,156.0,9.0,36.0,17.0,37.0,3.0,5.0,12.0,37.0,67.0,26.0,73.0,63.0,f,f,f,Luxembourg
2013-09-09,2013-09-15,Luxembourg,Hard,64000.0,€,2013,andrey-golubev,A. Golubev,evgeny-korolev,E. Korolev,petange_challenger,Round of 32,2.0,f,100,3,00:50:00,82.0,2.0,12.0,2.0,0.0,0.0,322.0,11.0,0.0,18.0,35.0,14.0,18.0,14.0,17.0,0.0,0.0,7.0,253.0,14.0,26.0,12.0,21.0,5.0,7.0,7.0,28.0,35.0,26.0,47.0,54.0,t,f,8,t,Luxembourg,0.0,2.0,12.0,0.0,171.0,0.0,1.0,26.0,47.0,12.0,26.0,9.0,21.0,2.0,7.0,7.0,40.0,4.0,18.0,3.0,17.0,0.0,0.0,7.0,21.0,47.0,7.0,35.0,28.0,f,f,f,Luxembourg
