start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2015-09-28,2015-10-04,Brazil,Clay,40000.0,$,2015,agustin-velotti,A. Velotti,gabriel-tumasonis,G. Tumasonis,potro-alegre_challenger,2nd Round Qualifying,2.0,f,100,1,00:55:00,80.0,2.0,12.0,3.0,0.0,0.0,278.0,1.0,0.0,14.0,34.0,12.0,14.0,13.0,20.0,0.0,1.0,7.0,258.0,17.0,28.0,12.0,18.0,6.0,11.0,8.0,25.0,34.0,29.0,46.0,54.0,t,f,1,t,Brazil,0.0,3.0,12.0,0.0,156.0,0.0,2.0,28.0,46.0,11.0,28.0,6.0,18.0,5.0,11.0,8.0,163.0,2.0,14.0,7.0,20.0,1.0,1.0,7.0,17.0,46.0,9.0,34.0,26.0,f,f,f,Brazil
2015-09-28,2015-10-04,Brazil,Clay,40000.0,$,2015,agustin-velotti,A. Velotti,guido-pella,G. Pella,potro-alegre_challenger,Round of 32,2.0,f,100,3,01:43:00,133.0,0.0,7.0,12.0,0.0,0.0,226.0,1.0,2.0,28.0,57.0,16.0,28.0,16.0,29.0,2.0,5.0,9.0,103.0,15.0,53.0,12.0,23.0,1.0,8.0,10.0,32.0,57.0,27.0,76.0,59.0,f,f,Q,f,Brazil,2.0,12.0,7.0,0.0,277.0,0.0,3.0,53.0,76.0,38.0,53.0,11.0,23.0,7.0,8.0,10.0,181.0,12.0,28.0,13.0,29.0,3.0,5.0,9.0,49.0,76.0,25.0,57.0,74.0,t,f,t,Brazil
2015-09-28,2015-10-04,Brazil,Clay,40000.0,$,2015,agustin-velotti,A. Velotti,joao-walendowsky,J. Walendowsky,potro-alegre_challenger,3rd Round Qualifying,2.0,f,100,2,01:21:00,107.0,2.0,12.0,3.0,0.0,0.0,280.0,1.0,2.0,17.0,52.0,15.0,17.0,21.0,35.0,1.0,1.0,8.0,203.0,15.0,31.0,14.0,24.0,4.0,10.0,7.0,36.0,52.0,29.0,55.0,65.0,t,f,1,t,Brazil,0.0,3.0,12.0,0.0,191.0,1.0,2.0,31.0,55.0,16.0,31.0,10.0,24.0,6.0,10.0,7.0,52.0,2.0,17.0,14.0,35.0,0.0,1.0,8.0,26.0,55.0,16.0,52.0,42.0,f,f,f,Brazil
2015-09-28,2015-10-04,Brazil,Clay,40000.0,$,2015,alexandre-tsuchiya,A. Tsuchiya,bruno-santanna,B. Santanna,potro-alegre_challenger,2nd Round Qualifying,2.0,f,100,1,01:30:00,142.0,2.0,13.0,10.0,1.0,1.0,298.0,2.0,1.0,39.0,68.0,29.0,39.0,22.0,29.0,3.0,4.0,11.0,143.0,16.0,48.0,11.0,26.0,2.0,4.0,11.0,51.0,68.0,27.0,74.0,78.0,t,f,7,t,Brazil,0.0,10.0,13.0,0.0,269.0,0.0,2.0,48.0,74.0,32.0,48.0,15.0,26.0,2.0,4.0,11.0,84.0,10.0,39.0,7.0,29.0,1.0,4.0,11.0,47.0,74.0,17.0,68.0,64.0,f,f,f,Brazil
2015-09-28,2015-10-04,Brazil,Clay,40000.0,$,2015,alexandre-tsuchiya,A. Tsuchiya,christian-lindell,C. Lindell,potro-alegre_challenger,Round of 32,2.0,f,100,3,01:29:00,118.0,0.0,7.0,13.0,0.0,0.0,240.0,4.0,2.0,36.0,56.0,23.0,36.0,10.0,20.0,0.0,4.0,10.0,93.0,7.0,33.0,13.0,29.0,1.0,6.0,10.0,33.0,56.0,20.0,62.0,53.0,f,f,Q,f,Brazil,2.0,13.0,7.0,0.0,279.0,3.0,1.0,33.0,62.0,26.0,33.0,16.0,29.0,5.0,6.0,10.0,226.0,13.0,36.0,10.0,20.0,4.0,4.0,10.0,42.0,62.0,23.0,56.0,65.0,t,f,t,Brazil
2015-09-28,2015-10-04,Brazil,Clay,40000.0,$,2015,alexandre-tsuchiya,A. Tsuchiya,ricardo-hocevar,R. Hocevar,potro-alegre_challenger,3rd Round Qualifying,3.0,f,100,2,02:09:00,179.0,2.0,17.0,15.0,1.0,1.0,291.0,7.0,4.0,59.0,99.0,47.0,59.0,22.0,40.0,5.0,6.0,16.0,173.0,11.0,59.0,10.0,21.0,1.0,1.0,15.0,69.0,99.0,21.0,80.0,90.0,t,f,7,f,Brazil,1.0,15.0,17.0,0.0,299.0,1.0,2.0,59.0,80.0,48.0,59.0,11.0,21.0,0.0,1.0,15.0,88.0,12.0,59.0,18.0,40.0,1.0,6.0,16.0,59.0,80.0,30.0,99.0,89.0,f,f,t,Brazil
2015-09-28,2015-10-04,Brazil,Clay,40000.0,$,2015,alexandre-tsuchiya,A. Tsuchiya,sergio-galdos,S. Galdos,potro-alegre_challenger,1st Round Qualifying,2.0,f,100,0,00:54:00,94.0,2.0,12.0,3.0,0.0,0.0,307.0,2.0,1.0,25.0,41.0,19.0,25.0,11.0,16.0,0.0,0.0,7.0,237.0,22.0,42.0,8.0,11.0,5.0,10.0,8.0,30.0,41.0,30.0,53.0,60.0,t,f,7,t,Brazil,0.0,3.0,12.0,0.0,190.0,1.0,2.0,42.0,53.0,20.0,42.0,3.0,11.0,5.0,10.0,8.0,55.0,6.0,25.0,5.0,16.0,0.0,0.0,7.0,23.0,53.0,11.0,41.0,34.0,f,f,f,Brazil
2015-09-28,2015-10-04,Brazil,Clay,40000.0,$,2015,alex-blumenberg,A. Blumenberg,bruno-santanna,B. Santanna,potro-alegre_challenger,1st Round Qualifying,2.0,f,100,0,00:54:00,91.0,0.0,1.0,12.0,0.0,0.0,139.0,2.0,10.0,26.0,51.0,15.0,26.0,6.0,25.0,2.0,8.0,7.0,79.0,7.0,29.0,6.0,11.0,0.0,1.0,6.0,21.0,51.0,13.0,40.0,34.0,f,f,,f,Brazil,2.0,12.0,1.0,0.0,297.0,3.0,0.0,29.0,40.0,22.0,29.0,5.0,11.0,1.0,1.0,6.0,278.0,11.0,26.0,19.0,25.0,6.0,8.0,7.0,27.0,40.0,30.0,51.0,57.0,t,f,t,Brazil
2015-09-28,2015-10-04,Brazil,Clay,40000.0,$,2015,andre-ghem,A. Ghem,caio-zampieri,C. Zampieri,potro-alegre_challenger,Round of 32,2.0,f,100,3,01:00:00,93.0,2.0,12.0,5.0,0.0,0.0,261.0,1.0,1.0,34.0,51.0,26.0,34.0,7.0,17.0,1.0,3.0,9.0,242.0,14.0,29.0,9.0,13.0,5.0,8.0,8.0,33.0,51.0,23.0,42.0,56.0,t,f,6,t,Brazil,0.0,5.0,12.0,0.0,188.0,0.0,1.0,29.0,42.0,15.0,29.0,4.0,13.0,3.0,8.0,8.0,172.0,8.0,34.0,10.0,17.0,2.0,3.0,9.0,19.0,42.0,18.0,51.0,37.0,f,f,f,Brazil
2015-09-28,2015-10-04,Brazil,Clay,40000.0,$,2015,andre-ghem,A. Ghem,guido-pella,G. Pella,potro-alegre_challenger,Quarter-Finals,2.0,f,100,5,01:30:00,137.0,0.0,9.0,13.0,0.0,0.0,245.0,1.0,0.0,35.0,59.0,25.0,35.0,10.0,24.0,0.0,3.0,11.0,98.0,15.0,58.0,10.0,20.0,1.0,8.0,11.0,35.0,59.0,25.0,78.0,60.0,f,f,6,f,Brazil,2.0,13.0,9.0,0.0,287.0,2.0,3.0,58.0,78.0,43.0,58.0,10.0,20.0,7.0,8.0,11.0,214.0,10.0,35.0,14.0,24.0,3.0,3.0,11.0,53.0,78.0,24.0,59.0,77.0,t,f,t,Brazil
