start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2012-07-16,2012-07-22,Poland,Clay,30000.0,€,2012,adam-zaorski,A. Zaorski,dominik-kinastowski,D. Kinastowski,poznan_challenger,1st Round Qualifying,2.0,f,100,0,01:13:00,117.0,0.0,6.0,12.0,0.0,0.0,190.0,0.0,5.0,30.0,56.0,14.0,30.0,13.0,26.0,6.0,11.0,9.0,133.0,9.0,31.0,16.0,30.0,2.0,7.0,9.0,27.0,56.0,25.0,61.0,52.0,f,f,,f,Poland,2.0,12.0,6.0,0.0,239.0,2.0,9.0,31.0,61.0,22.0,31.0,14.0,30.0,5.0,7.0,9.0,203.0,16.0,30.0,13.0,26.0,5.0,11.0,9.0,36.0,61.0,29.0,56.0,65.0,t,f,t,Poland
2012-07-16,2012-07-22,Poland,Clay,30000.0,€,2012,andreas-haider-maurer,A. Haider-Maurer,gerard-granollers,G. Granollers,poznan_challenger,Round of 32,2.0,f,100,3,01:14:00,109.0,2.0,12.0,7.0,0.0,0.0,306.0,0.0,0.0,30.0,49.0,26.0,30.0,13.0,19.0,2.0,3.0,10.0,171.0,15.0,41.0,11.0,19.0,3.0,7.0,9.0,39.0,49.0,26.0,60.0,65.0,t,f,7,t,Poland,0.0,7.0,12.0,0.0,236.0,0.0,3.0,41.0,60.0,26.0,41.0,8.0,19.0,4.0,7.0,9.0,88.0,4.0,30.0,6.0,19.0,1.0,3.0,10.0,34.0,60.0,10.0,49.0,44.0,f,f,f,Poland
2012-07-16,2012-07-22,Poland,Clay,30000.0,€,2012,andreas-haider-maurer,A. Haider-Maurer,jerzy-janowicz,J. Janowicz,poznan_challenger,Semi-Finals,3.0,f,100,6,02:06:00,189.0,1.0,15.0,17.0,0.0,0.0,289.0,14.0,3.0,64.0,99.0,46.0,64.0,19.0,35.0,7.0,9.0,16.0,80.0,12.0,52.0,13.0,38.0,1.0,6.0,16.0,65.0,99.0,25.0,90.0,90.0,f,f,7,f,Poland,2.0,17.0,15.0,0.0,303.0,11.0,2.0,52.0,90.0,40.0,52.0,25.0,38.0,5.0,6.0,16.0,108.0,18.0,64.0,16.0,35.0,2.0,9.0,16.0,65.0,90.0,34.0,99.0,99.0,t,f,t,Poland
2012-07-16,2012-07-22,Poland,Clay,30000.0,€,2012,andreas-haider-maurer,A. Haider-Maurer,sergio-gutierrez-ferrol,S. Gutierrez-Ferrol,poznan_challenger,Round of 16,2.0,f,100,4,01:08:00,114.0,2.0,12.0,5.0,0.0,0.0,264.0,5.0,3.0,42.0,61.0,31.0,42.0,8.0,19.0,3.0,5.0,9.0,229.0,10.0,25.0,18.0,28.0,5.0,8.0,8.0,39.0,61.0,28.0,53.0,67.0,t,f,7,t,Poland,0.0,5.0,12.0,0.0,179.0,4.0,5.0,25.0,53.0,15.0,25.0,10.0,28.0,3.0,8.0,8.0,146.0,11.0,42.0,11.0,19.0,2.0,5.0,9.0,25.0,53.0,22.0,61.0,47.0,f,f,f,Poland
2012-07-16,2012-07-22,Poland,Clay,30000.0,€,2012,andreas-haider-maurer,A. Haider-Maurer,uladzimir-ignatik,U. Ignatik,poznan_challenger,Quarter-Finals,3.0,f,100,5,02:13:00,195.0,2.0,15.0,16.0,1.0,1.0,291.0,5.0,1.0,76.0,111.0,53.0,76.0,22.0,35.0,10.0,12.0,15.0,106.0,11.0,66.0,9.0,18.0,1.0,3.0,15.0,75.0,111.0,20.0,84.0,95.0,t,f,7,f,Poland,1.0,16.0,15.0,0.0,308.0,6.0,3.0,66.0,84.0,55.0,66.0,9.0,18.0,2.0,3.0,15.0,97.0,23.0,76.0,13.0,35.0,2.0,12.0,15.0,64.0,84.0,36.0,111.0,100.0,f,f,t,Poland
2012-07-16,2012-07-22,Poland,Clay,30000.0,€,2012,andrej-martin,A. Martin,axel-michon,A. Michon,poznan_challenger,Round of 32,2.0,f,100,3,01:43:00,153.0,0.0,8.0,13.0,0.0,0.0,224.0,4.0,1.0,45.0,68.0,20.0,45.0,14.0,23.0,6.0,11.0,10.0,141.0,19.0,56.0,16.0,29.0,3.0,12.0,11.0,34.0,68.0,35.0,85.0,69.0,f,f,,f,Poland,2.0,13.0,8.0,0.0,244.0,0.0,5.0,56.0,85.0,37.0,56.0,13.0,29.0,9.0,12.0,11.0,190.0,25.0,45.0,9.0,23.0,5.0,11.0,10.0,50.0,85.0,34.0,68.0,84.0,t,f,t,Poland
2012-07-16,2012-07-22,Poland,Clay,30000.0,€,2012,andriej-kapas,A. Kapas,arnau-brugues-davi,A. Brugues-Davi,poznan_challenger,Round of 32,3.0,f,100,3,02:45:00,251.0,1.0,17.0,19.0,1.0,2.0,269.0,8.0,7.0,61.0,120.0,46.0,61.0,32.0,59.0,2.0,4.0,17.0,94.0,26.0,96.0,18.0,35.0,1.0,9.0,17.0,78.0,120.0,44.0,131.0,122.0,f,f,WC,t,Poland,2.0,19.0,17.0,1.0,287.0,2.0,4.0,96.0,131.0,70.0,96.0,17.0,35.0,8.0,9.0,17.0,132.0,15.0,61.0,27.0,59.0,2.0,4.0,17.0,87.0,131.0,42.0,120.0,129.0,t,f,f,Poland
2012-07-16,2012-07-22,Poland,Clay,30000.0,€,2012,arkadiusz-kocyla,A. Kocyla,michael-ryderstedt,M. Ryderstedt,poznan_challenger,2nd Round Qualifying,2.0,f,100,1,01:13:00,98.0,0.0,6.0,12.0,0.0,0.0,236.0,2.0,1.0,28.0,51.0,20.0,28.0,10.0,23.0,3.0,6.0,9.0,48.0,4.0,33.0,5.0,14.0,0.0,1.0,9.0,30.0,51.0,9.0,47.0,39.0,f,f,,f,Poland,2.0,12.0,6.0,0.0,328.0,8.0,2.0,33.0,47.0,29.0,33.0,9.0,14.0,1.0,1.0,9.0,169.0,8.0,28.0,13.0,23.0,3.0,6.0,9.0,38.0,47.0,21.0,51.0,59.0,t,f,t,Poland
2012-07-16,2012-07-22,Poland,Clay,30000.0,€,2012,arkadiusz-kocyla,A. Kocyla,piotr-zbroja,P. Zbroja,poznan_challenger,1st Round Qualifying,2.0,f,100,0,01:08:00,88.0,2.0,12.0,2.0,0.0,0.0,302.0,0.0,0.0,25.0,43.0,18.0,25.0,13.0,18.0,1.0,1.0,7.0,273.0,9.0,26.0,16.0,19.0,5.0,6.0,7.0,31.0,43.0,25.0,45.0,56.0,t,f,,t,Poland,0.0,2.0,12.0,0.0,165.0,1.0,3.0,26.0,45.0,17.0,26.0,3.0,19.0,1.0,6.0,7.0,56.0,7.0,25.0,5.0,18.0,0.0,1.0,7.0,20.0,45.0,12.0,43.0,32.0,f,f,f,Poland
2012-07-16,2012-07-22,Poland,Clay,30000.0,€,2012,arnau-brugues-davi,A. Brugues-Davi,javier-marti,J. Marti,poznan_challenger,Round of 16,3.0,f,100,4,02:23:00,195.0,2.0,18.0,11.0,0.0,1.0,284.0,4.0,4.0,62.0,96.0,42.0,62.0,20.0,34.0,6.0,7.0,14.0,153.0,27.0,68.0,13.0,31.0,5.0,14.0,14.0,62.0,96.0,40.0,99.0,102.0,t,f,8,f,Poland,1.0,11.0,18.0,1.0,251.0,3.0,3.0,68.0,99.0,41.0,68.0,18.0,31.0,9.0,14.0,14.0,94.0,20.0,62.0,14.0,34.0,1.0,7.0,14.0,59.0,99.0,34.0,96.0,93.0,f,f,t,Poland
