,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2015-10-26,2015-10-31,India,Hard,50000.0,$,2015,adrian-menendez-maceiras,A. Menendez-Maceiras,alexander-kudryavtsev,A. Kudryavtsev,pune_challenger,Quarter-Finals,2.0,f,100,5,01:07:00,107.0,0.0,3.0,12.0,0.0,0.0,200.0,1.0,2.0,30.0,48.0,17.0,30.0,7.0,18.0,3.0,7.0,7.0,61.0,7.0,30.0,11.0,29.0,0.0,3.0,8.0,24.0,48.0,18.0,59.0,42.0,f,f,3,f,India,2.0,12.0,3.0,0.0,298.0,9.0,1.0,30.0,59.0,23.0,30.0,18.0,29.0,3.0,3.0,8.0,218.0,13.0,30.0,11.0,18.0,4.0,7.0,7.0,41.0,59.0,24.0,48.0,65.0,t,f,t,India
1,2015-10-26,2015-10-31,India,Hard,50000.0,$,2015,adrian-menendez-maceiras,A. Menendez-Maceiras,maximilian-neuchrist,M. Neuchrist,pune_challenger,Round of 32,2.0,f,100,3,01:12:00,107.0,2.0,12.0,7.0,0.0,0.0,315.0,7.0,1.0,31.0,50.0,26.0,31.0,12.0,19.0,1.0,1.0,9.0,171.0,10.0,30.0,13.0,27.0,3.0,5.0,10.0,38.0,50.0,23.0,57.0,61.0,t,f,3,t,India,0.0,7.0,12.0,0.0,243.0,5.0,4.0,30.0,57.0,20.0,30.0,14.0,27.0,2.0,5.0,10.0,53.0,5.0,31.0,7.0,19.0,0.0,1.0,9.0,34.0,57.0,12.0,50.0,46.0,f,f,f,India
2,2015-10-26,2015-10-31,India,Hard,50000.0,$,2015,adrian-menendez-maceiras,A. Menendez-Maceiras,ramkumar-ramanathan,R. Ramanathan,pune_challenger,Round of 16,2.0,f,100,4,02:19:00,170.0,2.0,14.0,12.0,2.0,2.0,257.0,3.0,2.0,57.0,92.0,40.0,57.0,17.0,35.0,2.0,5.0,12.0,164.0,9.0,41.0,21.0,37.0,3.0,5.0,12.0,57.0,92.0,30.0,78.0,87.0,t,f,3,t,India,0.0,12.0,14.0,0.0,259.0,15.0,5.0,41.0,78.0,32.0,41.0,16.0,37.0,2.0,5.0,12.0,166.0,17.0,57.0,18.0,35.0,3.0,5.0,12.0,48.0,78.0,35.0,92.0,83.0,f,f,f,India
3,2015-10-26,2015-10-31,India,Hard,50000.0,$,2015,alessandro-bega,A. Bega,sanam-singh,S. Singh,pune_challenger,Round of 32,2.0,f,100,3,01:15:00,118.0,0.0,5.0,12.0,0.0,0.0,198.0,0.0,4.0,43.0,64.0,23.0,43.0,8.0,21.0,7.0,12.0,9.0,109.0,8.0,29.0,11.0,25.0,1.0,4.0,8.0,31.0,64.0,19.0,54.0,50.0,f,f,,f,India,2.0,12.0,5.0,0.0,273.0,8.0,4.0,29.0,54.0,21.0,29.0,14.0,25.0,3.0,4.0,8.0,206.0,20.0,43.0,13.0,21.0,5.0,12.0,9.0,35.0,54.0,33.0,64.0,68.0,t,f,t,India
4,2015-10-26,2015-10-31,India,Hard,50000.0,$,2015,alexander-kudryavtsev,A. Kudryavtsev,evgeny-donskoy,E. Donskoy,pune_challenger,Semi-Finals,3.0,f,100,6,01:48:00,183.0,1.0,14.0,16.0,0.0,0.0,254.0,7.0,4.0,61.0,99.0,47.0,61.0,15.0,38.0,9.0,13.0,15.0,126.0,15.0,51.0,13.0,33.0,3.0,8.0,15.0,62.0,99.0,28.0,84.0,90.0,f,f,8,f,India,2.0,16.0,14.0,0.0,284.0,12.0,1.0,51.0,84.0,36.0,51.0,20.0,33.0,5.0,8.0,15.0,141.0,14.0,61.0,23.0,38.0,4.0,13.0,15.0,56.0,84.0,37.0,99.0,93.0,t,f,t,India
5,2015-10-26,2015-10-31,India,Hard,50000.0,$,2015,alexander-kudryavtsev,A. Kudryavtsev,sanam-singh,S. Singh,pune_challenger,Round of 16,2.0,f,100,4,00:56:00,108.0,2.0,12.0,6.0,0.0,0.0,282.0,6.0,4.0,30.0,53.0,21.0,30.0,15.0,23.0,3.0,4.0,9.0,194.0,15.0,36.0,11.0,19.0,4.0,8.0,9.0,36.0,53.0,26.0,55.0,62.0,t,f,8,t,India,0.0,6.0,12.0,0.0,217.0,2.0,5.0,36.0,55.0,21.0,36.0,8.0,19.0,4.0,8.0,9.0,101.0,9.0,30.0,8.0,23.0,1.0,4.0,9.0,29.0,55.0,17.0,53.0,46.0,f,f,f,India
6,2015-10-26,2015-10-31,India,Hard,50000.0,$,2015,alexander-kudryavtsev,A. Kudryavtsev,stephane-robert,S. Robert,pune_challenger,Round of 32,2.0,f,100,3,01:24:00,149.0,2.0,13.0,9.0,1.0,1.0,288.0,8.0,5.0,40.0,84.0,34.0,40.0,23.0,44.0,3.0,3.0,11.0,110.0,6.0,32.0,16.0,33.0,1.0,3.0,10.0,57.0,84.0,22.0,65.0,79.0,t,f,8,t,India,0.0,9.0,13.0,0.0,275.0,6.0,3.0,32.0,65.0,26.0,32.0,17.0,33.0,2.0,3.0,10.0,63.0,6.0,40.0,21.0,44.0,0.0,3.0,11.0,43.0,65.0,27.0,84.0,70.0,f,f,f,India
7,2015-10-26,2015-10-31,India,Hard,50000.0,$,2015,anvit-bendre,A. Bendre,yuki-bhambri,Y. Bhambri,pune_challenger,Round of 32,2.0,f,100,3,01:11:00,121.0,0.0,6.0,12.0,0.0,0.0,219.0,4.0,3.0,33.0,79.0,24.0,33.0,17.0,46.0,8.0,11.0,9.0,31.0,3.0,26.0,3.0,16.0,0.0,0.0,9.0,41.0,79.0,6.0,42.0,47.0,f,f,WC,f,India,2.0,12.0,6.0,0.0,337.0,7.0,1.0,26.0,42.0,23.0,26.0,13.0,16.0,0.0,0.0,9.0,150.0,9.0,33.0,29.0,46.0,3.0,11.0,9.0,36.0,42.0,38.0,79.0,74.0,t,f,t,India
8,2015-10-26,2015-10-31,India,Hard,50000.0,$,2015,arpit-sharma,A. Sharma,neishit-vakil,N. Vakil,pune_challenger,1st Round Qualifying,2.0,f,100,0,00:55:00,90.0,2.0,12.0,4.0,0.0,0.0,298.0,4.0,3.0,22.0,40.0,17.0,22.0,14.0,18.0,2.0,3.0,8.0,236.0,16.0,30.0,13.0,20.0,5.0,9.0,8.0,31.0,40.0,29.0,50.0,60.0,t,f,WC,t,India,0.0,4.0,12.0,0.0,176.0,1.0,4.0,30.0,50.0,14.0,30.0,7.0,20.0,4.0,9.0,8.0,90.0,5.0,22.0,4.0,18.0,1.0,3.0,8.0,21.0,50.0,9.0,40.0,30.0,f,f,f,India
9,2015-10-26,2015-10-31,India,Hard,50000.0,$,2015,arpit-sharma,A. Sharma,temur-ismailov,T. Ismailov,pune_challenger,2nd Round Qualifying,2.0,f,100,1,01:06:00,114.0,0.0,7.0,12.0,0.0,0.0,242.0,7.0,4.0,35.0,66.0,25.0,35.0,14.0,31.0,5.0,8.0,10.0,53.0,3.0,32.0,7.0,16.0,0.0,1.0,9.0,39.0,66.0,10.0,48.0,49.0,f,f,WC,f,India,2.0,12.0,7.0,0.0,327.0,16.0,3.0,32.0,48.0,29.0,32.0,9.0,16.0,1.0,1.0,9.0,152.0,10.0,35.0,17.0,31.0,3.0,8.0,10.0,38.0,48.0,27.0,66.0,65.0,t,f,t,India
