start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2017-11-13,2017-11-18,India,Hard,50000.0,$,2017,abhinav-sanjeev-shanmugam,A. Shanmugam,shalva-dzhanashia,S. Dzhanashia,pune_challenger,1st Round Qualifying,2.0,f,100,0,01:31:00,128.0,0.0,6.0,12.0,0.0,0.0,226.0,5.0,4.0,30.0,65.0,20.0,30.0,16.0,35.0,6.0,9.0,9.0,92.0,13.0,51.0,8.0,12.0,0.0,6.0,9.0,36.0,65.0,21.0,63.0,57.0,f,f,,f,India,2.0,12.0,6.0,0.0,289.0,2.0,2.0,51.0,63.0,38.0,51.0,4.0,12.0,6.0,6.0,9.0,153.0,10.0,30.0,19.0,35.0,3.0,9.0,9.0,42.0,63.0,29.0,65.0,71.0,t,f,t,India
2017-11-13,2017-11-18,India,Hard,50000.0,$,2017,adrian-menendez-maceiras,A. Menendez-Maceiras,aleksandr-nedovyesov,A. Nedovyesov,pune_challenger,Quarter-Finals,2.0,f,100,5,01:09:00,96.0,2.0,11.0,6.0,0.0,0.0,314.0,5.0,1.0,25.0,43.0,20.0,25.0,13.0,18.0,0.0,0.0,8.0,200.0,10.0,28.0,14.0,25.0,3.0,4.0,9.0,33.0,43.0,24.0,53.0,57.0,t,t,2,t,India,0.0,6.0,11.0,0.0,229.0,4.0,2.0,28.0,53.0,18.0,28.0,11.0,25.0,1.0,4.0,9.0,48.0,5.0,25.0,5.0,18.0,0.0,0.0,8.0,29.0,53.0,10.0,43.0,39.0,f,t,f,India
2017-11-13,2017-11-18,India,Hard,50000.0,$,2017,adrian-menendez-maceiras,A. Menendez-Maceiras,borna-gojo,B. Gojo,pune_challenger,Round of 32,2.0,f,100,3,01:07:00,104.0,2.0,12.0,5.0,0.0,0.0,313.0,9.0,1.0,39.0,51.0,31.0,39.0,6.0,12.0,2.0,2.0,8.0,212.0,8.0,20.0,16.0,33.0,4.0,5.0,9.0,37.0,51.0,24.0,53.0,61.0,t,f,2,t,India,0.0,5.0,12.0,0.0,202.0,3.0,6.0,20.0,53.0,12.0,20.0,17.0,33.0,1.0,5.0,9.0,71.0,8.0,39.0,6.0,12.0,0.0,2.0,8.0,29.0,53.0,14.0,51.0,43.0,f,f,f,India
2017-11-13,2017-11-18,India,Hard,50000.0,$,2017,adrian-menendez-maceiras,A. Menendez-Maceiras,sumit-nagal,S. Nagal,pune_challenger,Round of 16,2.0,f,100,4,01:25:00,125.0,2.0,12.0,7.0,0.0,0.0,293.0,4.0,2.0,38.0,57.0,29.0,38.0,11.0,19.0,3.0,4.0,10.0,161.0,18.0,42.0,11.0,26.0,3.0,7.0,9.0,40.0,57.0,29.0,68.0,69.0,t,f,2,t,India,0.0,7.0,12.0,0.0,243.0,2.0,2.0,42.0,68.0,24.0,42.0,15.0,26.0,4.0,7.0,9.0,101.0,9.0,38.0,8.0,19.0,1.0,4.0,10.0,39.0,68.0,17.0,57.0,56.0,f,f,f,India
2017-11-13,2017-11-18,India,Hard,50000.0,$,2017,adrian-menendez-maceiras,A. Menendez-Maceiras,yuki-bhambri,Y. Bhambri,pune_challenger,Semi-Finals,2.0,f,100,6,01:40:00,130.0,0.0,6.0,12.0,0.0,0.0,227.0,3.0,2.0,39.0,77.0,24.0,39.0,18.0,38.0,9.0,12.0,9.0,55.0,7.0,31.0,7.0,22.0,0.0,1.0,9.0,42.0,77.0,14.0,53.0,56.0,f,f,2,f,India,2.0,12.0,6.0,0.0,304.0,2.0,1.0,31.0,53.0,24.0,31.0,15.0,22.0,1.0,1.0,9.0,149.0,15.0,39.0,20.0,38.0,3.0,12.0,9.0,39.0,53.0,35.0,77.0,74.0,t,f,t,India
2017-11-13,2017-11-18,India,Hard,50000.0,$,2017,aleksandr-nedovyesov,A. Nedovyesov,n.sriram-balaji,N. Balaji,pune_challenger,Round of 16,3.0,f,100,4,02:27:00,211.0,2.0,18.0,16.0,0.0,0.0,302.0,7.0,0.0,57.0,90.0,42.0,57.0,23.0,33.0,4.0,6.0,17.0,120.0,15.0,57.0,32.0,64.0,3.0,11.0,17.0,65.0,90.0,47.0,121.0,112.0,t,f,9,f,India,1.0,16.0,18.0,0.0,256.0,10.0,7.0,57.0,121.0,42.0,57.0,32.0,64.0,8.0,11.0,17.0,100.0,15.0,57.0,10.0,33.0,2.0,6.0,17.0,74.0,121.0,25.0,90.0,99.0,f,f,t,India
2017-11-13,2017-11-18,India,Hard,50000.0,$,2017,aleksandr-nedovyesov,A. Nedovyesov,vishnu-vardhan,V. Vardhan,pune_challenger,Round of 32,3.0,f,100,3,02:10:00,203.0,2.0,17.0,15.0,1.0,1.0,284.0,8.0,6.0,62.0,92.0,49.0,62.0,15.0,30.0,0.0,2.0,15.0,135.0,17.0,71.0,25.0,40.0,3.0,10.0,16.0,64.0,92.0,42.0,111.0,106.0,t,f,9,t,India,1.0,15.0,17.0,0.0,264.0,9.0,4.0,71.0,111.0,54.0,71.0,15.0,40.0,7.0,10.0,16.0,184.0,13.0,62.0,15.0,30.0,2.0,2.0,15.0,69.0,111.0,28.0,92.0,97.0,f,f,f,India
2017-11-13,2017-11-18,India,Hard,50000.0,$,2017,alexei-popyrin,A. Popyrin,kaichi-uchida,K. Uchida,pune_challenger,3rd Round Qualifying,2.0,f,100,2,01:06:00,107.0,0.0,6.0,12.0,0.0,0.0,243.0,9.0,1.0,25.0,52.0,21.0,25.0,10.0,27.0,4.0,7.0,9.0,59.0,5.0,35.0,9.0,20.0,0.0,6.0,9.0,31.0,52.0,14.0,55.0,45.0,f,f,8,f,India,2.0,12.0,6.0,0.0,312.0,8.0,1.0,35.0,55.0,30.0,35.0,11.0,20.0,6.0,6.0,9.0,155.0,4.0,25.0,17.0,27.0,3.0,7.0,9.0,41.0,55.0,21.0,52.0,62.0,t,f,t,India
2017-11-13,2017-11-18,India,Hard,50000.0,$,2017,alexei-popyrin,A. Popyrin,ranjeet-virali-murugesan,R. Virali-Murugesan,pune_challenger,2nd Round Qualifying,1.0,f,100,1,00:16:00,7.0,1.0,1.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,200.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,7.0,t,t,8,t,India,0.0,0.0,1.0,0.0,67.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,f,t,f,India
2017-11-13,2017-11-18,India,Hard,50000.0,$,2017,alexei-popyrin,A. Popyrin,vinayak-sharma-kaza,V. Kaza,pune_challenger,1st Round Qualifying,2.0,f,100,0,01:12:00,118.0,2.0,13.0,8.0,0.0,0.0,313.0,12.0,2.0,30.0,61.0,28.0,30.0,19.0,31.0,2.0,2.0,11.0,193.0,8.0,35.0,11.0,22.0,2.0,2.0,10.0,47.0,61.0,19.0,57.0,66.0,t,f,8,t,India,0.0,8.0,13.0,0.0,270.0,3.0,1.0,35.0,57.0,27.0,35.0,11.0,22.0,0.0,2.0,10.0,46.0,2.0,30.0,12.0,31.0,0.0,2.0,11.0,38.0,57.0,14.0,61.0,52.0,f,f,f,India
