,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2011-02-07,2011-02-13,France,Hard,30000.0,€,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,gregoire-burquier,G. Burquier,quimper_challenger,Round of 32,3.0,f,100,3,03:01:00,236.0,1.0,14.0,17.0,0.0,0.0,238.0,3.0,1.0,68.0,116.0,43.0,68.0,23.0,48.0,14.0,19.0,15.0,138.0,25.0,71.0,26.0,49.0,4.0,16.0,16.0,66.0,116.0,51.0,120.0,117.0,f,f,,t,France,2.0,17.0,14.0,0.0,247.0,7.0,6.0,71.0,120.0,46.0,71.0,23.0,49.0,12.0,16.0,16.0,148.0,25.0,68.0,25.0,48.0,5.0,19.0,15.0,69.0,120.0,50.0,116.0,119.0,t,f,f,France
1,2011-02-07,2011-02-13,France,Hard,30000.0,€,2011,amir-weintraub,A. Weintraub,florian-reynet,F. Reynet,quimper_challenger,Round of 32,3.0,f,100,3,02:02:00,193.0,2.0,17.0,14.0,0.0,0.0,246.0,11.0,7.0,69.0,95.0,48.0,69.0,8.0,26.0,0.0,5.0,16.0,192.0,25.0,63.0,20.0,35.0,6.0,11.0,15.0,56.0,95.0,45.0,98.0,101.0,t,f,,t,France,1.0,14.0,17.0,0.0,225.0,6.0,8.0,63.0,98.0,38.0,63.0,15.0,35.0,5.0,11.0,15.0,230.0,21.0,69.0,18.0,26.0,5.0,5.0,16.0,53.0,98.0,39.0,95.0,92.0,f,f,f,France
2,2011-02-07,2011-02-13,France,Hard,30000.0,€,2011,amir-weintraub,A. Weintraub,laurent-rochette,L. Rochette,quimper_challenger,Round of 16,3.0,f,100,4,02:10:00,200.0,1.0,14.0,19.0,1.0,1.0,234.0,3.0,3.0,64.0,101.0,40.0,64.0,17.0,37.0,4.0,10.0,16.0,191.0,13.0,54.0,22.0,45.0,3.0,3.0,16.0,57.0,101.0,35.0,99.0,92.0,f,f,,t,France,2.0,19.0,14.0,0.0,263.0,4.0,4.0,54.0,99.0,41.0,54.0,23.0,45.0,0.0,3.0,16.0,189.0,24.0,64.0,20.0,37.0,6.0,10.0,16.0,64.0,99.0,44.0,101.0,108.0,t,f,f,France
3,2011-02-07,2011-02-13,France,Hard,30000.0,€,2011,andrea-arnaboldi,A. Arnaboldi,kenny-de-schepper,K. De Schepper,quimper_challenger,Round of 32,3.0,f,100,3,03:13:00,260.0,1.0,17.0,19.0,1.0,2.0,284.0,4.0,1.0,104.0,142.0,68.0,104.0,23.0,38.0,18.0,21.0,17.0,113.0,20.0,78.0,17.0,40.0,2.0,6.0,17.0,91.0,142.0,37.0,118.0,128.0,f,f,,f,France,2.0,19.0,17.0,1.0,303.0,22.0,5.0,78.0,118.0,58.0,78.0,23.0,40.0,4.0,6.0,17.0,105.0,36.0,104.0,15.0,38.0,3.0,21.0,17.0,81.0,118.0,51.0,142.0,132.0,t,f,t,France
4,2011-02-07,2011-02-13,France,Hard,30000.0,€,2011,augustin-gensse,A. Gensse,mathieu-rodrigues,M. Rodrigues,quimper_challenger,Round of 16,2.0,f,100,4,01:40:00,129.0,0.0,9.0,13.0,0.0,1.0,245.0,3.0,0.0,34.0,60.0,22.0,34.0,13.0,26.0,2.0,5.0,10.0,131.0,6.0,32.0,20.0,37.0,2.0,5.0,11.0,35.0,60.0,26.0,69.0,61.0,f,f,6,f,France,2.0,13.0,9.0,1.0,251.0,1.0,4.0,32.0,69.0,26.0,32.0,17.0,37.0,3.0,5.0,11.0,175.0,12.0,34.0,13.0,26.0,3.0,5.0,10.0,43.0,69.0,25.0,60.0,68.0,t,f,t,France
5,2011-02-07,2011-02-13,France,Hard,30000.0,€,2011,augustin-gensse,A. Gensse,maxime-teixeira,M. Teixeira,quimper_challenger,Round of 32,2.0,f,100,3,01:41:00,148.0,2.0,13.0,10.0,1.0,1.0,251.0,1.0,1.0,47.0,75.0,29.0,47.0,15.0,28.0,3.0,6.0,11.0,163.0,10.0,36.0,22.0,37.0,4.0,10.0,11.0,44.0,75.0,32.0,73.0,76.0,t,f,6,t,France,0.0,10.0,13.0,0.0,221.0,1.0,5.0,36.0,73.0,26.0,36.0,15.0,37.0,6.0,10.0,11.0,161.0,18.0,47.0,13.0,28.0,3.0,6.0,11.0,41.0,73.0,31.0,75.0,72.0,f,f,f,France
6,2011-02-07,2011-02-13,France,Hard,30000.0,€,2011,charles-antoine-brezac,C. Brezac,romain-jouan,R. Jouan,quimper_challenger,Round of 32,3.0,f,100,3,02:09:00,213.0,1.0,16.0,19.0,1.0,2.0,297.0,13.0,3.0,67.0,109.0,47.0,67.0,29.0,42.0,4.0,6.0,16.0,105.0,13.0,68.0,11.0,36.0,1.0,2.0,17.0,76.0,109.0,24.0,104.0,100.0,f,f,,f,France,2.0,19.0,16.0,1.0,321.0,13.0,1.0,68.0,104.0,55.0,68.0,25.0,36.0,1.0,2.0,17.0,106.0,20.0,67.0,13.0,42.0,2.0,6.0,16.0,80.0,104.0,33.0,109.0,113.0,t,f,t,France
7,2011-02-07,2011-02-13,France,Hard,30000.0,€,2011,clement-reix,C. Reix,matteo-trevisan,M. Trevisan,quimper_challenger,Round of 32,2.0,f,100,3,01:25:00,124.0,2.0,13.0,7.0,0.0,0.0,309.0,11.0,2.0,34.0,53.0,30.0,34.0,11.0,19.0,1.0,2.0,10.0,167.0,12.0,36.0,19.0,35.0,4.0,10.0,10.0,41.0,53.0,31.0,71.0,72.0,t,f,,t,France,0.0,7.0,13.0,0.0,221.0,0.0,3.0,36.0,71.0,24.0,36.0,16.0,35.0,6.0,10.0,10.0,114.0,4.0,34.0,8.0,19.0,1.0,2.0,10.0,40.0,71.0,12.0,53.0,52.0,f,f,f,France
8,2011-02-07,2011-02-13,France,Hard,30000.0,€,2011,clement-reix,C. Reix,olivier-patience,O. Patience,quimper_challenger,Round of 16,2.0,f,100,4,01:02:00,111.0,0.0,6.0,13.0,0.0,0.0,208.0,10.0,5.0,26.0,64.0,17.0,26.0,16.0,38.0,4.0,8.0,9.0,160.0,5.0,36.0,4.0,11.0,1.0,1.0,10.0,33.0,64.0,9.0,47.0,42.0,f,f,,f,France,2.0,13.0,6.0,0.0,325.0,8.0,0.0,36.0,47.0,31.0,36.0,7.0,11.0,0.0,1.0,10.0,187.0,9.0,26.0,22.0,38.0,4.0,8.0,9.0,38.0,47.0,31.0,64.0,69.0,t,f,t,France
9,2011-02-07,2011-02-13,France,Hard,30000.0,€,2011,conor-niland,C. Niland,sebastian-rieschick,S. Rieschick,quimper_challenger,Round of 32,2.0,f,100,3,01:09:00,108.0,0.0,7.0,12.0,0.0,0.0,245.0,5.0,2.0,31.0,55.0,23.0,31.0,10.0,24.0,1.0,4.0,10.0,56.0,7.0,33.0,7.0,20.0,0.0,3.0,9.0,33.0,55.0,14.0,53.0,47.0,f,f,2,f,France,2.0,12.0,7.0,0.0,304.0,0.0,2.0,33.0,53.0,26.0,33.0,13.0,20.0,3.0,3.0,9.0,189.0,8.0,31.0,14.0,24.0,3.0,4.0,10.0,39.0,53.0,22.0,55.0,61.0,t,f,t,France
