start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2018-01-29,2018-02-04,France,Hard,43000.0,€,2018,aldin-setkic,A. Setkic,stefanos-tsitsipas,S. Tsitsipas,quimper_challenger,Round of 32,2.0,f,100,3,01:10:00,115.0,0.0,7.0,12.0,0.0,0.0,258.0,6.0,2.0,42.0,62.0,29.0,42.0,8.0,20.0,5.0,7.0,9.0,49.0,5.0,32.0,7.0,21.0,0.0,1.0,10.0,37.0,62.0,12.0,53.0,49.0,f,f,,f,France,2.0,12.0,7.0,0.0,319.0,10.0,2.0,32.0,53.0,27.0,32.0,14.0,21.0,1.0,1.0,10.0,142.0,13.0,42.0,12.0,20.0,2.0,7.0,9.0,41.0,53.0,25.0,62.0,66.0,t,f,t,France
2018-01-29,2018-02-04,France,Hard,43000.0,€,2018,alexandre-muller,A. Muller,gregoire-barrere,G. Barrere,quimper_challenger,3rd Round Qualifying,2.0,f,100,2,01:02:00,122.0,0.0,9.0,13.0,0.0,1.0,288.0,11.0,4.0,46.0,66.0,35.0,46.0,9.0,20.0,2.0,3.0,10.0,36.0,3.0,38.0,5.0,18.0,0.0,0.0,11.0,44.0,66.0,8.0,56.0,52.0,f,f,8,f,France,2.0,13.0,9.0,1.0,340.0,10.0,2.0,38.0,56.0,35.0,38.0,13.0,18.0,0.0,0.0,11.0,122.0,11.0,46.0,11.0,20.0,1.0,3.0,10.0,48.0,56.0,22.0,66.0,70.0,t,f,t,France
2018-01-29,2018-02-04,France,Hard,43000.0,€,2018,alexandre-muller,A. Muller,romain-arneodo,R. Arneodo,quimper_challenger,2nd Round Qualifying,2.0,f,100,1,01:18:00,138.0,2.0,13.0,8.0,1.0,1.0,299.0,4.0,0.0,52.0,70.0,39.0,52.0,10.0,18.0,1.0,2.0,10.0,159.0,17.0,42.0,12.0,26.0,3.0,7.0,10.0,49.0,70.0,29.0,68.0,78.0,t,f,8,t,France,0.0,8.0,13.0,0.0,247.0,5.0,4.0,42.0,68.0,25.0,42.0,14.0,26.0,4.0,7.0,10.0,129.0,13.0,52.0,8.0,18.0,1.0,2.0,10.0,39.0,68.0,21.0,70.0,60.0,f,f,f,France
2018-01-29,2018-02-04,France,Hard,43000.0,€,2018,alexey-vatutin,A. Vatutin,calvin-hemery-,C. Hemery,quimper_challenger,Semi-Finals,2.0,f,100,6,01:34:00,149.0,2.0,13.0,10.0,1.0,1.0,313.0,2.0,1.0,37.0,64.0,31.0,37.0,19.0,27.0,0.0,0.0,11.0,101.0,9.0,48.0,24.0,37.0,1.0,13.0,11.0,50.0,64.0,33.0,85.0,83.0,t,f,,t,France,0.0,10.0,13.0,0.0,270.0,14.0,6.0,48.0,85.0,39.0,48.0,13.0,37.0,12.0,13.0,11.0,46.0,6.0,37.0,8.0,27.0,0.0,0.0,11.0,52.0,85.0,14.0,64.0,66.0,f,f,f,France
2018-01-29,2018-02-04,France,Hard,43000.0,€,2018,alexey-vatutin,A. Vatutin,elliot-benchetrit,E. Benchetrit,quimper_challenger,Round of 32,2.0,f,100,3,00:50:00,90.0,2.0,12.0,2.0,0.0,0.0,275.0,1.0,2.0,12.0,41.0,9.0,12.0,21.0,29.0,1.0,1.0,7.0,267.0,9.0,26.0,18.0,23.0,5.0,6.0,7.0,30.0,41.0,27.0,49.0,57.0,t,f,,t,France,0.0,2.0,12.0,0.0,173.0,6.0,1.0,26.0,49.0,17.0,26.0,5.0,23.0,1.0,6.0,7.0,53.0,3.0,12.0,8.0,29.0,0.0,1.0,7.0,22.0,49.0,11.0,41.0,33.0,f,f,f,France
2018-01-29,2018-02-04,France,Hard,43000.0,€,2018,alexey-vatutin,A. Vatutin,mirza-basic,M. Basic,quimper_challenger,Round of 16,3.0,f,100,4,01:50:00,191.0,2.0,16.0,15.0,1.0,1.0,271.0,6.0,6.0,56.0,99.0,39.0,56.0,25.0,43.0,4.0,6.0,15.0,190.0,8.0,57.0,22.0,35.0,2.0,2.0,15.0,64.0,99.0,30.0,92.0,94.0,t,f,,t,France,1.0,15.0,16.0,0.0,277.0,10.0,4.0,57.0,92.0,49.0,57.0,13.0,35.0,0.0,2.0,15.0,118.0,17.0,56.0,18.0,43.0,2.0,6.0,15.0,62.0,92.0,35.0,99.0,97.0,f,f,f,France
2018-01-29,2018-02-04,France,Hard,43000.0,€,2018,alexey-vatutin,A. Vatutin,quentin-halys,Q. Halys,quimper_challenger,Finals,2.0,f,100,7,01:20:00,132.0,0.0,9.0,13.0,0.0,1.0,255.0,1.0,4.0,40.0,65.0,24.0,40.0,14.0,25.0,3.0,5.0,10.0,96.0,7.0,43.0,11.0,24.0,1.0,4.0,11.0,38.0,65.0,18.0,67.0,56.0,f,f,,f,France,2.0,13.0,9.0,1.0,304.0,16.0,4.0,43.0,67.0,36.0,43.0,13.0,24.0,3.0,4.0,11.0,144.0,16.0,40.0,11.0,25.0,2.0,5.0,10.0,49.0,67.0,27.0,65.0,76.0,t,f,t,France
2018-01-29,2018-02-04,France,Hard,43000.0,€,2018,alexey-vatutin,A. Vatutin,tristan-lamasine,T. Lamasine,quimper_challenger,Quarter-Finals,2.0,f,100,5,01:00:00,95.0,2.0,12.0,4.0,0.0,0.0,279.0,2.0,0.0,33.0,54.0,19.0,33.0,15.0,21.0,4.0,5.0,8.0,254.0,12.0,24.0,10.0,17.0,5.0,6.0,8.0,34.0,54.0,22.0,41.0,56.0,t,f,,t,France,0.0,4.0,12.0,0.0,188.0,2.0,1.0,24.0,41.0,12.0,24.0,7.0,17.0,1.0,6.0,8.0,103.0,14.0,33.0,6.0,21.0,1.0,5.0,8.0,19.0,41.0,20.0,54.0,39.0,f,f,f,France
2018-01-29,2018-02-04,France,Hard,43000.0,€,2018,andrea-arnaboldi,A. Arnaboldi,calvin-hemery-,C. Hemery,quimper_challenger,Round of 32,2.0,f,100,3,01:10:00,123.0,0.0,8.0,12.0,0.0,0.0,255.0,6.0,1.0,40.0,60.0,31.0,40.0,7.0,20.0,1.0,4.0,10.0,104.0,9.0,39.0,11.0,24.0,1.0,4.0,10.0,38.0,60.0,20.0,63.0,58.0,f,f,,f,France,2.0,12.0,8.0,0.0,284.0,6.0,5.0,39.0,63.0,30.0,39.0,13.0,24.0,3.0,4.0,10.0,193.0,9.0,40.0,13.0,20.0,3.0,4.0,10.0,43.0,63.0,22.0,60.0,65.0,t,f,t,France
2018-01-29,2018-02-04,France,Hard,43000.0,€,2018,antoine-hoang,A. Hoang,jozef-kovalik,J. Kovalik,quimper_challenger,Round of 32,2.0,f,100,3,01:35:00,130.0,2.0,12.0,7.0,0.0,0.0,254.0,1.0,1.0,41.0,73.0,29.0,41.0,15.0,32.0,6.0,8.0,10.0,222.0,15.0,31.0,13.0,26.0,4.0,5.0,9.0,44.0,73.0,28.0,57.0,72.0,t,f,S,t,France,0.0,7.0,12.0,0.0,214.0,4.0,1.0,31.0,57.0,16.0,31.0,13.0,26.0,1.0,5.0,9.0,127.0,12.0,41.0,17.0,32.0,2.0,8.0,10.0,29.0,57.0,29.0,73.0,58.0,f,f,f,France
