,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2018-02-05,2018-02-11,Ecuador,Clay,501345.0,$,2018,adrian-menendez-maceiras,A. Menendez-Maceiras,corentin-moutet,C. Moutet,quito,Round of 32,3.0,f,250,3,02:36:00,206.0,1.0,13.0,18.0,1.0,1.0,227.0,1.0,6.0,71.0,118.0,47.0,71.0,19.0,47.0,10.0,15.0,15.0,133.0,10.0,46.0,20.0,42.0,2.0,4.0,15.0,66.0,118.0,30.0,88.0,96.0,f,f,,f,Ecuador,2.0,18.0,13.0,0.0,272.0,9.0,5.0,46.0,88.0,36.0,46.0,22.0,42.0,2.0,4.0,15.0,160.0,24.0,71.0,28.0,47.0,5.0,15.0,15.0,58.0,88.0,52.0,118.0,110.0,t,f,t,Ecuador
1,2018-02-05,2018-02-11,Ecuador,Clay,501345.0,$,2018,albert-ramos-vinolas,A. Ramos-Vinolas,gerald-melzer,G. Melzer,quito,Quarter-Finals,2.0,f,250,5,01:18:00,104.0,2.0,12.0,6.0,0.0,0.0,300.0,1.0,2.0,33.0,52.0,28.0,33.0,10.0,19.0,1.0,1.0,9.0,180.0,5.0,29.0,16.0,23.0,3.0,5.0,9.0,38.0,52.0,21.0,52.0,59.0,t,f,2,t,Ecuador,0.0,6.0,12.0,0.0,237.0,6.0,4.0,29.0,52.0,24.0,29.0,7.0,23.0,2.0,5.0,9.0,62.0,5.0,33.0,9.0,19.0,0.0,1.0,9.0,31.0,52.0,14.0,52.0,45.0,f,f,f,Ecuador
2,2018-02-05,2018-02-11,Ecuador,Clay,501345.0,$,2018,albert-ramos-vinolas,A. Ramos-Vinolas,roberto-carballes-baena,R. Carballes Baena,quito,Finals,3.0,f,250,7,02:28:00,178.0,1.0,13.0,16.0,0.0,0.0,248.0,4.0,5.0,55.0,97.0,38.0,55.0,19.0,42.0,8.0,11.0,14.0,111.0,10.0,53.0,11.0,28.0,2.0,5.0,15.0,57.0,97.0,21.0,81.0,78.0,f,f,2,f,Ecuador,2.0,16.0,13.0,0.0,295.0,5.0,3.0,53.0,81.0,43.0,53.0,17.0,28.0,3.0,5.0,15.0,134.0,17.0,55.0,23.0,42.0,3.0,11.0,14.0,60.0,81.0,40.0,97.0,100.0,t,f,t,Ecuador
3,2018-02-05,2018-02-11,Ecuador,Clay,501345.0,$,2018,albert-ramos-vinolas,A. Ramos-Vinolas,roberto-quiroz,R. Quiroz,quito,Round of 16,3.0,f,250,4,01:48:00,153.0,2.0,15.0,12.0,0.0,0.0,295.0,4.0,2.0,53.0,82.0,41.0,53.0,17.0,29.0,1.0,2.0,14.0,116.0,14.0,49.0,7.0,22.0,2.0,5.0,13.0,58.0,82.0,21.0,71.0,79.0,t,f,2,t,Ecuador,1.0,12.0,15.0,0.0,294.0,4.0,2.0,49.0,71.0,35.0,49.0,15.0,22.0,3.0,5.0,13.0,121.0,12.0,53.0,12.0,29.0,1.0,2.0,14.0,50.0,71.0,24.0,82.0,74.0,f,f,f,Ecuador
4,2018-02-05,2018-02-11,Ecuador,Clay,501345.0,$,2018,albert-ramos-vinolas,A. Ramos-Vinolas,thiago-monteiro,T. Monteiro,quito,Semi-Finals,3.0,f,250,6,02:43:00,207.0,2.0,18.0,15.0,0.0,1.0,317.0,7.0,3.0,56.0,89.0,45.0,56.0,23.0,33.0,2.0,2.0,16.0,121.0,20.0,75.0,23.0,43.0,2.0,7.0,16.0,68.0,89.0,43.0,118.0,111.0,t,f,2,t,Ecuador,1.0,15.0,18.0,1.0,278.0,10.0,3.0,75.0,118.0,55.0,75.0,20.0,43.0,5.0,7.0,16.0,50.0,11.0,56.0,10.0,33.0,0.0,2.0,16.0,75.0,118.0,21.0,89.0,96.0,f,f,f,Ecuador
5,2018-02-05,2018-02-11,Ecuador,Clay,501345.0,$,2018,alessandro-giannessi,A. Giannessi,federico-gaio,F. Gaio,quito,2nd Round Qualifying,3.0,f,250,2,02:37:00,230.0,1.0,18.0,17.0,0.0,2.0,272.0,7.0,11.0,59.0,112.0,47.0,59.0,29.0,53.0,4.0,6.0,17.0,125.0,21.0,75.0,21.0,43.0,3.0,10.0,16.0,76.0,112.0,42.0,118.0,118.0,f,f,3,t,Ecuador,2.0,17.0,18.0,2.0,269.0,9.0,8.0,75.0,118.0,54.0,75.0,22.0,43.0,7.0,10.0,16.0,109.0,12.0,59.0,24.0,53.0,2.0,6.0,17.0,76.0,118.0,36.0,112.0,112.0,t,f,f,Ecuador
6,2018-02-05,2018-02-11,Ecuador,Clay,501345.0,$,2018,alessandro-giannessi,A. Giannessi,juan-ignacio-londero,J. Londero,quito,1st Round Qualifying,2.0,f,250,1,01:22:00,132.0,2.0,12.0,8.0,0.0,0.0,304.0,12.0,5.0,34.0,62.0,29.0,34.0,16.0,28.0,1.0,1.0,10.0,127.0,15.0,46.0,13.0,24.0,2.0,10.0,10.0,45.0,62.0,28.0,70.0,73.0,t,f,3,t,Ecuador,0.0,8.0,12.0,0.0,261.0,3.0,1.0,46.0,70.0,31.0,46.0,11.0,24.0,8.0,10.0,10.0,58.0,5.0,34.0,12.0,28.0,0.0,1.0,10.0,42.0,70.0,17.0,62.0,59.0,f,f,f,Ecuador
7,2018-02-05,2018-02-11,Ecuador,Clay,501345.0,$,2018,alessandro-giannessi,A. Giannessi,peter-polansky,P. Polansky,quito,Round of 32,2.0,f,250,3,01:10:00,112.0,2.0,12.0,7.0,0.0,0.0,301.0,4.0,6.0,32.0,55.0,28.0,32.0,13.0,23.0,0.0,0.0,10.0,188.0,5.0,23.0,15.0,34.0,2.0,2.0,9.0,41.0,55.0,20.0,57.0,61.0,t,f,LL,t,Ecuador,0.0,7.0,12.0,0.0,247.0,3.0,7.0,23.0,57.0,18.0,23.0,19.0,34.0,0.0,2.0,9.0,56.0,4.0,32.0,10.0,23.0,0.0,0.0,10.0,37.0,57.0,14.0,55.0,51.0,f,f,f,Ecuador
8,2018-02-05,2018-02-11,Ecuador,Clay,501345.0,$,2018,alessandro-giannessi,A. Giannessi,thiago-monteiro,T. Monteiro,quito,Round of 16,3.0,f,250,4,03:39:00,223.0,1.0,17.0,18.0,0.0,1.0,287.0,10.0,6.0,60.0,100.0,43.0,60.0,25.0,40.0,7.0,9.0,17.0,97.0,17.0,72.0,24.0,51.0,2.0,13.0,17.0,68.0,100.0,41.0,123.0,109.0,f,f,LL,f,Ecuador,2.0,18.0,17.0,1.0,277.0,4.0,3.0,72.0,123.0,55.0,72.0,27.0,51.0,11.0,13.0,17.0,99.0,17.0,60.0,15.0,40.0,2.0,9.0,17.0,82.0,123.0,32.0,100.0,114.0,t,f,t,Ecuador
9,2018-02-05,2018-02-11,Ecuador,Clay,501345.0,$,2018,alessandro-motti,A. Motti,facundo-bagnis,F. Bagnis,quito,1st Round Qualifying,2.0,f,250,1,00:43:00,88.0,0.0,3.0,12.0,0.0,0.0,200.0,7.0,4.0,29.0,42.0,16.0,29.0,4.0,13.0,5.0,9.0,7.0,56.0,7.0,35.0,4.0,11.0,0.0,1.0,8.0,20.0,42.0,11.0,46.0,31.0,f,f,AL,f,Ecuador,2.0,12.0,3.0,0.0,326.0,7.0,1.0,35.0,46.0,28.0,35.0,7.0,11.0,1.0,1.0,8.0,215.0,13.0,29.0,9.0,13.0,4.0,9.0,7.0,35.0,46.0,22.0,42.0,57.0,t,f,t,Ecuador
