,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2008-05-05,2008-05-11,Morocco,Clay,42500.0,€,2008,alberto-brizzi,,ivo-klec,,rabat_challenger,Round of 32,2.0,f,100,3,,,0.0,7.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Morocco,2.0,12.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
1,2008-05-05,2008-05-11,Morocco,Clay,42500.0,€,2008,alexander-satschko,A. Satschko,paul-capdeville,P. Capdeville,rabat_challenger,Round of 32,2.0,f,100,3,01:28:00,134.0,0.0,9.0,13.0,0.0,0.0,259.0,2.0,1.0,40.0,67.0,28.0,40.0,15.0,27.0,0.0,3.0,11.0,88.0,13.0,45.0,8.0,22.0,1.0,7.0,11.0,43.0,67.0,21.0,67.0,64.0,f,f,,f,Morocco,2.0,13.0,9.0,0.0,292.0,2.0,2.0,45.0,67.0,32.0,45.0,14.0,22.0,6.0,7.0,11.0,201.0,12.0,40.0,12.0,27.0,3.0,3.0,11.0,46.0,67.0,24.0,67.0,70.0,t,f,t,Morocco
2,2008-05-05,2008-05-11,Morocco,Clay,42500.0,€,2008,caio-zampieri,C. Zampieri,thomaz-bellucci,T. Bellucci,rabat_challenger,Round of 32,2.0,f,100,3,01:20:00,115.0,0.0,8.0,12.0,0.0,0.0,230.0,1.0,1.0,34.0,57.0,18.0,34.0,13.0,23.0,0.0,4.0,10.0,139.0,11.0,38.0,8.0,20.0,2.0,4.0,10.0,31.0,57.0,19.0,58.0,50.0,f,f,,f,Morocco,2.0,12.0,8.0,0.0,280.0,3.0,0.0,38.0,58.0,27.0,38.0,12.0,20.0,2.0,4.0,10.0,230.0,16.0,34.0,10.0,23.0,4.0,4.0,10.0,39.0,58.0,26.0,57.0,65.0,t,f,t,Morocco
3,2008-05-05,2008-05-11,Morocco,Clay,42500.0,€,2008,carlos-poch-gradin,C. Poch-Gradin,guillermo-garcia-lopez,G. Garcia-Lopez,rabat_challenger,Round of 16,3.0,f,100,4,02:16:00,182.0,1.0,14.0,13.0,0.0,1.0,243.0,0.0,2.0,56.0,85.0,31.0,56.0,16.0,29.0,4.0,8.0,13.0,197.0,23.0,63.0,20.0,34.0,5.0,8.0,13.0,47.0,85.0,43.0,97.0,90.0,f,f,,f,Morocco,2.0,13.0,14.0,1.0,225.0,2.0,7.0,63.0,97.0,40.0,63.0,14.0,34.0,3.0,8.0,13.0,170.0,25.0,56.0,13.0,29.0,4.0,8.0,13.0,54.0,97.0,38.0,85.0,92.0,t,f,t,Morocco
4,2008-05-05,2008-05-11,Morocco,Clay,42500.0,€,2008,carlos-poch-gradin,C. Poch-Gradin,mounir-el-aarej,M. El Aarej,rabat_challenger,Round of 32,3.0,f,100,3,02:07:00,176.0,2.0,16.0,13.0,0.0,0.0,238.0,3.0,4.0,42.0,79.0,27.0,42.0,19.0,37.0,2.0,6.0,14.0,173.0,21.0,51.0,24.0,46.0,6.0,15.0,15.0,46.0,79.0,45.0,97.0,91.0,t,f,,f,Morocco,1.0,13.0,16.0,0.0,216.0,2.0,6.0,51.0,97.0,30.0,51.0,22.0,46.0,9.0,15.0,15.0,180.0,15.0,42.0,18.0,37.0,4.0,6.0,14.0,52.0,97.0,33.0,79.0,85.0,f,f,t,Morocco
5,2008-05-05,2008-05-11,Morocco,Clay,42500.0,€,2008,chemseddine-belal,C. Belal,julien-jeanpierre,J. Jeanpierre,rabat_challenger,1st Round Qualifying,2.0,f,100,1,01:47:00,76.0,0.0,0.0,12.0,0.0,0.0,133.0,0.0,0.0,44.0,47.0,17.0,44.0,0.0,3.0,5.0,11.0,6.0,52.0,2.0,22.0,3.0,7.0,0.0,0.0,6.0,17.0,47.0,5.0,29.0,22.0,f,f,WC,f,Morocco,2.0,12.0,0.0,0.0,327.0,3.0,0.0,22.0,29.0,20.0,22.0,4.0,7.0,0.0,0.0,6.0,316.0,27.0,44.0,3.0,3.0,6.0,11.0,6.0,24.0,29.0,30.0,47.0,54.0,t,f,t,Morocco
6,2008-05-05,2008-05-11,Morocco,Clay,42500.0,€,2008,david-guez,,francesco-piccari,,rabat_challenger,Round of 16,2.0,f,100,4,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,7,f,Morocco,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Morocco
7,2008-05-05,2008-05-11,Morocco,Clay,42500.0,€,2008,david-guez,D. Guez,josh-goodall,J. Goodall,rabat_challenger,Round of 32,2.0,f,100,3,01:08:00,105.0,2.0,12.0,5.0,0.0,0.0,293.0,4.0,0.0,32.0,46.0,26.0,32.0,7.0,14.0,0.0,1.0,9.0,195.0,14.0,34.0,15.0,25.0,4.0,9.0,8.0,33.0,46.0,29.0,59.0,62.0,t,f,7,t,Morocco,0.0,5.0,12.0,0.0,210.0,6.0,3.0,34.0,59.0,20.0,34.0,10.0,25.0,5.0,9.0,8.0,180.0,6.0,32.0,7.0,14.0,1.0,1.0,9.0,30.0,59.0,13.0,46.0,43.0,f,f,f,Morocco
8,2008-05-05,2008-05-11,Morocco,Clay,42500.0,€,2008,fahd-mezzour,F. Mezzour,marcio-torres,M. Torres,rabat_challenger,1st Round Qualifying,3.0,f,100,1,02:59:00,182.0,1.0,12.0,16.0,0.0,1.0,233.0,0.0,1.0,50.0,91.0,28.0,50.0,24.0,41.0,8.0,13.0,14.0,140.0,22.0,67.0,13.0,24.0,3.0,10.0,13.0,52.0,91.0,35.0,91.0,87.0,f,f,WC,t,Morocco,2.0,16.0,12.0,1.0,262.0,0.0,1.0,67.0,91.0,45.0,67.0,11.0,24.0,7.0,10.0,13.0,158.0,22.0,50.0,17.0,41.0,5.0,13.0,14.0,56.0,91.0,39.0,91.0,95.0,t,f,f,Morocco
9,2008-05-05,2008-05-11,Morocco,Clay,42500.0,€,2008,francesco-piccari,F. Piccari,guillermo-garcia-lopez,G. Garcia-Lopez,rabat_challenger,Quarter-Finals,2.0,f,100,5,01:37:00,137.0,0.0,9.0,13.0,0.0,1.0,245.0,4.0,3.0,40.0,76.0,30.0,40.0,16.0,36.0,7.0,10.0,11.0,174.0,8.0,37.0,10.0,24.0,1.0,1.0,10.0,46.0,76.0,18.0,61.0,64.0,f,f,,f,Morocco,2.0,13.0,9.0,1.0,285.0,1.0,3.0,37.0,61.0,29.0,37.0,14.0,24.0,0.0,1.0,10.0,138.0,10.0,40.0,20.0,36.0,3.0,10.0,11.0,43.0,61.0,30.0,76.0,73.0,t,f,t,Morocco
10,2008-05-05,2008-05-11,Morocco,Clay,42500.0,€,2008,francesco-piccari,F. Piccari,reda-el-amrani,R. El Amrani,rabat_challenger,Round of 32,2.0,f,100,3,01:10:00,113.0,2.0,12.0,7.0,0.0,0.0,323.0,7.0,0.0,33.0,54.0,29.0,33.0,14.0,21.0,3.0,3.0,10.0,135.0,12.0,35.0,12.0,24.0,2.0,7.0,9.0,43.0,54.0,24.0,59.0,67.0,t,f,,t,Morocco,0.0,7.0,12.0,0.0,256.0,6.0,2.0,35.0,59.0,23.0,35.0,12.0,24.0,5.0,7.0,9.0,45.0,4.0,33.0,7.0,21.0,0.0,3.0,10.0,35.0,59.0,11.0,54.0,46.0,f,f,f,Morocco
11,2008-05-05,2008-05-11,Morocco,Clay,42500.0,€,2008,frank-dancevic,F. Dancevic,ivo-klec,I. Klec,rabat_challenger,Round of 16,2.0,f,100,4,01:05:00,104.0,0.0,6.0,12.0,0.0,0.0,212.0,2.0,5.0,27.0,45.0,18.0,27.0,6.0,18.0,2.0,6.0,9.0,104.0,11.0,43.0,8.0,16.0,1.0,6.0,9.0,24.0,45.0,19.0,59.0,43.0,f,f,2,f,Morocco,2.0,12.0,6.0,0.0,285.0,3.0,3.0,43.0,59.0,32.0,43.0,8.0,16.0,5.0,6.0,9.0,211.0,9.0,27.0,12.0,18.0,4.0,6.0,9.0,40.0,59.0,21.0,45.0,61.0,t,f,t,Morocco
